	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	123	0.24478411674499512	258	2.34919810295105	123.0000	258.0000	332.0000	815.0000	537.0000	800.0000	435.0000	151.0000	571.0000	359.0000	0.2448	0.2366	0.1481	0.1372	0.0337	0.0273	0.0261	0.0235	0.0199	0.0143	1	0	
1	332	0.761084258556366	258	1.1327853202819824	332.0000	815.0000	258.0000	747.0000	800.0000	454.0000	571.0000	151.0000	933.0000	406.0000	0.7611	0.0945	0.0224	0.0218	0.0155	0.0142	0.0091	0.0088	0.0074	0.0066	2	0	
2	332	0.4159178137779236	258	2.1565961837768555	332.0000	258.0000	322.0000	815.0000	406.0000	667.0000	123.0000	747.0000	537.0000	571.0000	0.4159	0.2871	0.0643	0.0228	0.0218	0.0150	0.0142	0.0132	0.0129	0.0101	1	0	
3	332	0.8823955655097961	258	0.6428097486495972	332.0000	258.0000	815.0000	123.0000	800.0000	747.0000	67.0000	537.0000	435.0000	406.0000	0.8824	0.0411	0.0253	0.0124	0.0058	0.0054	0.0045	0.0035	0.0019	0.0017	1	0	
4	332	0.9267738461494446	258	0.4806283414363861	332.0000	933.0000	406.0000	800.0000	258.0000	571.0000	815.0000	747.0000	657.0000	16.0000	0.9268	0.0150	0.0121	0.0089	0.0075	0.0034	0.0031	0.0026	0.0016	0.0016	4	0	
5	747	0.3856131434440613	258	1.9663175344467163	747.0000	332.0000	571.0000	258.0000	406.0000	735.0000	657.0000	800.0000	815.0000	537.0000	0.3856	0.3404	0.0715	0.0317	0.0299	0.0216	0.0215	0.0087	0.0080	0.0061	3	0	
6	332	0.31440436840057373	258	3.614746570587158	332.0000	258.0000	667.0000	747.0000	815.0000	537.0000	67.0000	123.0000	616.0000	438.0000	0.3144	0.0930	0.0775	0.0556	0.0336	0.0247	0.0219	0.0209	0.0207	0.0151	1	0	
7	123	0.6168274879455566	258	1.6297342777252197	123.0000	258.0000	360.0000	322.0000	667.0000	537.0000	56.0000	912.0000	715.0000	616.0000	0.6168	0.1750	0.0437	0.0337	0.0180	0.0104	0.0096	0.0086	0.0078	0.0075	1	1	
8	332	0.65365070104599	258	1.3032790422439575	332.0000	537.0000	815.0000	454.0000	258.0000	123.0000	571.0000	800.0000	435.0000	667.0000	0.6537	0.1375	0.0605	0.0500	0.0439	0.0087	0.0085	0.0077	0.0069	0.0052	4	1	
9	258	0.43270352482795715	258	2.4741437435150146	258.0000	667.0000	322.0000	360.0000	512.0000	616.0000	123.0000	2.0000	905.0000	50.0000	0.4327	0.1313	0.0820	0.0495	0.0453	0.0419	0.0287	0.0201	0.0104	0.0097	0	1	
