	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	143	0.18513210117816925	262	3.8919506072998047	143.0000	709.0000	54.0000	161.0000	205.0000	542.0000	637.0000	899.0000	845.0000	608.0000	0.1851	0.1237	0.0661	0.0472	0.0449	0.0297	0.0292	0.0269	0.0265	0.0216	20	0	
1	709	0.08454383164644241	262	4.5262956619262695	709.0000	594.0000	893.0000	597.0000	575.0000	122.0000	436.0000	419.0000	172.0000	423.0000	0.0845	0.0521	0.0472	0.0402	0.0390	0.0362	0.0349	0.0333	0.0309	0.0274	63	0	
2	637	0.1597609966993332	262	3.63913631439209	637.0000	423.0000	47.0000	845.0000	705.0000	161.0000	216.0000	790.0000	453.0000	239.0000	0.1598	0.1398	0.1007	0.0767	0.0636	0.0482	0.0368	0.0232	0.0227	0.0191	38	0	
3	637	0.41339629888534546	262	2.61702036857605	637.0000	47.0000	216.0000	423.0000	709.0000	790.0000	262.0000	715.0000	533.0000	122.0000	0.4134	0.1213	0.1129	0.0729	0.0470	0.0291	0.0201	0.0148	0.0127	0.0093	6	0	
4	143	0.15949629247188568	262	4.099522590637207	143.0000	637.0000	709.0000	161.0000	845.0000	375.0000	356.0000	47.0000	608.0000	56.0000	0.1595	0.1205	0.0596	0.0474	0.0436	0.0358	0.0332	0.0324	0.0279	0.0196	33	0	
5	216	0.5853947401046753	262	1.7295622825622559	216.0000	637.0000	533.0000	790.0000	423.0000	845.0000	47.0000	56.0000	709.0000	608.0000	0.5854	0.1704	0.0430	0.0420	0.0414	0.0154	0.0151	0.0140	0.0082	0.0057	11	0	
6	122	0.5053391456604004	262	2.264059543609619	122.0000	594.0000	501.0000	790.0000	423.0000	172.0000	332.0000	408.0000	80.0000	678.0000	0.5053	0.0901	0.0832	0.0638	0.0272	0.0251	0.0225	0.0203	0.0156	0.0148	19	0	
7	637	0.19942043721675873	262	2.4583168029785156	637.0000	533.0000	216.0000	790.0000	423.0000	709.0000	262.0000	535.0000	408.0000	501.0000	0.1994	0.1323	0.1268	0.1068	0.0862	0.0816	0.0800	0.0695	0.0379	0.0224	6	0	
8	715	0.22737450897693634	262	2.950852394104004	715.0000	262.0000	637.0000	143.0000	54.0000	501.0000	25.0000	161.0000	845.0000	47.0000	0.2274	0.1673	0.1170	0.0725	0.0694	0.0561	0.0353	0.0294	0.0171	0.0159	1	1	
9	501	0.23410552740097046	262	2.2756447792053223	501.0000	423.0000	790.0000	637.0000	216.0000	25.0000	701.0000	408.0000	122.0000	47.0000	0.2341	0.2065	0.1722	0.1622	0.0934	0.0191	0.0100	0.0088	0.0081	0.0069	10	1	
