	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	75	0.3197063207626343	264	4.064256191253662	75.0000	884.0000	703.0000	90.0000	782.0000	888.0000	235.0000	585.0000	582.0000	160.0000	0.3197	0.0956	0.0538	0.0202	0.0195	0.0136	0.0132	0.0124	0.0115	0.0106	43	0	
1	160	0.7885517477989197	264	1.34737229347229	160.0000	942.0000	468.0000	75.0000	235.0000	90.0000	582.0000	443.0000	919.0000	782.0000	0.7886	0.0249	0.0222	0.0161	0.0145	0.0106	0.0101	0.0096	0.0090	0.0085	10	0	
2	75	0.5809593796730042	264	2.8629066944122314	75.0000	884.0000	160.0000	703.0000	782.0000	582.0000	90.0000	919.0000	888.0000	468.0000	0.5810	0.0230	0.0221	0.0151	0.0129	0.0126	0.0126	0.0117	0.0114	0.0102	31	0	
3	160	0.30098628997802734	264	3.4176688194274902	160.0000	297.0000	75.0000	468.0000	703.0000	51.0000	582.0000	443.0000	90.0000	264.0000	0.3010	0.0925	0.0562	0.0425	0.0402	0.0369	0.0313	0.0264	0.0252	0.0222	9	0	
4	335	0.04452464357018471	264	5.369037628173828	335.0000	226.0000	272.0000	87.0000	724.0000	155.0000	558.0000	235.0000	888.0000	378.0000	0.0445	0.0409	0.0374	0.0276	0.0269	0.0243	0.0230	0.0181	0.0149	0.0135	48	1	
5	160	0.7936371564865112	264	1.4130821228027344	160.0000	264.0000	335.0000	558.0000	724.0000	235.0000	888.0000	782.0000	512.0000	340.0000	0.7936	0.0171	0.0162	0.0141	0.0104	0.0087	0.0073	0.0071	0.0070	0.0066	1	1	
6	335	0.05621900036931038	264	5.10467529296875	335.0000	724.0000	494.0000	226.0000	484.0000	160.0000	378.0000	155.0000	143.0000	145.0000	0.0562	0.0373	0.0332	0.0307	0.0291	0.0285	0.0263	0.0224	0.0204	0.0188	87	1	
7	160	0.6979411840438843	264	1.5370599031448364	160.0000	264.0000	235.0000	468.0000	932.0000	297.0000	528.0000	724.0000	490.0000	285.0000	0.6979	0.1153	0.0259	0.0221	0.0144	0.0144	0.0121	0.0053	0.0047	0.0043	1	1	
8	531	0.08059648424386978	264	4.632068634033203	531.0000	811.0000	33.0000	476.0000	884.0000	443.0000	744.0000	859.0000	532.0000	703.0000	0.0806	0.0798	0.0766	0.0422	0.0355	0.0286	0.0268	0.0243	0.0227	0.0185	70	2	
9	160	0.35174426436424255	264	2.5057103633880615	160.0000	443.0000	888.0000	582.0000	477.0000	264.0000	521.0000	200.0000	235.0000	525.0000	0.3517	0.1513	0.1199	0.0961	0.0523	0.0375	0.0356	0.0126	0.0109	0.0097	5	2	
10	33	0.08033252507448196	264	4.760876178741455	33.0000	476.0000	443.0000	525.0000	531.0000	521.0000	703.0000	483.0000	888.0000	797.0000	0.0803	0.0603	0.0509	0.0501	0.0479	0.0333	0.0307	0.0261	0.0234	0.0234	117	2	
11	443	0.43920302391052246	264	2.6345038414001465	443.0000	134.0000	264.0000	160.0000	297.0000	444.0000	521.0000	803.0000	477.0000	200.0000	0.4392	0.0901	0.0777	0.0752	0.0418	0.0291	0.0241	0.0195	0.0138	0.0120	2	2	
12	444	0.5758590698242188	264	2.4683077335357666	444.0000	75.0000	698.0000	304.0000	89.0000	155.0000	888.0000	494.0000	165.0000	369.0000	0.5759	0.0372	0.0371	0.0295	0.0205	0.0192	0.0181	0.0171	0.0149	0.0108	66	3	
13	160	0.9638367891311646	264	0.23920086026191711	160.0000	264.0000	444.0000	830.0000	370.0000	888.0000	582.0000	477.0000	125.0000	724.0000	0.9638	0.0123	0.0063	0.0043	0.0032	0.0029	0.0020	0.0006	0.0004	0.0004	1	3	
14	444	0.5030123591423035	264	2.582202196121216	444.0000	75.0000	703.0000	4.0000	219.0000	228.0000	724.0000	89.0000	370.0000	155.0000	0.5030	0.1240	0.0325	0.0278	0.0213	0.0207	0.0168	0.0106	0.0102	0.0101	82	3	
15	888	0.14513634145259857	264	3.063603162765503	888.0000	789.0000	805.0000	264.0000	160.0000	125.0000	582.0000	90.0000	444.0000	370.0000	0.1451	0.1354	0.1103	0.1097	0.0817	0.0551	0.0424	0.0369	0.0350	0.0282	3	3	
16	75	0.1625751405954361	264	4.522030830383301	75.0000	854.0000	724.0000	837.0000	888.0000	304.0000	208.0000	33.0000	712.0000	689.0000	0.1626	0.1096	0.0412	0.0306	0.0284	0.0240	0.0231	0.0216	0.0164	0.0162	53	4	
17	160	0.46542614698410034	264	2.709078311920166	160.0000	264.0000	89.0000	235.0000	724.0000	888.0000	830.0000	441.0000	335.0000	561.0000	0.4654	0.0671	0.0644	0.0480	0.0433	0.0361	0.0302	0.0198	0.0171	0.0160	1	4	
18	724	0.24734900891780853	264	3.4727237224578857	724.0000	235.0000	290.0000	840.0000	854.0000	712.0000	651.0000	689.0000	378.0000	89.0000	0.2473	0.2036	0.0603	0.0382	0.0336	0.0220	0.0201	0.0145	0.0135	0.0135	30	4	
19	160	0.2196555882692337	264	3.0491557121276855	160.0000	264.0000	468.0000	561.0000	942.0000	471.0000	439.0000	789.0000	443.0000	803.0000	0.2197	0.1324	0.1197	0.0831	0.0734	0.0491	0.0427	0.0311	0.0151	0.0145	1	4	
