	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	47	0.23389798402786255	271	2.8050498962402344	47.0000	637.0000	216.0000	262.0000	717.0000	423.0000	790.0000	390.0000	535.0000	533.0000	0.2339	0.2120	0.1437	0.0792	0.0595	0.0323	0.0297	0.0271	0.0188	0.0129	354	0	
1	390	0.1678609997034073	271	3.548348903656006	390.0000	637.0000	216.0000	47.0000	423.0000	717.0000	715.0000	790.0000	709.0000	408.0000	0.1679	0.0922	0.0780	0.0708	0.0601	0.0536	0.0522	0.0475	0.0324	0.0304	306	0	
2	228	0.46828967332839966	271	2.0207760334014893	228.0000	637.0000	216.0000	486.0000	47.0000	485.0000	262.0000	390.0000	717.0000	423.0000	0.4683	0.1758	0.0605	0.0495	0.0481	0.0381	0.0278	0.0252	0.0191	0.0153	198	1	
3	423	0.2797740399837494	271	2.1739444732666016	423.0000	390.0000	637.0000	216.0000	47.0000	715.0000	790.0000	717.0000	262.0000	533.0000	0.2798	0.1932	0.1529	0.0935	0.0750	0.0596	0.0571	0.0347	0.0127	0.0077	141	1	
4	717	0.13267062604427338	271	3.7641122341156006	717.0000	47.0000	637.0000	423.0000	216.0000	390.0000	666.0000	161.0000	228.0000	122.0000	0.1327	0.1302	0.0988	0.0830	0.0465	0.0461	0.0395	0.0268	0.0219	0.0193	91	2	
5	390	0.33165767788887024	271	2.6879279613494873	390.0000	717.0000	423.0000	47.0000	35.0000	487.0000	825.0000	715.0000	161.0000	577.0000	0.3317	0.3298	0.0292	0.0235	0.0140	0.0108	0.0100	0.0097	0.0096	0.0092	81	2	
6	717	0.42799705266952515	271	1.478119969367981	717.0000	47.0000	715.0000	262.0000	423.0000	390.0000	161.0000	637.0000	216.0000	535.0000	0.4280	0.3336	0.0997	0.0599	0.0460	0.0065	0.0049	0.0047	0.0031	0.0020	91	3	
7	717	0.6588238477706909	271	1.002629041671753	717.0000	47.0000	390.0000	701.0000	423.0000	216.0000	577.0000	161.0000	715.0000	378.0000	0.6588	0.2090	0.1038	0.0162	0.0027	0.0010	0.0006	0.0006	0.0005	0.0004	56	3	
8	47	0.8124313354492188	271	0.7962812781333923	47.0000	262.0000	637.0000	709.0000	790.0000	423.0000	717.0000	216.0000	707.0000	535.0000	0.8124	0.0834	0.0433	0.0352	0.0057	0.0041	0.0033	0.0031	0.0026	0.0008	74	4	
9	161	0.2613608241081238	271	3.5761003494262695	161.0000	390.0000	657.0000	423.0000	715.0000	104.0000	717.0000	54.0000	145.0000	378.0000	0.2614	0.1005	0.0584	0.0546	0.0534	0.0517	0.0372	0.0200	0.0171	0.0159	33	4	
10	637	0.4878841042518616	271	1.975479006767273	637.0000	47.0000	262.0000	4.0000	216.0000	717.0000	228.0000	709.0000	44.0000	845.0000	0.4879	0.1494	0.0990	0.0681	0.0371	0.0313	0.0226	0.0142	0.0140	0.0118	120	5	
11	717	0.7164159417152405	271	1.4680750370025635	717.0000	701.0000	423.0000	47.0000	216.0000	390.0000	378.0000	715.0000	713.0000	80.0000	0.7164	0.0568	0.0484	0.0376	0.0264	0.0154	0.0096	0.0076	0.0071	0.0045	25	5	
