	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.08020623028278351	273	4.787569999694824	0.0000	510.0000	449.0000	674.0000	426.0000	799.0000	312.0000	467.0000	190.0000	137.0000	0.0802	0.0532	0.0487	0.0412	0.0399	0.0320	0.0253	0.0232	0.0226	0.0199	11	0	
1	285	0.15322977304458618	273	4.983983993530273	285.0000	57.0000	241.0000	811.0000	510.0000	884.0000	676.0000	797.0000	584.0000	819.0000	0.1532	0.0488	0.0312	0.0286	0.0281	0.0243	0.0187	0.0176	0.0155	0.0121	61	0	
2	510	0.1316080242395401	273	3.9774696826934814	510.0000	312.0000	0.0000	876.0000	426.0000	273.0000	674.0000	884.0000	503.0000	137.0000	0.1316	0.0862	0.0681	0.0557	0.0502	0.0453	0.0321	0.0297	0.0270	0.0220	5	0	
3	884	0.06612104922533035	273	5.680828094482422	884.0000	510.0000	285.0000	584.0000	241.0000	476.0000	82.0000	676.0000	797.0000	137.0000	0.0661	0.0482	0.0282	0.0177	0.0155	0.0150	0.0118	0.0116	0.0115	0.0104	48	0	
4	854	0.38897716999053955	273	3.4269003868103027	854.0000	808.0000	0.0000	811.0000	273.0000	285.0000	592.0000	443.0000	4.0000	57.0000	0.3890	0.0463	0.0420	0.0364	0.0314	0.0311	0.0236	0.0201	0.0189	0.0158	4	1	
5	285	0.6762363314628601	273	1.7511764764785767	285.0000	719.0000	924.0000	854.0000	540.0000	528.0000	57.0000	797.0000	703.0000	867.0000	0.6762	0.1066	0.0242	0.0214	0.0168	0.0122	0.0121	0.0108	0.0076	0.0066	267	1	
6	854	0.3918905556201935	273	3.011195659637451	854.0000	285.0000	811.0000	0.0000	273.0000	57.0000	808.0000	242.0000	592.0000	865.0000	0.3919	0.0971	0.0577	0.0460	0.0406	0.0391	0.0276	0.0185	0.0180	0.0145	4	1	
7	285	0.3975527584552765	273	3.7192564010620117	285.0000	719.0000	854.0000	57.0000	528.0000	819.0000	703.0000	924.0000	540.0000	348.0000	0.3976	0.0479	0.0313	0.0228	0.0210	0.0183	0.0178	0.0171	0.0138	0.0135	166	1	
8	888	0.236705020070076	273	3.7930445671081543	888.0000	273.0000	443.0000	661.0000	655.0000	449.0000	329.0000	508.0000	865.0000	945.0000	0.2367	0.1514	0.0479	0.0317	0.0265	0.0231	0.0190	0.0177	0.0166	0.0146	1	2	
9	528	0.16802310943603516	273	4.015128135681152	528.0000	854.0000	285.0000	719.0000	819.0000	626.0000	282.0000	676.0000	57.0000	247.0000	0.1680	0.1379	0.0600	0.0564	0.0485	0.0413	0.0269	0.0249	0.0188	0.0187	107	2	
10	273	0.18994908034801483	273	3.3195548057556152	273.0000	945.0000	888.0000	443.0000	242.0000	592.0000	944.0000	655.0000	329.0000	250.0000	0.1899	0.1805	0.1653	0.0492	0.0376	0.0299	0.0280	0.0241	0.0150	0.0149	0	2	
11	854	0.10860726237297058	273	4.811981201171875	854.0000	819.0000	348.0000	350.0000	674.0000	285.0000	528.0000	719.0000	676.0000	626.0000	0.1086	0.0988	0.0465	0.0333	0.0284	0.0246	0.0213	0.0207	0.0200	0.0181	88	2	
12	273	0.15708328783512115	273	3.448930025100708	273.0000	242.0000	945.0000	550.0000	47.0000	443.0000	508.0000	285.0000	674.0000	944.0000	0.1571	0.1106	0.0960	0.0861	0.0851	0.0557	0.0512	0.0426	0.0238	0.0214	0	3	
13	285	0.3945227563381195	273	3.3874807357788086	285.0000	719.0000	547.0000	703.0000	213.0000	242.0000	592.0000	744.0000	282.0000	1.0000	0.3945	0.0869	0.0420	0.0349	0.0269	0.0236	0.0211	0.0189	0.0174	0.0147	19	3	
14	945	0.8585963845252991	273	0.6707568168640137	945.0000	273.0000	944.0000	242.0000	329.0000	592.0000	443.0000	888.0000	250.0000	689.0000	0.8586	0.0679	0.0204	0.0191	0.0090	0.0086	0.0058	0.0013	0.0011	0.0009	1	3	
15	75	0.24440975487232208	273	4.013327598571777	75.0000	285.0000	213.0000	674.0000	592.0000	242.0000	307.0000	719.0000	1.0000	547.0000	0.2444	0.1591	0.0278	0.0227	0.0214	0.0212	0.0207	0.0189	0.0169	0.0166	11	3	
16	190	0.12118116021156311	273	4.160312652587891	190.0000	674.0000	0.0000	932.0000	53.0000	854.0000	521.0000	443.0000	273.0000	803.0000	0.1212	0.0950	0.0884	0.0483	0.0366	0.0360	0.0351	0.0275	0.0236	0.0192	8	4	
17	744	0.39166831970214844	273	3.173823833465576	744.0000	282.0000	1.0000	208.0000	592.0000	719.0000	819.0000	213.0000	854.0000	925.0000	0.3917	0.1014	0.0471	0.0370	0.0350	0.0339	0.0336	0.0329	0.0122	0.0090	62	4	
18	273	0.30534911155700684	273	3.3972830772399902	273.0000	854.0000	190.0000	592.0000	898.0000	212.0000	476.0000	661.0000	424.0000	945.0000	0.3053	0.1073	0.0601	0.0514	0.0476	0.0340	0.0280	0.0251	0.0172	0.0132	0	4	
19	744	0.24820870161056519	273	3.8621397018432617	744.0000	1.0000	213.0000	674.0000	208.0000	592.0000	819.0000	282.0000	72.0000	476.0000	0.2482	0.0768	0.0641	0.0603	0.0543	0.0458	0.0348	0.0194	0.0164	0.0123	33	4	
20	592	0.28913456201553345	273	3.216994524002075	592.0000	273.0000	0.0000	12.0000	508.0000	443.0000	888.0000	721.0000	536.0000	449.0000	0.2891	0.1093	0.0911	0.0588	0.0454	0.0347	0.0345	0.0232	0.0198	0.0157	1	5	
21	285	0.6557005643844604	273	1.6347765922546387	285.0000	592.0000	925.0000	719.0000	235.0000	854.0000	811.0000	112.0000	307.0000	208.0000	0.6557	0.1151	0.0672	0.0235	0.0158	0.0133	0.0111	0.0077	0.0077	0.0067	59	5	
22	592	0.5642213821411133	273	1.7234950065612793	592.0000	273.0000	945.0000	443.0000	944.0000	898.0000	888.0000	661.0000	242.0000	689.0000	0.5642	0.1136	0.1015	0.0564	0.0380	0.0287	0.0210	0.0114	0.0084	0.0072	1	5	
23	285	0.41791921854019165	273	2.541287422180176	285.0000	592.0000	307.0000	925.0000	819.0000	578.0000	235.0000	854.0000	719.0000	589.0000	0.4179	0.2046	0.0755	0.0282	0.0204	0.0196	0.0160	0.0142	0.0141	0.0133	50	5	
24	674	0.1693364530801773	273	3.2444112300872803	674.0000	808.0000	424.0000	443.0000	721.0000	592.0000	273.0000	803.0000	235.0000	945.0000	0.1693	0.1537	0.1409	0.0572	0.0552	0.0466	0.0425	0.0382	0.0242	0.0187	6	6	
25	528	0.14683766663074493	273	3.5812835693359375	528.0000	440.0000	347.0000	719.0000	285.0000	543.0000	854.0000	811.0000	676.0000	282.0000	0.1468	0.1314	0.0968	0.0913	0.0483	0.0357	0.0344	0.0258	0.0241	0.0216	241	6	
26	424	0.29348716139793396	273	2.8491854667663574	424.0000	592.0000	443.0000	273.0000	945.0000	808.0000	200.0000	803.0000	329.0000	854.0000	0.2935	0.1165	0.1072	0.0975	0.0696	0.0395	0.0311	0.0217	0.0215	0.0146	3	6	
27	320	0.14428921043872833	273	3.715709924697876	320.0000	674.0000	307.0000	440.0000	1.0000	819.0000	854.0000	811.0000	65.0000	676.0000	0.1443	0.1140	0.0966	0.0921	0.0418	0.0360	0.0354	0.0290	0.0227	0.0212	60	6	
