	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	510	0.3505629003047943	275	3.1784515380859375	510.0000	797.0000	768.0000	670.0000	786.0000	590.0000	551.0000	621.0000	285.0000	288.0000	0.3506	0.1249	0.0733	0.0330	0.0299	0.0280	0.0269	0.0222	0.0202	0.0170	207	0	
1	509	0.13391456007957458	275	4.948864936828613	509.0000	489.0000	845.0000	96.0000	503.0000	166.0000	510.0000	590.0000	364.0000	621.0000	0.1339	0.0508	0.0440	0.0425	0.0338	0.0195	0.0186	0.0180	0.0172	0.0170	260	0	
2	510	0.4739549458026886	275	1.5583479404449463	510.0000	295.0000	288.0000	786.0000	910.0000	869.0000	289.0000	660.0000	568.0000	797.0000	0.4740	0.2374	0.1306	0.0973	0.0143	0.0069	0.0052	0.0044	0.0041	0.0036	65	1	
3	288	0.1274193674325943	275	4.33987283706665	288.0000	104.0000	3.0000	510.0000	489.0000	698.0000	141.0000	295.0000	304.0000	869.0000	0.1274	0.0643	0.0591	0.0471	0.0381	0.0380	0.0323	0.0260	0.0259	0.0241	82	1	
4	363	0.4592490494251251	275	2.1995081901550293	363.0000	786.0000	295.0000	681.0000	426.0000	910.0000	869.0000	670.0000	510.0000	305.0000	0.4592	0.1674	0.0785	0.0389	0.0365	0.0302	0.0211	0.0207	0.0168	0.0126	47	2	
5	509	0.1302560716867447	275	3.505524158477783	509.0000	503.0000	226.0000	44.0000	507.0000	910.0000	681.0000	670.0000	312.0000	277.0000	0.1303	0.1128	0.0950	0.0823	0.0583	0.0475	0.0352	0.0323	0.0303	0.0301	36	2	
6	285	0.3745472729206085	275	2.4563751220703125	285.0000	578.0000	786.0000	44.0000	369.0000	510.0000	363.0000	657.0000	738.0000	503.0000	0.3745	0.1412	0.0991	0.0792	0.0554	0.0409	0.0291	0.0180	0.0174	0.0140	39	3	
7	369	0.173350989818573	275	3.642892360687256	369.0000	590.0000	44.0000	578.0000	363.0000	289.0000	633.0000	288.0000	180.0000	626.0000	0.1734	0.1530	0.0564	0.0542	0.0514	0.0378	0.0314	0.0277	0.0198	0.0198	72	3	
8	510	0.37415939569473267	275	2.163547992706299	510.0000	288.0000	295.0000	910.0000	285.0000	786.0000	681.0000	869.0000	568.0000	363.0000	0.3742	0.2023	0.1369	0.0787	0.0413	0.0309	0.0204	0.0151	0.0132	0.0086	44	4	
9	288	0.24052026867866516	275	3.059018135070801	288.0000	330.0000	509.0000	331.0000	304.0000	369.0000	910.0000	44.0000	851.0000	590.0000	0.2405	0.1589	0.0717	0.0651	0.0579	0.0375	0.0289	0.0251	0.0232	0.0231	65	4	
10	295	0.9386071562767029	275	0.3418329954147339	295.0000	869.0000	786.0000	288.0000	363.0000	568.0000	510.0000	28.0000	305.0000	910.0000	0.9386	0.0278	0.0128	0.0061	0.0055	0.0026	0.0017	0.0011	0.0008	0.0006	37	5	
11	590	0.46421918272972107	275	2.4371206760406494	590.0000	28.0000	295.0000	621.0000	288.0000	509.0000	494.0000	316.0000	330.0000	104.0000	0.4642	0.0817	0.0789	0.0535	0.0534	0.0244	0.0186	0.0183	0.0146	0.0142	79	5	
12	786	0.6787317991256714	275	1.603622555732727	786.0000	910.0000	295.0000	568.0000	288.0000	660.0000	578.0000	738.0000	28.0000	21.0000	0.6787	0.0804	0.0379	0.0302	0.0221	0.0153	0.0146	0.0143	0.0099	0.0095	43	6	
13	773	0.0877901166677475	275	4.174894332885742	773.0000	165.0000	590.0000	288.0000	545.0000	289.0000	369.0000	44.0000	180.0000	869.0000	0.0878	0.0569	0.0496	0.0488	0.0475	0.0432	0.0426	0.0419	0.0398	0.0357	96	6	
14	578	0.16525907814502716	275	3.4506876468658447	578.0000	568.0000	288.0000	259.0000	363.0000	621.0000	28.0000	295.0000	786.0000	869.0000	0.1653	0.1480	0.1028	0.0595	0.0517	0.0419	0.0308	0.0285	0.0255	0.0208	85	7	
15	853	0.3734120726585388	275	2.399534225463867	853.0000	288.0000	60.0000	96.0000	509.0000	330.0000	363.0000	54.0000	44.0000	289.0000	0.3734	0.1341	0.1201	0.1058	0.0410	0.0279	0.0200	0.0193	0.0148	0.0131	100	7	
16	295	0.7176051139831543	275	0.9752309322357178	295.0000	869.0000	786.0000	910.0000	510.0000	568.0000	363.0000	28.0000	578.0000	273.0000	0.7176	0.1861	0.0352	0.0226	0.0113	0.0084	0.0046	0.0028	0.0016	0.0012	75	8	
17	869	0.6573215126991272	275	1.4750545024871826	869.0000	363.0000	590.0000	28.0000	681.0000	510.0000	568.0000	288.0000	295.0000	305.0000	0.6573	0.0869	0.0684	0.0458	0.0297	0.0229	0.0213	0.0210	0.0090	0.0055	76	8	
18	288	0.9752469658851624	275	0.19294866919517517	288.0000	568.0000	510.0000	869.0000	812.0000	545.0000	765.0000	786.0000	315.0000	910.0000	0.9752	0.0043	0.0042	0.0020	0.0018	0.0016	0.0013	0.0011	0.0011	0.0008	47	9	
19	288	0.4893138110637665	275	2.0338692665100098	288.0000	625.0000	690.0000	590.0000	28.0000	568.0000	545.0000	853.0000	180.0000	104.0000	0.4893	0.1937	0.0599	0.0494	0.0257	0.0197	0.0194	0.0148	0.0136	0.0104	180	9	
20	869	0.6206341981887817	275	1.3780508041381836	869.0000	510.0000	295.0000	568.0000	786.0000	288.0000	545.0000	621.0000	305.0000	28.0000	0.6206	0.1960	0.0543	0.0390	0.0251	0.0143	0.0086	0.0048	0.0046	0.0043	64	10	
21	28	0.21342208981513977	275	2.9902353286743164	28.0000	288.0000	509.0000	869.0000	561.0000	346.0000	180.0000	545.0000	104.0000	474.0000	0.2134	0.1435	0.1017	0.0932	0.0538	0.0451	0.0429	0.0381	0.0225	0.0224	74	10	
22	295	0.8794108629226685	275	0.6645642518997192	295.0000	869.0000	568.0000	285.0000	288.0000	786.0000	738.0000	510.0000	307.0000	681.0000	0.8794	0.0346	0.0237	0.0165	0.0100	0.0064	0.0046	0.0042	0.0024	0.0021	61	11	
