	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	277	0.9046130776405334	278	0.39885106682777405	277.0000	278.0000	279.0000	854.0000	471.0000	508.0000	789.0000	837.0000	304.0000	228.0000	0.9046	0.0711	0.0161	0.0057	0.0005	0.0003	0.0002	0.0001	0.0001	0.0001	1	0	
1	340	0.16649876534938812	278	3.5280988216400146	340.0000	558.0000	8.0000	319.0000	441.0000	335.0000	926.0000	486.0000	453.0000	789.0000	0.1665	0.1417	0.1121	0.0879	0.0698	0.0556	0.0257	0.0184	0.0184	0.0165	188	1	
2	279	0.3686925172805786	278	1.9634631872177124	279.0000	277.0000	508.0000	278.0000	471.0000	626.0000	411.0000	228.0000	347.0000	460.0000	0.3687	0.2784	0.1225	0.1109	0.0143	0.0094	0.0086	0.0068	0.0064	0.0061	3	2	
3	923	0.4220331609249115	278	2.2447047233581543	923.0000	340.0000	854.0000	319.0000	411.0000	277.0000	453.0000	8.0000	651.0000	51.0000	0.4220	0.1182	0.1105	0.0570	0.0568	0.0387	0.0315	0.0253	0.0252	0.0182	58	3	
4	279	0.739561915397644	278	0.6410553455352783	279.0000	277.0000	508.0000	278.0000	507.0000	228.0000	923.0000	489.0000	255.0000	854.0000	0.7396	0.2516	0.0018	0.0010	0.0009	0.0008	0.0007	0.0006	0.0002	0.0002	3	4	
5	277	0.9721712470054626	278	0.19058921933174133	277.0000	279.0000	278.0000	471.0000	411.0000	651.0000	854.0000	269.0000	700.0000	503.0000	0.9722	0.0095	0.0070	0.0022	0.0021	0.0013	0.0012	0.0008	0.0005	0.0004	2	5	
6	277	0.8067829608917236	278	1.014880657196045	277.0000	278.0000	507.0000	923.0000	350.0000	279.0000	771.0000	471.0000	460.0000	319.0000	0.8068	0.0600	0.0347	0.0169	0.0140	0.0118	0.0066	0.0063	0.0054	0.0030	1	6	
7	277	0.6771740317344666	278	1.002909779548645	277.0000	278.0000	279.0000	228.0000	489.0000	508.0000	837.0000	484.0000	269.0000	471.0000	0.6772	0.2301	0.0423	0.0156	0.0142	0.0072	0.0022	0.0013	0.0012	0.0012	1	7	
8	277	0.8067141175270081	278	0.501482367515564	277.0000	278.0000	508.0000	279.0000	269.0000	854.0000	507.0000	411.0000	471.0000	658.0000	0.8067	0.1917	0.0011	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	8	
9	277	0.9912992119789124	278	0.057976171374320984	277.0000	278.0000	508.0000	279.0000	269.0000	854.0000	219.0000	837.0000	411.0000	517.0000	0.9913	0.0048	0.0034	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	9	
10	277	0.7404822111129761	278	0.7846586108207703	277.0000	278.0000	279.0000	508.0000	335.0000	411.0000	923.0000	854.0000	507.0000	269.0000	0.7405	0.1282	0.1264	0.0017	0.0015	0.0003	0.0003	0.0001	0.0001	0.0001	1	10	
11	181	0.658268928527832	278	1.4551247358322144	181.0000	133.0000	509.0000	279.0000	910.0000	651.0000	319.0000	621.0000	928.0000	471.0000	0.6583	0.1767	0.0274	0.0189	0.0119	0.0107	0.0092	0.0079	0.0072	0.0065	15	11	
12	277	0.962573230266571	278	0.231222003698349	277.0000	279.0000	278.0000	49.0000	923.0000	335.0000	538.0000	651.0000	507.0000	319.0000	0.9626	0.0173	0.0065	0.0043	0.0042	0.0009	0.0007	0.0004	0.0003	0.0003	2	12	
13	277	0.9984319806098938	278	0.012922164984047413	277.0000	278.0000	471.0000	508.0000	279.0000	854.0000	269.0000	228.0000	219.0000	411.0000	0.9984	0.0012	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	13	
14	278	0.87175053358078	278	0.38491249084472656	278.0000	277.0000	304.0000	508.0000	279.0000	689.0000	590.0000	460.0000	350.0000	657.0000	0.8718	0.1281	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	14	
15	277	0.563219428062439	278	0.9861383438110352	277.0000	278.0000	279.0000	508.0000	854.0000	471.0000	228.0000	837.0000	219.0000	689.0000	0.5632	0.3300	0.0969	0.0041	0.0014	0.0011	0.0004	0.0003	0.0002	0.0002	1	15	
16	277	0.9984496831893921	278	0.012900421395897865	277.0000	278.0000	279.0000	508.0000	689.0000	411.0000	269.0000	854.0000	471.0000	460.0000	0.9984	0.0011	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	16	
17	277	0.7950678467750549	278	0.5507848262786865	277.0000	278.0000	508.0000	279.0000	923.0000	486.0000	335.0000	269.0000	503.0000	507.0000	0.7951	0.1962	0.0060	0.0024	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	17	
18	277	0.9834731221199036	278	0.10512849688529968	277.0000	508.0000	471.0000	278.0000	279.0000	854.0000	269.0000	837.0000	771.0000	689.0000	0.9835	0.0074	0.0060	0.0024	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	3	18	
19	277	0.9936864972114563	278	0.05060333013534546	277.0000	508.0000	278.0000	507.0000	279.0000	335.0000	755.0000	503.0000	626.0000	489.0000	0.9937	0.0019	0.0016	0.0012	0.0007	0.0002	0.0001	0.0001	0.0001	0.0001	2	19	
20	277	0.992980420589447	278	0.04615982994437218	277.0000	278.0000	279.0000	508.0000	854.0000	471.0000	335.0000	206.0000	507.0000	657.0000	0.9930	0.0059	0.0008	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	20	
21	277	0.9724231362342834	278	0.12971633672714233	277.0000	278.0000	279.0000	508.0000	507.0000	471.0000	837.0000	269.0000	411.0000	689.0000	0.9724	0.0269	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	21	
22	277	0.9563630223274231	278	0.23989033699035645	277.0000	471.0000	278.0000	771.0000	923.0000	279.0000	508.0000	651.0000	335.0000	411.0000	0.9564	0.0322	0.0038	0.0012	0.0009	0.0007	0.0005	0.0004	0.0003	0.0003	2	22	
23	277	0.9963514804840088	278	0.024693211540579796	277.0000	278.0000	508.0000	335.0000	923.0000	689.0000	279.0000	503.0000	507.0000	474.0000	0.9964	0.0036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	23	
24	277	0.9174802303314209	278	0.3145924210548401	277.0000	278.0000	279.0000	508.0000	471.0000	854.0000	335.0000	226.0000	923.0000	6.0000	0.9175	0.0764	0.0039	0.0013	0.0003	0.0002	0.0001	0.0001	0.0001	0.0000	1	24	
25	277	0.5061905384063721	278	2.155707359313965	277.0000	279.0000	854.0000	923.0000	319.0000	809.0000	541.0000	181.0000	471.0000	830.0000	0.5062	0.1295	0.1111	0.0529	0.0369	0.0104	0.0097	0.0079	0.0074	0.0074	16	25	
26	277	0.8834536671638489	278	0.4323478937149048	277.0000	278.0000	508.0000	279.0000	854.0000	304.0000	689.0000	558.0000	335.0000	626.0000	0.8835	0.1009	0.0065	0.0061	0.0008	0.0003	0.0003	0.0002	0.0002	0.0001	1	26	
27	277	0.9706634879112244	278	0.14959067106246948	277.0000	471.0000	278.0000	789.0000	854.0000	335.0000	508.0000	279.0000	517.0000	489.0000	0.9707	0.0258	0.0016	0.0010	0.0003	0.0002	0.0001	0.0000	0.0000	0.0000	2	27	
28	277	0.5958948135375977	278	1.608080267906189	277.0000	279.0000	471.0000	854.0000	319.0000	809.0000	923.0000	807.0000	335.0000	133.0000	0.5959	0.1402	0.0570	0.0465	0.0457	0.0310	0.0270	0.0106	0.0063	0.0039	12	28	
29	278	0.514415442943573	278	0.7391466498374939	278.0000	277.0000	508.0000	689.0000	507.0000	945.0000	203.0000	944.0000	503.0000	269.0000	0.5144	0.4774	0.0074	0.0003	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0	29	
30	277	0.709439218044281	278	0.6182022094726562	277.0000	278.0000	508.0000	279.0000	471.0000	689.0000	541.0000	269.0000	837.0000	335.0000	0.7094	0.2882	0.0019	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	30	
31	277	0.9765796065330505	278	0.11320099234580994	277.0000	278.0000	508.0000	279.0000	471.0000	689.0000	335.0000	541.0000	269.0000	304.0000	0.9766	0.0231	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	31	
32	277	0.9787788987159729	278	0.10574590414762497	277.0000	278.0000	508.0000	279.0000	471.0000	541.0000	335.0000	269.0000	689.0000	837.0000	0.9788	0.0207	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	32	
33	277	0.9023565649986267	278	0.3256798982620239	277.0000	278.0000	508.0000	279.0000	471.0000	689.0000	269.0000	837.0000	541.0000	335.0000	0.9024	0.0968	0.0007	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	33	
34	277	0.9764106869697571	278	0.11496768891811371	277.0000	278.0000	508.0000	279.0000	471.0000	269.0000	689.0000	335.0000	541.0000	837.0000	0.9764	0.0230	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	34	
35	277	0.9888162612915039	278	0.06513944268226624	277.0000	278.0000	279.0000	508.0000	471.0000	269.0000	689.0000	541.0000	837.0000	335.0000	0.9888	0.0103	0.0007	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	35	
36	277	0.9861218333244324	278	0.07753880321979523	277.0000	278.0000	279.0000	508.0000	471.0000	689.0000	269.0000	541.0000	335.0000	923.0000	0.9861	0.0129	0.0007	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	36	
37	277	0.9765123128890991	278	0.11679734289646149	277.0000	278.0000	279.0000	508.0000	471.0000	269.0000	541.0000	335.0000	923.0000	689.0000	0.9765	0.0224	0.0006	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	37	
38	277	0.9756056070327759	278	0.11776851862668991	277.0000	278.0000	508.0000	279.0000	471.0000	269.0000	541.0000	689.0000	700.0000	335.0000	0.9756	0.0239	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	38	
39	277	0.988297164440155	278	0.06575049459934235	277.0000	278.0000	279.0000	508.0000	471.0000	269.0000	541.0000	689.0000	335.0000	837.0000	0.9883	0.0113	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	39	
40	277	0.9461048245429993	278	0.21573466062545776	277.0000	278.0000	279.0000	508.0000	471.0000	269.0000	335.0000	689.0000	541.0000	771.0000	0.9461	0.0529	0.0005	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	40	
41	277	0.9710071086883545	278	0.13429558277130127	277.0000	278.0000	508.0000	279.0000	471.0000	269.0000	335.0000	689.0000	541.0000	837.0000	0.9710	0.0285	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	41	
42	277	0.9902490973472595	278	0.05743330717086792	277.0000	278.0000	279.0000	508.0000	471.0000	335.0000	269.0000	923.0000	689.0000	700.0000	0.9902	0.0092	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	42	
43	277	0.9652205109596252	278	0.15545490384101868	277.0000	278.0000	508.0000	279.0000	471.0000	335.0000	269.0000	923.0000	689.0000	541.0000	0.9652	0.0340	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	43	
44	277	0.991131603717804	278	0.05522961914539337	277.0000	278.0000	279.0000	508.0000	471.0000	335.0000	700.0000	923.0000	269.0000	689.0000	0.9911	0.0078	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	44	
45	277	0.9799584746360779	278	0.10490705072879791	277.0000	278.0000	279.0000	508.0000	471.0000	269.0000	335.0000	854.0000	923.0000	689.0000	0.9800	0.0185	0.0008	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	45	
46	277	0.9636086225509644	278	0.16005071997642517	277.0000	278.0000	508.0000	279.0000	471.0000	269.0000	335.0000	923.0000	411.0000	541.0000	0.9636	0.0358	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	46	
