	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	817	0.139439657330513	290	3.4175610542297363	817.0000	538.0000	364.0000	442.0000	157.0000	912.0000	340.0000	658.0000	140.0000	650.0000	0.1394	0.1322	0.1234	0.1130	0.0548	0.0354	0.0336	0.0310	0.0205	0.0188	36	0	
1	441	0.15824958682060242	290	3.4089736938476562	441.0000	538.0000	364.0000	340.0000	71.0000	442.0000	339.0000	560.0000	38.0000	96.0000	0.1582	0.1164	0.0990	0.0947	0.0533	0.0460	0.0448	0.0349	0.0310	0.0231	33	0	
2	582	0.0665031149983406	290	5.518892288208008	582.0000	626.0000	297.0000	282.0000	75.0000	844.0000	239.0000	264.0000	532.0000	0.0000	0.0665	0.0344	0.0287	0.0258	0.0184	0.0182	0.0178	0.0172	0.0168	0.0156	81	0	
3	580	0.1412792056798935	290	4.146704196929932	580.0000	515.0000	832.0000	364.0000	658.0000	142.0000	226.0000	335.0000	494.0000	441.0000	0.1413	0.0958	0.0829	0.0520	0.0494	0.0430	0.0392	0.0314	0.0204	0.0185	41	0	
4	38	0.31331130862236023	290	3.018048048019409	38.0000	335.0000	658.0000	364.0000	384.0000	226.0000	157.0000	486.0000	870.0000	853.0000	0.3133	0.1456	0.0905	0.0602	0.0431	0.0415	0.0150	0.0139	0.0121	0.0115	62	0	
5	226	0.14194442331790924	290	4.150813102722168	226.0000	364.0000	38.0000	141.0000	485.0000	494.0000	442.0000	658.0000	487.0000	651.0000	0.1419	0.1410	0.0834	0.0387	0.0310	0.0263	0.0220	0.0192	0.0166	0.0163	21	0	
6	38	0.13061881065368652	290	4.767596244812012	38.0000	364.0000	442.0000	617.0000	157.0000	538.0000	2.0000	335.0000	923.0000	71.0000	0.1306	0.0625	0.0429	0.0381	0.0292	0.0202	0.0197	0.0189	0.0187	0.0147	30	0	
7	38	0.13111671805381775	290	4.492023468017578	38.0000	364.0000	442.0000	538.0000	157.0000	617.0000	2.0000	127.0000	340.0000	71.0000	0.1311	0.0714	0.0687	0.0422	0.0381	0.0285	0.0197	0.0190	0.0180	0.0174	28	0	
8	160	0.1682146042585373	290	4.029778957366943	160.0000	264.0000	626.0000	782.0000	789.0000	75.0000	582.0000	235.0000	239.0000	724.0000	0.1682	0.1032	0.0622	0.0514	0.0418	0.0329	0.0281	0.0246	0.0238	0.0200	108	0	
9	38	0.11872146278619766	290	4.395416259765625	38.0000	364.0000	226.0000	485.0000	141.0000	494.0000	442.0000	651.0000	487.0000	658.0000	0.1187	0.1186	0.0857	0.0463	0.0269	0.0234	0.0195	0.0169	0.0168	0.0153	22	0	
