	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	621	0.16732309758663177	295	4.4892072677612305	621.0000	626.0000	346.0000	467.0000	304.0000	698.0000	190.0000	141.0000	483.0000	910.0000	0.1673	0.0753	0.0584	0.0553	0.0357	0.0348	0.0213	0.0155	0.0148	0.0138	32	0	
1	626	0.07925257086753845	295	5.387864589691162	626.0000	483.0000	346.0000	190.0000	621.0000	521.0000	467.0000	797.0000	854.0000	748.0000	0.0793	0.0597	0.0292	0.0229	0.0182	0.0157	0.0155	0.0154	0.0146	0.0146	154	0	
2	910	0.06431309878826141	295	5.022170543670654	910.0000	811.0000	285.0000	670.0000	621.0000	503.0000	304.0000	584.0000	483.0000	521.0000	0.0643	0.0424	0.0377	0.0371	0.0363	0.0298	0.0289	0.0273	0.0245	0.0245	40	0	
3	346	0.08099290728569031	295	5.079909801483154	346.0000	626.0000	441.0000	282.0000	141.0000	621.0000	483.0000	558.0000	304.0000	698.0000	0.0810	0.0641	0.0432	0.0396	0.0289	0.0223	0.0216	0.0207	0.0206	0.0202	122	0	
4	786	0.1817614585161209	295	3.8093862533569336	786.0000	910.0000	621.0000	190.0000	869.0000	568.0000	467.0000	657.0000	578.0000	346.0000	0.1818	0.1513	0.0968	0.0509	0.0446	0.0426	0.0319	0.0193	0.0190	0.0153	11	1	
5	910	0.30802401900291443	295	3.10597562789917	910.0000	786.0000	568.0000	657.0000	578.0000	869.0000	626.0000	288.0000	289.0000	621.0000	0.3080	0.2180	0.0751	0.0472	0.0258	0.0199	0.0188	0.0187	0.0180	0.0111	13	1	
6	910	0.2757570147514343	295	3.3135647773742676	910.0000	786.0000	568.0000	657.0000	578.0000	621.0000	288.0000	869.0000	289.0000	190.0000	0.2758	0.1956	0.0710	0.0628	0.0317	0.0268	0.0166	0.0154	0.0132	0.0123	10	1	
7	910	0.058154404163360596	295	5.336806297302246	910.0000	346.0000	854.0000	96.0000	621.0000	626.0000	786.0000	657.0000	568.0000	869.0000	0.0582	0.0500	0.0448	0.0304	0.0286	0.0286	0.0234	0.0197	0.0167	0.0156	44	1	
8	363	0.48218223452568054	295	2.429882526397705	363.0000	869.0000	467.0000	786.0000	819.0000	510.0000	295.0000	766.0000	305.0000	621.0000	0.4822	0.1163	0.0564	0.0539	0.0383	0.0229	0.0226	0.0175	0.0140	0.0124	6	2	
9	363	0.4225344955921173	295	2.0494911670684814	363.0000	786.0000	710.0000	931.0000	690.0000	869.0000	910.0000	295.0000	738.0000	819.0000	0.4225	0.3123	0.0638	0.0296	0.0201	0.0099	0.0096	0.0089	0.0079	0.0062	7	2	
10	363	0.8555215001106262	295	0.8642962574958801	363.0000	786.0000	710.0000	738.0000	931.0000	285.0000	295.0000	910.0000	876.0000	869.0000	0.8555	0.0391	0.0168	0.0155	0.0090	0.0086	0.0049	0.0039	0.0036	0.0025	6	2	
11	583	0.13889527320861816	295	4.4405517578125	583.0000	690.0000	363.0000	471.0000	412.0000	584.0000	326.0000	37.0000	795.0000	710.0000	0.1389	0.0522	0.0505	0.0496	0.0368	0.0299	0.0296	0.0283	0.0235	0.0223	37	2	
12	363	0.6314908266067505	295	1.676255464553833	363.0000	786.0000	869.0000	578.0000	369.0000	681.0000	690.0000	201.0000	431.0000	811.0000	0.6315	0.1206	0.0504	0.0399	0.0268	0.0200	0.0146	0.0128	0.0072	0.0065	15	3	
13	201	0.20913514494895935	295	3.562028408050537	201.0000	285.0000	710.0000	369.0000	924.0000	811.0000	130.0000	320.0000	363.0000	786.0000	0.2091	0.1852	0.0421	0.0378	0.0316	0.0297	0.0293	0.0293	0.0290	0.0265	190	3	
14	320	0.23909977078437805	295	3.5450353622436523	320.0000	201.0000	285.0000	363.0000	789.0000	543.0000	811.0000	710.0000	786.0000	347.0000	0.2391	0.0935	0.0820	0.0476	0.0420	0.0385	0.0331	0.0321	0.0281	0.0227	86	3	
15	304	0.03858190029859543	295	5.470590591430664	304.0000	854.0000	201.0000	789.0000	331.0000	690.0000	130.0000	657.0000	811.0000	369.0000	0.0386	0.0385	0.0347	0.0304	0.0272	0.0233	0.0218	0.0214	0.0185	0.0180	361	3	
