	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	834	0.45592254400253296	298	2.2364020347595215	834.0000	395.0000	298.0000	299.0000	687.0000	143.0000	144.0000	762.0000	701.0000	683.0000	0.4559	0.1306	0.0899	0.0896	0.0330	0.0215	0.0184	0.0158	0.0118	0.0113	2	0	
1	834	0.602725088596344	298	1.489339828491211	834.0000	54.0000	298.0000	347.0000	299.0000	63.0000	143.0000	470.0000	762.0000	231.0000	0.6027	0.1693	0.1299	0.0159	0.0100	0.0076	0.0069	0.0060	0.0046	0.0037	2	0	
2	834	0.807251513004303	298	0.8647423982620239	834.0000	298.0000	54.0000	299.0000	347.0000	231.0000	143.0000	63.0000	683.0000	762.0000	0.8073	0.1189	0.0219	0.0085	0.0066	0.0035	0.0031	0.0023	0.0022	0.0019	1	0	
3	834	0.7618143558502197	298	0.9797443151473999	834.0000	299.0000	298.0000	54.0000	687.0000	762.0000	395.0000	347.0000	231.0000	644.0000	0.7618	0.1516	0.0202	0.0185	0.0082	0.0049	0.0034	0.0028	0.0022	0.0019	2	0	
4	834	0.6172153949737549	298	1.3125154972076416	834.0000	298.0000	54.0000	299.0000	63.0000	143.0000	231.0000	347.0000	762.0000	74.0000	0.6172	0.1977	0.1046	0.0267	0.0092	0.0062	0.0052	0.0047	0.0031	0.0017	1	0	
5	834	0.8315549492835999	298	0.6461338996887207	834.0000	298.0000	347.0000	54.0000	231.0000	299.0000	734.0000	143.0000	205.0000	8.0000	0.8316	0.1318	0.0149	0.0065	0.0018	0.0016	0.0010	0.0007	0.0006	0.0005	1	0	
6	834	0.6944151520729065	298	1.4639055728912354	834.0000	299.0000	762.0000	298.0000	54.0000	687.0000	347.0000	395.0000	63.0000	470.0000	0.6944	0.1119	0.0328	0.0325	0.0253	0.0100	0.0093	0.0070	0.0064	0.0053	3	0	
7	834	0.415391206741333	298	1.7112339735031128	834.0000	298.0000	143.0000	54.0000	347.0000	231.0000	205.0000	395.0000	3.0000	683.0000	0.4154	0.3102	0.1101	0.0735	0.0299	0.0064	0.0048	0.0033	0.0028	0.0027	1	0	
8	54	0.5663343071937561	298	1.4316480159759521	54.0000	834.0000	298.0000	299.0000	762.0000	423.0000	347.0000	143.0000	470.0000	824.0000	0.5663	0.2957	0.0302	0.0208	0.0199	0.0071	0.0043	0.0032	0.0032	0.0028	2	0	
9	54	0.742895781993866	298	1.5752379894256592	54.0000	762.0000	143.0000	834.0000	298.0000	423.0000	299.0000	470.0000	96.0000	63.0000	0.7429	0.0335	0.0313	0.0263	0.0204	0.0175	0.0105	0.0070	0.0054	0.0051	4	0	
10	834	0.8193374872207642	298	0.8057788014411926	834.0000	298.0000	54.0000	299.0000	347.0000	143.0000	762.0000	470.0000	231.0000	395.0000	0.8193	0.1083	0.0298	0.0094	0.0044	0.0025	0.0024	0.0020	0.0020	0.0019	1	0	
11	762	0.28518441319465637	298	2.7278807163238525	762.0000	834.0000	298.0000	395.0000	687.0000	644.0000	299.0000	231.0000	423.0000	301.0000	0.2852	0.1613	0.0997	0.0849	0.0672	0.0665	0.0466	0.0245	0.0167	0.0089	2	0	
12	834	0.45214182138442993	298	1.513730525970459	834.0000	54.0000	298.0000	143.0000	299.0000	144.0000	395.0000	231.0000	63.0000	347.0000	0.4521	0.2355	0.2189	0.0297	0.0200	0.0072	0.0052	0.0041	0.0038	0.0032	2	0	
13	834	0.4170626401901245	298	1.5884361267089844	834.0000	298.0000	395.0000	143.0000	231.0000	683.0000	687.0000	299.0000	762.0000	644.0000	0.4171	0.4152	0.0374	0.0239	0.0140	0.0110	0.0082	0.0074	0.0062	0.0042	1	0	
14	834	0.2505304515361786	298	2.5472311973571777	834.0000	762.0000	54.0000	298.0000	423.0000	143.0000	299.0000	395.0000	347.0000	63.0000	0.2505	0.1831	0.1579	0.0805	0.0751	0.0497	0.0346	0.0269	0.0133	0.0126	3	0	
15	834	0.837474524974823	298	0.819907546043396	834.0000	299.0000	54.0000	298.0000	364.0000	143.0000	347.0000	684.0000	824.0000	470.0000	0.8375	0.0811	0.0237	0.0154	0.0054	0.0032	0.0029	0.0026	0.0024	0.0024	3	0	
16	834	0.6819250583648682	298	1.3192040920257568	834.0000	298.0000	299.0000	395.0000	687.0000	347.0000	231.0000	683.0000	54.0000	644.0000	0.6819	0.1356	0.0716	0.0237	0.0178	0.0115	0.0077	0.0057	0.0049	0.0048	1	0	
17	834	0.5321198105812073	298	1.3914885520935059	834.0000	54.0000	298.0000	299.0000	347.0000	143.0000	423.0000	470.0000	395.0000	762.0000	0.5321	0.3027	0.0924	0.0087	0.0084	0.0070	0.0054	0.0045	0.0035	0.0027	2	0	
18	834	0.3292369544506073	298	2.5642600059509277	834.0000	298.0000	54.0000	299.0000	143.0000	231.0000	762.0000	63.0000	684.0000	347.0000	0.3292	0.1670	0.1363	0.1107	0.0323	0.0257	0.0241	0.0196	0.0110	0.0098	1	0	
19	54	0.4202881157398224	298	2.7763423919677734	54.0000	143.0000	299.0000	834.0000	298.0000	762.0000	144.0000	63.0000	470.0000	423.0000	0.4203	0.1282	0.0655	0.0622	0.0462	0.0249	0.0207	0.0145	0.0142	0.0097	4	0	
20	834	0.8516280651092529	298	0.6403744220733643	834.0000	299.0000	298.0000	54.0000	347.0000	687.0000	231.0000	683.0000	684.0000	143.0000	0.8516	0.1070	0.0158	0.0027	0.0025	0.0017	0.0015	0.0012	0.0012	0.0010	2	0	
