	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	499	0.4330895245075226	299	3.3027780055999756	499.0000	96.0000	692.0000	122.0000	701.0000	575.0000	54.0000	299.0000	15.0000	353.0000	0.4331	0.0305	0.0291	0.0291	0.0288	0.0240	0.0226	0.0190	0.0190	0.0171	7	0	
1	299	0.2019326388835907	299	3.823517322540283	299.0000	627.0000	15.0000	499.0000	515.0000	683.0000	762.0000	353.0000	575.0000	54.0000	0.2019	0.0782	0.0628	0.0461	0.0456	0.0456	0.0282	0.0280	0.0212	0.0209	0	0	
2	299	0.6347790956497192	299	1.672932744026184	299.0000	834.0000	298.0000	824.0000	347.0000	684.0000	692.0000	627.0000	644.0000	13.0000	0.6348	0.0788	0.0722	0.0610	0.0280	0.0161	0.0148	0.0119	0.0094	0.0080	0	0	
3	54	0.5142883658409119	299	1.9821231365203857	54.0000	515.0000	499.0000	833.0000	762.0000	96.0000	853.0000	15.0000	60.0000	133.0000	0.5143	0.1455	0.1114	0.0702	0.0160	0.0110	0.0100	0.0094	0.0090	0.0078	10	1	
4	515	0.6595168709754944	299	1.7744544744491577	515.0000	833.0000	54.0000	235.0000	762.0000	840.0000	301.0000	299.0000	541.0000	687.0000	0.6595	0.0653	0.0488	0.0320	0.0308	0.0202	0.0175	0.0093	0.0087	0.0070	7	1	
5	299	0.9725546836853027	299	0.20457430183887482	299.0000	834.0000	13.0000	54.0000	684.0000	687.0000	20.0000	499.0000	737.0000	235.0000	0.9726	0.0065	0.0061	0.0025	0.0016	0.0013	0.0009	0.0007	0.0007	0.0007	0	1	
6	833	0.3980841636657715	299	2.8380651473999023	833.0000	15.0000	861.0000	683.0000	122.0000	375.0000	515.0000	470.0000	680.0000	499.0000	0.3981	0.0824	0.0507	0.0436	0.0420	0.0350	0.0279	0.0220	0.0217	0.0215	46	2	
7	683	0.3474930226802826	299	2.364922523498535	683.0000	833.0000	861.0000	15.0000	470.0000	54.0000	122.0000	692.0000	943.0000	375.0000	0.3475	0.2128	0.0842	0.0687	0.0535	0.0466	0.0344	0.0125	0.0118	0.0109	32	2	
8	692	0.38246390223503113	299	1.847214698791504	692.0000	834.0000	299.0000	861.0000	684.0000	231.0000	687.0000	833.0000	840.0000	13.0000	0.3825	0.2899	0.1450	0.0362	0.0228	0.0185	0.0124	0.0124	0.0122	0.0118	2	2	
9	853	0.21086485683918	299	2.911465644836426	853.0000	3.0000	680.0000	861.0000	515.0000	54.0000	833.0000	96.0000	692.0000	98.0000	0.2109	0.1252	0.1068	0.0895	0.0837	0.0662	0.0606	0.0350	0.0207	0.0186	28	3	
