	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	627	0.1966097503900528	301	3.613434314727783	627.0000	861.0000	525.0000	584.0000	513.0000	395.0000	222.0000	884.0000	470.0000	357.0000	0.1966	0.1636	0.0761	0.0598	0.0524	0.0341	0.0331	0.0256	0.0133	0.0126	11	0	
1	301	0.20768776535987854	301	3.7898144721984863	301.0000	515.0000	395.0000	644.0000	840.0000	467.0000	525.0000	701.0000	323.0000	782.0000	0.2077	0.0914	0.0614	0.0492	0.0452	0.0438	0.0417	0.0341	0.0325	0.0286	0	0	
2	395	0.1255550980567932	301	4.470823287963867	395.0000	301.0000	98.0000	832.0000	884.0000	525.0000	513.0000	861.0000	467.0000	785.0000	0.1256	0.1012	0.0480	0.0419	0.0391	0.0386	0.0325	0.0244	0.0200	0.0194	1	0	
3	515	0.1372373253107071	301	4.049247741699219	515.0000	301.0000	467.0000	190.0000	644.0000	687.0000	782.0000	323.0000	627.0000	525.0000	0.1372	0.0857	0.0783	0.0589	0.0450	0.0435	0.0425	0.0400	0.0289	0.0206	1	0	
4	301	0.2902697026729584	301	3.0781044960021973	301.0000	395.0000	840.0000	701.0000	467.0000	644.0000	525.0000	645.0000	323.0000	513.0000	0.2903	0.2216	0.0645	0.0583	0.0235	0.0220	0.0192	0.0175	0.0141	0.0138	0	0	
5	840	0.08213166892528534	301	4.619708061218262	840.0000	884.0000	521.0000	645.0000	232.0000	716.0000	301.0000	515.0000	900.0000	476.0000	0.0821	0.0795	0.0693	0.0498	0.0330	0.0304	0.0294	0.0255	0.0238	0.0235	6	1	
6	644	0.14714644849300385	301	3.08322811126709	644.0000	911.0000	160.0000	467.0000	782.0000	840.0000	47.0000	92.0000	333.0000	323.0000	0.1471	0.1459	0.1204	0.0896	0.0643	0.0531	0.0456	0.0343	0.0292	0.0270	19	1	
7	273	0.18997050821781158	301	4.298140048980713	273.0000	590.0000	674.0000	681.0000	47.0000	489.0000	426.0000	312.0000	44.0000	295.0000	0.1900	0.0605	0.0496	0.0380	0.0355	0.0310	0.0252	0.0241	0.0228	0.0213	70	1	
8	782	0.19939425587654114	301	3.882208824157715	782.0000	160.0000	590.0000	911.0000	273.0000	92.0000	942.0000	674.0000	235.0000	840.0000	0.1994	0.1026	0.0610	0.0387	0.0328	0.0318	0.0293	0.0278	0.0260	0.0246	31	1	
9	47	0.5236700773239136	301	2.9726758003234863	47.0000	104.0000	674.0000	930.0000	160.0000	707.0000	301.0000	637.0000	323.0000	390.0000	0.5237	0.0245	0.0212	0.0194	0.0177	0.0170	0.0154	0.0151	0.0118	0.0112	6	1	
10	833	0.09382227063179016	301	4.540602207183838	833.0000	645.0000	515.0000	861.0000	874.0000	291.0000	301.0000	602.0000	924.0000	282.0000	0.0938	0.0454	0.0380	0.0377	0.0367	0.0350	0.0305	0.0287	0.0241	0.0237	6	2	
11	782	0.4361988306045532	301	2.2070670127868652	782.0000	301.0000	644.0000	235.0000	142.0000	336.0000	75.0000	514.0000	160.0000	588.0000	0.4362	0.2387	0.0389	0.0329	0.0269	0.0232	0.0211	0.0210	0.0166	0.0166	1	2	
12	301	0.3496077358722687	301	3.4955384731292725	301.0000	534.0000	782.0000	644.0000	525.0000	510.0000	884.0000	942.0000	336.0000	840.0000	0.3496	0.0935	0.0814	0.0263	0.0240	0.0175	0.0168	0.0157	0.0109	0.0107	0	2	
13	782	0.6293889880180359	301	1.7936019897460938	782.0000	515.0000	301.0000	588.0000	235.0000	644.0000	840.0000	942.0000	142.0000	514.0000	0.6294	0.0734	0.0569	0.0372	0.0325	0.0236	0.0217	0.0134	0.0102	0.0100	2	2	
14	301	0.8462088704109192	301	1.0655500888824463	301.0000	534.0000	297.0000	644.0000	525.0000	536.0000	701.0000	727.0000	515.0000	942.0000	0.8462	0.0367	0.0100	0.0077	0.0050	0.0042	0.0042	0.0037	0.0036	0.0026	0	2	
15	301	0.2660939693450928	301	3.053269624710083	301.0000	584.0000	93.0000	515.0000	861.0000	291.0000	534.0000	645.0000	646.0000	672.0000	0.2661	0.1246	0.1091	0.0526	0.0494	0.0446	0.0430	0.0301	0.0287	0.0197	0	3	
16	301	0.731907844543457	301	1.4933559894561768	301.0000	515.0000	77.0000	930.0000	840.0000	588.0000	142.0000	235.0000	246.0000	249.0000	0.7319	0.0837	0.0232	0.0181	0.0166	0.0084	0.0082	0.0077	0.0073	0.0067	0	3	
17	301	0.1560976356267929	301	3.7593507766723633	301.0000	515.0000	104.0000	431.0000	633.0000	44.0000	942.0000	330.0000	534.0000	426.0000	0.1561	0.1131	0.1013	0.0649	0.0597	0.0432	0.0359	0.0232	0.0201	0.0178	0	3	
18	515	0.5240898132324219	301	1.8216030597686768	515.0000	301.0000	467.0000	840.0000	588.0000	942.0000	235.0000	692.0000	142.0000	323.0000	0.5241	0.2525	0.0435	0.0247	0.0155	0.0155	0.0123	0.0093	0.0063	0.0055	1	3	
19	301	0.8869464993476868	301	0.6568703055381775	301.0000	515.0000	77.0000	644.0000	249.0000	825.0000	930.0000	588.0000	240.0000	534.0000	0.8869	0.0410	0.0173	0.0138	0.0053	0.0049	0.0030	0.0020	0.0014	0.0013	0	3	
20	347	0.12562014162540436	301	3.849696636199951	347.0000	534.0000	744.0000	576.0000	282.0000	222.0000	602.0000	521.0000	861.0000	0.0000	0.1256	0.0961	0.0897	0.0705	0.0570	0.0400	0.0363	0.0334	0.0305	0.0275	13	4	
21	336	0.26253437995910645	301	2.7274839878082275	336.0000	782.0000	588.0000	235.0000	930.0000	712.0000	246.0000	301.0000	77.0000	840.0000	0.2625	0.1750	0.1138	0.0948	0.0521	0.0277	0.0256	0.0247	0.0175	0.0172	7	4	
22	782	0.20205876231193542	301	3.546024799346924	782.0000	189.0000	930.0000	431.0000	301.0000	363.0000	634.0000	545.0000	578.0000	660.0000	0.2021	0.1412	0.0651	0.0442	0.0413	0.0382	0.0291	0.0287	0.0279	0.0278	4	4	
23	301	0.17550630867481232	301	3.2237753868103027	301.0000	782.0000	75.0000	77.0000	333.0000	588.0000	644.0000	189.0000	235.0000	200.0000	0.1755	0.1699	0.0859	0.0745	0.0571	0.0557	0.0392	0.0314	0.0303	0.0164	0	4	
24	301	0.4392549395561218	301	2.7612202167510986	301.0000	930.0000	47.0000	782.0000	644.0000	336.0000	77.0000	534.0000	75.0000	840.0000	0.4393	0.0681	0.0617	0.0561	0.0558	0.0386	0.0173	0.0163	0.0135	0.0123	0	4	
25	627	0.10933880507946014	301	4.231922149658203	627.0000	515.0000	646.0000	0.0000	521.0000	591.0000	282.0000	727.0000	942.0000	534.0000	0.1093	0.0905	0.0565	0.0470	0.0358	0.0308	0.0305	0.0287	0.0265	0.0257	19	5	
26	301	0.4102745056152344	301	1.6148838996887207	301.0000	515.0000	782.0000	160.0000	200.0000	930.0000	534.0000	546.0000	588.0000	942.0000	0.4103	0.3907	0.0311	0.0291	0.0254	0.0210	0.0137	0.0126	0.0111	0.0092	0	5	
27	301	0.5192906260490417	301	1.9431126117706299	301.0000	515.0000	200.0000	782.0000	264.0000	128.0000	77.0000	588.0000	240.0000	930.0000	0.5193	0.1767	0.0782	0.0541	0.0248	0.0152	0.0103	0.0101	0.0090	0.0074	0	5	
28	515	0.43888387084007263	301	2.228057861328125	515.0000	782.0000	301.0000	588.0000	77.0000	627.0000	840.0000	235.0000	190.0000	336.0000	0.4389	0.1792	0.1022	0.0560	0.0374	0.0205	0.0178	0.0089	0.0085	0.0079	2	5	
29	301	0.5884155035018921	301	1.6947691440582275	301.0000	515.0000	534.0000	546.0000	930.0000	423.0000	588.0000	336.0000	591.0000	883.0000	0.5884	0.1781	0.0960	0.0169	0.0095	0.0051	0.0049	0.0043	0.0042	0.0041	0	5	
