	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.27711328864097595	304	3.862489938735962	285.0000	191.0000	340.0000	807.0000	157.0000	558.0000	441.0000	538.0000	364.0000	49.0000	0.2771	0.1139	0.0899	0.0210	0.0183	0.0164	0.0145	0.0133	0.0120	0.0110	27	0	
1	285	0.5500063300132751	304	1.570265769958496	285.0000	273.0000	944.0000	329.0000	503.0000	945.0000	51.0000	312.0000	520.0000	476.0000	0.5500	0.2665	0.0448	0.0236	0.0229	0.0099	0.0096	0.0086	0.0070	0.0034	173	1	
2	507	0.29663416743278503	304	2.7622177600860596	507.0000	811.0000	755.0000	670.0000	945.0000	510.0000	137.0000	738.0000	285.0000	247.0000	0.2966	0.1692	0.0987	0.0923	0.0423	0.0406	0.0298	0.0263	0.0255	0.0181	85	2	
3	329	0.21417054533958435	304	3.394296169281006	329.0000	811.0000	854.0000	58.0000	700.0000	53.0000	441.0000	247.0000	4.0000	57.0000	0.2142	0.1262	0.0786	0.0747	0.0638	0.0605	0.0351	0.0220	0.0212	0.0147	25	3	
4	489	0.19340896606445312	304	3.2487945556640625	489.0000	137.0000	273.0000	755.0000	165.0000	510.0000	811.0000	503.0000	364.0000	507.0000	0.1934	0.1575	0.1044	0.0709	0.0575	0.0565	0.0498	0.0195	0.0195	0.0192	50	4	
5	441	0.33348989486694336	304	2.6686410903930664	441.0000	247.0000	340.0000	191.0000	811.0000	626.0000	558.0000	319.0000	748.0000	57.0000	0.3335	0.1397	0.0927	0.0793	0.0718	0.0283	0.0282	0.0258	0.0249	0.0234	22	5	
6	340	0.8701857328414917	304	0.6302738189697266	340.0000	285.0000	854.0000	811.0000	319.0000	441.0000	51.0000	719.0000	558.0000	208.0000	0.8702	0.0797	0.0114	0.0097	0.0062	0.0026	0.0015	0.0014	0.0013	0.0012	82	6	
7	811	0.6802672743797302	304	1.4210410118103027	811.0000	137.0000	285.0000	247.0000	57.0000	304.0000	191.0000	626.0000	130.0000	748.0000	0.6803	0.1001	0.0506	0.0475	0.0324	0.0170	0.0105	0.0057	0.0055	0.0050	5	7	
8	807	0.2303960770368576	304	3.297243595123291	807.0000	811.0000	247.0000	520.0000	441.0000	442.0000	49.0000	524.0000	476.0000	528.0000	0.2304	0.1602	0.1481	0.0299	0.0239	0.0180	0.0169	0.0156	0.0154	0.0153	91	8	
9	854	0.34794533252716064	304	2.416092872619629	854.0000	278.0000	811.0000	277.0000	279.0000	837.0000	53.0000	247.0000	285.0000	471.0000	0.3479	0.2842	0.0516	0.0428	0.0355	0.0304	0.0266	0.0180	0.0171	0.0102	55	9	
10	278	0.3492412269115448	304	2.468442678451538	278.0000	247.0000	304.0000	226.0000	137.0000	285.0000	279.0000	508.0000	748.0000	811.0000	0.3492	0.1351	0.0740	0.0733	0.0717	0.0645	0.0493	0.0383	0.0163	0.0157	2	10	
11	226	0.31159234046936035	304	1.712357521057129	226.0000	811.0000	285.0000	191.0000	137.0000	304.0000	503.0000	738.0000	165.0000	307.0000	0.3116	0.2630	0.2480	0.0870	0.0402	0.0104	0.0051	0.0042	0.0040	0.0037	5	11	
12	191	0.6590312123298645	304	1.781581163406372	191.0000	137.0000	945.0000	307.0000	510.0000	807.0000	226.0000	452.0000	503.0000	738.0000	0.6590	0.0675	0.0323	0.0301	0.0226	0.0201	0.0201	0.0139	0.0125	0.0110	24	12	
13	441	0.30749186873435974	304	2.869750499725342	441.0000	558.0000	811.0000	340.0000	476.0000	49.0000	854.0000	754.0000	319.0000	181.0000	0.3075	0.2357	0.0670	0.0625	0.0359	0.0211	0.0152	0.0143	0.0128	0.0113	113	13	
14	285	0.32828855514526367	304	2.556365489959717	285.0000	181.0000	809.0000	57.0000	247.0000	137.0000	854.0000	307.0000	807.0000	738.0000	0.3283	0.2327	0.0674	0.0619	0.0392	0.0306	0.0267	0.0208	0.0182	0.0166	22	14	
15	137	0.32965219020843506	304	2.4057915210723877	137.0000	191.0000	748.0000	503.0000	307.0000	811.0000	807.0000	304.0000	589.0000	53.0000	0.3297	0.2014	0.0722	0.0674	0.0629	0.0608	0.0309	0.0245	0.0218	0.0192	7	15	
16	503	0.3840468227863312	304	2.4909377098083496	503.0000	307.0000	489.0000	865.0000	811.0000	58.0000	329.0000	53.0000	700.0000	940.0000	0.3840	0.1691	0.0761	0.0611	0.0543	0.0365	0.0181	0.0164	0.0152	0.0121	27	16	
17	165	0.1783926635980606	304	3.1556782722473145	165.0000	307.0000	755.0000	247.0000	137.0000	935.0000	738.0000	510.0000	312.0000	232.0000	0.1784	0.1509	0.0864	0.0743	0.0725	0.0411	0.0398	0.0398	0.0332	0.0317	16	17	
18	307	0.11308781802654266	304	3.8166584968566895	307.0000	520.0000	329.0000	940.0000	503.0000	700.0000	661.0000	273.0000	58.0000	312.0000	0.1131	0.0778	0.0635	0.0570	0.0507	0.0433	0.0432	0.0362	0.0328	0.0327	40	18	
19	854	0.16978465020656586	304	3.0822994709014893	854.0000	626.0000	247.0000	285.0000	429.0000	137.0000	57.0000	208.0000	627.0000	130.0000	0.1698	0.1448	0.1324	0.1101	0.0886	0.0415	0.0363	0.0290	0.0275	0.0186	23	19	
