	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	45	0.18357747793197632	315	4.04379415512085	45.0000	436.0000	282.0000	111.0000	315.0000	371.0000	789.0000	819.0000	582.0000	153.0000	0.1836	0.0968	0.0676	0.0646	0.0411	0.0332	0.0266	0.0220	0.0214	0.0182	4	0	
1	45	0.18357747793197632	315	4.04379415512085	45.0000	436.0000	282.0000	111.0000	315.0000	371.0000	789.0000	819.0000	582.0000	153.0000	0.1836	0.0968	0.0676	0.0646	0.0411	0.0332	0.0266	0.0220	0.0214	0.0182	4	0	
2	783	0.18827296793460846	315	4.5476484298706055	783.0000	38.0000	582.0000	166.0000	575.0000	153.0000	617.0000	893.0000	484.0000	465.0000	0.1883	0.1253	0.0435	0.0399	0.0241	0.0211	0.0147	0.0140	0.0130	0.0123	41	0	
3	436	0.2359199821949005	315	3.7626795768737793	436.0000	893.0000	582.0000	111.0000	492.0000	575.0000	315.0000	75.0000	153.0000	726.0000	0.2359	0.1235	0.0582	0.0561	0.0546	0.0338	0.0305	0.0285	0.0227	0.0176	6	0	
4	436	0.14177359640598297	315	3.9729552268981934	436.0000	45.0000	282.0000	111.0000	582.0000	315.0000	776.0000	789.0000	819.0000	893.0000	0.1418	0.1350	0.0720	0.0610	0.0410	0.0384	0.0270	0.0206	0.0205	0.0196	5	0	
5	783	0.16028307378292084	315	5.324995994567871	783.0000	98.0000	627.0000	80.0000	662.0000	626.0000	698.0000	81.0000	87.0000	515.0000	0.1603	0.0317	0.0239	0.0211	0.0177	0.0163	0.0159	0.0130	0.0113	0.0101	106	0	
6	436	0.18879902362823486	315	3.7592384815216064	436.0000	893.0000	111.0000	492.0000	582.0000	575.0000	153.0000	315.0000	75.0000	776.0000	0.1888	0.1014	0.0924	0.0678	0.0589	0.0559	0.0399	0.0357	0.0222	0.0141	7	0	
7	111	0.5681837201118469	315	1.9441783428192139	111.0000	436.0000	893.0000	647.0000	407.0000	540.0000	45.0000	85.0000	726.0000	315.0000	0.5682	0.1359	0.0669	0.0391	0.0269	0.0196	0.0168	0.0105	0.0091	0.0082	9	1	
8	111	0.5681837201118469	315	1.9441784620285034	111.0000	436.0000	893.0000	647.0000	407.0000	540.0000	45.0000	85.0000	726.0000	315.0000	0.5682	0.1359	0.0669	0.0391	0.0269	0.0196	0.0168	0.0105	0.0091	0.0082	9	1	
9	844	0.18202152848243713	315	3.568216323852539	844.0000	893.0000	45.0000	282.0000	627.0000	239.0000	582.0000	643.0000	315.0000	213.0000	0.1820	0.1668	0.1284	0.0474	0.0455	0.0309	0.0287	0.0192	0.0155	0.0139	8	1	
10	111	0.5114282369613647	315	2.018911600112915	111.0000	436.0000	893.0000	844.0000	407.0000	213.0000	315.0000	726.0000	85.0000	552.0000	0.5114	0.1799	0.0725	0.0372	0.0281	0.0274	0.0167	0.0148	0.0110	0.0063	6	1	
11	111	0.39444100856781006	315	2.354185104370117	111.0000	436.0000	893.0000	407.0000	647.0000	540.0000	45.0000	85.0000	315.0000	348.0000	0.3944	0.2337	0.0882	0.0335	0.0314	0.0271	0.0223	0.0145	0.0093	0.0092	8	1	
12	45	0.41106942296028137	315	3.5540544986724854	45.0000	893.0000	239.0000	844.0000	710.0000	282.0000	627.0000	582.0000	786.0000	419.0000	0.4111	0.0443	0.0426	0.0371	0.0341	0.0315	0.0284	0.0117	0.0076	0.0076	35	1	
13	111	0.6241762042045593	315	1.6623603105545044	111.0000	436.0000	893.0000	844.0000	213.0000	407.0000	315.0000	726.0000	495.0000	85.0000	0.6242	0.1369	0.0449	0.0415	0.0176	0.0174	0.0164	0.0155	0.0110	0.0097	6	1	
14	111	0.250466912984848	315	2.818601608276367	111.0000	436.0000	407.0000	726.0000	844.0000	843.0000	893.0000	639.0000	582.0000	819.0000	0.2505	0.1742	0.1181	0.1000	0.0660	0.0339	0.0166	0.0161	0.0153	0.0126	45	2	
15	111	0.250466912984848	315	2.8186018466949463	111.0000	436.0000	407.0000	726.0000	844.0000	843.0000	893.0000	639.0000	582.0000	819.0000	0.2505	0.1742	0.1181	0.1000	0.0660	0.0339	0.0166	0.0161	0.0153	0.0126	45	2	
16	643	0.09058410674333572	315	4.055597305297852	643.0000	893.0000	843.0000	166.0000	585.0000	315.0000	844.0000	627.0000	111.0000	826.0000	0.0906	0.0795	0.0775	0.0738	0.0684	0.0569	0.0416	0.0375	0.0284	0.0236	5	2	
17	111	0.8077276349067688	315	0.8555411100387573	111.0000	436.0000	843.0000	407.0000	315.0000	844.0000	893.0000	726.0000	614.0000	532.0000	0.8077	0.0894	0.0394	0.0214	0.0105	0.0094	0.0038	0.0017	0.0017	0.0016	4	2	
18	436	0.26195430755615234	315	3.0554754734039307	436.0000	111.0000	844.0000	407.0000	843.0000	726.0000	826.0000	893.0000	532.0000	582.0000	0.2620	0.1092	0.0978	0.0872	0.0449	0.0369	0.0295	0.0262	0.0255	0.0245	30	2	
19	282	0.09541316330432892	315	4.7061991691589355	282.0000	844.0000	205.0000	419.0000	575.0000	727.0000	153.0000	627.0000	478.0000	786.0000	0.0954	0.0671	0.0619	0.0552	0.0377	0.0290	0.0269	0.0212	0.0196	0.0194	152	2	
20	111	0.8843695521354675	315	0.5866600871086121	111.0000	436.0000	843.0000	407.0000	315.0000	844.0000	893.0000	726.0000	826.0000	614.0000	0.8844	0.0434	0.0354	0.0077	0.0075	0.0071	0.0022	0.0013	0.0010	0.0010	4	2	
21	111	0.20896261930465698	315	2.897195816040039	111.0000	407.0000	436.0000	726.0000	212.0000	220.0000	844.0000	776.0000	843.0000	84.0000	0.2090	0.1536	0.0996	0.0991	0.0823	0.0632	0.0436	0.0255	0.0217	0.0189	31	3	
22	111	0.20896261930465698	315	2.89719557762146	111.0000	407.0000	436.0000	726.0000	212.0000	220.0000	844.0000	776.0000	843.0000	84.0000	0.2090	0.1536	0.0996	0.0991	0.0823	0.0632	0.0436	0.0255	0.0217	0.0189	31	3	
23	627	0.8766087293624878	315	0.9946506023406982	627.0000	75.0000	585.0000	495.0000	843.0000	320.0000	582.0000	0.0000	306.0000	407.0000	0.8766	0.0087	0.0066	0.0063	0.0050	0.0039	0.0039	0.0027	0.0024	0.0023	62	3	
24	111	0.9264301061630249	315	0.3469667434692383	111.0000	436.0000	407.0000	726.0000	843.0000	893.0000	521.0000	627.0000	614.0000	212.0000	0.9264	0.0455	0.0155	0.0071	0.0039	0.0006	0.0001	0.0001	0.0001	0.0001	10	3	
25	436	0.20452924072742462	315	2.8664350509643555	436.0000	212.0000	407.0000	111.0000	776.0000	220.0000	726.0000	582.0000	84.0000	843.0000	0.2045	0.1795	0.1028	0.0824	0.0644	0.0609	0.0362	0.0336	0.0299	0.0283	24	3	
26	198	0.0923275277018547	315	4.997490882873535	198.0000	727.0000	626.0000	205.0000	660.0000	582.0000	568.0000	545.0000	235.0000	289.0000	0.0923	0.0851	0.0395	0.0309	0.0255	0.0242	0.0226	0.0221	0.0149	0.0139	157	3	
27	111	0.9787630438804626	315	0.1288667619228363	111.0000	436.0000	726.0000	407.0000	843.0000	893.0000	844.0000	627.0000	521.0000	639.0000	0.9788	0.0124	0.0040	0.0027	0.0017	0.0002	0.0000	0.0000	0.0000	0.0000	11	3	
28	436	0.38211384415626526	315	1.9491140842437744	436.0000	407.0000	111.0000	726.0000	212.0000	884.0000	727.0000	627.0000	0.0000	893.0000	0.3821	0.3536	0.0665	0.0369	0.0254	0.0153	0.0089	0.0087	0.0061	0.0060	27	4	
29	436	0.38211384415626526	315	1.949114203453064	436.0000	407.0000	111.0000	726.0000	212.0000	884.0000	727.0000	627.0000	0.0000	893.0000	0.3821	0.3536	0.0665	0.0369	0.0254	0.0153	0.0089	0.0087	0.0061	0.0060	27	4	
30	627	0.4497448205947876	315	2.2515318393707275	627.0000	893.0000	843.0000	495.0000	585.0000	111.0000	166.0000	643.0000	582.0000	874.0000	0.4497	0.1741	0.1049	0.0484	0.0234	0.0216	0.0179	0.0119	0.0113	0.0112	15	4	
31	436	0.32583120465278625	315	2.2185676097869873	436.0000	843.0000	893.0000	111.0000	407.0000	315.0000	213.0000	614.0000	212.0000	844.0000	0.3258	0.1711	0.1384	0.1175	0.0561	0.0317	0.0269	0.0250	0.0227	0.0149	5	4	
32	436	0.5635263323783875	315	1.843843698501587	436.0000	407.0000	212.0000	884.0000	776.0000	582.0000	111.0000	726.0000	528.0000	727.0000	0.5635	0.1803	0.0397	0.0322	0.0236	0.0214	0.0180	0.0139	0.0110	0.0092	33	4	
33	169	0.28430789709091187	315	3.9212656021118164	169.0000	45.0000	464.0000	727.0000	582.0000	627.0000	786.0000	205.0000	844.0000	288.0000	0.2843	0.0621	0.0588	0.0544	0.0270	0.0269	0.0242	0.0222	0.0120	0.0119	72	4	
34	843	0.22703292965888977	315	2.2402567863464355	843.0000	436.0000	111.0000	893.0000	315.0000	407.0000	213.0000	844.0000	215.0000	614.0000	0.2270	0.2039	0.1789	0.1634	0.0423	0.0305	0.0259	0.0257	0.0209	0.0166	4	4	
35	436	0.2721579372882843	315	2.6703720092773438	436.0000	844.0000	407.0000	614.0000	843.0000	213.0000	776.0000	111.0000	819.0000	205.0000	0.2722	0.1729	0.1218	0.1082	0.0411	0.0307	0.0267	0.0210	0.0156	0.0148	15	5	
36	436	0.2721579372882843	315	2.6703720092773438	436.0000	844.0000	407.0000	614.0000	843.0000	213.0000	776.0000	111.0000	819.0000	205.0000	0.2722	0.1729	0.1218	0.1082	0.0411	0.0307	0.0267	0.0210	0.0156	0.0148	15	5	
37	893	0.5402877330780029	315	2.0141441822052	893.0000	282.0000	819.0000	843.0000	495.0000	436.0000	627.0000	476.0000	710.0000	575.0000	0.5403	0.1303	0.0732	0.0602	0.0337	0.0230	0.0161	0.0092	0.0088	0.0085	11	5	
38	436	0.9025231599807739	315	0.489099383354187	436.0000	614.0000	843.0000	893.0000	111.0000	315.0000	407.0000	819.0000	213.0000	791.0000	0.9025	0.0480	0.0118	0.0114	0.0096	0.0062	0.0035	0.0025	0.0022	0.0002	5	5	
39	436	0.35749760270118713	315	2.246565818786621	436.0000	614.0000	844.0000	776.0000	407.0000	843.0000	348.0000	213.0000	582.0000	205.0000	0.3575	0.1607	0.1555	0.0772	0.0744	0.0335	0.0129	0.0117	0.0096	0.0091	14	5	
40	198	0.11637262254953384	315	4.108254432678223	198.0000	205.0000	727.0000	282.0000	893.0000	582.0000	0.0000	306.0000	626.0000	786.0000	0.1164	0.1005	0.0716	0.0590	0.0426	0.0378	0.0333	0.0326	0.0290	0.0191	31	5	
41	436	0.8951706886291504	315	0.5411736965179443	436.0000	843.0000	614.0000	111.0000	893.0000	819.0000	315.0000	407.0000	213.0000	521.0000	0.8952	0.0291	0.0258	0.0209	0.0084	0.0065	0.0049	0.0037	0.0024	0.0004	6	5	
42	436	0.8039793372154236	315	0.8526847958564758	436.0000	407.0000	819.0000	111.0000	394.0000	776.0000	843.0000	84.0000	348.0000	85.0000	0.8040	0.1001	0.0285	0.0252	0.0076	0.0073	0.0061	0.0035	0.0030	0.0018	21	6	
43	436	0.8039793372154236	315	0.8526848554611206	436.0000	407.0000	819.0000	111.0000	394.0000	776.0000	843.0000	84.0000	348.0000	85.0000	0.8040	0.1001	0.0285	0.0252	0.0076	0.0073	0.0061	0.0035	0.0030	0.0018	21	6	
44	75	0.4549582600593567	315	1.9391474723815918	75.0000	495.0000	585.0000	627.0000	893.0000	215.0000	212.0000	843.0000	776.0000	111.0000	0.4550	0.2536	0.0605	0.0574	0.0300	0.0153	0.0143	0.0095	0.0087	0.0084	13	6	
45	111	0.4257655739784241	315	1.650680422782898	111.0000	436.0000	215.0000	407.0000	213.0000	495.0000	843.0000	315.0000	614.0000	212.0000	0.4258	0.2632	0.1012	0.0762	0.0512	0.0416	0.0160	0.0056	0.0040	0.0039	7	6	
