	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	893	0.23074056208133698	317	3.094339609146118	893.0000	282.0000	868.0000	385.0000	528.0000	711.0000	748.0000	626.0000	85.0000	703.0000	0.2307	0.1671	0.0958	0.0871	0.0741	0.0486	0.0261	0.0234	0.0145	0.0124	308	0	
1	893	0.0755779892206192	317	5.079944610595703	893.0000	868.0000	282.0000	703.0000	721.0000	75.0000	285.0000	522.0000	844.0000	162.0000	0.0756	0.0635	0.0529	0.0350	0.0284	0.0263	0.0239	0.0218	0.0198	0.0160	333	0	
2	893	0.14996524155139923	317	4.915984630584717	893.0000	75.0000	868.0000	844.0000	282.0000	721.0000	703.0000	205.0000	528.0000	540.0000	0.1500	0.0516	0.0506	0.0431	0.0362	0.0263	0.0187	0.0177	0.0116	0.0099	262	0	
3	282	0.1205425038933754	317	5.322390556335449	282.0000	811.0000	348.0000	153.0000	528.0000	868.0000	205.0000	75.0000	320.0000	703.0000	0.1205	0.0380	0.0375	0.0254	0.0152	0.0135	0.0131	0.0127	0.0121	0.0117	304	0	
4	282	0.5237712860107422	317	1.4891331195831299	282.0000	626.0000	893.0000	385.0000	528.0000	131.0000	290.0000	873.0000	703.0000	110.0000	0.5238	0.3657	0.0157	0.0087	0.0039	0.0029	0.0023	0.0019	0.0018	0.0016	200	0	
5	282	0.2057839184999466	317	3.161318778991699	282.0000	528.0000	893.0000	868.0000	385.0000	626.0000	711.0000	703.0000	85.0000	540.0000	0.2058	0.2016	0.0931	0.0907	0.0761	0.0430	0.0206	0.0169	0.0116	0.0096	289	0	
6	868	0.3208569288253784	317	2.3819375038146973	868.0000	540.0000	893.0000	654.0000	552.0000	177.0000	131.0000	282.0000	371.0000	703.0000	0.3209	0.2911	0.1045	0.0328	0.0252	0.0239	0.0184	0.0164	0.0142	0.0117	219	1	
7	703	0.1574810892343521	317	3.5395472049713135	703.0000	540.0000	868.0000	285.0000	647.0000	893.0000	162.0000	75.0000	925.0000	789.0000	0.1575	0.1531	0.1416	0.0565	0.0532	0.0316	0.0266	0.0260	0.0240	0.0173	276	1	
8	540	0.10706118494272232	317	4.4959330558776855	540.0000	868.0000	789.0000	575.0000	703.0000	75.0000	893.0000	647.0000	436.0000	285.0000	0.1071	0.0729	0.0579	0.0447	0.0359	0.0336	0.0334	0.0327	0.0261	0.0228	257	1	
9	868	0.3710995018482208	317	3.1008663177490234	868.0000	540.0000	874.0000	923.0000	282.0000	320.0000	789.0000	452.0000	703.0000	811.0000	0.3711	0.0921	0.0657	0.0374	0.0369	0.0321	0.0295	0.0267	0.0190	0.0173	291	1	
10	893	0.28840988874435425	317	3.298086643218994	893.0000	282.0000	626.0000	789.0000	528.0000	552.0000	540.0000	627.0000	703.0000	45.0000	0.2884	0.2173	0.0670	0.0282	0.0264	0.0186	0.0148	0.0145	0.0139	0.0120	160	1	
11	893	0.5505274534225464	317	1.7338480949401855	893.0000	540.0000	868.0000	282.0000	552.0000	528.0000	131.0000	654.0000	703.0000	342.0000	0.5505	0.1612	0.0828	0.0741	0.0248	0.0221	0.0097	0.0097	0.0071	0.0036	199	1	
12	893	0.5319824814796448	317	2.3021721839904785	893.0000	540.0000	868.0000	282.0000	131.0000	719.0000	371.0000	385.0000	896.0000	711.0000	0.5320	0.0667	0.0632	0.0586	0.0445	0.0223	0.0153	0.0152	0.0149	0.0121	140	2	
13	868	0.15026552975177765	317	3.1298089027404785	868.0000	371.0000	540.0000	893.0000	492.0000	364.0000	177.0000	647.0000	867.0000	673.0000	0.1503	0.1128	0.0999	0.0973	0.0802	0.0457	0.0397	0.0379	0.0359	0.0349	192	2	
14	364	0.7351491451263428	317	1.5712943077087402	364.0000	282.0000	893.0000	868.0000	540.0000	844.0000	241.0000	492.0000	371.0000	673.0000	0.7351	0.0381	0.0196	0.0193	0.0189	0.0119	0.0115	0.0097	0.0091	0.0083	218	2	
15	673	0.23581552505493164	317	3.28878116607666	673.0000	540.0000	719.0000	282.0000	647.0000	868.0000	285.0000	867.0000	162.0000	342.0000	0.2358	0.1134	0.1128	0.0521	0.0409	0.0402	0.0381	0.0262	0.0175	0.0170	194	2	
16	626	0.910816490650177	317	0.6787042617797852	626.0000	893.0000	45.0000	282.0000	719.0000	811.0000	449.0000	540.0000	896.0000	419.0000	0.9108	0.0110	0.0067	0.0057	0.0051	0.0036	0.0034	0.0033	0.0026	0.0025	43	2	
17	893	0.5528057813644409	317	1.6407623291015625	893.0000	282.0000	540.0000	385.0000	711.0000	131.0000	419.0000	868.0000	46.0000	528.0000	0.5528	0.2519	0.0447	0.0182	0.0177	0.0136	0.0124	0.0092	0.0085	0.0058	128	2	
18	131	0.8416714668273926	317	0.5937497615814209	131.0000	893.0000	528.0000	618.0000	407.0000	495.0000	45.0000	385.0000	654.0000	703.0000	0.8417	0.1267	0.0076	0.0064	0.0059	0.0025	0.0017	0.0013	0.0010	0.0010	69	3	
19	61	0.17153874039649963	317	3.5943400859832764	61.0000	440.0000	483.0000	492.0000	169.0000	75.0000	342.0000	421.0000	87.0000	868.0000	0.1715	0.0971	0.0742	0.0724	0.0697	0.0533	0.0386	0.0318	0.0284	0.0202	267	3	
20	893	0.1639682799577713	317	3.8109540939331055	893.0000	75.0000	492.0000	844.0000	440.0000	483.0000	421.0000	61.0000	315.0000	867.0000	0.1640	0.1405	0.0675	0.0464	0.0396	0.0306	0.0295	0.0237	0.0204	0.0202	228	3	
21	342	0.121143639087677	317	3.9293203353881836	342.0000	492.0000	131.0000	647.0000	440.0000	857.0000	893.0000	242.0000	75.0000	540.0000	0.1211	0.1024	0.0815	0.0563	0.0542	0.0341	0.0255	0.0226	0.0224	0.0220	283	3	
22	131	0.7464937567710876	317	1.2554000616073608	131.0000	45.0000	893.0000	703.0000	297.0000	528.0000	205.0000	654.0000	552.0000	857.0000	0.7465	0.0853	0.0653	0.0162	0.0085	0.0070	0.0049	0.0047	0.0041	0.0024	45	3	
23	893	0.6808658838272095	317	1.0017889738082886	893.0000	131.0000	528.0000	385.0000	618.0000	407.0000	495.0000	45.0000	654.0000	282.0000	0.6809	0.2407	0.0305	0.0100	0.0064	0.0055	0.0030	0.0029	0.0026	0.0024	98	3	
24	893	0.47814422845840454	317	2.7125515937805176	893.0000	85.0000	787.0000	526.0000	528.0000	844.0000	282.0000	639.0000	727.0000	385.0000	0.4781	0.0572	0.0419	0.0412	0.0404	0.0366	0.0274	0.0161	0.0149	0.0149	33	4	
25	483	0.2569936215877533	317	3.338775157928467	483.0000	85.0000	867.0000	492.0000	371.0000	924.0000	552.0000	614.0000	893.0000	647.0000	0.2570	0.1714	0.0735	0.0516	0.0335	0.0221	0.0218	0.0175	0.0121	0.0120	54	4	
26	483	0.1994883120059967	317	3.6483616828918457	483.0000	85.0000	492.0000	867.0000	453.0000	893.0000	552.0000	868.0000	371.0000	436.0000	0.1995	0.0973	0.0696	0.0538	0.0343	0.0331	0.0301	0.0287	0.0270	0.0244	73	4	
27	483	0.18165045976638794	317	3.2621288299560547	483.0000	867.0000	719.0000	440.0000	647.0000	131.0000	868.0000	552.0000	787.0000	540.0000	0.1817	0.1350	0.0693	0.0690	0.0642	0.0513	0.0491	0.0393	0.0328	0.0307	88	4	
28	626	0.400432288646698	317	3.321929931640625	626.0000	544.0000	483.0000	867.0000	924.0000	131.0000	45.0000	552.0000	703.0000	787.0000	0.4004	0.0737	0.0404	0.0316	0.0232	0.0213	0.0203	0.0197	0.0173	0.0172	28	4	
29	893	0.3356609344482422	317	2.896540403366089	893.0000	282.0000	639.0000	85.0000	787.0000	844.0000	526.0000	528.0000	711.0000	552.0000	0.3357	0.1078	0.0844	0.0650	0.0471	0.0412	0.0381	0.0335	0.0233	0.0219	58	4	
30	893	0.31024831533432007	317	2.6403071880340576	893.0000	282.0000	528.0000	811.0000	131.0000	85.0000	526.0000	896.0000	868.0000	639.0000	0.3102	0.1708	0.1348	0.0491	0.0435	0.0394	0.0363	0.0197	0.0164	0.0136	28	5	
31	703	0.19228795170783997	317	3.263370990753174	703.0000	767.0000	342.0000	647.0000	540.0000	457.0000	868.0000	893.0000	614.0000	492.0000	0.1923	0.1086	0.0998	0.0949	0.0807	0.0500	0.0350	0.0262	0.0244	0.0204	59	5	
32	703	0.2903316020965576	317	2.8594508171081543	703.0000	75.0000	647.0000	540.0000	767.0000	342.0000	868.0000	131.0000	493.0000	896.0000	0.2903	0.1273	0.1084	0.0734	0.0584	0.0521	0.0313	0.0246	0.0165	0.0161	57	5	
33	647	0.2934092581272125	317	3.2936573028564453	647.0000	342.0000	440.0000	131.0000	767.0000	703.0000	540.0000	282.0000	457.0000	868.0000	0.2934	0.0720	0.0598	0.0580	0.0545	0.0525	0.0467	0.0362	0.0298	0.0192	63	5	
34	626	0.5231798887252808	317	1.5079741477966309	626.0000	131.0000	703.0000	544.0000	893.0000	647.0000	317.0000	719.0000	552.0000	540.0000	0.5232	0.3216	0.0251	0.0221	0.0166	0.0124	0.0104	0.0084	0.0060	0.0054	6	5	
35	282	0.4576614797115326	317	2.106383800506592	282.0000	131.0000	528.0000	893.0000	868.0000	896.0000	540.0000	626.0000	857.0000	711.0000	0.4577	0.1301	0.1224	0.0910	0.0342	0.0239	0.0131	0.0106	0.0101	0.0078	27	5	
36	893	0.3649931848049164	317	2.521989583969116	893.0000	528.0000	703.0000	540.0000	131.0000	526.0000	57.0000	896.0000	618.0000	452.0000	0.3650	0.1856	0.0635	0.0455	0.0442	0.0331	0.0305	0.0277	0.0260	0.0180	64	6	
37	893	0.14444847404956818	317	3.70235538482666	893.0000	342.0000	320.0000	647.0000	540.0000	177.0000	719.0000	924.0000	162.0000	371.0000	0.1444	0.0994	0.0602	0.0578	0.0561	0.0510	0.0429	0.0351	0.0337	0.0284	156	6	
38	540	0.17171671986579895	317	3.466981887817383	540.0000	893.0000	342.0000	703.0000	719.0000	647.0000	924.0000	282.0000	896.0000	767.0000	0.1717	0.1635	0.1115	0.0690	0.0490	0.0268	0.0245	0.0218	0.0203	0.0202	124	6	
39	540	0.3501255214214325	317	2.7001514434814453	540.0000	85.0000	703.0000	528.0000	925.0000	440.0000	320.0000	719.0000	162.0000	647.0000	0.3501	0.1348	0.1146	0.0517	0.0484	0.0315	0.0258	0.0223	0.0173	0.0171	132	6	
40	131	0.2622571587562561	317	2.746522903442383	131.0000	626.0000	703.0000	893.0000	528.0000	297.0000	540.0000	821.0000	552.0000	776.0000	0.2623	0.2558	0.1015	0.0858	0.0354	0.0277	0.0220	0.0155	0.0120	0.0108	25	6	
41	893	0.6708998084068298	317	1.2952501773834229	893.0000	528.0000	540.0000	703.0000	844.0000	131.0000	526.0000	711.0000	385.0000	85.0000	0.6709	0.1956	0.0195	0.0169	0.0137	0.0128	0.0059	0.0056	0.0055	0.0053	44	6	
42	857	0.35021647810935974	317	2.7847917079925537	857.0000	647.0000	526.0000	719.0000	924.0000	385.0000	627.0000	893.0000	618.0000	495.0000	0.3502	0.1273	0.0811	0.0470	0.0455	0.0416	0.0378	0.0292	0.0164	0.0160	25	7	
43	703	0.2096426635980606	317	3.719839096069336	703.0000	647.0000	540.0000	925.0000	614.0000	719.0000	177.0000	924.0000	868.0000	492.0000	0.2096	0.1134	0.0698	0.0642	0.0345	0.0344	0.0325	0.0248	0.0211	0.0193	94	7	
44	614	0.16730734705924988	317	3.5299737453460693	614.0000	540.0000	647.0000	703.0000	120.0000	177.0000	436.0000	543.0000	719.0000	153.0000	0.1673	0.1428	0.0756	0.0559	0.0500	0.0467	0.0424	0.0340	0.0302	0.0293	68	7	
45	319	0.17333199083805084	317	3.5179481506347656	319.0000	282.0000	441.0000	543.0000	923.0000	807.0000	647.0000	8.0000	320.0000	558.0000	0.1733	0.1498	0.0671	0.0625	0.0413	0.0407	0.0388	0.0371	0.0288	0.0245	215	7	
46	719	0.1952037215232849	317	3.5979714393615723	719.0000	131.0000	490.0000	857.0000	647.0000	626.0000	896.0000	317.0000	45.0000	540.0000	0.1952	0.1065	0.0709	0.0704	0.0667	0.0645	0.0420	0.0201	0.0198	0.0166	7	7	
47	857	0.18325918912887573	317	3.5385701656341553	857.0000	893.0000	526.0000	495.0000	924.0000	385.0000	727.0000	584.0000	528.0000	45.0000	0.1833	0.1227	0.0555	0.0482	0.0452	0.0442	0.0343	0.0267	0.0249	0.0234	37	7	
48	896	0.7058303952217102	317	1.2579190731048584	896.0000	893.0000	495.0000	45.0000	385.0000	868.0000	844.0000	85.0000	59.0000	552.0000	0.7058	0.1216	0.0514	0.0247	0.0235	0.0178	0.0086	0.0049	0.0047	0.0043	34	8	
49	492	0.4204306900501251	317	2.2942254543304443	492.0000	924.0000	488.0000	540.0000	705.0000	394.0000	893.0000	208.0000	342.0000	844.0000	0.4204	0.2429	0.0565	0.0449	0.0192	0.0166	0.0154	0.0135	0.0126	0.0104	73	8	
50	492	0.17805033922195435	317	2.9442553520202637	492.0000	540.0000	924.0000	893.0000	488.0000	177.0000	522.0000	342.0000	811.0000	705.0000	0.1781	0.1536	0.1087	0.0863	0.0752	0.0621	0.0473	0.0439	0.0345	0.0237	99	8	
