	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	670	0.08649301528930664	318	4.795653820037842	670.0000	884.0000	584.0000	364.0000	507.0000	681.0000	900.0000	273.0000	307.0000	61.0000	0.0865	0.0765	0.0582	0.0453	0.0386	0.0281	0.0263	0.0243	0.0203	0.0202	534	0	
1	584	0.34419575333595276	318	3.9955759048461914	584.0000	900.0000	797.0000	285.0000	521.0000	867.0000	421.0000	670.0000	942.0000	507.0000	0.3442	0.0512	0.0277	0.0255	0.0204	0.0191	0.0181	0.0159	0.0137	0.0119	521	0	
2	844	0.08537408709526062	318	5.018293380737305	844.0000	521.0000	811.0000	808.0000	0.0000	282.0000	893.0000	584.0000	531.0000	507.0000	0.0854	0.0689	0.0503	0.0323	0.0278	0.0274	0.0155	0.0143	0.0136	0.0131	582	0	
3	347	0.19338321685791016	318	3.258938789367676	347.0000	467.0000	924.0000	285.0000	811.0000	44.0000	421.0000	884.0000	98.0000	323.0000	0.1934	0.1760	0.1028	0.0967	0.0587	0.0524	0.0242	0.0205	0.0123	0.0120	137	1	
4	285	0.29814690351486206	318	3.61745023727417	285.0000	483.0000	551.0000	719.0000	797.0000	924.0000	331.0000	893.0000	868.0000	867.0000	0.2981	0.0868	0.0478	0.0371	0.0349	0.0322	0.0293	0.0282	0.0237	0.0223	201	1	
5	811	0.1605490893125534	318	3.7856345176696777	811.0000	893.0000	320.0000	347.0000	282.0000	868.0000	33.0000	488.0000	285.0000	711.0000	0.1605	0.1461	0.1194	0.0542	0.0428	0.0336	0.0212	0.0185	0.0167	0.0148	297	1	
6	924	0.09164371341466904	318	4.2742509841918945	924.0000	679.0000	703.0000	716.0000	884.0000	285.0000	551.0000	421.0000	646.0000	670.0000	0.0916	0.0731	0.0500	0.0497	0.0461	0.0442	0.0439	0.0423	0.0344	0.0324	49	2	
7	797	0.1665327399969101	318	4.103940963745117	797.0000	584.0000	844.0000	483.0000	679.0000	285.0000	551.0000	457.0000	646.0000	811.0000	0.1665	0.0587	0.0543	0.0486	0.0446	0.0432	0.0298	0.0260	0.0229	0.0227	102	2	
8	282	0.15851138532161713	318	3.8920416831970215	282.0000	320.0000	532.0000	811.0000	543.0000	639.0000	711.0000	531.0000	854.0000	874.0000	0.1585	0.0828	0.0755	0.0547	0.0459	0.0436	0.0413	0.0325	0.0265	0.0241	267	2	
9	924	0.3325846791267395	318	3.2183423042297363	924.0000	884.0000	467.0000	576.0000	323.0000	72.0000	584.0000	746.0000	77.0000	421.0000	0.3326	0.1594	0.0459	0.0393	0.0392	0.0364	0.0144	0.0138	0.0130	0.0107	107	3	
10	787	0.7225313782691956	318	1.2281585931777954	787.0000	551.0000	285.0000	421.0000	483.0000	867.0000	647.0000	719.0000	131.0000	49.0000	0.7225	0.1007	0.0516	0.0424	0.0261	0.0051	0.0041	0.0037	0.0034	0.0027	105	3	
11	711	0.34002867341041565	318	2.203503131866455	711.0000	282.0000	893.0000	528.0000	320.0000	531.0000	844.0000	131.0000	217.0000	826.0000	0.3400	0.1928	0.1324	0.1043	0.0560	0.0502	0.0162	0.0139	0.0129	0.0100	453	3	
12	874	0.11775912344455719	318	3.6710205078125	874.0000	467.0000	924.0000	285.0000	797.0000	679.0000	49.0000	318.0000	476.0000	716.0000	0.1178	0.1056	0.0855	0.0811	0.0721	0.0629	0.0446	0.0355	0.0272	0.0253	7	4	
13	584	0.5133571624755859	318	2.406395673751831	584.0000	797.0000	49.0000	31.0000	646.0000	483.0000	285.0000	513.0000	457.0000	403.0000	0.5134	0.1050	0.0488	0.0465	0.0270	0.0206	0.0163	0.0147	0.0146	0.0119	57	4	
