	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	338	0.15573440492153168	319	4.0228424072265625	338.0000	809.0000	811.0000	8.0000	651.0000	889.0000	787.0000	282.0000	227.0000	558.0000	0.1557	0.1346	0.1321	0.0406	0.0375	0.0328	0.0187	0.0168	0.0115	0.0112	138	0	
1	853	0.06753408908843994	319	4.810887336730957	853.0000	338.0000	340.0000	60.0000	787.0000	558.0000	509.0000	282.0000	54.0000	730.0000	0.0675	0.0482	0.0407	0.0389	0.0368	0.0306	0.0238	0.0235	0.0220	0.0216	71	0	
2	8	0.4904460608959198	319	2.2627828121185303	8.0000	651.0000	255.0000	926.0000	227.0000	811.0000	923.0000	338.0000	538.0000	809.0000	0.4904	0.1395	0.0623	0.0563	0.0513	0.0173	0.0172	0.0167	0.0167	0.0086	61	0	
3	282	0.854193925857544	319	1.048597812652588	282.0000	49.0000	651.0000	923.0000	290.0000	787.0000	605.0000	854.0000	71.0000	340.0000	0.8542	0.0191	0.0088	0.0070	0.0070	0.0061	0.0059	0.0053	0.0053	0.0050	82	0	
4	282	0.38008788228034973	319	2.2087554931640625	282.0000	651.0000	8.0000	340.0000	517.0000	49.0000	441.0000	290.0000	605.0000	71.0000	0.3801	0.2756	0.1203	0.0334	0.0227	0.0167	0.0133	0.0076	0.0073	0.0072	79	0	
5	853	0.1027504950761795	319	4.33609676361084	853.0000	338.0000	340.0000	60.0000	558.0000	538.0000	282.0000	926.0000	787.0000	730.0000	0.1028	0.0968	0.0648	0.0551	0.0444	0.0303	0.0250	0.0247	0.0229	0.0212	57	0	
6	255	0.15188705921173096	319	4.191352367401123	255.0000	8.0000	49.0000	651.0000	282.0000	538.0000	60.0000	509.0000	442.0000	558.0000	0.1519	0.1024	0.0382	0.0381	0.0372	0.0366	0.0252	0.0251	0.0250	0.0222	49	0	
7	809	0.10664264857769012	319	4.6600236892700195	809.0000	811.0000	338.0000	787.0000	889.0000	8.0000	509.0000	651.0000	673.0000	71.0000	0.1066	0.0900	0.0821	0.0434	0.0267	0.0243	0.0201	0.0193	0.0181	0.0145	134	0	
8	651	0.3556472361087799	319	2.399278402328491	651.0000	8.0000	255.0000	227.0000	338.0000	340.0000	49.0000	605.0000	60.0000	889.0000	0.3556	0.3225	0.0420	0.0291	0.0281	0.0209	0.0138	0.0120	0.0081	0.0076	55	0	
9	8	0.14647848904132843	319	3.9735281467437744	8.0000	651.0000	923.0000	658.0000	255.0000	282.0000	538.0000	442.0000	889.0000	49.0000	0.1465	0.1176	0.0745	0.0673	0.0449	0.0431	0.0278	0.0274	0.0262	0.0235	46	0	
10	282	0.946895956993103	319	0.4078153967857361	282.0000	340.0000	290.0000	605.0000	8.0000	517.0000	364.0000	832.0000	71.0000	923.0000	0.9469	0.0152	0.0037	0.0034	0.0030	0.0021	0.0016	0.0015	0.0012	0.0010	65	0	
11	730	0.48339545726776123	319	2.499183177947998	730.0000	809.0000	8.0000	453.0000	811.0000	338.0000	340.0000	651.0000	889.0000	517.0000	0.4834	0.0652	0.0580	0.0516	0.0471	0.0463	0.0448	0.0255	0.0247	0.0100	21	1	
12	8	0.5862085819244385	319	1.8116252422332764	8.0000	340.0000	730.0000	651.0000	923.0000	453.0000	255.0000	538.0000	442.0000	483.0000	0.5862	0.0827	0.0571	0.0484	0.0382	0.0367	0.0350	0.0322	0.0178	0.0075	14	1	
