	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.49297648668289185	320	1.8147099018096924	282.0000	313.0000	528.0000	320.0000	85.0000	873.0000	131.0000	711.0000	45.0000	120.0000	0.4930	0.2304	0.0630	0.0449	0.0299	0.0254	0.0175	0.0172	0.0112	0.0081	3	0	
1	282	0.434766560792923	320	2.392366886138916	282.0000	528.0000	131.0000	85.0000	320.0000	893.0000	711.0000	313.0000	120.0000	854.0000	0.4348	0.1918	0.0674	0.0382	0.0295	0.0291	0.0212	0.0192	0.0142	0.0099	4	0	
2	320	0.998128354549408	320	0.01737842708826065	320.0000	640.0000	528.0000	877.0000	615.0000	347.0000	313.0000	410.0000	396.0000	875.0000	0.9981	0.0007	0.0006	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0	0	
3	522	0.2873947024345398	320	2.811668634414673	522.0000	576.0000	877.0000	320.0000	488.0000	310.0000	153.0000	873.0000	854.0000	677.0000	0.2874	0.2660	0.0666	0.0410	0.0224	0.0211	0.0171	0.0164	0.0160	0.0156	3	1	
4	522	0.5252019166946411	320	1.775508165359497	522.0000	320.0000	576.0000	877.0000	615.0000	811.0000	682.0000	676.0000	452.0000	524.0000	0.5252	0.1644	0.1606	0.0148	0.0130	0.0113	0.0094	0.0088	0.0081	0.0068	1	1	
5	877	0.729691743850708	320	1.1696913242340088	877.0000	320.0000	522.0000	640.0000	410.0000	745.0000	677.0000	676.0000	873.0000	615.0000	0.7297	0.1378	0.0341	0.0182	0.0115	0.0094	0.0069	0.0055	0.0050	0.0047	1	1	
6	524	0.16833867132663727	320	3.012286901473999	524.0000	854.0000	85.0000	677.0000	320.0000	640.0000	120.0000	528.0000	877.0000	452.0000	0.1683	0.1529	0.1146	0.0994	0.0921	0.0526	0.0441	0.0284	0.0231	0.0200	4	2	
7	524	0.21591007709503174	320	3.1213033199310303	524.0000	854.0000	522.0000	729.0000	877.0000	320.0000	120.0000	640.0000	85.0000	676.0000	0.2159	0.0954	0.0753	0.0737	0.0649	0.0639	0.0524	0.0519	0.0413	0.0348	5	2	
8	313	0.6713544130325317	320	1.394911766052246	313.0000	320.0000	528.0000	153.0000	285.0000	640.0000	85.0000	217.0000	677.0000	745.0000	0.6714	0.1551	0.0394	0.0139	0.0132	0.0124	0.0118	0.0107	0.0104	0.0096	1	2	
9	320	0.28433966636657715	320	2.412747859954834	320.0000	677.0000	877.0000	452.0000	873.0000	522.0000	676.0000	543.0000	85.0000	576.0000	0.2843	0.2254	0.1534	0.0788	0.0435	0.0357	0.0191	0.0178	0.0128	0.0121	0	3	
10	877	0.18559971451759338	320	3.0088555812835693	877.0000	522.0000	524.0000	854.0000	676.0000	85.0000	677.0000	452.0000	310.0000	320.0000	0.1856	0.1813	0.0997	0.0817	0.0601	0.0445	0.0388	0.0385	0.0385	0.0213	9	3	
11	320	0.969357430934906	320	0.22500458359718323	320.0000	676.0000	640.0000	877.0000	543.0000	452.0000	638.0000	677.0000	285.0000	854.0000	0.9694	0.0075	0.0050	0.0041	0.0035	0.0012	0.0010	0.0009	0.0008	0.0005	0	3	
12	320	0.5270178914070129	320	1.4123964309692383	320.0000	522.0000	615.0000	873.0000	640.0000	638.0000	677.0000	676.0000	427.0000	488.0000	0.5270	0.2526	0.1320	0.0149	0.0141	0.0110	0.0080	0.0063	0.0057	0.0053	0	4	
13	522	0.4734446704387665	320	2.0165953636169434	522.0000	120.0000	877.0000	427.0000	488.0000	640.0000	676.0000	524.0000	320.0000	745.0000	0.4734	0.1158	0.1010	0.0721	0.0484	0.0465	0.0278	0.0197	0.0177	0.0085	8	4	
14	320	0.9708220362663269	320	0.16215714812278748	320.0000	676.0000	640.0000	615.0000	854.0000	638.0000	745.0000	410.0000	153.0000	71.0000	0.9708	0.0214	0.0038	0.0017	0.0007	0.0004	0.0002	0.0001	0.0001	0.0001	0	4	
15	522	0.5584056973457336	320	1.3102188110351562	522.0000	320.0000	313.0000	677.0000	873.0000	85.0000	452.0000	528.0000	615.0000	120.0000	0.5584	0.3058	0.0260	0.0253	0.0166	0.0125	0.0122	0.0121	0.0086	0.0043	1	5	
16	522	0.9334888458251953	320	0.279317706823349	522.0000	320.0000	120.0000	326.0000	873.0000	640.0000	676.0000	427.0000	576.0000	746.0000	0.9335	0.0608	0.0013	0.0011	0.0005	0.0004	0.0004	0.0003	0.0002	0.0002	1	5	
17	320	0.9973994493484497	320	0.023769093677401543	320.0000	640.0000	313.0000	676.0000	528.0000	615.0000	745.0000	677.0000	110.0000	522.0000	0.9974	0.0010	0.0004	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0	5	
18	522	0.5729116797447205	320	1.678505539894104	522.0000	320.0000	120.0000	677.0000	854.0000	452.0000	873.0000	85.0000	746.0000	524.0000	0.5729	0.1839	0.0564	0.0354	0.0323	0.0136	0.0119	0.0105	0.0101	0.0099	1	6	
