	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	332	0.3072320520877838	321	2.4455513954162598	332.0000	667.0000	616.0000	800.0000	571.0000	123.0000	845.0000	537.0000	321.0000	454.0000	0.3072	0.2720	0.0699	0.0662	0.0557	0.0248	0.0247	0.0214	0.0137	0.0130	8	0	
1	657	0.29866865277290344	321	2.9360101222991943	657.0000	667.0000	571.0000	735.0000	332.0000	800.0000	246.0000	16.0000	321.0000	709.0000	0.2987	0.1737	0.0471	0.0449	0.0440	0.0384	0.0363	0.0353	0.0346	0.0268	8	0	
2	657	0.3847352862358093	321	1.698673963546753	657.0000	735.0000	246.0000	667.0000	321.0000	825.0000	332.0000	83.0000	454.0000	566.0000	0.3847	0.3302	0.1534	0.0248	0.0149	0.0136	0.0129	0.0097	0.0059	0.0054	4	0	
3	566	0.9035871624946594	321	0.5462204217910767	566.0000	67.0000	16.0000	800.0000	933.0000	454.0000	667.0000	360.0000	820.0000	151.0000	0.9036	0.0399	0.0121	0.0094	0.0070	0.0039	0.0036	0.0030	0.0023	0.0023	14	0	
4	332	0.34477195143699646	321	2.3769731521606445	332.0000	800.0000	566.0000	480.0000	67.0000	454.0000	933.0000	864.0000	16.0000	83.0000	0.3448	0.1270	0.1045	0.0864	0.0815	0.0493	0.0485	0.0216	0.0203	0.0131	26	0	
5	246	0.43307968974113464	321	1.9725278615951538	246.0000	735.0000	657.0000	332.0000	825.0000	454.0000	566.0000	83.0000	667.0000	210.0000	0.4331	0.1894	0.1703	0.0423	0.0253	0.0240	0.0135	0.0089	0.0087	0.0061	20	0	
6	542	0.36581188440322876	321	2.5816829204559326	542.0000	800.0000	715.0000	360.0000	667.0000	332.0000	566.0000	820.0000	258.0000	815.0000	0.3658	0.1892	0.0584	0.0581	0.0390	0.0249	0.0238	0.0199	0.0166	0.0160	40	0	
7	332	0.7456316947937012	321	1.279393196105957	332.0000	667.0000	566.0000	800.0000	933.0000	571.0000	67.0000	16.0000	123.0000	454.0000	0.7456	0.0623	0.0389	0.0363	0.0174	0.0126	0.0087	0.0085	0.0072	0.0071	12	0	
8	667	0.4637672007083893	321	2.1349377632141113	667.0000	800.0000	332.0000	815.0000	571.0000	454.0000	321.0000	123.0000	566.0000	258.0000	0.4638	0.1536	0.1298	0.0309	0.0224	0.0219	0.0168	0.0163	0.0159	0.0154	6	0	
9	667	0.6845365166664124	321	1.3818199634552002	667.0000	537.0000	616.0000	123.0000	360.0000	566.0000	258.0000	800.0000	332.0000	747.0000	0.6845	0.0675	0.0666	0.0511	0.0357	0.0200	0.0137	0.0127	0.0124	0.0055	20	1	
