	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	576	0.11028968542814255	324	4.647247314453125	576.0000	854.0000	876.0000	522.0000	811.0000	347.0000	72.0000	809.0000	488.0000	285.0000	0.1103	0.1066	0.0661	0.0528	0.0305	0.0291	0.0254	0.0200	0.0193	0.0166	37	0	
1	874	0.1426255702972412	324	4.6641740798950195	874.0000	576.0000	873.0000	528.0000	876.0000	826.0000	811.0000	452.0000	324.0000	347.0000	0.1426	0.0881	0.0394	0.0248	0.0241	0.0234	0.0230	0.0199	0.0186	0.0174	8	0	
2	876	0.5379699468612671	324	2.017636299133301	876.0000	347.0000	576.0000	874.0000	615.0000	324.0000	310.0000	810.0000	811.0000	452.0000	0.5380	0.1388	0.0748	0.0576	0.0337	0.0225	0.0096	0.0096	0.0087	0.0066	5	1	
3	347	0.43774503469467163	324	2.330981731414795	347.0000	576.0000	874.0000	282.0000	809.0000	324.0000	811.0000	876.0000	72.0000	136.0000	0.4377	0.1582	0.1326	0.0390	0.0336	0.0204	0.0175	0.0164	0.0106	0.0083	5	1	
4	576	0.8255832195281982	324	0.84132981300354	576.0000	874.0000	324.0000	806.0000	347.0000	876.0000	33.0000	452.0000	72.0000	746.0000	0.8256	0.0745	0.0242	0.0227	0.0145	0.0068	0.0057	0.0049	0.0029	0.0020	2	2	
5	874	0.4513830840587616	324	1.6705923080444336	874.0000	576.0000	806.0000	811.0000	324.0000	452.0000	57.0000	347.0000	528.0000	809.0000	0.4514	0.3231	0.0563	0.0508	0.0369	0.0155	0.0081	0.0074	0.0043	0.0040	4	2	
6	324	0.6582150459289551	324	0.6835039258003235	324.0000	576.0000	72.0000	347.0000	806.0000	524.0000	873.0000	810.0000	894.0000	682.0000	0.6582	0.3366	0.0013	0.0009	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0	3	
7	324	0.8379554152488708	324	0.48442304134368896	324.0000	576.0000	873.0000	806.0000	57.0000	347.0000	894.0000	72.0000	809.0000	682.0000	0.8380	0.1558	0.0026	0.0006	0.0005	0.0004	0.0003	0.0003	0.0003	0.0002	0	3	
8	576	0.94410640001297	324	0.23999546468257904	576.0000	324.0000	874.0000	806.0000	876.0000	72.0000	347.0000	59.0000	425.0000	809.0000	0.9441	0.0507	0.0030	0.0013	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	1	4	
9	576	0.9328221082687378	324	0.3468001186847687	576.0000	324.0000	874.0000	59.0000	806.0000	811.0000	809.0000	338.0000	425.0000	873.0000	0.9328	0.0338	0.0164	0.0060	0.0048	0.0025	0.0016	0.0005	0.0005	0.0002	1	4	
