	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.15221834182739258	330	4.812760353088379	626.0000	364.0000	441.0000	483.0000	598.0000	489.0000	509.0000	583.0000	515.0000	651.0000	0.1522	0.0477	0.0473	0.0454	0.0321	0.0236	0.0234	0.0224	0.0191	0.0141	96	0	
1	71	0.13818666338920593	330	3.9426746368408203	71.0000	96.0000	651.0000	497.0000	346.0000	347.0000	364.0000	483.0000	515.0000	290.0000	0.1382	0.1325	0.0768	0.0763	0.0497	0.0470	0.0281	0.0275	0.0233	0.0230	124	0	
2	626	0.128469780087471	330	4.6585493087768555	626.0000	583.0000	364.0000	489.0000	297.0000	483.0000	598.0000	282.0000	441.0000	96.0000	0.1285	0.1094	0.0480	0.0414	0.0290	0.0287	0.0258	0.0246	0.0196	0.0176	150	0	
3	96	0.27882352471351624	330	3.239084005355835	96.0000	71.0000	651.0000	346.0000	483.0000	787.0000	497.0000	515.0000	347.0000	854.0000	0.2788	0.2017	0.0791	0.0447	0.0264	0.0244	0.0224	0.0171	0.0146	0.0134	124	0	
4	489	0.20184777677059174	330	3.750452995300293	489.0000	509.0000	277.0000	304.0000	219.0000	453.0000	141.0000	364.0000	316.0000	279.0000	0.2018	0.0964	0.0717	0.0705	0.0546	0.0495	0.0319	0.0310	0.0276	0.0178	45	1	
5	364	0.21509557962417603	330	2.954622745513916	364.0000	340.0000	96.0000	453.0000	651.0000	71.0000	483.0000	290.0000	787.0000	538.0000	0.2151	0.1813	0.1425	0.0654	0.0557	0.0443	0.0386	0.0305	0.0227	0.0109	52	1	
6	489	0.3419676423072815	330	2.5279974937438965	489.0000	219.0000	304.0000	277.0000	509.0000	104.0000	364.0000	279.0000	453.0000	6.0000	0.3420	0.2791	0.0497	0.0396	0.0350	0.0334	0.0255	0.0207	0.0144	0.0107	47	1	
7	96	0.43591105937957764	330	2.9631218910217285	96.0000	177.0000	364.0000	854.0000	924.0000	483.0000	787.0000	489.0000	567.0000	509.0000	0.4359	0.0444	0.0436	0.0424	0.0383	0.0349	0.0288	0.0270	0.0264	0.0246	30	1	
8	364	0.13909032940864563	330	4.154280662536621	364.0000	141.0000	330.0000	489.0000	510.0000	509.0000	442.0000	503.0000	180.0000	176.0000	0.1391	0.0743	0.0703	0.0665	0.0505	0.0349	0.0269	0.0260	0.0207	0.0201	2	2	
9	364	0.7681912779808044	330	1.3933839797973633	364.0000	340.0000	96.0000	489.0000	515.0000	71.0000	538.0000	928.0000	290.0000	282.0000	0.7682	0.0344	0.0294	0.0242	0.0138	0.0129	0.0097	0.0080	0.0070	0.0068	10	2	
10	364	0.670518159866333	330	2.1200404167175293	364.0000	489.0000	141.0000	442.0000	330.0000	503.0000	509.0000	255.0000	441.0000	658.0000	0.6705	0.0353	0.0291	0.0183	0.0167	0.0107	0.0092	0.0085	0.0080	0.0065	4	2	
11	96	0.24082043766975403	330	2.995290994644165	96.0000	364.0000	489.0000	71.0000	538.0000	340.0000	515.0000	854.0000	651.0000	282.0000	0.2408	0.1681	0.1136	0.0790	0.0530	0.0447	0.0303	0.0292	0.0284	0.0151	14	2	
12	489	0.18425001204013824	330	4.238319396972656	489.0000	219.0000	364.0000	441.0000	724.0000	509.0000	453.0000	626.0000	279.0000	340.0000	0.1843	0.0681	0.0467	0.0397	0.0381	0.0344	0.0319	0.0314	0.0292	0.0217	25	3	
13	364	0.11798261106014252	330	4.057379245758057	364.0000	811.0000	889.0000	87.0000	483.0000	340.0000	71.0000	538.0000	96.0000	191.0000	0.1180	0.0587	0.0527	0.0488	0.0478	0.0446	0.0419	0.0389	0.0372	0.0361	63	3	
14	453	0.1099587082862854	330	3.898585796356201	453.0000	489.0000	441.0000	626.0000	517.0000	724.0000	219.0000	730.0000	364.0000	338.0000	0.1100	0.1023	0.0907	0.0906	0.0622	0.0490	0.0359	0.0334	0.0320	0.0212	37	3	
15	96	0.20217153429985046	330	4.0723185539245605	96.0000	364.0000	49.0000	87.0000	167.0000	787.0000	483.0000	497.0000	889.0000	651.0000	0.2022	0.0665	0.0515	0.0385	0.0354	0.0334	0.0254	0.0254	0.0236	0.0188	38	3	
16	364	0.14132928848266602	330	3.991917133331299	364.0000	304.0000	141.0000	226.0000	137.0000	509.0000	503.0000	662.0000	279.0000	617.0000	0.1413	0.1209	0.0915	0.0591	0.0438	0.0280	0.0265	0.0262	0.0222	0.0199	14	4	
17	364	0.9689465165138245	330	0.25321561098098755	364.0000	483.0000	340.0000	538.0000	71.0000	290.0000	669.0000	889.0000	651.0000	489.0000	0.9689	0.0038	0.0037	0.0037	0.0026	0.0014	0.0011	0.0009	0.0008	0.0006	19	4	
18	364	0.5681658983230591	330	2.6117732524871826	364.0000	441.0000	141.0000	226.0000	304.0000	277.0000	617.0000	279.0000	104.0000	509.0000	0.5682	0.0353	0.0291	0.0256	0.0216	0.0159	0.0150	0.0141	0.0137	0.0110	24	4	
19	364	0.9889188408851624	330	0.100852370262146	364.0000	489.0000	538.0000	483.0000	71.0000	226.0000	87.0000	651.0000	912.0000	96.0000	0.9889	0.0019	0.0013	0.0009	0.0008	0.0007	0.0004	0.0003	0.0003	0.0003	11	4	
20	282	0.13906128704547882	330	4.062547206878662	282.0000	583.0000	340.0000	698.0000	442.0000	651.0000	304.0000	142.0000	38.0000	277.0000	0.1391	0.0984	0.0614	0.0486	0.0418	0.0340	0.0308	0.0256	0.0253	0.0227	64	5	
21	96	0.7494692206382751	330	1.267655611038208	96.0000	71.0000	346.0000	489.0000	340.0000	651.0000	538.0000	515.0000	483.0000	787.0000	0.7495	0.0865	0.0257	0.0199	0.0187	0.0124	0.0120	0.0111	0.0094	0.0067	61	5	
