	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	925	0.22861243784427643	331	2.8380041122436523	925.0000	868.0000	49.0000	162.0000	169.0000	673.0000	331.0000	811.0000	621.0000	141.0000	0.2286	0.1920	0.1652	0.0893	0.0555	0.0372	0.0346	0.0273	0.0079	0.0073	6	0	
1	621	0.2884638011455536	331	3.2427008152008057	621.0000	164.0000	585.0000	925.0000	755.0000	141.0000	162.0000	510.0000	82.0000	45.0000	0.2885	0.1402	0.0742	0.0729	0.0466	0.0298	0.0213	0.0173	0.0164	0.0148	19	0	
2	49	0.4978606700897217	331	2.387389659881592	49.0000	811.0000	925.0000	673.0000	621.0000	164.0000	162.0000	331.0000	169.0000	347.0000	0.4979	0.0877	0.0746	0.0539	0.0319	0.0287	0.0287	0.0232	0.0170	0.0165	7	0	
3	925	0.2895505428314209	331	2.8002614974975586	925.0000	49.0000	621.0000	673.0000	141.0000	510.0000	164.0000	811.0000	331.0000	358.0000	0.2896	0.1539	0.1324	0.0534	0.0350	0.0342	0.0301	0.0293	0.0290	0.0244	8	0	
4	621	0.17985664308071136	331	3.658888816833496	621.0000	789.0000	331.0000	925.0000	141.0000	755.0000	627.0000	82.0000	164.0000	510.0000	0.1799	0.1082	0.0977	0.0802	0.0700	0.0380	0.0346	0.0240	0.0163	0.0147	2	0	
5	621	0.30789947509765625	331	2.7018938064575195	621.0000	925.0000	49.0000	169.0000	331.0000	164.0000	811.0000	162.0000	232.0000	755.0000	0.3079	0.2605	0.0729	0.0325	0.0320	0.0299	0.0298	0.0261	0.0159	0.0133	4	0	
6	621	0.34421777725219727	331	3.0496556758880615	621.0000	925.0000	510.0000	755.0000	811.0000	164.0000	589.0000	585.0000	82.0000	507.0000	0.3442	0.1338	0.0835	0.0530	0.0321	0.0260	0.0208	0.0198	0.0192	0.0158	11	0	
7	925	0.11759956926107407	331	4.387284755706787	925.0000	162.0000	811.0000	510.0000	621.0000	789.0000	755.0000	507.0000	141.0000	868.0000	0.1176	0.0690	0.0642	0.0621	0.0492	0.0312	0.0311	0.0266	0.0248	0.0237	20	0	
8	347	0.0860646590590477	331	4.68414831161499	347.0000	331.0000	304.0000	471.0000	627.0000	811.0000	789.0000	874.0000	191.0000	528.0000	0.0861	0.0848	0.0688	0.0521	0.0288	0.0269	0.0237	0.0227	0.0188	0.0184	1	0	
9	331	0.11332932114601135	331	4.859230995178223	331.0000	304.0000	755.0000	471.0000	342.0000	335.0000	789.0000	925.0000	658.0000	811.0000	0.1133	0.0735	0.0308	0.0263	0.0259	0.0243	0.0234	0.0208	0.0197	0.0196	0	0	
10	925	0.3946044147014618	331	2.9499244689941406	925.0000	621.0000	162.0000	331.0000	169.0000	811.0000	141.0000	755.0000	507.0000	589.0000	0.3946	0.1726	0.0416	0.0265	0.0220	0.0188	0.0175	0.0170	0.0142	0.0140	3	0	
