	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	332	0.7405484318733215	332	1.1312801837921143	332.0000	16.0000	67.0000	641.0000	657.0000	454.0000	438.0000	435.0000	170.0000	566.0000	0.7405	0.0992	0.0645	0.0208	0.0175	0.0103	0.0103	0.0049	0.0029	0.0026	0	0	
1	332	0.526282012462616	332	1.7675169706344604	332.0000	657.0000	259.0000	435.0000	641.0000	226.0000	67.0000	16.0000	825.0000	258.0000	0.5263	0.1502	0.1482	0.0354	0.0287	0.0186	0.0113	0.0091	0.0056	0.0053	0	0	
2	67	0.19601449370384216	332	2.9960527420043945	67.0000	454.0000	332.0000	800.0000	480.0000	571.0000	16.0000	123.0000	566.0000	258.0000	0.1960	0.1421	0.1298	0.0975	0.0617	0.0564	0.0345	0.0326	0.0232	0.0219	2	0	
3	657	0.41048702597618103	332	2.341740131378174	657.0000	332.0000	16.0000	67.0000	259.0000	641.0000	438.0000	480.0000	435.0000	226.0000	0.4105	0.1494	0.1031	0.0990	0.0412	0.0234	0.0188	0.0120	0.0117	0.0097	1	0	
4	47	0.2778944671154022	332	3.2715630531311035	47.0000	657.0000	717.0000	423.0000	142.0000	480.0000	246.0000	735.0000	390.0000	707.0000	0.2779	0.2610	0.0428	0.0343	0.0340	0.0195	0.0187	0.0178	0.0140	0.0105	76	0	
5	259	0.17450334131717682	332	3.3533477783203125	259.0000	47.0000	626.0000	641.0000	709.0000	4.0000	657.0000	454.0000	717.0000	246.0000	0.1745	0.1420	0.1047	0.0775	0.0677	0.0558	0.0300	0.0263	0.0263	0.0239	21	0	
6	332	0.4812934100627899	332	1.0130929946899414	332.0000	657.0000	67.0000	16.0000	480.0000	438.0000	735.0000	435.0000	571.0000	258.0000	0.4813	0.4655	0.0149	0.0077	0.0050	0.0046	0.0035	0.0018	0.0017	0.0017	0	0	
7	332	0.957160472869873	332	0.2531728744506836	332.0000	657.0000	16.0000	438.0000	735.0000	123.0000	67.0000	641.0000	258.0000	454.0000	0.9572	0.0267	0.0032	0.0017	0.0017	0.0015	0.0014	0.0009	0.0008	0.0008	0	0	
8	67	0.42636868357658386	332	2.3868234157562256	67.0000	949.0000	820.0000	321.0000	383.0000	569.0000	16.0000	438.0000	616.0000	170.0000	0.4264	0.1691	0.0454	0.0413	0.0353	0.0332	0.0315	0.0305	0.0225	0.0211	19	0	
9	332	0.5652959942817688	332	1.9791934490203857	332.0000	667.0000	67.0000	258.0000	50.0000	321.0000	657.0000	435.0000	259.0000	825.0000	0.5653	0.0927	0.0695	0.0420	0.0336	0.0322	0.0256	0.0213	0.0125	0.0100	0	0	
