	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	558	0.2214035838842392	338	3.4150102138519287	558.0000	441.0000	730.0000	853.0000	338.0000	651.0000	340.0000	142.0000	560.0000	60.0000	0.2214	0.1476	0.1364	0.0422	0.0333	0.0284	0.0244	0.0238	0.0236	0.0182	4	0	
1	558	0.12505744397640228	338	4.08967399597168	558.0000	730.0000	626.0000	338.0000	441.0000	853.0000	142.0000	226.0000	282.0000	515.0000	0.1251	0.0938	0.0793	0.0684	0.0511	0.0337	0.0322	0.0306	0.0273	0.0216	3	0	
2	853	0.7283070087432861	338	1.3487975597381592	853.0000	60.0000	384.0000	626.0000	441.0000	730.0000	489.0000	104.0000	928.0000	114.0000	0.7283	0.0721	0.0372	0.0335	0.0258	0.0166	0.0125	0.0118	0.0077	0.0052	41	0	
3	558	0.10296496003866196	338	4.938039779663086	558.0000	441.0000	730.0000	560.0000	338.0000	142.0000	335.0000	793.0000	290.0000	525.0000	0.1030	0.0656	0.0508	0.0362	0.0344	0.0321	0.0202	0.0165	0.0161	0.0152	4	0	
4	441	0.1275501847267151	338	4.206635475158691	441.0000	853.0000	462.0000	489.0000	730.0000	282.0000	71.0000	558.0000	290.0000	787.0000	0.1276	0.1090	0.0857	0.0652	0.0537	0.0314	0.0287	0.0253	0.0246	0.0242	12	0	
5	282	0.7289117574691772	338	1.0433064699172974	282.0000	626.0000	853.0000	748.0000	819.0000	605.0000	854.0000	348.0000	181.0000	724.0000	0.7289	0.1992	0.0114	0.0056	0.0056	0.0040	0.0034	0.0033	0.0012	0.0012	16	0	
6	340	0.21614030003547668	338	3.906951904296875	340.0000	730.0000	338.0000	441.0000	191.0000	538.0000	364.0000	319.0000	926.0000	928.0000	0.2161	0.0996	0.0862	0.0502	0.0432	0.0285	0.0240	0.0226	0.0175	0.0156	2	0	
7	335	0.2782164216041565	338	3.5286922454833984	335.0000	560.0000	538.0000	441.0000	442.0000	658.0000	494.0000	338.0000	558.0000	853.0000	0.2782	0.1159	0.0835	0.0392	0.0350	0.0277	0.0206	0.0183	0.0166	0.0149	7	0	
8	560	0.2475237101316452	338	2.3870928287506104	560.0000	558.0000	441.0000	730.0000	335.0000	338.0000	926.0000	340.0000	538.0000	60.0000	0.2475	0.2284	0.1582	0.0909	0.0553	0.0528	0.0274	0.0236	0.0163	0.0101	5	0	
9	560	0.291882187128067	338	3.3562865257263184	560.0000	335.0000	512.0000	348.0000	558.0000	142.0000	658.0000	384.0000	853.0000	489.0000	0.2919	0.2066	0.0519	0.0320	0.0283	0.0269	0.0198	0.0196	0.0137	0.0110	12	0	
10	560	0.33414626121520996	338	1.9714345932006836	560.0000	335.0000	538.0000	340.0000	517.0000	658.0000	142.0000	558.0000	650.0000	441.0000	0.3341	0.3145	0.1325	0.0610	0.0495	0.0116	0.0090	0.0079	0.0063	0.0061	14	0	
11	282	0.18393367528915405	338	3.139132261276245	282.0000	558.0000	441.0000	340.0000	560.0000	517.0000	385.0000	538.0000	528.0000	730.0000	0.1839	0.1723	0.1062	0.0984	0.0603	0.0587	0.0310	0.0213	0.0194	0.0189	12	0	
12	282	0.24163329601287842	338	3.4331090450286865	282.0000	335.0000	538.0000	338.0000	560.0000	658.0000	558.0000	771.0000	923.0000	227.0000	0.2416	0.1836	0.0565	0.0411	0.0313	0.0263	0.0235	0.0228	0.0224	0.0209	3	0	
13	853	0.07631897181272507	338	4.7356953620910645	853.0000	730.0000	441.0000	651.0000	60.0000	384.0000	338.0000	928.0000	560.0000	335.0000	0.0763	0.0606	0.0471	0.0439	0.0413	0.0310	0.0292	0.0260	0.0239	0.0238	6	0	
14	730	0.607008695602417	338	1.6239529848098755	730.0000	558.0000	441.0000	133.0000	346.0000	903.0000	651.0000	338.0000	724.0000	290.0000	0.6070	0.1772	0.0519	0.0269	0.0189	0.0146	0.0115	0.0105	0.0077	0.0065	7	1	
15	730	0.3395824730396271	338	2.1142098903656006	730.0000	903.0000	338.0000	651.0000	558.0000	441.0000	181.0000	290.0000	279.0000	346.0000	0.3396	0.2958	0.0972	0.0622	0.0511	0.0255	0.0166	0.0140	0.0124	0.0094	2	1	
