	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	789	0.20460785925388336	343	4.181230545043945	789.0000	627.0000	235.0000	515.0000	222.0000	782.0000	449.0000	521.0000	724.0000	942.0000	0.2046	0.1420	0.0380	0.0307	0.0297	0.0242	0.0231	0.0200	0.0197	0.0146	359	0	
1	917	0.12348273396492004	343	4.174838066101074	917.0000	762.0000	297.0000	423.0000	47.0000	491.0000	626.0000	61.0000	343.0000	919.0000	0.1235	0.1028	0.0942	0.0795	0.0340	0.0300	0.0275	0.0254	0.0232	0.0220	8	0	
2	917	0.11106770485639572	343	5.024641990661621	917.0000	47.0000	226.0000	61.0000	637.0000	583.0000	521.0000	596.0000	675.0000	216.0000	0.1111	0.0499	0.0408	0.0399	0.0391	0.0274	0.0178	0.0176	0.0175	0.0175	214	0	
3	515	0.25188305974006653	343	4.074007987976074	515.0000	627.0000	626.0000	525.0000	588.0000	789.0000	297.0000	644.0000	235.0000	782.0000	0.2519	0.0822	0.0544	0.0442	0.0322	0.0308	0.0214	0.0201	0.0169	0.0141	538	1	
4	916	0.07857833057641983	343	4.582018852233887	916.0000	6.0000	47.0000	63.0000	583.0000	61.0000	343.0000	550.0000	917.0000	598.0000	0.0786	0.0602	0.0591	0.0486	0.0398	0.0386	0.0311	0.0260	0.0245	0.0236	6	1	
5	584	0.0633913055062294	343	5.323562145233154	584.0000	893.0000	33.0000	797.0000	679.0000	854.0000	310.0000	598.0000	721.0000	153.0000	0.0634	0.0380	0.0236	0.0175	0.0174	0.0171	0.0153	0.0151	0.0142	0.0137	144	1	
6	282	0.9374775290489197	343	0.5019497871398926	282.0000	626.0000	787.0000	71.0000	515.0000	96.0000	346.0000	45.0000	924.0000	441.0000	0.9375	0.0085	0.0059	0.0047	0.0028	0.0023	0.0022	0.0021	0.0018	0.0018	398	2	
7	47	0.08590057492256165	343	4.455088138580322	47.0000	575.0000	521.0000	550.0000	6.0000	598.0000	343.0000	423.0000	497.0000	626.0000	0.0859	0.0686	0.0627	0.0581	0.0461	0.0455	0.0306	0.0297	0.0223	0.0218	6	2	
8	282	0.1864997148513794	343	4.029452323913574	282.0000	583.0000	362.0000	47.0000	364.0000	797.0000	584.0000	521.0000	598.0000	679.0000	0.1865	0.0773	0.0623	0.0455	0.0416	0.0374	0.0295	0.0223	0.0192	0.0191	63	2	
9	585	0.1481623649597168	343	4.595173358917236	585.0000	888.0000	468.0000	515.0000	0.0000	27.0000	627.0000	215.0000	655.0000	644.0000	0.1482	0.0674	0.0486	0.0435	0.0397	0.0320	0.0313	0.0191	0.0176	0.0165	629	3	
10	917	0.5683732032775879	343	2.2010159492492676	917.0000	47.0000	343.0000	466.0000	762.0000	423.0000	575.0000	491.0000	112.0000	814.0000	0.5684	0.1002	0.0547	0.0444	0.0231	0.0156	0.0147	0.0142	0.0132	0.0087	2	3	
11	917	0.3677655756473541	343	3.2142715454101562	917.0000	466.0000	488.0000	522.0000	814.0000	61.0000	582.0000	91.0000	583.0000	888.0000	0.3678	0.0781	0.0731	0.0656	0.0530	0.0175	0.0152	0.0106	0.0105	0.0100	51	3	
12	644	0.17434565722942352	343	4.1101179122924805	644.0000	630.0000	222.0000	721.0000	582.0000	789.0000	629.0000	521.0000	780.0000	776.0000	0.1743	0.0910	0.0694	0.0482	0.0435	0.0279	0.0237	0.0233	0.0208	0.0179	644	4	
13	762	0.19664356112480164	343	3.535611152648926	762.0000	362.0000	583.0000	637.0000	917.0000	423.0000	364.0000	47.0000	6.0000	626.0000	0.1966	0.1718	0.1432	0.0511	0.0332	0.0252	0.0207	0.0201	0.0169	0.0124	14	4	
14	216	0.202474445104599	343	3.878643035888672	216.0000	637.0000	44.0000	584.0000	629.0000	814.0000	630.0000	917.0000	222.0000	582.0000	0.2025	0.0889	0.0742	0.0428	0.0401	0.0385	0.0367	0.0270	0.0240	0.0215	160	4	
15	222	0.5552043318748474	343	2.6147115230560303	222.0000	584.0000	780.0000	941.0000	71.0000	521.0000	808.0000	676.0000	629.0000	603.0000	0.5552	0.0453	0.0369	0.0269	0.0214	0.0203	0.0159	0.0146	0.0141	0.0129	576	5	
16	583	0.1903517097234726	343	4.138831615447998	583.0000	364.0000	6.0000	47.0000	904.0000	854.0000	340.0000	575.0000	717.0000	222.0000	0.1904	0.0702	0.0642	0.0491	0.0312	0.0304	0.0286	0.0284	0.0276	0.0200	127	5	
17	364	0.2861028015613556	343	2.8569846153259277	364.0000	222.0000	583.0000	522.0000	521.0000	808.0000	392.0000	780.0000	6.0000	584.0000	0.2861	0.1618	0.1216	0.0680	0.0445	0.0420	0.0386	0.0309	0.0155	0.0155	163	5	
