	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	80	0.37850049138069153	349	2.89858341217041	80.0000	583.0000	575.0000	470.0000	343.0000	701.0000	598.0000	597.0000	513.0000	63.0000	0.3785	0.1050	0.0799	0.0482	0.0463	0.0255	0.0247	0.0224	0.0180	0.0175	198	0	
1	583	0.2008519321680069	349	3.2176034450531006	583.0000	343.0000	491.0000	362.0000	80.0000	597.0000	430.0000	573.0000	917.0000	513.0000	0.2009	0.1864	0.0883	0.0708	0.0447	0.0426	0.0410	0.0329	0.0293	0.0274	26	1	
2	80	0.4006466567516327	349	2.681473731994629	80.0000	701.0000	122.0000	573.0000	583.0000	343.0000	762.0000	491.0000	575.0000	609.0000	0.4006	0.2167	0.0828	0.0236	0.0199	0.0120	0.0117	0.0092	0.0092	0.0087	18	2	
3	575	0.6438214182853699	349	1.8159810304641724	575.0000	583.0000	917.0000	375.0000	343.0000	573.0000	80.0000	491.0000	938.0000	594.0000	0.6438	0.0962	0.0388	0.0304	0.0242	0.0203	0.0201	0.0122	0.0093	0.0071	32	3	
4	80	0.8809413313865662	349	0.706562876701355	80.0000	583.0000	350.0000	273.0000	490.0000	573.0000	297.0000	626.0000	375.0000	593.0000	0.8809	0.0493	0.0117	0.0067	0.0056	0.0055	0.0043	0.0033	0.0017	0.0015	25	4	
5	375	0.17250491678714752	349	3.5422446727752686	375.0000	80.0000	575.0000	513.0000	357.0000	297.0000	235.0000	597.0000	347.0000	626.0000	0.1725	0.1196	0.1135	0.1123	0.0529	0.0276	0.0260	0.0257	0.0194	0.0171	12	5	
6	575	0.831171989440918	349	0.9673529267311096	575.0000	80.0000	343.0000	375.0000	574.0000	573.0000	583.0000	235.0000	593.0000	349.0000	0.8312	0.0424	0.0279	0.0158	0.0142	0.0097	0.0078	0.0065	0.0032	0.0029	9	6	
7	80	0.24748621881008148	349	3.423452377319336	80.0000	573.0000	343.0000	583.0000	785.0000	63.0000	375.0000	297.0000	597.0000	593.0000	0.2475	0.1246	0.0800	0.0773	0.0440	0.0334	0.0198	0.0194	0.0183	0.0182	23	7	
8	575	0.7013968229293823	349	1.4598078727722168	575.0000	80.0000	355.0000	593.0000	343.0000	785.0000	583.0000	349.0000	513.0000	573.0000	0.7014	0.0932	0.0327	0.0239	0.0212	0.0175	0.0173	0.0149	0.0105	0.0072	7	8	
9	343	0.3148568272590637	349	2.331238269805908	343.0000	575.0000	80.0000	573.0000	597.0000	785.0000	583.0000	349.0000	593.0000	513.0000	0.3149	0.2345	0.1320	0.0851	0.0408	0.0406	0.0174	0.0143	0.0112	0.0097	7	9	
10	235	0.1562768816947937	349	3.0846290588378906	235.0000	597.0000	583.0000	80.0000	575.0000	362.0000	762.0000	343.0000	513.0000	573.0000	0.1563	0.1526	0.1175	0.0914	0.0847	0.0433	0.0392	0.0380	0.0349	0.0291	13	10	
11	343	0.4591977894306183	349	2.116123676300049	343.0000	583.0000	573.0000	80.0000	362.0000	575.0000	375.0000	917.0000	597.0000	201.0000	0.4592	0.1408	0.0856	0.0729	0.0683	0.0375	0.0245	0.0181	0.0098	0.0081	16	11	
12	80	0.5893322825431824	349	1.384819507598877	80.0000	583.0000	573.0000	297.0000	575.0000	343.0000	375.0000	362.0000	513.0000	916.0000	0.5893	0.2033	0.1070	0.0183	0.0175	0.0165	0.0144	0.0060	0.0039	0.0028	13	12	
13	80	0.9288908243179321	349	0.41611599922180176	80.0000	575.0000	343.0000	573.0000	513.0000	785.0000	63.0000	593.0000	357.0000	235.0000	0.9289	0.0304	0.0172	0.0042	0.0027	0.0018	0.0018	0.0013	0.0011	0.0009	14	13	
14	575	0.6183797717094421	349	1.3085200786590576	575.0000	80.0000	573.0000	513.0000	762.0000	917.0000	785.0000	349.0000	235.0000	936.0000	0.6184	0.1656	0.1366	0.0274	0.0090	0.0061	0.0058	0.0023	0.0018	0.0016	7	14	
15	917	0.2526991665363312	349	2.895608425140381	917.0000	235.0000	573.0000	349.0000	80.0000	343.0000	575.0000	119.0000	762.0000	357.0000	0.2527	0.1922	0.1317	0.0656	0.0521	0.0419	0.0175	0.0154	0.0126	0.0118	3	15	
16	575	0.27074921131134033	349	3.229687452316284	575.0000	513.0000	80.0000	785.0000	573.0000	583.0000	349.0000	343.0000	593.0000	235.0000	0.2707	0.1808	0.0611	0.0579	0.0407	0.0308	0.0285	0.0244	0.0210	0.0168	6	16	
17	80	0.4569372832775116	349	1.4793528318405151	80.0000	513.0000	573.0000	575.0000	470.0000	785.0000	343.0000	701.0000	375.0000	93.0000	0.4569	0.3488	0.1107	0.0101	0.0094	0.0074	0.0063	0.0053	0.0050	0.0028	12	17	
