	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	844	0.33514249324798584	350	3.1379008293151855	844.0000	552.0000	826.0000	893.0000	75.0000	131.0000	805.0000	776.0000	166.0000	703.0000	0.3351	0.1180	0.0713	0.0543	0.0457	0.0342	0.0232	0.0182	0.0170	0.0152	53	0	
1	583	0.16842538118362427	350	3.7334041595458984	583.0000	675.0000	63.0000	575.0000	80.0000	287.0000	37.0000	598.0000	343.0000	213.0000	0.1684	0.1207	0.1153	0.1107	0.0558	0.0481	0.0187	0.0146	0.0143	0.0121	16	0	
2	521	0.08282111585140228	350	4.471624374389648	521.0000	776.0000	844.0000	805.0000	582.0000	826.0000	643.0000	75.0000	217.0000	166.0000	0.0828	0.0574	0.0546	0.0525	0.0444	0.0434	0.0407	0.0348	0.0273	0.0271	53	0	
3	528	0.24620233476161957	350	4.113736152648926	528.0000	575.0000	37.0000	63.0000	80.0000	819.0000	343.0000	719.0000	583.0000	235.0000	0.2462	0.0905	0.0515	0.0415	0.0363	0.0220	0.0212	0.0197	0.0188	0.0147	19	0	
4	552	0.4095920920372009	350	3.2624778747558594	552.0000	528.0000	282.0000	703.0000	776.0000	893.0000	868.0000	719.0000	647.0000	436.0000	0.4096	0.0533	0.0447	0.0333	0.0251	0.0239	0.0210	0.0162	0.0155	0.0148	113	1	
5	583	0.11660797894001007	350	4.780365467071533	583.0000	287.0000	675.0000	350.0000	143.0000	719.0000	112.0000	213.0000	721.0000	593.0000	0.1166	0.0856	0.0440	0.0416	0.0408	0.0307	0.0230	0.0203	0.0200	0.0183	3	1	
6	899	0.1040678396821022	350	4.686772346496582	899.0000	703.0000	919.0000	483.0000	208.0000	495.0000	285.0000	776.0000	854.0000	421.0000	0.1041	0.0737	0.0650	0.0435	0.0300	0.0299	0.0275	0.0211	0.0163	0.0151	100	1	
7	676	0.08191034942865372	350	4.711008071899414	676.0000	719.0000	521.0000	273.0000	431.0000	674.0000	936.0000	528.0000	348.0000	424.0000	0.0819	0.0795	0.0444	0.0374	0.0363	0.0337	0.0312	0.0259	0.0252	0.0240	66	1	
8	552	0.23808270692825317	350	2.814682960510254	552.0000	844.0000	893.0000	719.0000	528.0000	805.0000	85.0000	364.0000	532.0000	776.0000	0.2381	0.1894	0.1360	0.0797	0.0429	0.0397	0.0362	0.0266	0.0195	0.0194	30	2	
9	675	0.5514186024665833	350	2.3838653564453125	675.0000	819.0000	75.0000	719.0000	598.0000	573.0000	47.0000	287.0000	112.0000	575.0000	0.5514	0.0838	0.0321	0.0303	0.0232	0.0232	0.0224	0.0210	0.0163	0.0160	32	2	
10	483	0.18473786115646362	350	3.165591239929199	483.0000	411.0000	285.0000	854.0000	787.0000	719.0000	716.0000	924.0000	87.0000	208.0000	0.1847	0.1713	0.1079	0.0890	0.0745	0.0641	0.0429	0.0223	0.0156	0.0120	42	2	
11	819	0.2743832767009735	350	3.216427803039551	819.0000	719.0000	675.0000	805.0000	85.0000	80.0000	72.0000	528.0000	112.0000	744.0000	0.2744	0.1637	0.0566	0.0389	0.0378	0.0350	0.0336	0.0286	0.0242	0.0187	76	2	
12	719	0.15282127261161804	350	3.767709732055664	719.0000	285.0000	552.0000	320.0000	492.0000	626.0000	169.0000	440.0000	213.0000	528.0000	0.1528	0.1248	0.0807	0.0515	0.0438	0.0418	0.0357	0.0328	0.0265	0.0265	102	3	
13	583	0.2740490436553955	350	3.0425004959106445	583.0000	112.0000	282.0000	819.0000	932.0000	80.0000	534.0000	396.0000	675.0000	629.0000	0.2740	0.1318	0.1268	0.0755	0.0400	0.0274	0.0260	0.0231	0.0227	0.0214	33	3	
14	626	0.09870211780071259	350	3.88992977142334	626.0000	169.0000	924.0000	551.0000	282.0000	285.0000	162.0000	643.0000	854.0000	440.0000	0.0987	0.0965	0.0813	0.0484	0.0471	0.0462	0.0448	0.0448	0.0422	0.0327	207	3	
15	819	0.18850401043891907	350	2.874912738800049	819.0000	282.0000	112.0000	528.0000	932.0000	80.0000	626.0000	629.0000	347.0000	72.0000	0.1885	0.1764	0.1576	0.1054	0.0510	0.0504	0.0386	0.0267	0.0175	0.0137	52	3	
16	342	0.14961284399032593	350	3.351382255554199	342.0000	531.0000	350.0000	893.0000	552.0000	492.0000	285.0000	614.0000	75.0000	213.0000	0.1496	0.1164	0.0928	0.0894	0.0774	0.0634	0.0360	0.0296	0.0243	0.0229	2	4	
