	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	909	0.5287835597991943	353	2.3411529064178467	909.0000	122.0000	818.0000	353.0000	854.0000	583.0000	282.0000	96.0000	63.0000	6.0000	0.5288	0.0676	0.0602	0.0507	0.0336	0.0317	0.0316	0.0243	0.0133	0.0118	3	0	
1	430	0.15948183834552765	353	3.5315332412719727	430.0000	96.0000	598.0000	299.0000	594.0000	762.0000	353.0000	575.0000	80.0000	205.0000	0.1595	0.1183	0.1076	0.0782	0.0679	0.0419	0.0330	0.0247	0.0239	0.0237	6	0	
2	122	0.6158798933029175	353	1.7289055585861206	122.0000	598.0000	353.0000	594.0000	818.0000	172.0000	287.0000	81.0000	499.0000	63.0000	0.6159	0.0940	0.0729	0.0603	0.0347	0.0155	0.0083	0.0079	0.0078	0.0067	2	0	
3	299	0.31447046995162964	353	2.649115800857544	299.0000	594.0000	122.0000	598.0000	287.0000	675.0000	575.0000	144.0000	63.0000	430.0000	0.3145	0.1319	0.0990	0.0805	0.0594	0.0425	0.0386	0.0248	0.0196	0.0152	20	0	
4	205	0.10494568943977356	353	4.913043975830078	205.0000	299.0000	598.0000	96.0000	470.0000	282.0000	54.0000	499.0000	692.0000	909.0000	0.1049	0.0713	0.0491	0.0477	0.0318	0.0291	0.0270	0.0264	0.0220	0.0173	55	0	
5	422	0.3574170470237732	353	2.0293173789978027	422.0000	353.0000	122.0000	583.0000	96.0000	113.0000	818.0000	71.0000	6.0000	678.0000	0.3574	0.2638	0.1336	0.1068	0.0199	0.0117	0.0113	0.0071	0.0070	0.0066	1	1	
6	96	0.8486157059669495	353	0.6753638982772827	96.0000	353.0000	113.0000	74.0000	499.0000	818.0000	54.0000	133.0000	375.0000	80.0000	0.8486	0.0810	0.0450	0.0027	0.0022	0.0017	0.0012	0.0012	0.0010	0.0010	1	1	
7	122	0.8064975142478943	353	1.0250176191329956	122.0000	499.0000	594.0000	353.0000	938.0000	818.0000	96.0000	678.0000	422.0000	63.0000	0.8065	0.0297	0.0291	0.0280	0.0222	0.0215	0.0121	0.0086	0.0056	0.0052	3	1	
8	575	0.2802535891532898	353	2.594864845275879	575.0000	63.0000	122.0000	597.0000	287.0000	353.0000	938.0000	598.0000	299.0000	15.0000	0.2803	0.1511	0.1356	0.0652	0.0582	0.0489	0.0352	0.0271	0.0232	0.0210	5	1	
9	37	0.10437347739934921	353	3.629876136779785	37.0000	353.0000	499.0000	299.0000	63.0000	598.0000	96.0000	593.0000	81.0000	938.0000	0.1044	0.1003	0.0864	0.0589	0.0484	0.0449	0.0434	0.0358	0.0329	0.0302	1	1	
10	122	0.412203311920166	353	1.8009823560714722	122.0000	353.0000	583.0000	422.0000	282.0000	375.0000	818.0000	96.0000	499.0000	680.0000	0.4122	0.1975	0.1372	0.1187	0.0384	0.0280	0.0192	0.0155	0.0072	0.0038	1	2	
11	96	0.8469924330711365	353	0.737200915813446	96.0000	353.0000	113.0000	818.0000	122.0000	422.0000	909.0000	375.0000	74.0000	81.0000	0.8470	0.0622	0.0394	0.0107	0.0091	0.0049	0.0039	0.0029	0.0029	0.0026	1	2	
