	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	507	0.8057683110237122	358	1.1139328479766846	507.0000	285.0000	457.0000	510.0000	551.0000	705.0000	162.0000	23.0000	585.0000	944.0000	0.8058	0.0668	0.0175	0.0128	0.0091	0.0071	0.0065	0.0040	0.0037	0.0036	12	0	
1	162	0.40075796842575073	358	2.562314987182617	162.0000	673.0000	49.0000	285.0000	925.0000	358.0000	177.0000	440.0000	169.0000	551.0000	0.4008	0.0966	0.0940	0.0654	0.0386	0.0356	0.0326	0.0304	0.0303	0.0234	5	1	
2	507	0.16963620483875275	358	3.4604811668395996	507.0000	285.0000	551.0000	369.0000	241.0000	162.0000	61.0000	673.0000	925.0000	371.0000	0.1696	0.1408	0.0855	0.0532	0.0502	0.0479	0.0446	0.0387	0.0331	0.0318	13	2	
3	162	0.9502878189086914	358	0.3603646159172058	162.0000	34.0000	285.0000	551.0000	457.0000	925.0000	169.0000	705.0000	284.0000	797.0000	0.9503	0.0070	0.0062	0.0042	0.0041	0.0035	0.0028	0.0026	0.0024	0.0018	11	3	
4	285	0.2991480231285095	358	2.340479850769043	285.0000	169.0000	358.0000	673.0000	369.0000	318.0000	49.0000	162.0000	284.0000	241.0000	0.2991	0.2246	0.1266	0.1195	0.0405	0.0229	0.0190	0.0161	0.0116	0.0112	2	4	
5	162	0.1156451553106308	358	3.159093141555786	162.0000	34.0000	284.0000	318.0000	673.0000	540.0000	924.0000	719.0000	457.0000	285.0000	0.1156	0.1004	0.1003	0.0863	0.0773	0.0702	0.0639	0.0397	0.0368	0.0339	14	5	
6	285	0.4863567352294922	358	1.8159232139587402	285.0000	457.0000	162.0000	136.0000	358.0000	284.0000	421.0000	705.0000	507.0000	551.0000	0.4864	0.1965	0.0840	0.0750	0.0523	0.0196	0.0101	0.0072	0.0067	0.0057	4	6	
7	285	0.70469731092453	358	1.1578385829925537	285.0000	162.0000	551.0000	177.0000	358.0000	169.0000	284.0000	34.0000	136.0000	705.0000	0.7047	0.1525	0.0268	0.0235	0.0199	0.0177	0.0148	0.0115	0.0072	0.0055	4	7	
8	925	0.2530478835105896	358	2.2636728286743164	925.0000	551.0000	284.0000	34.0000	285.0000	169.0000	162.0000	23.0000	457.0000	358.0000	0.2530	0.2411	0.1384	0.0932	0.0665	0.0475	0.0345	0.0210	0.0201	0.0139	9	8	
9	87	0.37055671215057373	358	2.078123092651367	87.0000	59.0000	61.0000	551.0000	162.0000	284.0000	925.0000	169.0000	719.0000	673.0000	0.3706	0.1939	0.1666	0.0683	0.0521	0.0291	0.0172	0.0139	0.0127	0.0103	15	9	
