	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	566	0.17598769068717957	359	3.1343770027160645	566.0000	480.0000	800.0000	933.0000	864.0000	16.0000	224.0000	569.0000	664.0000	151.0000	0.1760	0.1397	0.1159	0.0909	0.0695	0.0614	0.0457	0.0441	0.0172	0.0163	29	0	
1	800	0.19420355558395386	359	2.7880935668945312	800.0000	566.0000	815.0000	151.0000	454.0000	933.0000	864.0000	616.0000	258.0000	332.0000	0.1942	0.1418	0.0994	0.0926	0.0786	0.0534	0.0485	0.0440	0.0439	0.0328	21	0	
2	123	0.401096910238266	359	1.932811975479126	123.0000	332.0000	258.0000	815.0000	800.0000	616.0000	50.0000	933.0000	664.0000	864.0000	0.4011	0.2501	0.0848	0.0736	0.0703	0.0237	0.0211	0.0096	0.0087	0.0049	11	0	
3	616	0.3124944865703583	359	3.0186777114868164	616.0000	258.0000	332.0000	123.0000	537.0000	815.0000	747.0000	667.0000	170.0000	360.0000	0.3125	0.1883	0.1429	0.0537	0.0274	0.0176	0.0159	0.0142	0.0070	0.0066	21	0	
4	258	0.4184301793575287	359	1.6591792106628418	258.0000	332.0000	123.0000	571.0000	50.0000	438.0000	170.0000	815.0000	616.0000	747.0000	0.4184	0.3004	0.0984	0.0463	0.0413	0.0205	0.0200	0.0178	0.0138	0.0067	16	0	
5	566	0.28664639592170715	359	2.6555979251861572	566.0000	151.0000	454.0000	800.0000	933.0000	864.0000	815.0000	224.0000	170.0000	616.0000	0.2866	0.1035	0.0843	0.0831	0.0722	0.0601	0.0581	0.0382	0.0382	0.0347	25	0	
6	815	0.7492938041687012	359	1.1893317699432373	815.0000	454.0000	359.0000	800.0000	151.0000	864.0000	664.0000	123.0000	258.0000	224.0000	0.7493	0.0556	0.0501	0.0362	0.0267	0.0138	0.0133	0.0087	0.0083	0.0047	2	0	
7	933	0.15188972651958466	359	2.8088316917419434	933.0000	332.0000	571.0000	123.0000	800.0000	480.0000	50.0000	815.0000	360.0000	616.0000	0.1519	0.1363	0.1357	0.1259	0.0733	0.0697	0.0461	0.0373	0.0357	0.0279	16	0	
8	815	0.23204199969768524	359	2.463395118713379	815.0000	332.0000	258.0000	800.0000	123.0000	50.0000	480.0000	571.0000	359.0000	664.0000	0.2320	0.1801	0.1535	0.0867	0.0656	0.0594	0.0465	0.0381	0.0364	0.0181	8	0	
9	566	0.21656610071659088	359	2.6250534057617188	566.0000	933.0000	224.0000	800.0000	16.0000	67.0000	480.0000	151.0000	664.0000	383.0000	0.2166	0.1955	0.1460	0.1036	0.0544	0.0537	0.0329	0.0297	0.0243	0.0195	17	1	
10	566	0.29998061060905457	359	2.319091796875	566.0000	151.0000	664.0000	67.0000	933.0000	224.0000	815.0000	359.0000	800.0000	123.0000	0.3000	0.1916	0.1643	0.0805	0.0483	0.0419	0.0318	0.0188	0.0181	0.0109	7	1	
11	800	0.5371811985969543	359	2.0152053833007812	800.0000	566.0000	664.0000	359.0000	933.0000	815.0000	258.0000	480.0000	151.0000	571.0000	0.5372	0.1215	0.0813	0.0352	0.0324	0.0320	0.0253	0.0152	0.0132	0.0107	3	1	
12	815	0.25295937061309814	359	3.2424721717834473	815.0000	258.0000	537.0000	616.0000	566.0000	800.0000	715.0000	123.0000	664.0000	359.0000	0.2530	0.1630	0.0952	0.0526	0.0525	0.0439	0.0293	0.0228	0.0207	0.0167	9	1	
13	815	0.6406272053718567	359	1.6917283535003662	815.0000	664.0000	438.0000	151.0000	359.0000	170.0000	258.0000	747.0000	224.0000	480.0000	0.6406	0.0897	0.0585	0.0273	0.0208	0.0171	0.0146	0.0145	0.0144	0.0136	4	1	
14	815	0.2475195825099945	359	2.6394829750061035	815.0000	664.0000	151.0000	359.0000	224.0000	258.0000	800.0000	571.0000	566.0000	332.0000	0.2475	0.1297	0.0992	0.0863	0.0828	0.0740	0.0461	0.0405	0.0307	0.0272	3	1	
15	815	0.2924621105194092	359	1.9487698078155518	815.0000	151.0000	664.0000	800.0000	359.0000	571.0000	838.0000	224.0000	537.0000	566.0000	0.2925	0.2123	0.2034	0.1134	0.0834	0.0241	0.0125	0.0102	0.0078	0.0061	4	1	
16	148	0.21436206996440887	359	3.0525283813476562	148.0000	542.0000	566.0000	151.0000	571.0000	933.0000	360.0000	664.0000	800.0000	140.0000	0.2144	0.1107	0.0946	0.0813	0.0771	0.0468	0.0458	0.0419	0.0352	0.0337	13	1	
17	359	0.2304569035768509	359	2.7874817848205566	359.0000	258.0000	715.0000	664.0000	800.0000	151.0000	484.0000	566.0000	571.0000	815.0000	0.2305	0.1268	0.1088	0.0869	0.0856	0.0559	0.0478	0.0392	0.0358	0.0346	0	1	
18	800	0.27327194809913635	359	2.7961339950561523	800.0000	566.0000	16.0000	933.0000	224.0000	815.0000	151.0000	667.0000	664.0000	480.0000	0.2733	0.1511	0.0936	0.0809	0.0688	0.0398	0.0340	0.0290	0.0268	0.0244	19	2	
19	815	0.5977597832679749	359	1.7013335227966309	815.0000	170.0000	664.0000	151.0000	258.0000	360.0000	50.0000	800.0000	537.0000	616.0000	0.5978	0.0748	0.0649	0.0592	0.0543	0.0291	0.0242	0.0120	0.0107	0.0103	12	2	
20	815	0.6221417188644409	359	0.9235355854034424	815.0000	800.0000	537.0000	664.0000	170.0000	258.0000	151.0000	359.0000	50.0000	566.0000	0.6221	0.3325	0.0076	0.0072	0.0060	0.0045	0.0029	0.0029	0.0024	0.0022	7	2	
21	815	0.4278433322906494	359	3.0230908393859863	815.0000	616.0000	46.0000	800.0000	151.0000	566.0000	537.0000	664.0000	258.0000	454.0000	0.4278	0.1077	0.0508	0.0475	0.0383	0.0218	0.0204	0.0125	0.0125	0.0110	20	2	
22	815	0.29112154245376587	359	2.0375027656555176	815.0000	170.0000	438.0000	258.0000	50.0000	664.0000	151.0000	616.0000	224.0000	123.0000	0.2911	0.2401	0.1413	0.1113	0.0837	0.0298	0.0220	0.0150	0.0144	0.0110	14	2	
23	258	0.3193652033805847	359	2.19708251953125	258.0000	815.0000	50.0000	170.0000	667.0000	616.0000	332.0000	664.0000	16.0000	571.0000	0.3194	0.1726	0.1428	0.1240	0.0545	0.0398	0.0266	0.0216	0.0132	0.0118	16	2	
24	815	0.9846574664115906	359	0.10259547829627991	815.0000	537.0000	151.0000	359.0000	664.0000	800.0000	454.0000	838.0000	123.0000	258.0000	0.9847	0.0067	0.0034	0.0028	0.0017	0.0002	0.0001	0.0001	0.0001	0.0000	3	2	
25	800	0.26966074109077454	359	3.08750057220459	800.0000	933.0000	50.0000	664.0000	657.0000	566.0000	224.0000	667.0000	616.0000	571.0000	0.2697	0.0994	0.0703	0.0688	0.0631	0.0421	0.0362	0.0354	0.0267	0.0254	15	2	
26	50	0.33152326941490173	359	2.0455026626586914	50.0000	359.0000	800.0000	815.0000	664.0000	258.0000	480.0000	151.0000	571.0000	667.0000	0.3315	0.2078	0.1354	0.1297	0.0523	0.0379	0.0264	0.0130	0.0107	0.0073	1	2	
27	800	0.3223944306373596	359	2.8859665393829346	800.0000	933.0000	258.0000	815.0000	571.0000	566.0000	667.0000	820.0000	94.0000	480.0000	0.3224	0.1449	0.0482	0.0421	0.0385	0.0384	0.0380	0.0218	0.0206	0.0199	25	3	
28	933	0.5147202014923096	359	1.7257015705108643	933.0000	67.0000	566.0000	480.0000	16.0000	800.0000	815.0000	123.0000	664.0000	258.0000	0.5147	0.1842	0.1312	0.0233	0.0196	0.0194	0.0176	0.0146	0.0094	0.0070	10	3	
29	800	0.6443167924880981	359	1.5115973949432373	800.0000	815.0000	566.0000	258.0000	933.0000	94.0000	193.0000	332.0000	864.0000	359.0000	0.6443	0.1206	0.0423	0.0392	0.0333	0.0283	0.0137	0.0120	0.0083	0.0079	9	3	
30	815	0.26843884587287903	359	2.8902502059936523	815.0000	332.0000	933.0000	258.0000	572.0000	342.0000	800.0000	210.0000	123.0000	657.0000	0.2684	0.2209	0.0891	0.0752	0.0340	0.0308	0.0272	0.0204	0.0197	0.0131	57	3	
31	815	0.9364702105522156	359	0.3605460822582245	815.0000	438.0000	359.0000	151.0000	664.0000	41.0000	258.0000	50.0000	537.0000	193.0000	0.9365	0.0256	0.0144	0.0080	0.0045	0.0019	0.0018	0.0012	0.0011	0.0010	2	3	
32	815	0.2534770667552948	359	2.2850193977355957	815.0000	258.0000	667.0000	332.0000	50.0000	359.0000	123.0000	41.0000	16.0000	800.0000	0.2535	0.2114	0.1885	0.0989	0.0644	0.0271	0.0253	0.0223	0.0125	0.0103	5	3	
33	815	0.9769390225410461	359	0.1367681473493576	815.0000	800.0000	359.0000	41.0000	537.0000	151.0000	664.0000	454.0000	193.0000	838.0000	0.9769	0.0154	0.0031	0.0017	0.0012	0.0010	0.0002	0.0001	0.0000	0.0000	2	3	
34	332	0.6515130400657654	359	1.2945992946624756	332.0000	123.0000	933.0000	800.0000	258.0000	383.0000	667.0000	480.0000	815.0000	664.0000	0.6515	0.1673	0.0901	0.0197	0.0138	0.0063	0.0061	0.0059	0.0048	0.0047	21	3	
35	258	0.61086505651474	359	1.5738005638122559	258.0000	815.0000	542.0000	800.0000	359.0000	41.0000	148.0000	571.0000	356.0000	763.0000	0.6109	0.1493	0.0510	0.0397	0.0362	0.0242	0.0149	0.0115	0.0094	0.0050	4	3	
36	151	0.43879082798957825	359	2.177361488342285	151.0000	664.0000	566.0000	224.0000	864.0000	571.0000	815.0000	360.0000	800.0000	16.0000	0.4388	0.2093	0.0511	0.0350	0.0342	0.0290	0.0254	0.0205	0.0159	0.0144	11	4	
37	151	0.9291738867759705	359	0.35284414887428284	151.0000	664.0000	566.0000	815.0000	360.0000	454.0000	933.0000	800.0000	864.0000	193.0000	0.9292	0.0480	0.0061	0.0040	0.0035	0.0021	0.0018	0.0014	0.0012	0.0005	11	4	
38	800	0.3554796874523163	359	1.8500795364379883	800.0000	151.0000	454.0000	566.0000	933.0000	664.0000	193.0000	864.0000	815.0000	94.0000	0.3555	0.2635	0.1430	0.0735	0.0422	0.0381	0.0205	0.0193	0.0119	0.0101	11	4	
39	454	0.16185280680656433	359	3.619158983230591	454.0000	667.0000	864.0000	258.0000	815.0000	193.0000	566.0000	151.0000	170.0000	537.0000	0.1619	0.1209	0.0883	0.0813	0.0576	0.0428	0.0314	0.0259	0.0220	0.0198	24	4	
40	438	0.5926560163497925	359	1.5072648525238037	438.0000	815.0000	864.0000	664.0000	258.0000	359.0000	151.0000	537.0000	193.0000	123.0000	0.5927	0.1216	0.0930	0.0611	0.0504	0.0214	0.0205	0.0108	0.0043	0.0039	5	4	
41	664	0.4527985155582428	359	1.8625962734222412	664.0000	151.0000	359.0000	815.0000	258.0000	360.0000	571.0000	224.0000	16.0000	864.0000	0.4528	0.2255	0.0831	0.0790	0.0257	0.0176	0.0149	0.0126	0.0122	0.0120	2	4	
42	151	0.48581430315971375	359	1.1485568284988403	151.0000	815.0000	664.0000	454.0000	864.0000	800.0000	537.0000	359.0000	193.0000	838.0000	0.4858	0.3707	0.1070	0.0113	0.0074	0.0068	0.0053	0.0026	0.0006	0.0006	7	4	
43	151	0.7438983917236328	359	1.065504789352417	151.0000	360.0000	664.0000	571.0000	616.0000	566.0000	800.0000	933.0000	258.0000	383.0000	0.7439	0.1049	0.0697	0.0224	0.0188	0.0070	0.0043	0.0031	0.0022	0.0022	23	4	
44	664	0.4957919120788574	359	1.746527075767517	664.0000	359.0000	258.0000	151.0000	480.0000	815.0000	800.0000	571.0000	454.0000	360.0000	0.4958	0.1502	0.1094	0.1018	0.0431	0.0214	0.0170	0.0134	0.0092	0.0082	1	4	
45	566	0.2859722077846527	359	2.381324291229248	566.0000	800.0000	151.0000	454.0000	94.0000	838.0000	664.0000	16.0000	224.0000	815.0000	0.2860	0.1644	0.1569	0.0845	0.0730	0.0416	0.0367	0.0182	0.0177	0.0158	15	5	
46	151	0.4145686626434326	359	1.5294886827468872	151.0000	815.0000	664.0000	454.0000	800.0000	359.0000	566.0000	193.0000	360.0000	123.0000	0.4146	0.3064	0.1685	0.0284	0.0224	0.0216	0.0071	0.0041	0.0039	0.0034	5	5	
47	800	0.7604783773422241	359	0.773514986038208	800.0000	454.0000	815.0000	566.0000	94.0000	151.0000	193.0000	664.0000	359.0000	864.0000	0.7605	0.1875	0.0181	0.0135	0.0078	0.0042	0.0028	0.0015	0.0014	0.0004	8	5	
48	454	0.34764373302459717	359	3.1018190383911133	454.0000	800.0000	616.0000	815.0000	94.0000	667.0000	170.0000	893.0000	864.0000	75.0000	0.3476	0.1342	0.1028	0.0451	0.0227	0.0223	0.0172	0.0158	0.0156	0.0120	52	5	
49	815	0.35620883107185364	359	1.8395930528640747	815.0000	664.0000	359.0000	151.0000	224.0000	438.0000	864.0000	123.0000	16.0000	480.0000	0.3562	0.2940	0.1110	0.1016	0.0448	0.0142	0.0129	0.0065	0.0054	0.0052	2	5	
