	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.5885680317878723	361	2.1449804306030273	282.0000	100.0000	894.0000	639.0000	523.0000	472.0000	807.0000	58.0000	310.0000	893.0000	0.5886	0.0931	0.0499	0.0291	0.0261	0.0210	0.0116	0.0094	0.0073	0.0071	24	0	
1	547	0.12243543565273285	361	4.9631242752075195	547.0000	285.0000	893.0000	206.0000	235.0000	361.0000	510.0000	23.0000	670.0000	191.0000	0.1224	0.0539	0.0369	0.0368	0.0362	0.0302	0.0292	0.0289	0.0185	0.0156	5	0	
2	51	0.1715364307165146	361	3.585390090942383	51.0000	235.0000	547.0000	703.0000	208.0000	361.0000	528.0000	285.0000	75.0000	776.0000	0.1715	0.1490	0.0875	0.0828	0.0543	0.0452	0.0383	0.0302	0.0196	0.0163	5	0	
3	639	0.11310777068138123	361	4.093329429626465	639.0000	361.0000	0.0000	100.0000	58.0000	528.0000	51.0000	235.0000	789.0000	532.0000	0.1131	0.0569	0.0540	0.0502	0.0461	0.0438	0.0420	0.0376	0.0353	0.0348	1	0	
4	361	0.09831027686595917	361	4.17939567565918	361.0000	285.0000	51.0000	528.0000	884.0000	703.0000	807.0000	547.0000	58.0000	670.0000	0.0983	0.0844	0.0795	0.0731	0.0486	0.0478	0.0301	0.0283	0.0260	0.0252	0	0	
5	361	0.06028695032000542	361	4.893072128295898	361.0000	639.0000	884.0000	58.0000	528.0000	329.0000	802.0000	51.0000	472.0000	100.0000	0.0603	0.0490	0.0477	0.0465	0.0421	0.0355	0.0284	0.0209	0.0204	0.0194	0	0	
6	228	0.4795549213886261	361	2.5756590366363525	228.0000	558.0000	807.0000	58.0000	639.0000	489.0000	329.0000	837.0000	100.0000	802.0000	0.4796	0.1136	0.0714	0.0644	0.0242	0.0164	0.0143	0.0123	0.0087	0.0080	21	0	
7	361	0.465889036655426	361	2.599318504333496	361.0000	807.0000	100.0000	58.0000	51.0000	282.0000	884.0000	894.0000	639.0000	528.0000	0.4659	0.1154	0.0377	0.0339	0.0322	0.0292	0.0281	0.0272	0.0251	0.0192	0	0	
8	703	0.14985507726669312	361	3.5165023803710938	703.0000	51.0000	361.0000	131.0000	235.0000	893.0000	547.0000	208.0000	528.0000	285.0000	0.1499	0.1282	0.1146	0.0754	0.0574	0.0481	0.0414	0.0400	0.0281	0.0174	2	0	
9	282	0.41373422741889954	361	2.202335834503174	282.0000	523.0000	320.0000	452.0000	361.0000	873.0000	682.0000	626.0000	807.0000	894.0000	0.4137	0.3017	0.0407	0.0232	0.0183	0.0176	0.0120	0.0118	0.0103	0.0086	4	1	
10	285	0.2980453670024872	361	2.9756577014923096	285.0000	247.0000	361.0000	547.0000	4.0000	940.0000	811.0000	520.0000	503.0000	329.0000	0.2980	0.1552	0.0735	0.0688	0.0586	0.0369	0.0265	0.0223	0.0166	0.0161	2	1	
11	51	0.5432488918304443	361	1.31382155418396	51.0000	558.0000	361.0000	208.0000	340.0000	264.0000	160.0000	134.0000	441.0000	453.0000	0.5432	0.3000	0.0888	0.0110	0.0085	0.0071	0.0067	0.0060	0.0036	0.0019	2	1	
12	361	0.4735683500766754	361	2.5546677112579346	361.0000	471.0000	626.0000	899.0000	205.0000	547.0000	45.0000	472.0000	859.0000	37.0000	0.4736	0.1260	0.0872	0.0457	0.0434	0.0144	0.0123	0.0105	0.0090	0.0073	0	1	
13	361	0.8285458087921143	361	0.9634388089179993	361.0000	528.0000	547.0000	940.0000	51.0000	807.0000	558.0000	626.0000	247.0000	703.0000	0.8285	0.0463	0.0438	0.0182	0.0045	0.0038	0.0031	0.0029	0.0019	0.0019	0	1	
