	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	510	0.13828688859939575	363	4.4658203125	510.0000	104.0000	226.0000	509.0000	670.0000	277.0000	191.0000	900.0000	503.0000	945.0000	0.1383	0.0941	0.0814	0.0716	0.0449	0.0297	0.0257	0.0174	0.0153	0.0129	245	0	
1	285	0.12550616264343262	363	4.354095935821533	285.0000	82.0000	457.0000	510.0000	681.0000	786.0000	347.0000	797.0000	369.0000	590.0000	0.1255	0.0665	0.0626	0.0541	0.0451	0.0434	0.0356	0.0306	0.0260	0.0234	20	0	
2	681	0.07354269176721573	363	4.637235641479492	681.0000	285.0000	82.0000	510.0000	590.0000	627.0000	137.0000	786.0000	589.0000	369.0000	0.0735	0.0689	0.0585	0.0497	0.0357	0.0351	0.0340	0.0316	0.0241	0.0220	24	0	
3	510	0.08042630553245544	363	5.031071186065674	510.0000	104.0000	503.0000	670.0000	226.0000	96.0000	277.0000	692.0000	82.0000	832.0000	0.0804	0.0694	0.0559	0.0473	0.0376	0.0246	0.0224	0.0175	0.0169	0.0162	217	0	
4	910	0.2897840440273285	363	4.424633979797363	910.0000	869.0000	440.0000	924.0000	621.0000	277.0000	285.0000	854.0000	304.0000	578.0000	0.2898	0.0398	0.0315	0.0285	0.0264	0.0192	0.0140	0.0125	0.0121	0.0119	142	1	
5	786	0.3334542214870453	363	2.72235107421875	786.0000	578.0000	510.0000	369.0000	590.0000	295.0000	910.0000	288.0000	869.0000	621.0000	0.3335	0.1745	0.1167	0.0539	0.0424	0.0289	0.0215	0.0187	0.0157	0.0120	16	1	
6	786	0.3104530870914459	363	3.2564918994903564	786.0000	590.0000	578.0000	285.0000	369.0000	510.0000	910.0000	869.0000	295.0000	440.0000	0.3105	0.0991	0.0942	0.0665	0.0392	0.0282	0.0258	0.0189	0.0184	0.0180	11	1	
7	910	0.10636511445045471	363	4.42855978012085	910.0000	924.0000	621.0000	869.0000	440.0000	942.0000	285.0000	277.0000	282.0000	909.0000	0.1064	0.1015	0.0802	0.0798	0.0382	0.0260	0.0235	0.0220	0.0212	0.0177	61	1	
8	142	0.2427573949098587	363	4.324316024780273	142.0000	288.0000	854.0000	304.0000	621.0000	226.0000	295.0000	510.0000	837.0000	431.0000	0.2428	0.0521	0.0473	0.0417	0.0309	0.0270	0.0256	0.0254	0.0201	0.0178	46	2	
9	786	0.4072421193122864	363	3.08392333984375	786.0000	289.0000	288.0000	510.0000	369.0000	681.0000	869.0000	698.0000	295.0000	568.0000	0.4072	0.0586	0.0420	0.0413	0.0327	0.0324	0.0274	0.0206	0.0188	0.0180	21	2	
10	786	0.2518530488014221	363	3.3326425552368164	786.0000	289.0000	288.0000	568.0000	621.0000	363.0000	590.0000	316.0000	869.0000	305.0000	0.2519	0.1174	0.1099	0.0389	0.0377	0.0300	0.0256	0.0241	0.0220	0.0196	5	2	
11	288	0.15355007350444794	363	4.322386264801025	288.0000	277.0000	854.0000	621.0000	304.0000	295.0000	521.0000	811.0000	28.0000	625.0000	0.1536	0.1406	0.0463	0.0390	0.0300	0.0281	0.0233	0.0157	0.0149	0.0143	31	2	
12	621	0.22896672785282135	363	3.428354263305664	621.0000	228.0000	854.0000	4.0000	657.0000	910.0000	279.0000	510.0000	295.0000	191.0000	0.2290	0.1009	0.1001	0.0653	0.0521	0.0355	0.0353	0.0265	0.0242	0.0218	21	3	
13	786	0.7422020435333252	363	1.3395946025848389	786.0000	621.0000	288.0000	690.0000	589.0000	363.0000	568.0000	869.0000	590.0000	305.0000	0.7422	0.0644	0.0317	0.0305	0.0176	0.0155	0.0143	0.0132	0.0068	0.0062	5	3	
14	288	0.33357739448547363	363	2.1388041973114014	288.0000	621.0000	786.0000	869.0000	657.0000	568.0000	589.0000	28.0000	590.0000	363.0000	0.3336	0.2014	0.1629	0.1220	0.0416	0.0186	0.0143	0.0109	0.0101	0.0076	9	3	
15	621	0.5106948018074036	363	2.499675750732422	621.0000	277.0000	4.0000	910.0000	228.0000	279.0000	854.0000	807.0000	295.0000	288.0000	0.5107	0.0682	0.0496	0.0437	0.0421	0.0383	0.0283	0.0203	0.0114	0.0099	11	3	
16	191	0.26330697536468506	363	3.207977294921875	191.0000	910.0000	295.0000	510.0000	509.0000	869.0000	674.0000	503.0000	521.0000	288.0000	0.2633	0.1487	0.1398	0.0953	0.0391	0.0180	0.0162	0.0133	0.0121	0.0108	15	4	
17	786	0.231337308883667	363	2.401703357696533	786.0000	681.0000	363.0000	590.0000	510.0000	369.0000	811.0000	589.0000	869.0000	295.0000	0.2313	0.2291	0.2185	0.0823	0.0536	0.0302	0.0269	0.0080	0.0078	0.0076	2	4	
18	590	0.35572871565818787	363	1.9458673000335693	590.0000	681.0000	363.0000	510.0000	786.0000	869.0000	288.0000	369.0000	578.0000	289.0000	0.3557	0.2459	0.1427	0.0890	0.0679	0.0204	0.0130	0.0093	0.0053	0.0040	2	4	
19	295	0.11805395781993866	363	4.228193283081055	295.0000	288.0000	191.0000	509.0000	910.0000	869.0000	676.0000	277.0000	65.0000	510.0000	0.1181	0.0892	0.0600	0.0484	0.0465	0.0378	0.0342	0.0294	0.0256	0.0253	15	4	
20	142	0.3496834933757782	363	3.536794662475586	142.0000	869.0000	782.0000	467.0000	363.0000	854.0000	909.0000	295.0000	114.0000	288.0000	0.3497	0.0810	0.0375	0.0284	0.0255	0.0186	0.0183	0.0174	0.0157	0.0155	4	5	
21	786	0.32292625308036804	363	2.7748966217041016	786.0000	295.0000	578.0000	510.0000	590.0000	869.0000	768.0000	681.0000	363.0000	660.0000	0.3229	0.1432	0.0904	0.0752	0.0585	0.0354	0.0199	0.0195	0.0180	0.0168	8	5	
22	590	0.3778407871723175	363	2.277635097503662	590.0000	363.0000	510.0000	869.0000	786.0000	768.0000	295.0000	578.0000	289.0000	589.0000	0.3778	0.1183	0.0960	0.0934	0.0867	0.0522	0.0412	0.0226	0.0174	0.0148	1	5	
23	690	0.20946452021598816	363	3.7095799446105957	690.0000	832.0000	288.0000	467.0000	295.0000	869.0000	621.0000	541.0000	28.0000	363.0000	0.2095	0.0966	0.0723	0.0621	0.0310	0.0298	0.0297	0.0281	0.0263	0.0255	9	5	
24	578	0.6709654927253723	363	1.4443111419677734	578.0000	621.0000	910.0000	942.0000	559.0000	137.0000	363.0000	660.0000	931.0000	155.0000	0.6710	0.1795	0.0154	0.0115	0.0102	0.0099	0.0084	0.0063	0.0055	0.0052	6	6	
25	590	0.49048206210136414	363	1.3904435634613037	590.0000	786.0000	578.0000	621.0000	363.0000	660.0000	155.0000	289.0000	681.0000	812.0000	0.4905	0.2270	0.1886	0.0496	0.0190	0.0060	0.0035	0.0035	0.0014	0.0014	4	6	
26	578	0.5514199137687683	363	1.2804579734802246	578.0000	621.0000	590.0000	786.0000	363.0000	155.0000	660.0000	289.0000	869.0000	124.0000	0.5514	0.1798	0.1530	0.0924	0.0113	0.0023	0.0023	0.0015	0.0011	0.0007	4	6	
27	621	0.34861645102500916	363	2.9679226875305176	621.0000	786.0000	28.0000	578.0000	812.0000	942.0000	155.0000	559.0000	590.0000	219.0000	0.3486	0.0916	0.0694	0.0681	0.0430	0.0311	0.0264	0.0259	0.0257	0.0210	10	6	
28	657	0.29347357153892517	363	3.079632043838501	657.0000	931.0000	133.0000	690.0000	621.0000	181.0000	627.0000	28.0000	942.0000	559.0000	0.2935	0.1214	0.1016	0.0410	0.0314	0.0275	0.0268	0.0262	0.0251	0.0246	15	7	
29	931	0.5355111956596375	363	0.770959198474884	931.0000	786.0000	295.0000	155.0000	869.0000	910.0000	273.0000	690.0000	797.0000	363.0000	0.5355	0.4542	0.0031	0.0009	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	9	7	
30	786	0.726395845413208	363	1.1369762420654297	786.0000	931.0000	363.0000	578.0000	869.0000	289.0000	621.0000	28.0000	295.0000	590.0000	0.7264	0.1051	0.0483	0.0446	0.0197	0.0181	0.0107	0.0041	0.0038	0.0026	2	7	
31	931	0.31498199701309204	363	2.6869704723358154	931.0000	28.0000	561.0000	621.0000	559.0000	657.0000	690.0000	295.0000	942.0000	633.0000	0.3150	0.0880	0.0870	0.0819	0.0575	0.0568	0.0565	0.0417	0.0401	0.0350	17	7	
32	288	0.7356298565864563	363	1.1417324542999268	288.0000	295.0000	363.0000	869.0000	910.0000	621.0000	412.0000	578.0000	510.0000	273.0000	0.7356	0.0776	0.0712	0.0378	0.0156	0.0139	0.0116	0.0097	0.0055	0.0044	2	8	
33	786	0.2736664414405823	363	2.898797035217285	786.0000	363.0000	285.0000	440.0000	931.0000	681.0000	124.0000	403.0000	936.0000	869.0000	0.2737	0.2439	0.0755	0.0607	0.0303	0.0212	0.0186	0.0182	0.0171	0.0132	1	8	
34	288	0.8426579833030701	363	0.7557327151298523	288.0000	363.0000	786.0000	869.0000	590.0000	97.0000	812.0000	621.0000	315.0000	124.0000	0.8427	0.0841	0.0244	0.0181	0.0034	0.0018	0.0015	0.0013	0.0012	0.0010	1	8	
35	288	0.9174078702926636	363	0.4793906509876251	288.0000	295.0000	363.0000	621.0000	28.0000	869.0000	812.0000	910.0000	412.0000	273.0000	0.9174	0.0237	0.0145	0.0138	0.0076	0.0071	0.0027	0.0024	0.0011	0.0010	2	8	
36	104	0.29597464203834534	363	3.377953290939331	104.0000	295.0000	869.0000	346.0000	930.0000	133.0000	621.0000	142.0000	853.0000	190.0000	0.2960	0.0786	0.0762	0.0590	0.0467	0.0382	0.0360	0.0284	0.0195	0.0191	11	9	
37	621	0.31656143069267273	363	2.8848977088928223	621.0000	786.0000	363.0000	590.0000	510.0000	696.0000	431.0000	289.0000	768.0000	869.0000	0.3166	0.1632	0.1093	0.0366	0.0285	0.0259	0.0226	0.0217	0.0200	0.0196	2	9	
38	590	0.19585822522640228	363	3.2896900177001953	590.0000	289.0000	786.0000	621.0000	657.0000	578.0000	363.0000	696.0000	768.0000	431.0000	0.1959	0.0783	0.0746	0.0729	0.0704	0.0641	0.0532	0.0368	0.0356	0.0318	6	9	
39	621	0.1673499047756195	363	4.068624496459961	621.0000	295.0000	869.0000	28.0000	228.0000	104.0000	363.0000	832.0000	346.0000	853.0000	0.1673	0.0929	0.0722	0.0517	0.0414	0.0391	0.0258	0.0242	0.0188	0.0185	6	9	
40	909	0.2522430419921875	363	3.287858009338379	909.0000	819.0000	413.0000	133.0000	585.0000	657.0000	584.0000	191.0000	924.0000	941.0000	0.2522	0.1618	0.1041	0.0427	0.0332	0.0301	0.0259	0.0230	0.0180	0.0130	14	10	
41	285	0.6152137517929077	363	1.893052339553833	285.0000	440.0000	786.0000	510.0000	578.0000	162.0000	363.0000	869.0000	275.0000	811.0000	0.6152	0.1127	0.0645	0.0213	0.0192	0.0139	0.0110	0.0086	0.0082	0.0080	6	10	
42	786	0.24845241010189056	363	2.588583469390869	786.0000	510.0000	869.0000	363.0000	578.0000	285.0000	413.0000	307.0000	713.0000	288.0000	0.2485	0.2379	0.1703	0.0540	0.0537	0.0444	0.0137	0.0106	0.0103	0.0097	3	10	
43	819	0.2194303423166275	363	3.842545509338379	819.0000	924.0000	295.0000	191.0000	42.0000	65.0000	910.0000	809.0000	807.0000	413.0000	0.2194	0.1044	0.0400	0.0345	0.0341	0.0339	0.0240	0.0232	0.0220	0.0219	13	10	
44	657	0.996502161026001	363	0.03620261698961258	657.0000	627.0000	201.0000	813.0000	191.0000	931.0000	809.0000	710.0000	289.0000	578.0000	0.9965	0.0004	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	60	11	
45	289	0.21620751917362213	363	2.4702024459838867	289.0000	786.0000	201.0000	681.0000	869.0000	590.0000	510.0000	295.0000	369.0000	155.0000	0.2162	0.2148	0.1912	0.1324	0.0254	0.0199	0.0176	0.0136	0.0130	0.0129	12	11	
46	289	0.3849533200263977	363	2.1914751529693604	289.0000	201.0000	786.0000	578.0000	681.0000	590.0000	657.0000	416.0000	768.0000	155.0000	0.3850	0.2321	0.0798	0.0451	0.0412	0.0331	0.0262	0.0224	0.0208	0.0147	16	11	
47	657	0.8993209004402161	363	0.6382841467857361	657.0000	289.0000	201.0000	813.0000	696.0000	809.0000	304.0000	627.0000	590.0000	931.0000	0.8993	0.0219	0.0153	0.0090	0.0089	0.0049	0.0043	0.0039	0.0032	0.0029	84	11	
48	295	0.7138446569442749	363	1.3925437927246094	295.0000	869.0000	621.0000	96.0000	692.0000	510.0000	431.0000	690.0000	786.0000	412.0000	0.7138	0.1159	0.0292	0.0246	0.0181	0.0104	0.0078	0.0077	0.0046	0.0045	12	12	
49	786	0.5523704886436462	363	1.7271878719329834	786.0000	690.0000	201.0000	363.0000	660.0000	797.0000	710.0000	289.0000	98.0000	931.0000	0.5524	0.1747	0.0522	0.0499	0.0329	0.0310	0.0201	0.0167	0.0089	0.0079	3	12	
50	786	0.5168612599372864	363	1.785358190536499	786.0000	621.0000	289.0000	363.0000	578.0000	295.0000	590.0000	201.0000	869.0000	812.0000	0.5169	0.1512	0.1280	0.0603	0.0287	0.0161	0.0140	0.0118	0.0106	0.0082	3	12	
51	690	0.23674362897872925	363	2.881957530975342	690.0000	295.0000	854.0000	471.0000	278.0000	96.0000	786.0000	692.0000	252.0000	869.0000	0.2367	0.2258	0.1616	0.0325	0.0259	0.0222	0.0188	0.0187	0.0184	0.0171	29	12	
52	837	0.1750451773405075	363	3.4295382499694824	837.0000	295.0000	363.0000	869.0000	228.0000	585.0000	899.0000	706.0000	910.0000	278.0000	0.1750	0.1668	0.0919	0.0875	0.0640	0.0488	0.0278	0.0200	0.0199	0.0140	2	13	
53	510	0.5823621153831482	363	1.8550286293029785	510.0000	786.0000	295.0000	363.0000	869.0000	590.0000	201.0000	710.0000	285.0000	660.0000	0.5824	0.1357	0.1010	0.0235	0.0166	0.0123	0.0113	0.0077	0.0074	0.0072	3	13	
54	510	0.5110880136489868	363	1.8183317184448242	510.0000	590.0000	786.0000	869.0000	295.0000	363.0000	578.0000	431.0000	201.0000	416.0000	0.5111	0.2071	0.0790	0.0429	0.0342	0.0268	0.0208	0.0094	0.0071	0.0060	5	13	
55	273	0.4760631024837494	363	2.2921180725097656	273.0000	426.0000	295.0000	288.0000	28.0000	621.0000	363.0000	910.0000	869.0000	799.0000	0.4761	0.1051	0.0883	0.0579	0.0464	0.0395	0.0236	0.0181	0.0165	0.0150	6	13	
56	295	0.21744094789028168	363	3.7123284339904785	295.0000	837.0000	65.0000	38.0000	363.0000	563.0000	488.0000	621.0000	809.0000	910.0000	0.2174	0.1044	0.0638	0.0513	0.0505	0.0351	0.0351	0.0217	0.0211	0.0209	4	14	
57	786	0.5840327739715576	363	1.4556703567504883	786.0000	660.0000	363.0000	710.0000	440.0000	510.0000	295.0000	201.0000	621.0000	869.0000	0.5840	0.1992	0.0809	0.0433	0.0232	0.0212	0.0072	0.0070	0.0052	0.0025	2	14	
58	786	0.4757474958896637	363	1.9812984466552734	786.0000	363.0000	660.0000	201.0000	621.0000	510.0000	289.0000	416.0000	413.0000	710.0000	0.4757	0.1631	0.1348	0.0468	0.0251	0.0250	0.0137	0.0135	0.0099	0.0074	1	14	
59	910	0.11730537563562393	363	4.052603721618652	910.0000	771.0000	288.0000	294.0000	295.0000	273.0000	786.0000	178.0000	306.0000	28.0000	0.1173	0.0834	0.0715	0.0548	0.0432	0.0375	0.0355	0.0322	0.0253	0.0249	34	14	
60	295	0.6432783603668213	363	1.0999733209609985	295.0000	621.0000	363.0000	869.0000	578.0000	38.0000	930.0000	431.0000	554.0000	510.0000	0.6433	0.2376	0.0524	0.0379	0.0114	0.0023	0.0009	0.0008	0.0007	0.0006	2	15	
61	786	0.7723904848098755	363	1.0388214588165283	786.0000	363.0000	510.0000	621.0000	578.0000	590.0000	295.0000	869.0000	289.0000	660.0000	0.7724	0.1094	0.0229	0.0217	0.0128	0.0070	0.0063	0.0061	0.0055	0.0055	1	15	
62	786	0.2216760814189911	363	2.200988292694092	786.0000	578.0000	621.0000	363.0000	590.0000	869.0000	768.0000	295.0000	289.0000	288.0000	0.2217	0.2153	0.1811	0.1185	0.0924	0.0620	0.0164	0.0134	0.0119	0.0098	3	15	
63	295	0.6172548532485962	363	1.3306105136871338	295.0000	621.0000	363.0000	869.0000	590.0000	499.0000	771.0000	494.0000	275.0000	812.0000	0.6173	0.2394	0.0591	0.0214	0.0051	0.0041	0.0040	0.0038	0.0038	0.0035	2	15	
64	578	0.18817578256130219	363	3.4522035121917725	578.0000	563.0000	655.0000	235.0000	190.0000	142.0000	295.0000	942.0000	307.0000	689.0000	0.1882	0.0897	0.0864	0.0670	0.0555	0.0479	0.0420	0.0361	0.0334	0.0327	21	16	
65	786	0.6122771501541138	363	1.635865330696106	786.0000	590.0000	440.0000	363.0000	347.0000	201.0000	578.0000	931.0000	710.0000	295.0000	0.6123	0.1004	0.0843	0.0467	0.0420	0.0313	0.0113	0.0103	0.0099	0.0047	3	16	
66	590	0.45981740951538086	363	1.832819938659668	590.0000	786.0000	201.0000	578.0000	363.0000	440.0000	347.0000	627.0000	436.0000	931.0000	0.4598	0.2491	0.0780	0.0639	0.0306	0.0272	0.0149	0.0103	0.0077	0.0035	4	16	
67	583	0.11117689311504364	363	3.9675703048706055	583.0000	203.0000	809.0000	837.0000	942.0000	306.0000	310.0000	295.0000	326.0000	277.0000	0.1112	0.0749	0.0629	0.0577	0.0530	0.0499	0.0458	0.0418	0.0391	0.0254	29	16	
68	295	0.5424756407737732	363	1.60567045211792	295.0000	910.0000	621.0000	273.0000	578.0000	307.0000	288.0000	142.0000	674.0000	786.0000	0.5425	0.1982	0.1490	0.0167	0.0114	0.0084	0.0058	0.0057	0.0041	0.0035	10	17	
69	786	0.7490697503089905	363	1.2281606197357178	786.0000	201.0000	155.0000	363.0000	510.0000	578.0000	657.0000	590.0000	660.0000	288.0000	0.7491	0.0455	0.0402	0.0373	0.0232	0.0213	0.0176	0.0125	0.0108	0.0096	3	17	
70	786	0.4806230366230011	363	1.7229161262512207	786.0000	657.0000	590.0000	578.0000	621.0000	201.0000	288.0000	363.0000	137.0000	155.0000	0.4806	0.1699	0.1489	0.0537	0.0377	0.0255	0.0248	0.0150	0.0123	0.0078	7	17	
71	621	0.22241806983947754	363	2.664327621459961	621.0000	295.0000	910.0000	786.0000	288.0000	625.0000	783.0000	28.0000	495.0000	690.0000	0.2224	0.2085	0.1344	0.1168	0.0933	0.0210	0.0175	0.0172	0.0130	0.0089	23	17	
72	909	0.35338661074638367	363	3.091036319732666	909.0000	584.0000	38.0000	924.0000	96.0000	554.0000	558.0000	4.0000	282.0000	679.0000	0.3534	0.1441	0.0770	0.0250	0.0223	0.0221	0.0214	0.0203	0.0188	0.0177	17	18	
73	786	0.7032637596130371	363	1.6953867673873901	786.0000	797.0000	931.0000	869.0000	660.0000	578.0000	363.0000	289.0000	155.0000	925.0000	0.7033	0.0443	0.0271	0.0258	0.0199	0.0190	0.0149	0.0101	0.0100	0.0090	6	18	
74	786	0.5284910202026367	363	1.8912382125854492	786.0000	869.0000	288.0000	931.0000	363.0000	155.0000	289.0000	578.0000	660.0000	812.0000	0.5285	0.1399	0.1127	0.0406	0.0301	0.0226	0.0188	0.0141	0.0134	0.0072	4	18	
75	282	0.22574475407600403	363	2.8653640747070312	282.0000	96.0000	909.0000	558.0000	584.0000	554.0000	924.0000	499.0000	528.0000	346.0000	0.2257	0.2020	0.0940	0.0853	0.0777	0.0616	0.0258	0.0252	0.0149	0.0135	38	18	
76	295	0.27907198667526245	363	2.4301559925079346	295.0000	910.0000	621.0000	288.0000	219.0000	363.0000	273.0000	931.0000	837.0000	812.0000	0.2791	0.1914	0.1475	0.0960	0.0798	0.0286	0.0273	0.0154	0.0130	0.0111	5	19	
77	786	0.8808659315109253	363	0.6450393795967102	786.0000	363.0000	621.0000	931.0000	578.0000	812.0000	288.0000	275.0000	657.0000	295.0000	0.8809	0.0387	0.0222	0.0184	0.0069	0.0065	0.0059	0.0029	0.0024	0.0021	1	19	
78	621	0.7692221999168396	363	0.8742877244949341	621.0000	786.0000	288.0000	363.0000	578.0000	657.0000	812.0000	590.0000	931.0000	305.0000	0.7692	0.1269	0.0588	0.0143	0.0123	0.0041	0.0029	0.0016	0.0014	0.0009	3	19	
79	621	0.4790893793106079	363	1.8776737451553345	621.0000	288.0000	228.0000	295.0000	28.0000	219.0000	812.0000	275.0000	363.0000	278.0000	0.4791	0.1870	0.1309	0.0337	0.0328	0.0259	0.0175	0.0115	0.0111	0.0086	8	19	
80	928	0.15118031203746796	363	3.290086030960083	928.0000	38.0000	346.0000	554.0000	499.0000	441.0000	295.0000	909.0000	854.0000	304.0000	0.1512	0.1082	0.0957	0.0880	0.0879	0.0877	0.0522	0.0399	0.0207	0.0201	17	20	
81	621	0.6466786861419678	363	1.2528189420700073	621.0000	295.0000	786.0000	288.0000	590.0000	363.0000	289.0000	578.0000	275.0000	869.0000	0.6467	0.1522	0.1142	0.0189	0.0133	0.0106	0.0086	0.0085	0.0066	0.0054	5	20	
82	288	0.5649337768554688	363	1.0508153438568115	288.0000	621.0000	786.0000	578.0000	295.0000	28.0000	869.0000	590.0000	363.0000	289.0000	0.5649	0.3684	0.0220	0.0065	0.0065	0.0052	0.0039	0.0036	0.0033	0.0024	8	20	
83	441	0.6256572008132935	363	1.8183656930923462	441.0000	346.0000	928.0000	554.0000	295.0000	854.0000	304.0000	730.0000	282.0000	288.0000	0.6257	0.0669	0.0637	0.0449	0.0334	0.0169	0.0168	0.0111	0.0108	0.0089	29	20	
84	295	0.22151513397693634	363	2.9124531745910645	295.0000	783.0000	909.0000	28.0000	869.0000	786.0000	219.0000	690.0000	363.0000	910.0000	0.2215	0.1709	0.1002	0.0993	0.0525	0.0458	0.0397	0.0248	0.0228	0.0178	8	21	
85	295	0.47832006216049194	363	1.0591930150985718	295.0000	786.0000	363.0000	869.0000	369.0000	275.0000	578.0000	568.0000	621.0000	288.0000	0.4783	0.4468	0.0313	0.0129	0.0070	0.0055	0.0042	0.0028	0.0028	0.0025	2	21	
86	786	0.38490787148475647	363	1.749040126800537	786.0000	869.0000	621.0000	363.0000	288.0000	28.0000	295.0000	590.0000	305.0000	289.0000	0.3849	0.2158	0.1393	0.1137	0.0828	0.0175	0.0169	0.0061	0.0042	0.0033	3	21	
87	295	0.3365536034107208	363	2.2241954803466797	295.0000	28.0000	219.0000	690.0000	471.0000	288.0000	786.0000	598.0000	910.0000	783.0000	0.3366	0.2405	0.1289	0.0409	0.0386	0.0356	0.0356	0.0290	0.0178	0.0166	14	21	
88	295	0.2772904336452484	363	2.3273301124572754	295.0000	869.0000	910.0000	621.0000	28.0000	191.0000	288.0000	363.0000	786.0000	273.0000	0.2773	0.2474	0.1335	0.0775	0.0451	0.0414	0.0361	0.0289	0.0241	0.0131	7	22	
