	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	364	0.14536400139331818	364	4.402814865112305	364.0000	511.0000	617.0000	38.0000	483.0000	538.0000	358.0000	191.0000	923.0000	96.0000	0.1454	0.0974	0.0490	0.0300	0.0285	0.0254	0.0240	0.0224	0.0221	0.0200	0	0	
1	364	0.9984303116798401	364	0.01663360744714737	364.0000	912.0000	342.0000	483.0000	552.0000	453.0000	96.0000	148.0000	166.0000	32.0000	0.9984	0.0005	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0	0	
2	489	0.8190862536430359	364	0.5674272775650024	489.0000	364.0000	912.0000	104.0000	277.0000	511.0000	141.0000	279.0000	331.0000	161.0000	0.8191	0.1471	0.0328	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	1	1	
3	364	0.9650027751922607	364	0.17479924857616425	364.0000	912.0000	552.0000	483.0000	342.0000	673.0000	453.0000	889.0000	489.0000	61.0000	0.9650	0.0319	0.0008	0.0003	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0	1	
4	912	0.41555148363113403	364	1.436190128326416	912.0000	364.0000	489.0000	511.0000	6.0000	465.0000	617.0000	161.0000	141.0000	104.0000	0.4156	0.4099	0.0651	0.0356	0.0131	0.0103	0.0102	0.0080	0.0052	0.0047	1	2	
5	364	0.8900240063667297	364	0.3604244291782379	364.0000	912.0000	483.0000	285.0000	548.0000	32.0000	358.0000	88.0000	49.0000	96.0000	0.8900	0.1084	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	2	
6	364	0.9380958676338196	364	0.2786383032798767	364.0000	489.0000	912.0000	96.0000	161.0000	331.0000	88.0000	104.0000	507.0000	750.0000	0.9381	0.0521	0.0038	0.0025	0.0010	0.0006	0.0006	0.0004	0.0003	0.0001	0	3	
7	364	0.9947486519813538	364	0.03350546956062317	364.0000	912.0000	552.0000	88.0000	528.0000	157.0000	483.0000	548.0000	673.0000	492.0000	0.9947	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	3	
8	364	0.8989988565444946	364	0.5406601428985596	364.0000	912.0000	6.0000	442.0000	511.0000	186.0000	88.0000	489.0000	617.0000	38.0000	0.8990	0.0347	0.0245	0.0116	0.0078	0.0073	0.0024	0.0018	0.0017	0.0016	0	4	
9	364	0.9957543611526489	364	0.031412411481142044	364.0000	912.0000	483.0000	548.0000	673.0000	889.0000	32.0000	285.0000	552.0000	166.0000	0.9958	0.0035	0.0003	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0	4	
