	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	585	0.1903764307498932	370	3.68499493598938	585.0000	75.0000	215.0000	141.0000	348.0000	315.0000	530.0000	164.0000	205.0000	45.0000	0.1904	0.1543	0.0620	0.0584	0.0469	0.0396	0.0390	0.0364	0.0232	0.0166	34	0	
1	75	0.09243512898683548	370	4.914070129394531	75.0000	141.0000	348.0000	277.0000	239.0000	215.0000	585.0000	888.0000	162.0000	6.0000	0.0924	0.0923	0.0495	0.0435	0.0386	0.0235	0.0226	0.0202	0.0166	0.0162	106	0	
2	141	0.12989965081214905	370	3.9548861980438232	141.0000	621.0000	358.0000	82.0000	510.0000	507.0000	925.0000	589.0000	277.0000	755.0000	0.1299	0.0835	0.0815	0.0536	0.0532	0.0491	0.0397	0.0338	0.0279	0.0238	366	0	
3	75	0.1900247186422348	370	3.4483566284179688	75.0000	789.0000	215.0000	141.0000	530.0000	417.0000	585.0000	164.0000	621.0000	213.0000	0.1900	0.1257	0.1040	0.0713	0.0661	0.0434	0.0301	0.0297	0.0296	0.0222	11	1	
4	888	0.0767068937420845	370	4.7176971435546875	888.0000	117.0000	0.0000	215.0000	655.0000	854.0000	724.0000	865.0000	219.0000	443.0000	0.0767	0.0610	0.0533	0.0484	0.0465	0.0454	0.0238	0.0223	0.0191	0.0187	14	1	
5	49	0.20226313173770905	370	4.166748046875	49.0000	673.0000	925.0000	169.0000	417.0000	507.0000	166.0000	540.0000	811.0000	177.0000	0.2023	0.0676	0.0605	0.0575	0.0409	0.0273	0.0232	0.0230	0.0202	0.0163	564	1	
6	233	0.5215818881988525	370	2.571775436401367	233.0000	888.0000	141.0000	370.0000	215.0000	286.0000	219.0000	6.0000	75.0000	626.0000	0.5216	0.0507	0.0481	0.0386	0.0369	0.0269	0.0254	0.0205	0.0163	0.0136	3	2	
7	485	0.8563043475151062	370	0.787806510925293	485.0000	233.0000	6.0000	219.0000	0.0000	888.0000	477.0000	625.0000	306.0000	783.0000	0.8563	0.0550	0.0251	0.0119	0.0083	0.0053	0.0029	0.0027	0.0018	0.0018	15	2	
8	169	0.3060342073440552	370	2.883634567260742	169.0000	925.0000	166.0000	167.0000	177.0000	509.0000	889.0000	331.0000	358.0000	49.0000	0.3060	0.1130	0.0841	0.0728	0.0725	0.0457	0.0357	0.0337	0.0240	0.0182	382	2	
9	75	0.27792230248451233	370	2.357952833175659	75.0000	215.0000	233.0000	530.0000	368.0000	164.0000	585.0000	141.0000	205.0000	627.0000	0.2779	0.2506	0.1280	0.1017	0.0532	0.0284	0.0244	0.0133	0.0105	0.0104	14	3	
10	215	0.8475068211555481	370	0.7649922370910645	215.0000	233.0000	75.0000	368.0000	0.0000	591.0000	370.0000	530.0000	585.0000	628.0000	0.8475	0.0799	0.0193	0.0076	0.0051	0.0049	0.0043	0.0040	0.0027	0.0024	6	3	
11	358	0.17594611644744873	370	3.235114574432373	358.0000	925.0000	164.0000	621.0000	589.0000	75.0000	417.0000	371.0000	269.0000	331.0000	0.1759	0.1316	0.0942	0.0864	0.0633	0.0584	0.0451	0.0343	0.0290	0.0204	131	3	
12	306	0.2420530766248703	370	3.097658634185791	306.0000	591.0000	233.0000	370.0000	45.0000	205.0000	0.0000	117.0000	286.0000	889.0000	0.2421	0.1683	0.1079	0.0888	0.0431	0.0280	0.0269	0.0261	0.0198	0.0149	3	4	
13	306	0.6463408470153809	370	1.9306480884552002	306.0000	591.0000	286.0000	0.0000	370.0000	233.0000	487.0000	198.0000	888.0000	117.0000	0.6463	0.0883	0.0325	0.0240	0.0240	0.0216	0.0096	0.0086	0.0086	0.0075	4	4	
14	331	0.2865441143512726	370	3.2369894981384277	331.0000	177.0000	232.0000	925.0000	755.0000	811.0000	141.0000	713.0000	507.0000	460.0000	0.2865	0.1057	0.0898	0.0783	0.0399	0.0355	0.0222	0.0199	0.0190	0.0183	210	4	
15	233	0.4665583074092865	370	1.9725253582000732	233.0000	626.0000	370.0000	75.0000	91.0000	27.0000	888.0000	449.0000	446.0000	713.0000	0.4666	0.1985	0.0888	0.0466	0.0405	0.0320	0.0307	0.0149	0.0091	0.0082	2	5	
16	233	0.582672655582428	370	2.3066225051879883	233.0000	370.0000	75.0000	27.0000	91.0000	487.0000	713.0000	306.0000	854.0000	215.0000	0.5827	0.0749	0.0299	0.0249	0.0235	0.0149	0.0148	0.0130	0.0105	0.0102	1	5	
17	925	0.22821122407913208	370	3.304570198059082	925.0000	358.0000	507.0000	589.0000	232.0000	713.0000	82.0000	889.0000	755.0000	811.0000	0.2282	0.1348	0.1229	0.0672	0.0390	0.0363	0.0286	0.0271	0.0204	0.0197	210	5	
18	233	0.8963688611984253	370	0.6629584431648254	233.0000	370.0000	708.0000	198.0000	0.0000	286.0000	75.0000	91.0000	215.0000	591.0000	0.8964	0.0222	0.0129	0.0097	0.0092	0.0066	0.0055	0.0045	0.0034	0.0030	1	6	
19	233	0.6526193022727966	370	1.6227744817733765	233.0000	215.0000	198.0000	0.0000	280.0000	708.0000	75.0000	485.0000	370.0000	854.0000	0.6526	0.1064	0.0530	0.0321	0.0232	0.0176	0.0175	0.0108	0.0087	0.0059	8	6	
20	177	0.24320857226848602	370	2.9007365703582764	177.0000	589.0000	75.0000	232.0000	925.0000	417.0000	358.0000	316.0000	811.0000	460.0000	0.2432	0.1911	0.0906	0.0644	0.0588	0.0388	0.0320	0.0258	0.0253	0.0233	157	6	
21	233	0.39431580901145935	370	2.4926986694335938	233.0000	888.0000	91.0000	708.0000	0.0000	370.0000	306.0000	799.0000	75.0000	783.0000	0.3943	0.1685	0.0951	0.0699	0.0269	0.0209	0.0176	0.0168	0.0150	0.0150	5	7	
