	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	142	0.24054531753063202	378	4.190221786499023	142.0000	864.0000	485.0000	845.0000	486.0000	484.0000	454.0000	255.0000	651.0000	927.0000	0.2405	0.1026	0.0957	0.0246	0.0213	0.0185	0.0156	0.0120	0.0112	0.0108	22	0	
1	864	0.07871272414922714	378	4.804237365722656	864.0000	255.0000	142.0000	895.0000	484.0000	67.0000	617.0000	734.0000	140.0000	243.0000	0.0787	0.0693	0.0589	0.0396	0.0371	0.0318	0.0256	0.0241	0.0236	0.0192	44	0	
2	142	0.15569216012954712	378	4.490433216094971	142.0000	378.0000	243.0000	246.0000	845.0000	143.0000	171.0000	487.0000	485.0000	486.0000	0.1557	0.0534	0.0530	0.0500	0.0449	0.0417	0.0381	0.0274	0.0219	0.0164	1	1	
3	243	0.13871018588542938	378	4.331907272338867	243.0000	142.0000	658.0000	912.0000	143.0000	926.0000	157.0000	171.0000	487.0000	378.0000	0.1387	0.1303	0.0462	0.0450	0.0364	0.0237	0.0232	0.0227	0.0184	0.0170	9	1	
4	142	0.6411534547805786	378	1.579708218574524	142.0000	657.0000	378.0000	98.0000	724.0000	171.0000	169.0000	235.0000	907.0000	459.0000	0.6412	0.1825	0.0487	0.0193	0.0084	0.0082	0.0050	0.0045	0.0044	0.0036	2	2	
5	142	0.36881935596466064	378	3.1058926582336426	142.0000	243.0000	617.0000	140.0000	895.0000	378.0000	657.0000	926.0000	406.0000	38.0000	0.3688	0.1142	0.0609	0.0595	0.0510	0.0349	0.0191	0.0157	0.0130	0.0108	5	2	
6	142	0.692659318447113	378	1.6648547649383545	142.0000	378.0000	143.0000	171.0000	290.0000	907.0000	692.0000	842.0000	339.0000	96.0000	0.6927	0.0883	0.0464	0.0389	0.0129	0.0078	0.0075	0.0063	0.0029	0.0028	1	3	
7	142	0.4556567966938019	378	2.798849105834961	142.0000	243.0000	171.0000	356.0000	378.0000	143.0000	907.0000	895.0000	692.0000	140.0000	0.4557	0.0628	0.0628	0.0546	0.0474	0.0321	0.0281	0.0224	0.0156	0.0142	4	3	
8	142	0.4188747704029083	378	2.258037805557251	142.0000	171.0000	243.0000	143.0000	378.0000	895.0000	907.0000	160.0000	255.0000	176.0000	0.4189	0.2630	0.0831	0.0341	0.0205	0.0168	0.0124	0.0118	0.0090	0.0083	4	4	
9	142	0.4231664538383484	378	2.1567416191101074	142.0000	255.0000	895.0000	176.0000	243.0000	171.0000	511.0000	378.0000	926.0000	38.0000	0.4232	0.1955	0.1226	0.0514	0.0504	0.0336	0.0127	0.0085	0.0064	0.0062	7	4	
