	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	301	0.18906478583812714	395	3.1391677856445312	301.0000	840.0000	584.0000	646.0000	513.0000	644.0000	119.0000	205.0000	645.0000	948.0000	0.1891	0.1648	0.1424	0.1176	0.0332	0.0277	0.0216	0.0212	0.0190	0.0162	13	0	
1	670	0.45005732774734497	395	2.299896240234375	670.0000	467.0000	510.0000	948.0000	278.0000	312.0000	82.0000	646.0000	503.0000	507.0000	0.4501	0.1217	0.1104	0.0430	0.0400	0.0385	0.0269	0.0242	0.0174	0.0151	29	0	
2	348	0.1517908126115799	395	4.2625627517700195	348.0000	521.0000	884.0000	646.0000	510.0000	944.0000	232.0000	543.0000	840.0000	467.0000	0.1518	0.0850	0.0420	0.0406	0.0352	0.0342	0.0253	0.0222	0.0213	0.0194	89	0	
3	361	0.47231245040893555	395	2.759936809539795	361.0000	670.0000	672.0000	285.0000	510.0000	547.0000	646.0000	909.0000	467.0000	196.0000	0.4723	0.0845	0.0522	0.0434	0.0378	0.0211	0.0190	0.0182	0.0115	0.0098	37	0	
4	670	0.10527285933494568	395	4.381345748901367	670.0000	361.0000	884.0000	507.0000	944.0000	945.0000	528.0000	348.0000	510.0000	51.0000	0.1053	0.0786	0.0546	0.0503	0.0380	0.0377	0.0313	0.0295	0.0287	0.0227	127	0	
5	646	0.3098750114440918	395	3.0312793254852295	646.0000	510.0000	301.0000	948.0000	681.0000	467.0000	584.0000	670.0000	44.0000	222.0000	0.3099	0.0988	0.0860	0.0626	0.0602	0.0532	0.0336	0.0296	0.0233	0.0164	12	0	
6	670	0.15357787907123566	395	4.116974353790283	670.0000	361.0000	235.0000	98.0000	510.0000	279.0000	541.0000	503.0000	467.0000	507.0000	0.1536	0.0925	0.0528	0.0515	0.0435	0.0294	0.0246	0.0235	0.0228	0.0222	32	0	
7	948	0.1349276602268219	395	4.006214141845703	948.0000	98.0000	510.0000	646.0000	301.0000	681.0000	840.0000	395.0000	670.0000	541.0000	0.1349	0.1058	0.0977	0.0680	0.0390	0.0302	0.0296	0.0238	0.0232	0.0225	7	0	
8	467	0.5974223613739014	395	2.2979087829589844	467.0000	861.0000	395.0000	301.0000	347.0000	98.0000	357.0000	190.0000	541.0000	802.0000	0.5974	0.0469	0.0346	0.0305	0.0215	0.0205	0.0167	0.0156	0.0137	0.0126	2	0	
9	357	0.7357457280158997	395	1.3735804557800293	357.0000	395.0000	840.0000	683.0000	513.0000	301.0000	584.0000	98.0000	119.0000	861.0000	0.7357	0.0513	0.0345	0.0291	0.0277	0.0233	0.0168	0.0124	0.0083	0.0059	1	0	
10	840	0.23382702469825745	395	3.806436061859131	840.0000	584.0000	301.0000	646.0000	222.0000	395.0000	232.0000	948.0000	900.0000	205.0000	0.2338	0.0921	0.0819	0.0388	0.0340	0.0305	0.0267	0.0251	0.0185	0.0164	5	0	
11	467	0.6417766809463501	395	2.1998486518859863	467.0000	670.0000	948.0000	646.0000	672.0000	510.0000	884.0000	802.0000	98.0000	503.0000	0.6418	0.0519	0.0218	0.0173	0.0155	0.0154	0.0121	0.0103	0.0099	0.0093	13	0	
12	510	0.287310391664505	395	3.4034762382507324	510.0000	646.0000	670.0000	681.0000	948.0000	44.0000	82.0000	312.0000	285.0000	589.0000	0.2873	0.1043	0.0815	0.0762	0.0399	0.0366	0.0283	0.0199	0.0178	0.0106	49	0	
13	909	0.08721830695867538	395	4.771100997924805	909.0000	205.0000	547.0000	285.0000	672.0000	361.0000	703.0000	395.0000	874.0000	899.0000	0.0872	0.0462	0.0441	0.0438	0.0383	0.0352	0.0321	0.0315	0.0258	0.0233	7	0	
14	909	0.47945675253868103	395	2.6754534244537354	909.0000	279.0000	789.0000	547.0000	854.0000	411.0000	874.0000	6.0000	254.0000	361.0000	0.4795	0.1282	0.0624	0.0474	0.0135	0.0129	0.0108	0.0105	0.0104	0.0097	258	0	
15	507	0.31788307428359985	395	2.3752756118774414	507.0000	670.0000	510.0000	278.0000	361.0000	279.0000	312.0000	82.0000	689.0000	547.0000	0.3179	0.2275	0.1573	0.0469	0.0418	0.0341	0.0213	0.0180	0.0127	0.0078	112	0	
16	247	0.18507267534732819	395	3.5047502517700195	247.0000	909.0000	547.0000	543.0000	528.0000	57.0000	85.0000	361.0000	348.0000	285.0000	0.1851	0.1235	0.0966	0.0613	0.0526	0.0522	0.0414	0.0401	0.0238	0.0237	317	0	
17	785	0.34886324405670166	395	2.612234592437744	785.0000	301.0000	541.0000	395.0000	575.0000	672.0000	357.0000	840.0000	583.0000	683.0000	0.3489	0.1339	0.0919	0.0848	0.0684	0.0349	0.0288	0.0218	0.0200	0.0199	3	0	
18	884	0.14352834224700928	395	4.463573455810547	884.0000	235.0000	348.0000	467.0000	840.0000	646.0000	670.0000	584.0000	98.0000	543.0000	0.1435	0.0808	0.0675	0.0405	0.0342	0.0310	0.0279	0.0245	0.0211	0.0199	12	0	
19	510	0.21594099700450897	395	2.8279154300689697	510.0000	670.0000	467.0000	646.0000	44.0000	944.0000	312.0000	82.0000	948.0000	674.0000	0.2159	0.1908	0.1648	0.0927	0.0435	0.0331	0.0234	0.0205	0.0204	0.0144	63	0	
20	884	0.18991050124168396	395	4.075997829437256	884.0000	467.0000	670.0000	672.0000	646.0000	348.0000	510.0000	235.0000	541.0000	840.0000	0.1899	0.0561	0.0469	0.0461	0.0423	0.0414	0.0358	0.0288	0.0277	0.0196	25	0	
21	541	0.5820159912109375	395	1.6267774105072021	541.0000	840.0000	672.0000	301.0000	690.0000	395.0000	432.0000	98.0000	948.0000	645.0000	0.5820	0.2030	0.0951	0.0144	0.0122	0.0086	0.0053	0.0045	0.0037	0.0032	5	1	
22	541	0.27326470613479614	395	2.4077072143554688	541.0000	278.0000	277.0000	279.0000	690.0000	98.0000	837.0000	104.0000	508.0000	137.0000	0.2733	0.2642	0.0957	0.0786	0.0486	0.0434	0.0385	0.0276	0.0223	0.0097	156	1	
23	104	0.10207847505807877	395	3.981426477432251	104.0000	541.0000	347.0000	809.0000	874.0000	98.0000	690.0000	137.0000	672.0000	692.0000	0.1021	0.0917	0.0909	0.0698	0.0558	0.0374	0.0291	0.0278	0.0256	0.0253	60	1	
24	690	0.39636796712875366	395	2.7215194702148438	690.0000	909.0000	541.0000	672.0000	421.0000	55.0000	609.0000	797.0000	692.0000	924.0000	0.3964	0.1569	0.0474	0.0355	0.0275	0.0264	0.0236	0.0236	0.0163	0.0152	40	1	
25	627	0.2932877838611603	395	3.475968837738037	627.0000	65.0000	874.0000	285.0000	789.0000	282.0000	647.0000	320.0000	490.0000	541.0000	0.2933	0.1161	0.0597	0.0552	0.0519	0.0290	0.0207	0.0205	0.0190	0.0152	409	1	
26	541	0.44971776008605957	395	1.696644902229309	541.0000	672.0000	690.0000	948.0000	909.0000	104.0000	432.0000	98.0000	692.0000	840.0000	0.4497	0.2182	0.2021	0.0211	0.0200	0.0190	0.0101	0.0094	0.0084	0.0033	16	1	
27	104	0.2977897822856903	395	2.831101655960083	104.0000	837.0000	279.0000	98.0000	541.0000	508.0000	278.0000	772.0000	690.0000	277.0000	0.2978	0.1822	0.0863	0.0742	0.0522	0.0343	0.0323	0.0206	0.0199	0.0138	157	1	
28	692	0.16662555932998657	395	3.212501049041748	692.0000	541.0000	909.0000	98.0000	948.0000	672.0000	690.0000	347.0000	874.0000	809.0000	0.1666	0.1355	0.1269	0.0688	0.0575	0.0543	0.0533	0.0450	0.0390	0.0283	14	1	
29	515	0.4175058603286743	395	2.382159948348999	515.0000	104.0000	541.0000	395.0000	301.0000	74.0000	937.0000	114.0000	235.0000	840.0000	0.4175	0.1487	0.1246	0.0509	0.0370	0.0297	0.0277	0.0274	0.0120	0.0074	3	1	
30	541	0.21238623559474945	395	2.89461088180542	541.0000	690.0000	692.0000	98.0000	672.0000	899.0000	231.0000	683.0000	840.0000	609.0000	0.2124	0.1913	0.1736	0.0985	0.0278	0.0230	0.0184	0.0174	0.0172	0.0151	14	1	
31	809	0.212591290473938	395	4.499598979949951	809.0000	811.0000	285.0000	347.0000	647.0000	924.0000	912.0000	627.0000	104.0000	364.0000	0.2126	0.0858	0.0362	0.0262	0.0206	0.0205	0.0201	0.0197	0.0182	0.0171	46	1	
32	98	0.270187109708786	395	2.690591812133789	98.0000	837.0000	690.0000	541.0000	909.0000	692.0000	252.0000	672.0000	874.0000	680.0000	0.2702	0.2478	0.1014	0.0662	0.0435	0.0435	0.0197	0.0152	0.0139	0.0117	27	1	
33	541	0.21677269041538239	395	3.74696946144104	541.0000	627.0000	137.0000	672.0000	104.0000	285.0000	471.0000	589.0000	778.0000	789.0000	0.2168	0.0812	0.0564	0.0502	0.0487	0.0473	0.0448	0.0267	0.0238	0.0216	101	1	
34	541	0.1832764446735382	395	2.947747230529785	541.0000	837.0000	690.0000	874.0000	909.0000	672.0000	948.0000	98.0000	609.0000	778.0000	0.1833	0.1586	0.1351	0.1150	0.0963	0.0650	0.0197	0.0169	0.0157	0.0118	22	1	
35	874	0.6153518557548523	395	1.8946447372436523	874.0000	65.0000	909.0000	282.0000	541.0000	811.0000	690.0000	710.0000	347.0000	894.0000	0.6154	0.0919	0.0789	0.0394	0.0240	0.0194	0.0093	0.0064	0.0062	0.0041	119	1	
36	541	0.16783860325813293	395	3.63835072517395	541.0000	626.0000	490.0000	789.0000	279.0000	278.0000	471.0000	627.0000	285.0000	277.0000	0.1678	0.0919	0.0735	0.0604	0.0541	0.0516	0.0373	0.0345	0.0291	0.0284	307	1	
37	874	0.4084443747997284	395	2.5660223960876465	874.0000	811.0000	65.0000	837.0000	909.0000	279.0000	235.0000	541.0000	778.0000	285.0000	0.4084	0.1783	0.0938	0.0355	0.0278	0.0246	0.0196	0.0139	0.0099	0.0091	303	1	
38	541	0.2598605751991272	395	2.4709439277648926	541.0000	672.0000	690.0000	609.0000	395.0000	98.0000	692.0000	840.0000	924.0000	909.0000	0.2599	0.2313	0.1909	0.0572	0.0442	0.0307	0.0284	0.0116	0.0102	0.0090	4	1	
39	98	0.15285353362560272	395	3.518883228302002	98.0000	811.0000	331.0000	627.0000	789.0000	541.0000	254.0000	285.0000	347.0000	778.0000	0.1529	0.0963	0.0942	0.0929	0.0533	0.0487	0.0362	0.0298	0.0261	0.0237	119	1	
40	541	0.15944457054138184	395	3.5924837589263916	541.0000	98.0000	789.0000	690.0000	778.0000	347.0000	627.0000	104.0000	471.0000	285.0000	0.1594	0.1205	0.0777	0.0732	0.0491	0.0482	0.0453	0.0348	0.0287	0.0245	91	1	
41	874	0.11995036900043488	395	3.9435081481933594	874.0000	65.0000	541.0000	690.0000	347.0000	98.0000	137.0000	778.0000	837.0000	672.0000	0.1200	0.0985	0.0885	0.0483	0.0432	0.0366	0.0348	0.0314	0.0301	0.0258	107	1	
42	395	0.3491100072860718	395	1.4882235527038574	395.0000	840.0000	301.0000	645.0000	584.0000	644.0000	884.0000	646.0000	323.0000	948.0000	0.3491	0.3013	0.2128	0.0701	0.0562	0.0016	0.0010	0.0010	0.0010	0.0008	0	2	
43	301	0.9396787285804749	395	0.4326455593109131	301.0000	395.0000	240.0000	11.0000	235.0000	644.0000	273.0000	884.0000	840.0000	584.0000	0.9397	0.0201	0.0039	0.0037	0.0022	0.0022	0.0019	0.0019	0.0018	0.0014	1	2	
44	884	0.8034077882766724	395	1.0565547943115234	884.0000	840.0000	584.0000	395.0000	315.0000	476.0000	348.0000	532.0000	240.0000	900.0000	0.8034	0.0487	0.0282	0.0181	0.0144	0.0133	0.0116	0.0114	0.0079	0.0062	3	2	
45	609	0.67364501953125	395	1.5634777545928955	609.0000	575.0000	361.0000	347.0000	884.0000	315.0000	899.0000	301.0000	710.0000	102.0000	0.6736	0.1359	0.0343	0.0233	0.0202	0.0110	0.0085	0.0061	0.0059	0.0040	45	2	
46	361	0.737251877784729	395	1.3766098022460938	361.0000	153.0000	205.0000	899.0000	884.0000	315.0000	434.0000	582.0000	776.0000	476.0000	0.7373	0.0737	0.0480	0.0196	0.0135	0.0097	0.0087	0.0086	0.0073	0.0069	10	2	
47	395	0.36300888657569885	395	1.7630980014801025	395.0000	301.0000	645.0000	584.0000	884.0000	646.0000	240.0000	840.0000	690.0000	948.0000	0.3630	0.3336	0.0901	0.0617	0.0334	0.0310	0.0246	0.0208	0.0129	0.0078	0	2	
48	301	0.3629743456840515	395	3.408114194869995	301.0000	235.0000	273.0000	92.0000	240.0000	884.0000	840.0000	478.0000	196.0000	721.0000	0.3630	0.0983	0.0345	0.0345	0.0295	0.0280	0.0161	0.0144	0.0137	0.0127	36	2	
