	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	396	0.278128981590271	396	2.770603656768799	396.0000	347.0000	824.0000	861.0000	282.0000	629.0000	832.0000	491.0000	499.0000	96.0000	0.2781	0.2077	0.0900	0.0572	0.0563	0.0356	0.0253	0.0239	0.0206	0.0192	0	0	
1	347	0.4544665813446045	396	2.7429792881011963	347.0000	396.0000	483.0000	282.0000	924.0000	357.0000	96.0000	22.0000	909.0000	65.0000	0.4545	0.0939	0.0654	0.0532	0.0340	0.0236	0.0218	0.0181	0.0156	0.0146	1	0	
2	833	0.09590107202529907	396	4.755213737487793	833.0000	861.0000	396.0000	573.0000	598.0000	96.0000	583.0000	430.0000	824.0000	347.0000	0.0959	0.0629	0.0510	0.0490	0.0325	0.0295	0.0278	0.0264	0.0185	0.0180	2	0	
3	909	0.47405102849006653	396	2.8389883041381836	909.0000	38.0000	347.0000	96.0000	483.0000	861.0000	832.0000	924.0000	282.0000	692.0000	0.4741	0.0618	0.0549	0.0462	0.0392	0.0311	0.0300	0.0264	0.0131	0.0107	42	0	
4	357	0.22131572663784027	396	3.306152105331421	357.0000	347.0000	63.0000	583.0000	396.0000	282.0000	861.0000	941.0000	65.0000	779.0000	0.2213	0.1611	0.1320	0.0649	0.0413	0.0350	0.0224	0.0224	0.0186	0.0175	4	0	
5	282	0.443356454372406	396	2.5741379261016846	282.0000	396.0000	347.0000	909.0000	626.0000	924.0000	483.0000	96.0000	515.0000	861.0000	0.4434	0.2210	0.0593	0.0189	0.0184	0.0146	0.0135	0.0120	0.0111	0.0082	1	0	
6	396	0.7207067012786865	396	1.3821414709091187	396.0000	598.0000	861.0000	629.0000	824.0000	499.0000	282.0000	893.0000	491.0000	96.0000	0.7207	0.1229	0.0219	0.0189	0.0124	0.0085	0.0067	0.0057	0.0056	0.0051	0	1	
7	627	0.4831870198249817	396	2.0380685329437256	627.0000	942.0000	534.0000	396.0000	941.0000	297.0000	347.0000	468.0000	676.0000	205.0000	0.4832	0.2257	0.0554	0.0515	0.0335	0.0164	0.0149	0.0115	0.0064	0.0057	3	1	
8	396	0.35596153140068054	396	2.195767402648926	396.0000	96.0000	357.0000	861.0000	832.0000	421.0000	395.0000	353.0000	347.0000	54.0000	0.3560	0.1830	0.1691	0.1430	0.0185	0.0074	0.0067	0.0054	0.0052	0.0051	0	1	
9	347	0.2085074633359909	396	3.3916244506835938	347.0000	543.0000	676.0000	254.0000	909.0000	832.0000	679.0000	282.0000	13.0000	692.0000	0.2085	0.1990	0.0767	0.0663	0.0419	0.0323	0.0250	0.0245	0.0225	0.0212	29	1	
10	534	0.46978652477264404	396	2.258518695831299	534.0000	942.0000	396.0000	941.0000	627.0000	635.0000	779.0000	256.0000	412.0000	297.0000	0.4698	0.1239	0.0806	0.0638	0.0564	0.0228	0.0166	0.0133	0.0115	0.0104	2	1	
11	396	0.9874222278594971	396	0.1143251359462738	396.0000	33.0000	534.0000	297.0000	468.0000	941.0000	942.0000	347.0000	282.0000	638.0000	0.9874	0.0019	0.0012	0.0009	0.0007	0.0006	0.0006	0.0006	0.0006	0.0005	0	1	
12	893	0.1522565633058548	396	3.3079681396484375	893.0000	629.0000	824.0000	814.0000	347.0000	844.0000	598.0000	861.0000	780.0000	320.0000	0.1523	0.1507	0.1100	0.0608	0.0607	0.0526	0.0419	0.0392	0.0368	0.0272	10	2	
13	396	0.6065683960914612	396	1.7502291202545166	396.0000	676.0000	941.0000	347.0000	522.0000	534.0000	779.0000	694.0000	419.0000	525.0000	0.6066	0.1105	0.0658	0.0658	0.0289	0.0100	0.0068	0.0066	0.0066	0.0050	0	2	
14	861	0.5374417304992676	396	1.233896255493164	861.0000	396.0000	347.0000	357.0000	824.0000	780.0000	71.0000	832.0000	534.0000	575.0000	0.5374	0.3249	0.0774	0.0163	0.0149	0.0040	0.0033	0.0023	0.0019	0.0013	1	2	
15	861	0.09554661810398102	396	3.9295787811279297	861.0000	543.0000	676.0000	780.0000	946.0000	320.0000	347.0000	534.0000	513.0000	779.0000	0.0955	0.0773	0.0593	0.0535	0.0532	0.0496	0.0446	0.0430	0.0392	0.0373	17	2	
16	396	0.8368161916732788	396	0.6401656866073608	396.0000	347.0000	779.0000	534.0000	357.0000	629.0000	861.0000	941.0000	20.0000	231.0000	0.8368	0.1243	0.0107	0.0051	0.0039	0.0027	0.0024	0.0023	0.0019	0.0018	0	2	
17	396	0.9522367715835571	396	0.3128316402435303	396.0000	941.0000	779.0000	525.0000	735.0000	347.0000	629.0000	522.0000	297.0000	33.0000	0.9522	0.0150	0.0056	0.0050	0.0049	0.0048	0.0026	0.0012	0.0012	0.0009	0	2	
18	629	0.4239741861820221	396	1.2314156293869019	629.0000	347.0000	396.0000	575.0000	824.0000	844.0000	945.0000	780.0000	483.0000	832.0000	0.4240	0.3936	0.1436	0.0150	0.0085	0.0020	0.0015	0.0010	0.0010	0.0010	2	3	
19	941	0.5148859620094299	396	2.051929235458374	941.0000	347.0000	942.0000	65.0000	534.0000	627.0000	396.0000	676.0000	576.0000	222.0000	0.5149	0.1625	0.0871	0.0391	0.0178	0.0167	0.0167	0.0141	0.0096	0.0081	6	3	
