	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	44	0.04779673367738724	399	5.589092254638672	44.0000	191.0000	285.0000	2.0000	157.0000	38.0000	673.0000	96.0000	364.0000	511.0000	0.0478	0.0436	0.0293	0.0241	0.0230	0.0176	0.0172	0.0162	0.0147	0.0134	709	0	
1	2	0.6702226400375366	399	1.6374965906143188	2.0000	157.0000	335.0000	127.0000	817.0000	926.0000	902.0000	150.0000	667.0000	32.0000	0.6702	0.1206	0.0488	0.0148	0.0094	0.0090	0.0086	0.0086	0.0070	0.0068	90	1	
2	667	0.3487798273563385	399	2.6290245056152344	667.0000	2.0000	335.0000	143.0000	734.0000	127.0000	148.0000	658.0000	157.0000	67.0000	0.3488	0.1740	0.1362	0.0983	0.0159	0.0156	0.0138	0.0137	0.0086	0.0075	24	2	
3	2	0.5168488621711731	399	2.155668258666992	2.0000	335.0000	667.0000	142.0000	902.0000	558.0000	150.0000	926.0000	127.0000	441.0000	0.5168	0.0937	0.0816	0.0635	0.0597	0.0290	0.0177	0.0115	0.0108	0.0080	15	3	
4	658	0.38078179955482483	399	2.4552807807922363	658.0000	335.0000	157.0000	143.0000	2.0000	734.0000	902.0000	905.0000	923.0000	127.0000	0.3808	0.2346	0.0772	0.0515	0.0379	0.0342	0.0245	0.0105	0.0097	0.0071	77	4	
5	2	0.4956061542034149	399	1.8184828758239746	2.0000	157.0000	16.0000	67.0000	940.0000	902.0000	335.0000	880.0000	734.0000	142.0000	0.4956	0.3022	0.0618	0.0104	0.0068	0.0065	0.0059	0.0051	0.0047	0.0046	84	5	
6	157	0.6451131105422974	399	1.8626431226730347	157.0000	667.0000	335.0000	2.0000	902.0000	127.0000	512.0000	658.0000	377.0000	542.0000	0.6451	0.0552	0.0470	0.0442	0.0424	0.0206	0.0126	0.0092	0.0074	0.0067	33	6	
7	667	0.1804366409778595	399	3.142150640487671	667.0000	157.0000	335.0000	2.0000	926.0000	255.0000	148.0000	127.0000	734.0000	67.0000	0.1804	0.1606	0.0881	0.0804	0.0607	0.0544	0.0458	0.0330	0.0218	0.0210	107	7	
8	902	0.43668803572654724	399	1.7957019805908203	902.0000	667.0000	2.0000	335.0000	658.0000	571.0000	127.0000	734.0000	512.0000	399.0000	0.4367	0.2350	0.1623	0.0437	0.0276	0.0123	0.0094	0.0069	0.0068	0.0067	9	8	
9	667	0.7819437384605408	399	1.1819208860397339	667.0000	902.0000	616.0000	406.0000	148.0000	940.0000	360.0000	895.0000	571.0000	399.0000	0.7819	0.0857	0.0227	0.0123	0.0107	0.0075	0.0044	0.0043	0.0039	0.0038	9	9	
