	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	485	0.04458126053214073	405	5.8409318923950195	485.0000	626.0000	489.0000	466.0000	0.0000	888.0000	4.0000	122.0000	625.0000	228.0000	0.0446	0.0292	0.0206	0.0179	0.0169	0.0168	0.0163	0.0154	0.0118	0.0116	378	0	
1	443	0.34524601697921753	405	3.6040663719177246	443.0000	160.0000	273.0000	888.0000	507.0000	466.0000	757.0000	285.0000	297.0000	90.0000	0.3452	0.0586	0.0581	0.0534	0.0227	0.0225	0.0172	0.0171	0.0151	0.0143	375	0	
2	626	0.17643357813358307	405	4.5531110763549805	626.0000	507.0000	489.0000	440.0000	166.0000	61.0000	510.0000	721.0000	277.0000	212.0000	0.1764	0.1114	0.0551	0.0240	0.0202	0.0169	0.0141	0.0119	0.0112	0.0111	451	0	
3	364	0.751255989074707	405	1.623703956604004	364.0000	912.0000	6.0000	104.0000	617.0000	511.0000	219.0000	626.0000	228.0000	489.0000	0.7513	0.0602	0.0211	0.0113	0.0078	0.0077	0.0075	0.0068	0.0063	0.0051	430	1	
4	228	0.6843568682670593	405	1.5218576192855835	228.0000	854.0000	219.0000	626.0000	340.0000	453.0000	6.0000	558.0000	277.0000	319.0000	0.6844	0.1307	0.0466	0.0275	0.0107	0.0086	0.0072	0.0040	0.0039	0.0034	246	1	
5	364	0.5138481855392456	405	2.8996078968048096	364.0000	854.0000	626.0000	219.0000	698.0000	228.0000	4.0000	483.0000	617.0000	912.0000	0.5138	0.0863	0.0228	0.0216	0.0198	0.0192	0.0177	0.0141	0.0106	0.0086	529	1	
6	277	0.2662498354911804	405	4.331855773925781	277.0000	626.0000	219.0000	279.0000	489.0000	945.0000	364.0000	4.0000	507.0000	162.0000	0.2662	0.0670	0.0402	0.0384	0.0270	0.0157	0.0147	0.0146	0.0138	0.0128	254	2	
7	277	0.6285332441329956	405	1.9586642980575562	277.0000	854.0000	219.0000	279.0000	626.0000	269.0000	703.0000	6.0000	134.0000	508.0000	0.6285	0.1007	0.0491	0.0228	0.0223	0.0165	0.0122	0.0094	0.0086	0.0080	133	2	
8	277	0.2725401222705841	405	4.09453821182251	277.0000	626.0000	489.0000	279.0000	4.0000	307.0000	460.0000	219.0000	854.0000	945.0000	0.2725	0.0680	0.0419	0.0383	0.0331	0.0283	0.0263	0.0235	0.0189	0.0157	314	2	
9	4	0.604279100894928	405	2.366950035095215	4.0000	443.0000	285.0000	444.0000	625.0000	845.0000	655.0000	626.0000	306.0000	468.0000	0.6043	0.0426	0.0349	0.0292	0.0238	0.0229	0.0196	0.0143	0.0125	0.0093	558	3	
10	444	0.11021638661623001	405	3.8076162338256836	444.0000	942.0000	443.0000	626.0000	306.0000	561.0000	625.0000	888.0000	468.0000	90.0000	0.1102	0.0850	0.0803	0.0607	0.0600	0.0534	0.0485	0.0388	0.0357	0.0282	169	3	
11	4	0.3649872839450836	405	3.057497024536133	4.0000	528.0000	523.0000	780.0000	507.0000	521.0000	307.0000	721.0000	350.0000	844.0000	0.3650	0.0840	0.0565	0.0548	0.0513	0.0418	0.0417	0.0254	0.0153	0.0133	633	3	
12	479	0.16209527850151062	405	4.368951797485352	479.0000	443.0000	444.0000	4.0000	390.0000	228.0000	47.0000	489.0000	626.0000	637.0000	0.1621	0.0896	0.0541	0.0430	0.0392	0.0287	0.0265	0.0219	0.0214	0.0186	269	4	
13	561	0.229101300239563	405	3.3559608459472656	561.0000	310.0000	443.0000	444.0000	370.0000	116.0000	563.0000	942.0000	757.0000	580.0000	0.2291	0.0766	0.0504	0.0497	0.0484	0.0475	0.0449	0.0438	0.0392	0.0377	137	4	
14	273	0.20661412179470062	405	3.7445778846740723	273.0000	888.0000	655.0000	489.0000	27.0000	307.0000	155.0000	945.0000	536.0000	277.0000	0.2066	0.1054	0.0848	0.0474	0.0458	0.0430	0.0365	0.0235	0.0206	0.0197	482	4	
15	364	0.17412680387496948	405	4.09379768371582	364.0000	444.0000	285.0000	945.0000	329.0000	4.0000	443.0000	797.0000	453.0000	483.0000	0.1741	0.1121	0.0767	0.0493	0.0312	0.0311	0.0199	0.0198	0.0190	0.0186	521	5	
16	561	0.5471366047859192	405	2.0649302005767822	561.0000	386.0000	942.0000	896.0000	466.0000	116.0000	444.0000	310.0000	90.0000	563.0000	0.5471	0.1206	0.0797	0.0272	0.0247	0.0202	0.0180	0.0161	0.0134	0.0085	95	5	
17	364	0.6059262156486511	405	2.244748592376709	364.0000	945.0000	329.0000	273.0000	476.0000	670.0000	811.0000	228.0000	406.0000	489.0000	0.6059	0.0725	0.0287	0.0195	0.0162	0.0159	0.0154	0.0148	0.0145	0.0081	670	5	
18	626	0.6885268688201904	405	1.9431705474853516	626.0000	655.0000	6.0000	444.0000	4.0000	830.0000	625.0000	598.0000	485.0000	285.0000	0.6885	0.0697	0.0273	0.0157	0.0122	0.0063	0.0061	0.0057	0.0056	0.0050	378	6	
19	561	0.14629551768302917	405	3.33514666557312	561.0000	942.0000	896.0000	626.0000	508.0000	466.0000	550.0000	655.0000	90.0000	443.0000	0.1463	0.0828	0.0757	0.0729	0.0713	0.0701	0.0618	0.0467	0.0408	0.0355	47	6	
