	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	703	0.11116335541009903	409	4.8354997634887695	703.0000	75.0000	453.0000	162.0000	153.0000	215.0000	582.0000	844.0000	528.0000	492.0000	0.1112	0.0765	0.0305	0.0285	0.0224	0.0192	0.0191	0.0171	0.0166	0.0164	525	0	
1	811	0.10738611221313477	409	3.804255962371826	811.0000	703.0000	528.0000	131.0000	136.0000	492.0000	893.0000	826.0000	453.0000	654.0000	0.1074	0.0960	0.0906	0.0890	0.0700	0.0617	0.0412	0.0356	0.0255	0.0219	420	0	
2	703	0.13283415138721466	409	4.225567817687988	703.0000	131.0000	285.0000	925.0000	540.0000	483.0000	457.0000	552.0000	75.0000	893.0000	0.1328	0.0909	0.0871	0.0620	0.0311	0.0297	0.0277	0.0237	0.0221	0.0183	163	1	
3	703	0.14957553148269653	409	3.4728221893310547	703.0000	868.0000	483.0000	893.0000	540.0000	49.0000	492.0000	440.0000	364.0000	131.0000	0.1496	0.1310	0.0748	0.0612	0.0586	0.0534	0.0448	0.0331	0.0307	0.0252	65	1	
4	75	0.5224308967590332	409	1.749529480934143	75.0000	703.0000	315.0000	317.0000	896.0000	552.0000	208.0000	721.0000	188.0000	719.0000	0.5224	0.3084	0.0206	0.0146	0.0094	0.0076	0.0059	0.0052	0.0048	0.0039	142	2	
5	703	0.46060892939567566	409	2.0597708225250244	703.0000	492.0000	893.0000	857.0000	552.0000	285.0000	647.0000	896.0000	719.0000	367.0000	0.4606	0.2302	0.0465	0.0461	0.0308	0.0184	0.0173	0.0166	0.0162	0.0130	16	2	
6	703	0.6208428144454956	409	2.1723899841308594	703.0000	285.0000	492.0000	673.0000	273.0000	131.0000	242.0000	558.0000	442.0000	51.0000	0.6208	0.0560	0.0278	0.0250	0.0200	0.0167	0.0155	0.0123	0.0117	0.0114	137	3	
7	893	0.35877448320388794	409	2.5660858154296875	893.0000	703.0000	857.0000	552.0000	285.0000	131.0000	647.0000	526.0000	367.0000	492.0000	0.3588	0.1450	0.0990	0.0444	0.0385	0.0338	0.0323	0.0297	0.0206	0.0188	48	3	
8	703	0.9795899391174316	409	0.17000091075897217	703.0000	285.0000	208.0000	61.0000	540.0000	51.0000	552.0000	131.0000	492.0000	317.0000	0.9796	0.0030	0.0023	0.0022	0.0011	0.0010	0.0008	0.0008	0.0008	0.0007	76	4	
9	703	0.7044958472251892	409	1.4195553064346313	703.0000	857.0000	131.0000	285.0000	893.0000	317.0000	647.0000	540.0000	492.0000	526.0000	0.7045	0.0794	0.0630	0.0253	0.0179	0.0177	0.0111	0.0077	0.0070	0.0051	38	4	
10	131	0.35756027698516846	409	2.1895699501037598	131.0000	703.0000	540.0000	492.0000	647.0000	552.0000	285.0000	544.0000	857.0000	924.0000	0.3576	0.1899	0.1467	0.0872	0.0501	0.0321	0.0179	0.0168	0.0082	0.0080	60	5	
11	492	0.29765844345092773	409	2.0912234783172607	492.0000	131.0000	552.0000	857.0000	893.0000	528.0000	703.0000	896.0000	409.0000	367.0000	0.2977	0.2410	0.1812	0.0673	0.0419	0.0324	0.0260	0.0220	0.0207	0.0127	8	5	
12	719	0.19744263589382172	409	3.039494276046753	719.0000	528.0000	61.0000	703.0000	673.0000	540.0000	552.0000	241.0000	131.0000	716.0000	0.1974	0.1262	0.0841	0.0789	0.0733	0.0731	0.0575	0.0565	0.0299	0.0238	31	6	
13	719	0.2842774987220764	409	2.65582275390625	719.0000	703.0000	367.0000	285.0000	409.0000	342.0000	492.0000	440.0000	317.0000	868.0000	0.2843	0.1597	0.0924	0.0914	0.0767	0.0349	0.0231	0.0231	0.0220	0.0212	4	6	
14	703	0.7798033356666565	409	1.2400214672088623	703.0000	131.0000	492.0000	457.0000	673.0000	342.0000	739.0000	208.0000	75.0000	317.0000	0.7798	0.0618	0.0331	0.0141	0.0080	0.0080	0.0061	0.0059	0.0052	0.0050	43	7	
15	131	0.6899393796920776	409	1.234971523284912	131.0000	703.0000	893.0000	857.0000	367.0000	639.0000	492.0000	552.0000	719.0000	544.0000	0.6899	0.1439	0.0539	0.0434	0.0141	0.0091	0.0072	0.0052	0.0041	0.0028	16	7	
16	703	0.4085042476654053	409	1.815324068069458	703.0000	131.0000	528.0000	540.0000	552.0000	443.0000	457.0000	51.0000	492.0000	582.0000	0.4085	0.2766	0.1462	0.0470	0.0186	0.0169	0.0105	0.0083	0.0078	0.0072	15	8	
17	703	0.39626166224479675	409	1.4083232879638672	703.0000	131.0000	552.0000	893.0000	857.0000	492.0000	385.0000	367.0000	317.0000	639.0000	0.3963	0.2885	0.2524	0.0225	0.0070	0.0069	0.0035	0.0031	0.0026	0.0022	21	8	
18	703	0.798259437084198	409	1.0935602188110352	703.0000	492.0000	552.0000	208.0000	131.0000	925.0000	241.0000	23.0000	358.0000	457.0000	0.7983	0.0387	0.0298	0.0293	0.0154	0.0138	0.0094	0.0064	0.0061	0.0059	36	9	
19	703	0.6595957279205322	409	1.479204773902893	703.0000	552.0000	409.0000	342.0000	857.0000	639.0000	867.0000	719.0000	367.0000	131.0000	0.6596	0.1341	0.0531	0.0235	0.0179	0.0169	0.0122	0.0097	0.0083	0.0081	2	9	
20	441	0.7179142832756042	409	1.2335251569747925	441.0000	558.0000	932.0000	319.0000	730.0000	528.0000	830.0000	754.0000	517.0000	340.0000	0.7179	0.1432	0.0219	0.0181	0.0105	0.0104	0.0082	0.0082	0.0075	0.0073	47	10	
21	703	0.8187536597251892	409	0.8182765245437622	703.0000	857.0000	867.0000	49.0000	896.0000	194.0000	719.0000	647.0000	618.0000	787.0000	0.8188	0.0837	0.0498	0.0157	0.0031	0.0027	0.0026	0.0020	0.0014	0.0014	10	10	
22	552	0.17648474872112274	409	3.215233325958252	552.0000	703.0000	162.0000	61.0000	639.0000	528.0000	409.0000	102.0000	223.0000	457.0000	0.1765	0.1678	0.1144	0.0840	0.0511	0.0469	0.0246	0.0212	0.0171	0.0169	6	11	
23	409	0.8967908620834351	409	0.5727697610855103	409.0000	703.0000	131.0000	552.0000	639.0000	194.0000	367.0000	317.0000	867.0000	492.0000	0.8968	0.0363	0.0237	0.0107	0.0062	0.0031	0.0027	0.0022	0.0020	0.0019	0	11	
24	703	0.8872915506362915	409	0.5657703876495361	703.0000	457.0000	528.0000	23.0000	544.0000	102.0000	194.0000	673.0000	49.0000	492.0000	0.8873	0.0728	0.0067	0.0035	0.0032	0.0024	0.0021	0.0018	0.0016	0.0016	14	12	
25	703	0.9905161261558533	409	0.07580844312906265	703.0000	492.0000	673.0000	528.0000	285.0000	131.0000	409.0000	194.0000	367.0000	284.0000	0.9905	0.0024	0.0021	0.0016	0.0010	0.0005	0.0003	0.0003	0.0002	0.0001	6	12	
26	409	0.28150203824043274	409	2.4911937713623047	409.0000	443.0000	703.0000	528.0000	492.0000	131.0000	317.0000	134.0000	242.0000	285.0000	0.2815	0.2065	0.1106	0.0956	0.0661	0.0567	0.0270	0.0220	0.0176	0.0089	0	13	
27	131	0.9425753951072693	409	0.346294641494751	131.0000	893.0000	703.0000	409.0000	492.0000	618.0000	367.0000	194.0000	857.0000	654.0000	0.9426	0.0246	0.0076	0.0058	0.0049	0.0026	0.0018	0.0015	0.0010	0.0010	3	13	
