	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	410	0.9999991655349731	410	1.3348658285394777e-05	410.0000	845.0000	127.0000	56.0000	574.0000	375.0000	734.0000	102.0000	940.0000	705.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
1	410	0.9699831008911133	410	0.21878556907176971	410.0000	127.0000	845.0000	56.0000	547.0000	457.0000	102.0000	705.0000	551.0000	940.0000	0.9700	0.0127	0.0038	0.0019	0.0014	0.0011	0.0009	0.0009	0.0008	0.0004	0	0	
2	410	0.9998356103897095	410	0.002134091453626752	410.0000	845.0000	127.0000	56.0000	574.0000	375.0000	705.0000	102.0000	67.0000	940.0000	0.9998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
3	410	0.8643720746040344	410	0.7302739024162292	410.0000	547.0000	235.0000	127.0000	845.0000	56.0000	254.0000	541.0000	690.0000	705.0000	0.8644	0.0828	0.0065	0.0048	0.0027	0.0016	0.0014	0.0013	0.0012	0.0012	0	0	
4	410	0.9031190872192383	410	0.6142702102661133	410.0000	845.0000	56.0000	127.0000	331.0000	421.0000	734.0000	252.0000	574.0000	484.0000	0.9031	0.0356	0.0207	0.0036	0.0017	0.0016	0.0016	0.0012	0.0011	0.0010	0	0	
5	410	0.9998736381530762	410	0.001471856376156211	410.0000	845.0000	127.0000	56.0000	102.0000	705.0000	940.0000	551.0000	574.0000	457.0000	0.9999	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
6	410	0.9994587302207947	410	0.006160854361951351	410.0000	845.0000	127.0000	56.0000	734.0000	102.0000	705.0000	940.0000	457.0000	150.0000	0.9995	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
7	410	0.9997605681419373	410	0.003348355647176504	410.0000	67.0000	845.0000	127.0000	375.0000	457.0000	705.0000	143.0000	551.0000	56.0000	0.9998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
8	410	0.9998268485069275	410	0.002400435972958803	410.0000	127.0000	845.0000	67.0000	574.0000	705.0000	551.0000	457.0000	940.0000	56.0000	0.9998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
9	410	0.9991724491119385	410	0.007862930186092854	410.0000	845.0000	127.0000	56.0000	734.0000	574.0000	67.0000	102.0000	150.0000	457.0000	0.9992	0.0005	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
10	410	0.3886023163795471	410	2.6913342475891113	410.0000	845.0000	143.0000	56.0000	102.0000	127.0000	571.0000	734.0000	705.0000	421.0000	0.3886	0.1775	0.1082	0.0641	0.0272	0.0219	0.0117	0.0078	0.0072	0.0071	0	0	
11	410	0.9992361068725586	410	0.009549464099109173	410.0000	845.0000	56.0000	127.0000	705.0000	205.0000	457.0000	102.0000	235.0000	551.0000	0.9992	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
12	410	0.9999237060546875	410	0.000952142640016973	410.0000	845.0000	574.0000	56.0000	127.0000	375.0000	734.0000	575.0000	705.0000	651.0000	0.9999	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
13	410	0.35923150181770325	410	3.4815969467163086	410.0000	845.0000	56.0000	127.0000	690.0000	2.0000	574.0000	421.0000	734.0000	102.0000	0.3592	0.1356	0.0481	0.0361	0.0252	0.0161	0.0141	0.0119	0.0117	0.0103	0	0	
14	410	0.700774073600769	410	2.0629935264587402	410.0000	127.0000	845.0000	56.0000	457.0000	235.0000	551.0000	143.0000	705.0000	638.0000	0.7008	0.0326	0.0178	0.0143	0.0131	0.0098	0.0092	0.0057	0.0049	0.0047	0	0	
15	410	0.9898607730865479	410	0.09507664293050766	410.0000	547.0000	127.0000	457.0000	705.0000	517.0000	102.0000	571.0000	43.0000	551.0000	0.9899	0.0028	0.0008	0.0007	0.0005	0.0004	0.0004	0.0002	0.0002	0.0002	0	0	
16	410	0.994640052318573	410	0.04420630633831024	410.0000	127.0000	845.0000	56.0000	734.0000	574.0000	150.0000	2.0000	375.0000	102.0000	0.9946	0.0026	0.0011	0.0007	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0	0	
17	410	0.9999955892562866	410	6.707763532176614e-05	410.0000	845.0000	574.0000	127.0000	56.0000	940.0000	67.0000	705.0000	102.0000	375.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
18	410	0.999834418296814	410	0.002156061353161931	410.0000	127.0000	845.0000	56.0000	102.0000	705.0000	940.0000	667.0000	734.0000	551.0000	0.9998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
19	410	0.9998854398727417	410	0.0015479770954698324	410.0000	845.0000	56.0000	127.0000	102.0000	705.0000	574.0000	551.0000	375.0000	940.0000	0.9999	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
20	410	0.9985654950141907	410	0.017469016835093498	410.0000	845.0000	56.0000	127.0000	67.0000	235.0000	457.0000	143.0000	551.0000	571.0000	0.9986	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
21	410	0.9999492168426514	410	0.0006662521627731621	410.0000	127.0000	845.0000	56.0000	574.0000	542.0000	734.0000	67.0000	705.0000	102.0000	0.9999	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	
22	410	0.982853353023529	410	0.14161506295204163	410.0000	845.0000	56.0000	127.0000	102.0000	67.0000	705.0000	574.0000	457.0000	551.0000	0.9829	0.0071	0.0015	0.0012	0.0007	0.0004	0.0004	0.0004	0.0003	0.0002	0	0	
23	410	0.974396288394928	410	0.233207106590271	410.0000	127.0000	845.0000	102.0000	457.0000	551.0000	56.0000	705.0000	67.0000	940.0000	0.9744	0.0038	0.0019	0.0016	0.0013	0.0010	0.0008	0.0008	0.0006	0.0005	0	0	
24	410	0.9905114769935608	410	0.07974712550640106	410.0000	127.0000	547.0000	102.0000	235.0000	143.0000	705.0000	457.0000	56.0000	845.0000	0.9905	0.0030	0.0024	0.0007	0.0005	0.0003	0.0003	0.0002	0.0002	0.0002	0	0	
