	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	528	0.14698760211467743	411	3.726881265640259	528.0000	524.0000	854.0000	807.0000	771.0000	523.0000	320.0000	361.0000	811.0000	347.0000	0.1470	0.1238	0.1125	0.1020	0.0479	0.0298	0.0277	0.0214	0.0213	0.0202	12	0	
1	528	0.21283510327339172	411	4.102771759033203	528.0000	854.0000	748.0000	844.0000	626.0000	453.0000	524.0000	57.0000	807.0000	523.0000	0.2128	0.0911	0.0478	0.0375	0.0319	0.0270	0.0221	0.0192	0.0191	0.0170	14	0	
2	247	0.3519705832004547	411	2.9157326221466064	247.0000	57.0000	748.0000	523.0000	285.0000	811.0000	808.0000	361.0000	819.0000	551.0000	0.3520	0.1797	0.0729	0.0619	0.0336	0.0197	0.0124	0.0119	0.0118	0.0108	41	0	
3	854	0.6094056367874146	411	2.2230782508850098	854.0000	528.0000	524.0000	347.0000	807.0000	700.0000	411.0000	279.0000	771.0000	6.0000	0.6094	0.0413	0.0319	0.0309	0.0280	0.0265	0.0262	0.0123	0.0118	0.0108	6	0	
4	854	0.3650380074977875	411	2.8380463123321533	854.0000	528.0000	524.0000	807.0000	347.0000	361.0000	811.0000	85.0000	700.0000	411.0000	0.3650	0.1246	0.0961	0.0736	0.0550	0.0256	0.0156	0.0150	0.0149	0.0138	9	0	
5	528	0.485118567943573	411	3.1782851219177246	528.0000	523.0000	844.0000	626.0000	320.0000	361.0000	854.0000	51.0000	807.0000	217.0000	0.4851	0.0307	0.0271	0.0202	0.0197	0.0188	0.0185	0.0127	0.0124	0.0112	51	0	
6	226	0.08662258088588715	411	4.911452293395996	226.0000	807.0000	771.0000	944.0000	509.0000	411.0000	854.0000	945.0000	277.0000	191.0000	0.0866	0.0543	0.0377	0.0299	0.0299	0.0281	0.0273	0.0230	0.0210	0.0200	5	0	
7	524	0.6166780591011047	411	1.1010737419128418	524.0000	854.0000	807.0000	811.0000	729.0000	411.0000	746.0000	340.0000	488.0000	700.0000	0.6167	0.3082	0.0154	0.0084	0.0060	0.0051	0.0044	0.0043	0.0040	0.0038	5	1	
8	854	0.739272952079773	411	1.5615195035934448	854.0000	340.0000	517.0000	277.0000	411.0000	524.0000	319.0000	807.0000	928.0000	226.0000	0.7393	0.0444	0.0291	0.0278	0.0160	0.0121	0.0080	0.0069	0.0063	0.0060	4	1	
9	854	0.0913088321685791	411	4.748813629150391	854.0000	102.0000	411.0000	924.0000	277.0000	488.0000	6.0000	520.0000	940.0000	285.0000	0.0913	0.0494	0.0380	0.0366	0.0361	0.0361	0.0333	0.0230	0.0225	0.0222	2	1	
10	854	0.9619030952453613	411	0.2763519287109375	854.0000	524.0000	340.0000	700.0000	411.0000	488.0000	729.0000	807.0000	528.0000	651.0000	0.9619	0.0065	0.0058	0.0048	0.0045	0.0033	0.0020	0.0010	0.0010	0.0010	4	1	
11	854	0.974528431892395	411	0.18056398630142212	854.0000	340.0000	411.0000	651.0000	524.0000	488.0000	517.0000	700.0000	807.0000	729.0000	0.9745	0.0121	0.0017	0.0015	0.0014	0.0010	0.0010	0.0009	0.0007	0.0006	2	1	
12	789	0.13955827057361603	411	3.766735315322876	789.0000	51.0000	524.0000	235.0000	478.0000	807.0000	639.0000	361.0000	472.0000	744.0000	0.1396	0.1007	0.0621	0.0620	0.0567	0.0549	0.0428	0.0329	0.0296	0.0279	47	1	
13	854	0.33594071865081787	411	2.9840402603149414	854.0000	807.0000	517.0000	411.0000	651.0000	340.0000	277.0000	729.0000	524.0000	319.0000	0.3359	0.2017	0.0620	0.0398	0.0370	0.0311	0.0248	0.0223	0.0119	0.0117	3	1	
14	320	0.5339293479919434	411	1.3828142881393433	320.0000	528.0000	85.0000	347.0000	854.0000	471.0000	874.0000	247.0000	807.0000	811.0000	0.5339	0.2917	0.0867	0.0210	0.0110	0.0089	0.0058	0.0057	0.0047	0.0039	58	2	
15	528	0.5588288903236389	411	2.1252293586730957	528.0000	85.0000	854.0000	320.0000	247.0000	471.0000	319.0000	277.0000	347.0000	490.0000	0.5588	0.0755	0.0636	0.0519	0.0495	0.0253	0.0205	0.0149	0.0075	0.0063	16	2	
16	247	0.7014976739883423	411	1.519942045211792	247.0000	320.0000	528.0000	85.0000	285.0000	924.0000	547.0000	543.0000	347.0000	34.0000	0.7015	0.1065	0.0312	0.0200	0.0145	0.0073	0.0066	0.0065	0.0063	0.0062	41	2	
17	854	0.7484352588653564	411	1.3741769790649414	854.0000	320.0000	528.0000	340.0000	811.0000	524.0000	85.0000	746.0000	865.0000	247.0000	0.7484	0.0623	0.0373	0.0285	0.0207	0.0086	0.0061	0.0059	0.0055	0.0043	10	2	
18	854	0.8450919389724731	411	0.9145233631134033	854.0000	746.0000	524.0000	340.0000	320.0000	528.0000	811.0000	411.0000	85.0000	319.0000	0.8451	0.0269	0.0260	0.0183	0.0135	0.0119	0.0082	0.0052	0.0048	0.0030	7	2	
19	528	0.37925097346305847	411	1.7322237491607666	528.0000	789.0000	320.0000	471.0000	235.0000	85.0000	254.0000	282.0000	547.0000	719.0000	0.3793	0.2792	0.1927	0.0569	0.0154	0.0146	0.0061	0.0059	0.0055	0.0045	112	2	
20	320	0.19663721323013306	411	2.815424919128418	320.0000	528.0000	347.0000	247.0000	807.0000	471.0000	854.0000	65.0000	277.0000	874.0000	0.1966	0.1541	0.1120	0.1116	0.1035	0.0562	0.0353	0.0340	0.0210	0.0180	13	2	
21	854	0.37759801745414734	411	2.402297019958496	854.0000	524.0000	811.0000	411.0000	744.0000	58.0000	523.0000	57.0000	700.0000	277.0000	0.3776	0.2060	0.0792	0.0683	0.0571	0.0334	0.0179	0.0133	0.0128	0.0122	3	3	
22	854	0.3515178859233856	411	2.6766586303710938	854.0000	277.0000	57.0000	285.0000	524.0000	811.0000	507.0000	226.0000	508.0000	278.0000	0.3515	0.2594	0.0376	0.0322	0.0317	0.0192	0.0163	0.0140	0.0131	0.0125	16	3	
23	285	0.21162426471710205	411	2.814541816711426	285.0000	520.0000	247.0000	57.0000	744.0000	524.0000	523.0000	521.0000	811.0000	401.0000	0.2116	0.1574	0.1216	0.1204	0.0690	0.0656	0.0403	0.0336	0.0182	0.0153	13	3	
24	453	0.517513632774353	411	1.3267207145690918	453.0000	854.0000	340.0000	811.0000	364.0000	524.0000	411.0000	177.0000	700.0000	889.0000	0.5175	0.2481	0.1849	0.0080	0.0053	0.0051	0.0037	0.0034	0.0026	0.0022	6	3	
25	854	0.54937744140625	411	1.570135474205017	854.0000	453.0000	340.0000	811.0000	177.0000	896.0000	700.0000	889.0000	364.0000	524.0000	0.5494	0.2319	0.1004	0.0212	0.0122	0.0087	0.0075	0.0073	0.0066	0.0063	10	3	
26	58	0.28974056243896484	411	3.524071216583252	58.0000	744.0000	854.0000	285.0000	700.0000	411.0000	521.0000	247.0000	520.0000	51.0000	0.2897	0.0922	0.0658	0.0465	0.0320	0.0309	0.0248	0.0210	0.0200	0.0199	5	3	
27	854	0.3516952395439148	411	2.762821674346924	854.0000	524.0000	277.0000	411.0000	226.0000	700.0000	57.0000	744.0000	520.0000	441.0000	0.3517	0.1349	0.1229	0.0802	0.0309	0.0228	0.0176	0.0175	0.0153	0.0138	3	3	
28	811	0.629647433757782	411	1.4335317611694336	811.0000	854.0000	524.0000	411.0000	57.0000	746.0000	792.0000	452.0000	329.0000	0.0000	0.6296	0.1511	0.0616	0.0411	0.0378	0.0249	0.0100	0.0098	0.0035	0.0033	3	4	
29	226	0.7703065872192383	411	1.172670841217041	226.0000	854.0000	57.0000	277.0000	411.0000	811.0000	247.0000	191.0000	304.0000	748.0000	0.7703	0.0844	0.0220	0.0180	0.0141	0.0141	0.0092	0.0080	0.0056	0.0046	4	4	
30	520	0.18449419736862183	411	3.3047213554382324	520.0000	57.0000	247.0000	854.0000	226.0000	285.0000	478.0000	429.0000	626.0000	873.0000	0.1845	0.1512	0.1027	0.0831	0.0393	0.0365	0.0323	0.0289	0.0253	0.0245	18	4	
31	854	0.9772890210151672	411	0.15566322207450867	854.0000	811.0000	524.0000	411.0000	329.0000	700.0000	326.0000	746.0000	478.0000	452.0000	0.9773	0.0099	0.0053	0.0020	0.0007	0.0006	0.0006	0.0005	0.0005	0.0004	3	4	
32	854	0.9880561828613281	411	0.08942583948373795	854.0000	811.0000	524.0000	411.0000	57.0000	746.0000	85.0000	247.0000	792.0000	700.0000	0.9881	0.0066	0.0011	0.0008	0.0006	0.0005	0.0003	0.0002	0.0002	0.0002	3	4	
33	411	0.29347535967826843	411	2.8740577697753906	411.0000	478.0000	277.0000	854.0000	805.0000	471.0000	247.0000	830.0000	490.0000	508.0000	0.2935	0.2057	0.0909	0.0657	0.0423	0.0298	0.0218	0.0177	0.0172	0.0155	0	4	
34	411	0.260930597782135	411	3.2681884765625	411.0000	811.0000	226.0000	854.0000	792.0000	746.0000	452.0000	425.0000	304.0000	524.0000	0.2609	0.1449	0.1170	0.0526	0.0349	0.0227	0.0198	0.0189	0.0187	0.0169	0	4	
