	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	483	0.024104703217744827	421	5.960822105407715	483.0000	141.0000	205.0000	681.0000	138.0000	362.0000	87.0000	936.0000	621.0000	144.0000	0.0241	0.0239	0.0202	0.0188	0.0167	0.0156	0.0131	0.0118	0.0107	0.0103	50	0	
1	347	0.1739019900560379	421	5.1337127685546875	347.0000	235.0000	923.0000	205.0000	471.0000	627.0000	421.0000	22.0000	98.0000	832.0000	0.1739	0.0260	0.0256	0.0184	0.0182	0.0174	0.0170	0.0168	0.0160	0.0160	6	0	
2	98	0.2602040767669678	421	3.2604503631591797	98.0000	395.0000	840.0000	692.0000	832.0000	646.0000	683.0000	515.0000	114.0000	645.0000	0.2602	0.2362	0.0623	0.0462	0.0244	0.0241	0.0213	0.0210	0.0146	0.0132	20	1	
3	421	0.3883988857269287	421	2.9777097702026367	421.0000	98.0000	347.0000	395.0000	924.0000	787.0000	54.0000	692.0000	643.0000	899.0000	0.3884	0.0726	0.0696	0.0664	0.0363	0.0346	0.0288	0.0179	0.0176	0.0171	0	1	
4	483	0.18561390042304993	421	4.362112045288086	483.0000	55.0000	395.0000	513.0000	357.0000	584.0000	679.0000	138.0000	899.0000	645.0000	0.1856	0.0934	0.0523	0.0388	0.0383	0.0338	0.0315	0.0200	0.0190	0.0177	10	2	
5	421	0.1944674849510193	421	3.990546703338623	421.0000	205.0000	349.0000	925.0000	673.0000	785.0000	679.0000	483.0000	395.0000	924.0000	0.1945	0.1149	0.0798	0.0397	0.0255	0.0254	0.0250	0.0247	0.0224	0.0212	0	2	
6	395	0.13227348029613495	421	4.073293685913086	395.0000	899.0000	645.0000	679.0000	683.0000	909.0000	96.0000	609.0000	357.0000	421.0000	0.1323	0.1319	0.0762	0.0515	0.0413	0.0338	0.0329	0.0269	0.0250	0.0217	9	3	
7	421	0.9445695877075195	421	0.3210282325744629	421.0000	72.0000	609.0000	679.0000	576.0000	499.0000	22.0000	395.0000	349.0000	924.0000	0.9446	0.0316	0.0036	0.0034	0.0029	0.0028	0.0026	0.0020	0.0013	0.0008	0	3	
8	899	0.769110381603241	421	1.5226430892944336	899.0000	679.0000	832.0000	96.0000	690.0000	395.0000	652.0000	98.0000	583.0000	672.0000	0.7691	0.0223	0.0218	0.0148	0.0137	0.0095	0.0078	0.0061	0.0060	0.0059	20	4	
9	924	0.2922717034816742	421	3.290623188018799	924.0000	673.0000	483.0000	421.0000	787.0000	690.0000	679.0000	162.0000	797.0000	72.0000	0.2923	0.1235	0.0544	0.0524	0.0413	0.0373	0.0348	0.0332	0.0173	0.0156	3	4	
10	357	0.27279916405677795	421	3.1424384117126465	357.0000	395.0000	645.0000	434.0000	899.0000	840.0000	421.0000	3.0000	646.0000	679.0000	0.2728	0.0859	0.0773	0.0717	0.0716	0.0631	0.0390	0.0326	0.0316	0.0309	6	5	
11	347	0.16137197613716125	421	3.0046682357788086	347.0000	679.0000	787.0000	421.0000	74.0000	96.0000	924.0000	348.0000	710.0000	899.0000	0.1614	0.1524	0.1454	0.0938	0.0654	0.0575	0.0417	0.0378	0.0263	0.0227	3	5	
12	679	0.20846357941627502	421	3.519972801208496	679.0000	513.0000	357.0000	645.0000	395.0000	646.0000	138.0000	584.0000	55.0000	833.0000	0.2085	0.1175	0.0936	0.0811	0.0750	0.0385	0.0284	0.0230	0.0189	0.0169	22	6	
13	421	0.4354403614997864	421	2.629225015640259	421.0000	679.0000	626.0000	924.0000	884.0000	349.0000	449.0000	673.0000	456.0000	513.0000	0.4354	0.1683	0.0485	0.0335	0.0320	0.0270	0.0129	0.0129	0.0120	0.0114	0	6	
14	395	0.5100160241127014	421	2.3391900062561035	395.0000	679.0000	584.0000	645.0000	421.0000	646.0000	301.0000	357.0000	683.0000	840.0000	0.5100	0.1108	0.0725	0.0420	0.0346	0.0337	0.0216	0.0198	0.0145	0.0094	4	7	
15	421	0.45727384090423584	421	2.868515968322754	421.0000	395.0000	924.0000	679.0000	609.0000	899.0000	72.0000	203.0000	456.0000	347.0000	0.4573	0.1040	0.0392	0.0270	0.0263	0.0233	0.0209	0.0186	0.0182	0.0132	0	7	
16	138	0.13110898435115814	421	3.393366813659668	138.0000	421.0000	716.0000	899.0000	924.0000	55.0000	693.0000	679.0000	787.0000	339.0000	0.1311	0.1307	0.1262	0.1188	0.0949	0.0527	0.0399	0.0289	0.0166	0.0138	1	8	
17	924	0.2396552860736847	421	2.370208978652954	924.0000	673.0000	421.0000	679.0000	899.0000	797.0000	925.0000	787.0000	403.0000	31.0000	0.2397	0.2227	0.1870	0.1646	0.0223	0.0125	0.0098	0.0093	0.0090	0.0078	2	8	
18	645	0.17366041243076324	421	3.883023500442505	645.0000	683.0000	395.0000	138.0000	646.0000	421.0000	679.0000	584.0000	624.0000	832.0000	0.1737	0.1606	0.0965	0.0429	0.0377	0.0339	0.0298	0.0286	0.0182	0.0152	5	9	
19	98	0.30683842301368713	421	3.445324659347534	98.0000	624.0000	924.0000	679.0000	421.0000	690.0000	584.0000	347.0000	348.0000	72.0000	0.3068	0.0848	0.0753	0.0439	0.0435	0.0337	0.0218	0.0200	0.0153	0.0137	4	9	
20	395	0.1276945173740387	421	4.209219932556152	395.0000	832.0000	513.0000	301.0000	645.0000	80.0000	96.0000	231.0000	924.0000	692.0000	0.1277	0.1206	0.0544	0.0514	0.0508	0.0222	0.0213	0.0199	0.0175	0.0174	11	10	
21	924	0.3274287283420563	421	2.7449917793273926	924.0000	679.0000	673.0000	787.0000	874.0000	797.0000	347.0000	576.0000	743.0000	584.0000	0.3274	0.1176	0.0915	0.0827	0.0614	0.0490	0.0466	0.0261	0.0260	0.0184	10	10	
22	301	0.7222585082054138	421	1.456724762916565	301.0000	395.0000	645.0000	840.0000	421.0000	104.0000	3.0000	884.0000	708.0000	833.0000	0.7223	0.0705	0.0353	0.0258	0.0256	0.0242	0.0114	0.0083	0.0071	0.0064	4	11	
23	679	0.2547103464603424	421	3.53474760055542	679.0000	690.0000	743.0000	205.0000	924.0000	421.0000	899.0000	673.0000	349.0000	609.0000	0.2547	0.0608	0.0548	0.0544	0.0488	0.0402	0.0364	0.0352	0.0275	0.0187	5	11	
24	645	0.2649229168891907	421	2.7893683910369873	645.0000	395.0000	679.0000	646.0000	584.0000	624.0000	915.0000	357.0000	513.0000	832.0000	0.2649	0.1865	0.1391	0.0593	0.0422	0.0263	0.0210	0.0202	0.0194	0.0189	12	12	
