	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.43497100472450256	427	2.9405529499053955	282.0000	472.0000	522.0000	626.0000	819.0000	942.0000	310.0000	152.0000	810.0000	65.0000	0.4350	0.1178	0.0502	0.0336	0.0261	0.0219	0.0159	0.0147	0.0146	0.0139	312	0	
1	819	0.23718266189098358	427	3.664085865020752	819.0000	282.0000	808.0000	576.0000	522.0000	120.0000	700.0000	811.0000	703.0000	488.0000	0.2372	0.0972	0.0833	0.0393	0.0336	0.0306	0.0250	0.0206	0.0205	0.0201	189	0	
2	522	0.3495173752307892	427	2.809595823287964	522.0000	110.0000	472.0000	310.0000	326.0000	347.0000	808.0000	120.0000	810.0000	576.0000	0.3495	0.1308	0.1158	0.0505	0.0473	0.0306	0.0283	0.0195	0.0178	0.0150	167	1	
3	819	0.09977039694786072	427	3.883653163909912	819.0000	212.0000	75.0000	576.0000	472.0000	120.0000	436.0000	235.0000	789.0000	348.0000	0.0998	0.0946	0.0872	0.0450	0.0442	0.0397	0.0394	0.0390	0.0379	0.0262	183	1	
4	522	0.1843184232711792	427	4.022130966186523	522.0000	282.0000	320.0000	326.0000	310.0000	419.0000	120.0000	110.0000	65.0000	819.0000	0.1843	0.1269	0.0700	0.0608	0.0263	0.0251	0.0234	0.0211	0.0202	0.0176	237	2	
5	819	0.6984726786613464	427	1.572089672088623	819.0000	120.0000	627.0000	282.0000	472.0000	153.0000	642.0000	884.0000	310.0000	694.0000	0.6985	0.1058	0.0313	0.0254	0.0147	0.0076	0.0075	0.0064	0.0059	0.0059	275	2	
6	282	0.7055684924125671	427	1.677241563796997	282.0000	110.0000	452.0000	472.0000	789.0000	324.0000	522.0000	65.0000	0.0000	865.0000	0.7056	0.0398	0.0377	0.0334	0.0181	0.0140	0.0108	0.0106	0.0079	0.0072	314	3	
7	472	0.5014935731887817	427	1.2837728261947632	472.0000	110.0000	282.0000	120.0000	682.0000	452.0000	700.0000	436.0000	614.0000	789.0000	0.5015	0.3661	0.0535	0.0300	0.0106	0.0067	0.0027	0.0025	0.0023	0.0022	178	3	
8	110	0.4210323393344879	427	2.1974873542785645	110.0000	326.0000	522.0000	452.0000	876.0000	347.0000	865.0000	676.0000	808.0000	576.0000	0.4210	0.1638	0.1253	0.0481	0.0392	0.0291	0.0248	0.0158	0.0149	0.0146	108	4	
9	819	0.1978740245103836	427	3.3847577571868896	819.0000	865.0000	811.0000	614.0000	808.0000	884.0000	576.0000	682.0000	521.0000	212.0000	0.1979	0.1137	0.0721	0.0668	0.0586	0.0447	0.0360	0.0359	0.0256	0.0251	159	4	
