	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	435	0.3340379297733307	435	2.4402952194213867	435.0000	123.0000	224.0000	332.0000	845.0000	641.0000	41.0000	497.0000	800.0000	16.0000	0.3340	0.2141	0.0691	0.0444	0.0438	0.0433	0.0432	0.0306	0.0189	0.0154	0	0	
1	332	0.7147302627563477	435	1.3661121129989624	332.0000	641.0000	435.0000	933.0000	497.0000	747.0000	16.0000	800.0000	657.0000	321.0000	0.7147	0.0837	0.0443	0.0256	0.0217	0.0162	0.0135	0.0096	0.0085	0.0083	2	0	
2	332	0.3000546395778656	435	2.563704490661621	332.0000	641.0000	224.0000	435.0000	933.0000	16.0000	497.0000	820.0000	123.0000	864.0000	0.3001	0.1384	0.1200	0.0734	0.0698	0.0463	0.0439	0.0307	0.0227	0.0166	3	0	
3	641	0.6221625804901123	435	1.503337025642395	641.0000	332.0000	497.0000	747.0000	435.0000	454.0000	864.0000	16.0000	815.0000	224.0000	0.6222	0.1629	0.0581	0.0307	0.0257	0.0206	0.0109	0.0094	0.0073	0.0056	4	0	
4	454	0.40191352367401123	435	2.088589668273926	454.0000	641.0000	332.0000	864.0000	497.0000	170.0000	815.0000	566.0000	224.0000	800.0000	0.4019	0.2203	0.0743	0.0688	0.0464	0.0389	0.0243	0.0137	0.0117	0.0108	20	0	
5	332	0.5040425658226013	435	1.9899805784225464	332.0000	641.0000	657.0000	497.0000	747.0000	224.0000	435.0000	825.0000	480.0000	123.0000	0.5040	0.1995	0.0537	0.0282	0.0262	0.0234	0.0172	0.0170	0.0124	0.0101	6	0	
6	435	0.36962929368019104	435	2.3746225833892822	435.0000	43.0000	332.0000	641.0000	123.0000	67.0000	321.0000	41.0000	258.0000	224.0000	0.3696	0.1647	0.1071	0.0539	0.0499	0.0459	0.0295	0.0251	0.0220	0.0180	0	0	
7	641	0.47305598855018616	435	1.877182126045227	641.0000	454.0000	864.0000	815.0000	537.0000	332.0000	800.0000	497.0000	123.0000	170.0000	0.4731	0.2124	0.0727	0.0685	0.0351	0.0168	0.0166	0.0128	0.0120	0.0097	19	0	
8	435	0.43107980489730835	435	2.231520414352417	435.0000	332.0000	123.0000	224.0000	641.0000	43.0000	41.0000	820.0000	16.0000	815.0000	0.4311	0.1391	0.0821	0.0722	0.0314	0.0298	0.0297	0.0279	0.0214	0.0185	0	0	
9	641	0.31115248799324036	435	2.389549732208252	641.0000	332.0000	435.0000	747.0000	815.0000	224.0000	123.0000	41.0000	800.0000	497.0000	0.3112	0.1878	0.1131	0.0782	0.0660	0.0459	0.0287	0.0193	0.0181	0.0162	2	0	
