	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	177	0.27071380615234375	440	2.661475658416748	177.0000	282.0000	364.0000	552.0000	868.0000	46.0000	131.0000	215.0000	166.0000	528.0000	0.2707	0.1830	0.1743	0.0705	0.0557	0.0317	0.0170	0.0156	0.0128	0.0123	247	0	
1	719	0.08567151427268982	440	4.387296676635742	719.0000	541.0000	673.0000	252.0000	692.0000	6.0000	818.0000	657.0000	282.0000	483.0000	0.0857	0.0724	0.0693	0.0493	0.0442	0.0419	0.0411	0.0410	0.0259	0.0249	150	0	
2	162	0.08168620616197586	440	4.773177146911621	162.0000	347.0000	551.0000	629.0000	488.0000	483.0000	868.0000	544.0000	285.0000	282.0000	0.0817	0.0572	0.0540	0.0430	0.0381	0.0378	0.0362	0.0304	0.0278	0.0270	193	0	
3	583	0.12495948374271393	440	4.329129219055176	583.0000	629.0000	854.0000	483.0000	277.0000	6.0000	672.0000	347.0000	719.0000	797.0000	0.1250	0.0885	0.0606	0.0544	0.0516	0.0399	0.0385	0.0297	0.0256	0.0256	288	0	
4	868	0.11162949353456497	440	3.9708189964294434	868.0000	131.0000	177.0000	544.0000	285.0000	483.0000	551.0000	703.0000	358.0000	719.0000	0.1116	0.0718	0.0562	0.0510	0.0505	0.0453	0.0349	0.0335	0.0324	0.0299	222	0	
5	893	0.14958955347537994	440	4.410163879394531	893.0000	492.0000	282.0000	166.0000	582.0000	719.0000	483.0000	315.0000	45.0000	868.0000	0.1496	0.0776	0.0455	0.0415	0.0370	0.0301	0.0271	0.0237	0.0236	0.0218	177	0	
6	585	0.2203313410282135	440	4.0799241065979	585.0000	162.0000	347.0000	6.0000	703.0000	925.0000	235.0000	285.0000	457.0000	247.0000	0.2203	0.1220	0.0420	0.0381	0.0355	0.0296	0.0209	0.0198	0.0196	0.0165	101	0	
7	131	0.1784883290529251	440	4.013993263244629	131.0000	177.0000	483.0000	528.0000	282.0000	552.0000	544.0000	654.0000	868.0000	703.0000	0.1785	0.0698	0.0531	0.0475	0.0439	0.0416	0.0382	0.0340	0.0300	0.0260	208	0	
8	893	0.06303795427083969	440	4.7449846267700195	893.0000	582.0000	282.0000	177.0000	492.0000	483.0000	719.0000	315.0000	552.0000	868.0000	0.0630	0.0509	0.0399	0.0370	0.0355	0.0333	0.0323	0.0297	0.0297	0.0243	173	0	
9	177	0.29422879219055176	440	3.2480649948120117	177.0000	342.0000	654.0000	6.0000	371.0000	364.0000	269.0000	719.0000	285.0000	787.0000	0.2942	0.1045	0.0707	0.0509	0.0396	0.0363	0.0342	0.0277	0.0244	0.0221	142	1	
10	787	0.3107340633869171	440	3.5210139751434326	787.0000	719.0000	347.0000	162.0000	285.0000	626.0000	6.0000	168.0000	177.0000	342.0000	0.3107	0.0922	0.0700	0.0552	0.0514	0.0198	0.0197	0.0147	0.0145	0.0138	31	1	
11	787	0.18392403423786163	440	3.618223190307617	787.0000	347.0000	488.0000	867.0000	647.0000	162.0000	483.0000	811.0000	873.0000	285.0000	0.1839	0.1490	0.1447	0.0480	0.0291	0.0234	0.0214	0.0190	0.0176	0.0151	44	1	
12	719	0.19552822411060333	440	3.9146199226379395	719.0000	347.0000	551.0000	285.0000	854.0000	787.0000	483.0000	371.0000	162.0000	166.0000	0.1955	0.1068	0.0662	0.0497	0.0288	0.0286	0.0251	0.0244	0.0238	0.0223	48	1	
13	647	0.14366018772125244	440	4.181054592132568	647.0000	131.0000	282.0000	719.0000	867.0000	787.0000	285.0000	811.0000	703.0000	868.0000	0.1437	0.0837	0.0489	0.0426	0.0384	0.0360	0.0294	0.0284	0.0274	0.0265	55	1	
14	453	0.07648155093193054	440	4.544277191162109	453.0000	893.0000	703.0000	131.0000	719.0000	867.0000	488.0000	544.0000	787.0000	492.0000	0.0765	0.0704	0.0696	0.0535	0.0378	0.0356	0.0319	0.0267	0.0233	0.0226	28	1	
15	285	0.3533811867237091	440	3.53365421295166	285.0000	162.0000	703.0000	457.0000	75.0000	347.0000	925.0000	719.0000	136.0000	647.0000	0.3534	0.0635	0.0487	0.0434	0.0335	0.0283	0.0233	0.0217	0.0196	0.0159	10	1	
16	136	0.14237427711486816	440	3.4812283515930176	136.0000	719.0000	654.0000	177.0000	6.0000	787.0000	285.0000	703.0000	371.0000	358.0000	0.1424	0.1305	0.1297	0.0921	0.0660	0.0412	0.0376	0.0373	0.0291	0.0119	77	1	
17	453	0.2732325494289398	440	3.98838472366333	453.0000	893.0000	703.0000	552.0000	131.0000	282.0000	719.0000	492.0000	867.0000	811.0000	0.2732	0.0532	0.0431	0.0274	0.0256	0.0247	0.0246	0.0229	0.0216	0.0199	50	1	
18	364	0.20912976562976837	440	2.8396410942077637	364.0000	868.0000	166.0000	889.0000	342.0000	540.0000	371.0000	46.0000	177.0000	213.0000	0.2091	0.1277	0.1056	0.0904	0.0731	0.0710	0.0536	0.0379	0.0360	0.0324	112	2	
19	162	0.43303269147872925	440	2.378549098968506	162.0000	924.0000	540.0000	457.0000	167.0000	787.0000	867.0000	719.0000	654.0000	223.0000	0.4330	0.1313	0.1279	0.0367	0.0283	0.0249	0.0236	0.0231	0.0165	0.0148	28	2	
20	169	0.1032019704580307	440	3.6629881858825684	169.0000	483.0000	787.0000	162.0000	282.0000	166.0000	87.0000	889.0000	131.0000	868.0000	0.1032	0.0835	0.0816	0.0686	0.0660	0.0623	0.0578	0.0338	0.0328	0.0277	45	2	
21	186	0.32256925106048584	440	2.84991455078125	186.0000	87.0000	162.0000	166.0000	252.0000	483.0000	223.0000	787.0000	272.0000	924.0000	0.3226	0.1521	0.0752	0.0708	0.0655	0.0546	0.0291	0.0200	0.0130	0.0117	28	2	
22	131	0.07881560176610947	440	3.96583890914917	131.0000	868.0000	282.0000	854.0000	483.0000	162.0000	285.0000	925.0000	57.0000	169.0000	0.0788	0.0735	0.0581	0.0544	0.0464	0.0429	0.0383	0.0318	0.0297	0.0286	19	2	
23	213	0.15287762880325317	440	4.1180830001831055	213.0000	272.0000	358.0000	492.0000	340.0000	854.0000	517.0000	540.0000	169.0000	166.0000	0.1529	0.0554	0.0351	0.0339	0.0334	0.0333	0.0325	0.0293	0.0275	0.0272	62	2	
24	162	0.14916743338108063	440	4.055000305175781	162.0000	457.0000	177.0000	925.0000	540.0000	371.0000	285.0000	868.0000	269.0000	719.0000	0.1492	0.1159	0.0655	0.0492	0.0395	0.0345	0.0337	0.0270	0.0268	0.0230	14	2	
25	654	0.18719954788684845	440	3.1714398860931396	654.0000	6.0000	540.0000	703.0000	924.0000	371.0000	177.0000	719.0000	162.0000	342.0000	0.1872	0.1627	0.0973	0.0567	0.0470	0.0421	0.0319	0.0271	0.0245	0.0238	58	2	
26	552	0.10341969132423401	440	3.8561134338378906	552.0000	540.0000	453.0000	492.0000	364.0000	868.0000	272.0000	213.0000	358.0000	457.0000	0.1034	0.0885	0.0594	0.0589	0.0518	0.0425	0.0352	0.0340	0.0336	0.0295	45	2	
27	131	0.505132794380188	440	2.484800338745117	131.0000	371.0000	212.0000	703.0000	166.0000	896.0000	857.0000	483.0000	136.0000	195.0000	0.5051	0.0692	0.0651	0.0459	0.0438	0.0239	0.0233	0.0196	0.0168	0.0118	119	3	
28	167	0.1492927223443985	440	3.1431055068969727	167.0000	540.0000	787.0000	867.0000	647.0000	162.0000	719.0000	654.0000	483.0000	662.0000	0.1493	0.1406	0.0930	0.0891	0.0746	0.0569	0.0465	0.0453	0.0394	0.0278	17	3	
29	396	0.1585315614938736	440	3.9826574325561523	396.0000	787.0000	483.0000	867.0000	131.0000	364.0000	811.0000	544.0000	857.0000	347.0000	0.1585	0.1368	0.0801	0.0554	0.0359	0.0278	0.0273	0.0252	0.0216	0.0188	36	3	
30	551	0.19173631072044373	440	3.465122699737549	551.0000	797.0000	483.0000	162.0000	421.0000	680.0000	945.0000	710.0000	285.0000	924.0000	0.1917	0.0971	0.0963	0.0936	0.0540	0.0452	0.0399	0.0296	0.0247	0.0221	24	3	
31	131	0.8075003027915955	440	1.299272894859314	131.0000	544.0000	552.0000	647.0000	169.0000	857.0000	540.0000	703.0000	618.0000	492.0000	0.8075	0.0152	0.0129	0.0126	0.0099	0.0091	0.0076	0.0067	0.0060	0.0055	39	3	
32	721	0.12438987195491791	440	4.392807960510254	721.0000	582.0000	893.0000	212.0000	874.0000	75.0000	532.0000	845.0000	245.0000	320.0000	0.1244	0.0936	0.0928	0.0480	0.0345	0.0337	0.0198	0.0193	0.0191	0.0189	43	3	
33	162	0.2291969209909439	440	3.6101527214050293	162.0000	925.0000	131.0000	457.0000	417.0000	410.0000	285.0000	368.0000	132.0000	703.0000	0.2292	0.1654	0.0747	0.0630	0.0233	0.0215	0.0175	0.0163	0.0155	0.0155	28	3	
34	703	0.11786122620105743	440	4.151331901550293	703.0000	131.0000	136.0000	371.0000	212.0000	483.0000	654.0000	896.0000	521.0000	857.0000	0.1179	0.0877	0.0654	0.0593	0.0554	0.0451	0.0374	0.0275	0.0260	0.0236	96	3	
35	166	0.11151100695133209	440	4.172138214111328	166.0000	453.0000	282.0000	364.0000	75.0000	893.0000	582.0000	721.0000	212.0000	213.0000	0.1115	0.0813	0.0804	0.0754	0.0705	0.0357	0.0261	0.0220	0.0213	0.0209	81	3	
36	364	0.6588612794876099	440	1.6772984266281128	364.0000	177.0000	654.0000	703.0000	371.0000	342.0000	453.0000	367.0000	896.0000	166.0000	0.6589	0.0780	0.0410	0.0354	0.0325	0.0233	0.0128	0.0124	0.0081	0.0077	69	4	
37	719	0.6973060369491577	440	1.252638578414917	719.0000	647.0000	867.0000	540.0000	654.0000	924.0000	457.0000	131.0000	787.0000	167.0000	0.6973	0.1148	0.0669	0.0422	0.0258	0.0128	0.0060	0.0032	0.0028	0.0021	16	4	
38	867	0.561076283454895	440	2.0801734924316406	867.0000	924.0000	483.0000	787.0000	513.0000	719.0000	552.0000	609.0000	61.0000	362.0000	0.5611	0.0996	0.0695	0.0591	0.0262	0.0233	0.0175	0.0112	0.0109	0.0108	29	4	
39	719	0.3152769207954407	440	3.1597156524658203	719.0000	924.0000	285.0000	34.0000	551.0000	162.0000	748.0000	440.0000	868.0000	282.0000	0.3153	0.1124	0.0768	0.0665	0.0505	0.0376	0.0284	0.0279	0.0173	0.0143	7	4	
40	719	0.36955949664115906	440	2.896456718444824	719.0000	282.0000	647.0000	924.0000	626.0000	867.0000	551.0000	703.0000	552.0000	654.0000	0.3696	0.0839	0.0670	0.0634	0.0402	0.0389	0.0378	0.0364	0.0236	0.0158	28	4	
41	340	0.23881801962852478	440	3.0687851905822754	340.0000	719.0000	441.0000	483.0000	453.0000	867.0000	23.0000	538.0000	442.0000	186.0000	0.2388	0.1508	0.0997	0.0806	0.0400	0.0365	0.0352	0.0338	0.0244	0.0231	13	4	
42	719	0.31503069400787354	440	3.2323615550994873	719.0000	647.0000	131.0000	924.0000	440.0000	23.0000	703.0000	867.0000	457.0000	654.0000	0.3150	0.1070	0.0695	0.0550	0.0311	0.0260	0.0234	0.0233	0.0231	0.0207	4	4	
43	654	0.5942316055297852	440	1.6597537994384766	654.0000	719.0000	703.0000	647.0000	177.0000	896.0000	924.0000	282.0000	867.0000	618.0000	0.5942	0.1124	0.1059	0.0628	0.0147	0.0100	0.0096	0.0070	0.0070	0.0061	45	4	
44	453	0.20819029211997986	440	3.0958738327026367	453.0000	340.0000	441.0000	719.0000	23.0000	208.0000	483.0000	626.0000	867.0000	551.0000	0.2082	0.1531	0.1301	0.0745	0.0447	0.0442	0.0376	0.0355	0.0239	0.0192	16	4	
45	868	0.10019741952419281	440	3.251718044281006	868.0000	364.0000	540.0000	166.0000	896.0000	367.0000	131.0000	212.0000	703.0000	177.0000	0.1002	0.0991	0.0936	0.0750	0.0684	0.0646	0.0634	0.0587	0.0407	0.0369	72	5	
46	647	0.3550066351890564	440	1.98109769821167	647.0000	540.0000	177.0000	867.0000	719.0000	440.0000	868.0000	654.0000	371.0000	285.0000	0.3550	0.3102	0.0768	0.0731	0.0582	0.0159	0.0144	0.0105	0.0096	0.0078	5	5	
47	867	0.26392248272895813	440	3.194395065307617	867.0000	488.0000	483.0000	787.0000	857.0000	544.0000	362.0000	924.0000	797.0000	821.0000	0.2639	0.1422	0.1414	0.0491	0.0309	0.0303	0.0283	0.0197	0.0157	0.0141	45	5	
48	868	0.12859749794006348	440	3.5737576484680176	868.0000	162.0000	797.0000	551.0000	34.0000	285.0000	483.0000	710.0000	166.0000	896.0000	0.1286	0.1193	0.1181	0.0500	0.0462	0.0379	0.0379	0.0324	0.0301	0.0279	15	5	
49	540	0.11097417771816254	440	3.2977800369262695	540.0000	647.0000	131.0000	857.0000	893.0000	719.0000	868.0000	703.0000	618.0000	552.0000	0.1110	0.1027	0.0917	0.0886	0.0809	0.0722	0.0685	0.0583	0.0404	0.0297	16	5	
50	23	0.231466144323349	440	3.0603139400482178	23.0000	212.0000	776.0000	245.0000	433.0000	721.0000	358.0000	291.0000	235.0000	640.0000	0.2315	0.1463	0.1066	0.0706	0.0691	0.0590	0.0396	0.0307	0.0301	0.0145	45	5	
51	647	0.25701090693473816	440	2.9179282188415527	647.0000	719.0000	371.0000	540.0000	896.0000	925.0000	177.0000	541.0000	811.0000	440.0000	0.2570	0.2080	0.0879	0.0579	0.0467	0.0365	0.0348	0.0192	0.0182	0.0170	9	5	
52	647	0.2884209156036377	440	2.7540817260742188	647.0000	896.0000	719.0000	131.0000	654.0000	367.0000	540.0000	639.0000	703.0000	857.0000	0.2884	0.1060	0.1022	0.0637	0.0630	0.0591	0.0403	0.0394	0.0314	0.0275	59	5	
53	776	0.384224534034729	440	3.1718192100524902	776.0000	166.0000	212.0000	893.0000	23.0000	358.0000	433.0000	721.0000	245.0000	854.0000	0.3842	0.1090	0.0611	0.0452	0.0365	0.0254	0.0137	0.0126	0.0115	0.0114	57	5	
54	371	0.3014407753944397	440	2.4167046546936035	371.0000	342.0000	166.0000	177.0000	367.0000	868.0000	358.0000	647.0000	364.0000	212.0000	0.3014	0.2278	0.0893	0.0653	0.0599	0.0349	0.0332	0.0267	0.0258	0.0175	64	6	
55	654	0.1999615877866745	440	2.7906887531280518	654.0000	647.0000	867.0000	719.0000	540.0000	924.0000	787.0000	162.0000	457.0000	483.0000	0.2000	0.1520	0.1478	0.0922	0.0875	0.0737	0.0340	0.0293	0.0199	0.0177	13	6	
56	867	0.3515283465385437	440	2.5733985900878906	867.0000	787.0000	654.0000	552.0000	544.0000	924.0000	483.0000	243.0000	857.0000	362.0000	0.3515	0.2534	0.0505	0.0329	0.0325	0.0292	0.0271	0.0197	0.0172	0.0169	21	6	
57	162	0.38760092854499817	440	3.217932939529419	162.0000	680.0000	347.0000	919.0000	277.0000	945.0000	551.0000	166.0000	924.0000	278.0000	0.3876	0.1087	0.0468	0.0352	0.0289	0.0177	0.0169	0.0149	0.0147	0.0118	57	6	
