	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	517	0.21742591261863708	441	3.302520275115967	517.0000	285.0000	364.0000	131.0000	528.0000	558.0000	703.0000	191.0000	226.0000	811.0000	0.2174	0.2166	0.0756	0.0477	0.0356	0.0318	0.0296	0.0183	0.0174	0.0165	53	0	
1	285	0.37637606263160706	441	3.820756435394287	285.0000	703.0000	507.0000	51.0000	510.0000	488.0000	273.0000	503.0000	226.0000	44.0000	0.3764	0.0372	0.0351	0.0350	0.0191	0.0186	0.0182	0.0162	0.0147	0.0101	51	0	
2	49	0.23516090214252472	441	3.155169725418091	49.0000	191.0000	364.0000	558.0000	912.0000	226.0000	811.0000	538.0000	926.0000	673.0000	0.2352	0.1918	0.0757	0.0666	0.0494	0.0305	0.0255	0.0221	0.0194	0.0193	19	0	
3	285	0.7781884074211121	441	0.9538929462432861	285.0000	528.0000	131.0000	893.0000	452.0000	811.0000	517.0000	59.0000	36.0000	572.0000	0.7782	0.1457	0.0144	0.0108	0.0038	0.0030	0.0029	0.0023	0.0022	0.0021	108	1	
4	285	0.7339232563972473	441	1.9875454902648926	285.0000	703.0000	670.0000	51.0000	273.0000	503.0000	61.0000	844.0000	131.0000	543.0000	0.7339	0.0247	0.0105	0.0080	0.0070	0.0063	0.0051	0.0049	0.0048	0.0046	81	1	
5	528	0.20812363922595978	441	2.799987316131592	528.0000	285.0000	517.0000	131.0000	49.0000	811.0000	340.0000	347.0000	191.0000	452.0000	0.2081	0.2052	0.1018	0.0790	0.0560	0.0559	0.0529	0.0338	0.0243	0.0218	99	1	
6	528	0.7642672657966614	441	1.4000976085662842	528.0000	453.0000	730.0000	338.0000	558.0000	868.0000	924.0000	59.0000	191.0000	811.0000	0.7643	0.0279	0.0228	0.0195	0.0174	0.0145	0.0126	0.0094	0.0085	0.0081	33	2	
7	441	0.17035441100597382	441	4.435490608215332	441.0000	453.0000	558.0000	924.0000	803.0000	442.0000	277.0000	61.0000	51.0000	483.0000	0.1704	0.0804	0.0580	0.0235	0.0232	0.0228	0.0208	0.0205	0.0190	0.0188	0	2	
8	191	0.16002793610095978	441	3.0307774543762207	191.0000	49.0000	558.0000	528.0000	338.0000	538.0000	926.0000	340.0000	730.0000	874.0000	0.1600	0.1463	0.0950	0.0785	0.0697	0.0564	0.0523	0.0516	0.0387	0.0354	40	2	
9	528	0.9810432195663452	441	0.14000657200813293	528.0000	285.0000	59.0000	127.0000	517.0000	558.0000	452.0000	526.0000	429.0000	321.0000	0.9810	0.0060	0.0024	0.0024	0.0019	0.0018	0.0011	0.0005	0.0004	0.0003	96	3	
10	492	0.2935210168361664	441	3.7200162410736084	492.0000	51.0000	49.0000	358.0000	131.0000	134.0000	776.0000	528.0000	273.0000	208.0000	0.2935	0.1334	0.0440	0.0425	0.0347	0.0143	0.0137	0.0134	0.0122	0.0110	48	3	
11	452	0.27907121181488037	441	2.4078705310821533	452.0000	429.0000	517.0000	558.0000	49.0000	57.0000	811.0000	127.0000	191.0000	806.0000	0.2791	0.2780	0.0826	0.0710	0.0387	0.0277	0.0240	0.0218	0.0211	0.0204	97	3	
12	528	0.9464412927627563	441	0.3645186126232147	528.0000	558.0000	285.0000	338.0000	168.0000	618.0000	59.0000	452.0000	526.0000	821.0000	0.9464	0.0165	0.0089	0.0033	0.0032	0.0021	0.0020	0.0017	0.0017	0.0016	167	4	
13	443	0.39931240677833557	441	2.9792098999023438	443.0000	945.0000	285.0000	208.0000	241.0000	61.0000	51.0000	547.0000	242.0000	134.0000	0.3993	0.0508	0.0461	0.0430	0.0383	0.0325	0.0276	0.0264	0.0256	0.0256	103	4	
14	558	0.25636187195777893	441	2.3238465785980225	558.0000	49.0000	528.0000	168.0000	191.0000	285.0000	338.0000	57.0000	924.0000	157.0000	0.2564	0.2408	0.2116	0.0532	0.0361	0.0331	0.0310	0.0136	0.0117	0.0108	221	4	
15	528	0.8262773156166077	441	0.9400689601898193	528.0000	558.0000	452.0000	285.0000	131.0000	59.0000	338.0000	821.0000	517.0000	854.0000	0.8263	0.0543	0.0366	0.0199	0.0077	0.0055	0.0038	0.0037	0.0029	0.0028	54	5	
16	51	0.12456326186656952	441	4.081063747406006	51.0000	592.0000	443.0000	1.0000	285.0000	273.0000	492.0000	134.0000	821.0000	803.0000	0.1246	0.0875	0.0555	0.0521	0.0518	0.0458	0.0391	0.0344	0.0308	0.0292	28	5	
17	558	0.5570369958877563	441	1.5194091796875	558.0000	528.0000	452.0000	811.0000	335.0000	338.0000	517.0000	157.0000	821.0000	429.0000	0.5570	0.2821	0.0332	0.0199	0.0144	0.0126	0.0106	0.0062	0.0059	0.0056	21	5	
18	285	0.8580641150474548	441	0.5418758392333984	285.0000	528.0000	453.0000	59.0000	558.0000	429.0000	338.0000	517.0000	618.0000	821.0000	0.8581	0.1125	0.0173	0.0023	0.0016	0.0012	0.0010	0.0007	0.0003	0.0003	79	6	
19	285	0.8059460520744324	441	1.2147246599197388	285.0000	61.0000	443.0000	821.0000	358.0000	51.0000	134.0000	468.0000	409.0000	552.0000	0.8059	0.0244	0.0234	0.0206	0.0150	0.0133	0.0112	0.0045	0.0045	0.0032	81	6	
