	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	483	0.869834840297699	442	0.638867974281311	483.0000	46.0000	442.0000	889.0000	166.0000	157.0000	734.0000	71.0000	364.0000	186.0000	0.8698	0.0708	0.0132	0.0099	0.0079	0.0072	0.0034	0.0031	0.0022	0.0013	2	0	
1	483	0.4710954427719116	442	1.3260616064071655	483.0000	442.0000	157.0000	186.0000	46.0000	889.0000	538.0000	166.0000	335.0000	226.0000	0.4711	0.3901	0.0341	0.0327	0.0296	0.0098	0.0062	0.0024	0.0021	0.0020	1	0	
2	483	0.07491979748010635	442	4.731098175048828	483.0000	177.0000	844.0000	141.0000	32.0000	364.0000	75.0000	157.0000	453.0000	605.0000	0.0749	0.0672	0.0530	0.0465	0.0447	0.0373	0.0334	0.0240	0.0207	0.0192	120	0	
3	483	0.8541528582572937	442	0.7487516403198242	483.0000	46.0000	442.0000	157.0000	734.0000	166.0000	889.0000	186.0000	71.0000	538.0000	0.8542	0.0362	0.0358	0.0344	0.0066	0.0066	0.0062	0.0025	0.0023	0.0017	2	0	
4	75	0.30320635437965393	442	4.185397624969482	75.0000	888.0000	273.0000	532.0000	141.0000	724.0000	47.0000	444.0000	707.0000	768.0000	0.3032	0.0945	0.0263	0.0189	0.0161	0.0155	0.0145	0.0143	0.0141	0.0119	494	0	
5	484	0.14482679963111877	442	3.2508530616760254	484.0000	442.0000	610.0000	566.0000	617.0000	255.0000	186.0000	157.0000	538.0000	923.0000	0.1448	0.1285	0.0966	0.0910	0.0858	0.0765	0.0385	0.0344	0.0232	0.0226	1	0	
6	610	0.11035370081663132	442	3.7768094539642334	610.0000	658.0000	6.0000	157.0000	442.0000	484.0000	145.0000	243.0000	46.0000	485.0000	0.1104	0.0896	0.0866	0.0731	0.0599	0.0576	0.0487	0.0386	0.0381	0.0306	4	0	
7	75	0.16054843366146088	442	5.130900859832764	75.0000	724.0000	47.0000	888.0000	844.0000	264.0000	141.0000	142.0000	919.0000	707.0000	0.1605	0.0390	0.0351	0.0263	0.0189	0.0186	0.0183	0.0181	0.0149	0.0122	368	0	
8	255	0.3817905783653259	442	2.047973155975342	255.0000	923.0000	895.0000	227.0000	8.0000	926.0000	32.0000	272.0000	538.0000	156.0000	0.3818	0.1742	0.1612	0.0882	0.0483	0.0323	0.0257	0.0106	0.0093	0.0081	13	0	
9	483	0.08256412297487259	442	4.8128156661987305	483.0000	141.0000	364.0000	177.0000	844.0000	32.0000	157.0000	191.0000	75.0000	166.0000	0.0826	0.0614	0.0517	0.0511	0.0356	0.0303	0.0271	0.0267	0.0252	0.0160	143	0	
10	38	0.303552508354187	442	2.6650681495666504	38.0000	6.0000	511.0000	617.0000	484.0000	566.0000	442.0000	255.0000	483.0000	186.0000	0.3036	0.2428	0.0516	0.0493	0.0468	0.0371	0.0315	0.0253	0.0171	0.0169	6	0	
11	157	0.10772114247083664	442	4.030996799468994	157.0000	610.0000	734.0000	658.0000	243.0000	142.0000	442.0000	487.0000	483.0000	335.0000	0.1077	0.0830	0.0658	0.0515	0.0463	0.0454	0.0447	0.0348	0.0306	0.0289	6	0	
12	186	0.6432397365570068	442	0.9889060258865356	186.0000	442.0000	483.0000	157.0000	272.0000	176.0000	453.0000	340.0000	166.0000	538.0000	0.6432	0.2705	0.0564	0.0092	0.0029	0.0023	0.0017	0.0014	0.0013	0.0013	1	1	
13	442	0.8087764382362366	442	0.7866941094398499	442.0000	186.0000	340.0000	483.0000	176.0000	226.0000	157.0000	538.0000	255.0000	658.0000	0.8088	0.1042	0.0435	0.0145	0.0057	0.0052	0.0043	0.0028	0.0023	0.0018	0	1	
