	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	250	0.15225180983543396	444	3.886597156524658	250.0000	799.0000	443.0000	888.0000	466.0000	91.0000	802.0000	449.0000	444.0000	655.0000	0.1523	0.1237	0.0935	0.0769	0.0516	0.0495	0.0447	0.0210	0.0177	0.0123	8	0	
1	799	0.15080635249614716	444	3.9441001415252686	799.0000	250.0000	888.0000	91.0000	443.0000	466.0000	802.0000	449.0000	655.0000	782.0000	0.1508	0.1355	0.0878	0.0623	0.0620	0.0498	0.0259	0.0211	0.0160	0.0151	11	0	
2	888	0.22201626002788544	444	3.896536350250244	888.0000	799.0000	250.0000	443.0000	91.0000	466.0000	449.0000	444.0000	655.0000	782.0000	0.2220	0.0889	0.0859	0.0758	0.0275	0.0258	0.0221	0.0183	0.0177	0.0159	7	0	
3	888	0.24540436267852783	444	3.8107283115386963	888.0000	250.0000	799.0000	443.0000	91.0000	466.0000	782.0000	449.0000	444.0000	655.0000	0.2454	0.0818	0.0745	0.0597	0.0313	0.0258	0.0254	0.0217	0.0193	0.0192	8	0	
4	250	0.09932003170251846	444	4.657504081726074	250.0000	799.0000	888.0000	443.0000	91.0000	466.0000	449.0000	0.0000	444.0000	802.0000	0.0993	0.0909	0.0697	0.0442	0.0364	0.0324	0.0275	0.0190	0.0188	0.0169	8	0	
5	799	0.18387164175510406	444	3.6284823417663574	799.0000	888.0000	250.0000	443.0000	91.0000	466.0000	802.0000	782.0000	655.0000	449.0000	0.1839	0.1310	0.1068	0.0592	0.0569	0.0511	0.0366	0.0290	0.0196	0.0190	14	0	
6	888	0.24819603562355042	444	3.5330309867858887	888.0000	250.0000	443.0000	799.0000	782.0000	91.0000	444.0000	466.0000	655.0000	449.0000	0.2482	0.1013	0.0959	0.0623	0.0456	0.0305	0.0246	0.0221	0.0195	0.0186	6	0	
7	888	0.20583060383796692	444	4.199274063110352	888.0000	250.0000	443.0000	799.0000	466.0000	91.0000	449.0000	655.0000	444.0000	782.0000	0.2058	0.0772	0.0614	0.0572	0.0289	0.0252	0.0210	0.0183	0.0183	0.0162	8	0	
8	477	0.22601179778575897	444	3.0989696979522705	477.0000	449.0000	444.0000	273.0000	662.0000	888.0000	250.0000	91.0000	443.0000	466.0000	0.2260	0.1835	0.0981	0.0447	0.0357	0.0353	0.0341	0.0291	0.0283	0.0256	2	1	
9	444	0.14471754431724548	444	3.6096713542938232	444.0000	662.0000	477.0000	449.0000	273.0000	578.0000	91.0000	888.0000	250.0000	466.0000	0.1447	0.1360	0.0926	0.0880	0.0502	0.0365	0.0341	0.0332	0.0288	0.0246	0	1	
10	444	0.14567330479621887	444	3.665175199508667	444.0000	477.0000	277.0000	479.0000	449.0000	563.0000	273.0000	91.0000	888.0000	250.0000	0.1457	0.1270	0.1106	0.0457	0.0417	0.0367	0.0352	0.0304	0.0285	0.0285	0	1	
11	444	0.12542489171028137	444	3.8506109714508057	444.0000	477.0000	273.0000	277.0000	662.0000	443.0000	888.0000	250.0000	563.0000	91.0000	0.1254	0.1142	0.0856	0.0626	0.0512	0.0416	0.0408	0.0370	0.0301	0.0219	0	1	
12	449	0.24730752408504486	444	3.389453172683716	449.0000	477.0000	444.0000	466.0000	273.0000	306.0000	479.0000	578.0000	563.0000	662.0000	0.2473	0.1199	0.0815	0.0524	0.0449	0.0319	0.0313	0.0270	0.0206	0.0205	2	1	
13	444	0.18513987958431244	444	3.192594289779663	444.0000	449.0000	443.0000	477.0000	466.0000	91.0000	888.0000	273.0000	662.0000	250.0000	0.1851	0.1412	0.1332	0.1154	0.0495	0.0434	0.0268	0.0202	0.0194	0.0164	0	1	
14	444	0.172715961933136	444	3.520435094833374	444.0000	477.0000	888.0000	443.0000	662.0000	277.0000	563.0000	273.0000	250.0000	91.0000	0.1727	0.1665	0.0650	0.0586	0.0461	0.0377	0.0366	0.0356	0.0340	0.0199	0	1	
15	444	0.22921939194202423	444	3.3114709854125977	444.0000	477.0000	273.0000	277.0000	449.0000	479.0000	250.0000	91.0000	803.0000	443.0000	0.2292	0.1863	0.0570	0.0558	0.0429	0.0298	0.0297	0.0286	0.0195	0.0189	0	1	
