	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	453	0.11398997157812119	449	4.496891975402832	453.0000	343.0000	942.0000	449.0000	75.0000	550.0000	362.0000	626.0000	513.0000	364.0000	0.1140	0.0827	0.0790	0.0637	0.0444	0.0351	0.0235	0.0205	0.0164	0.0152	3	0	
1	942	0.3481452763080597	449	3.264857292175293	942.0000	626.0000	449.0000	297.0000	75.0000	655.0000	703.0000	888.0000	370.0000	443.0000	0.3481	0.1057	0.0544	0.0476	0.0317	0.0273	0.0235	0.0228	0.0187	0.0171	2	0	
2	942	0.2108594924211502	449	3.4342119693756104	942.0000	443.0000	297.0000	449.0000	444.0000	160.0000	655.0000	626.0000	253.0000	117.0000	0.2109	0.1173	0.1091	0.0436	0.0432	0.0407	0.0406	0.0402	0.0280	0.0194	3	0	
3	942	0.4982846975326538	449	2.792325496673584	942.0000	449.0000	550.0000	644.0000	655.0000	443.0000	297.0000	580.0000	72.0000	626.0000	0.4983	0.1120	0.0463	0.0160	0.0132	0.0125	0.0120	0.0105	0.0086	0.0086	1	0	
4	449	0.13589636981487274	449	3.9843664169311523	449.0000	453.0000	942.0000	700.0000	117.0000	443.0000	626.0000	343.0000	550.0000	808.0000	0.1359	0.0969	0.0674	0.0581	0.0500	0.0423	0.0408	0.0372	0.0334	0.0225	0	0	
5	888	0.39459335803985596	449	3.19815993309021	888.0000	90.0000	449.0000	477.0000	942.0000	662.0000	226.0000	759.0000	884.0000	235.0000	0.3946	0.0835	0.0653	0.0378	0.0372	0.0206	0.0161	0.0157	0.0152	0.0134	2	1	
6	942	0.6723496317863464	449	2.1013717651367188	942.0000	584.0000	521.0000	888.0000	468.0000	844.0000	449.0000	488.0000	453.0000	582.0000	0.6723	0.0385	0.0328	0.0225	0.0154	0.0141	0.0099	0.0092	0.0072	0.0059	6	1	
7	942	0.4076431393623352	449	2.811392307281494	942.0000	888.0000	449.0000	655.0000	253.0000	90.0000	802.0000	521.0000	468.0000	477.0000	0.4076	0.0898	0.0884	0.0491	0.0310	0.0301	0.0251	0.0231	0.0212	0.0179	2	1	
8	942	0.2416141927242279	449	4.475417613983154	942.0000	888.0000	449.0000	811.0000	90.0000	44.0000	521.0000	488.0000	703.0000	161.0000	0.2416	0.0597	0.0513	0.0236	0.0209	0.0198	0.0192	0.0156	0.0130	0.0127	2	1	
9	449	0.46190714836120605	449	2.4434733390808105	449.0000	888.0000	453.0000	550.0000	759.0000	884.0000	583.0000	90.0000	521.0000	477.0000	0.4619	0.2234	0.0534	0.0183	0.0144	0.0129	0.0119	0.0115	0.0089	0.0081	0	1	
10	550	0.18823543190956116	449	3.658658266067505	550.0000	477.0000	449.0000	310.0000	343.0000	0.0000	819.0000	370.0000	235.0000	811.0000	0.1882	0.1509	0.0707	0.0615	0.0408	0.0403	0.0392	0.0342	0.0158	0.0155	2	2	
11	942	0.19042955338954926	449	3.661637306213379	942.0000	90.0000	477.0000	444.0000	253.0000	468.0000	655.0000	449.0000	550.0000	203.0000	0.1904	0.1763	0.0656	0.0630	0.0593	0.0400	0.0339	0.0298	0.0222	0.0124	7	2	
