	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	566	0.9985538125038147	454	0.014046048745512962	566.0000	454.0000	210.0000	864.0000	800.0000	569.0000	480.0000	815.0000	933.0000	762.0000	0.9986	0.0006	0.0003	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	1	0	
1	566	0.8648794889450073	454	0.6476371884346008	566.0000	864.0000	815.0000	454.0000	359.0000	838.0000	800.0000	170.0000	438.0000	151.0000	0.8649	0.0573	0.0289	0.0212	0.0087	0.0043	0.0031	0.0015	0.0011	0.0011	3	0	
2	566	0.9158672094345093	454	0.6428979635238647	566.0000	483.0000	54.0000	210.0000	864.0000	96.0000	657.0000	497.0000	787.0000	49.0000	0.9159	0.0073	0.0065	0.0061	0.0051	0.0043	0.0034	0.0028	0.0025	0.0024	32	0	
3	566	0.9651280045509338	454	0.24456974864006042	566.0000	454.0000	123.0000	258.0000	664.0000	815.0000	151.0000	210.0000	332.0000	762.0000	0.9651	0.0092	0.0076	0.0048	0.0016	0.0013	0.0011	0.0009	0.0009	0.0007	1	1	
4	454	0.32365623116493225	454	2.1324939727783203	454.0000	664.0000	151.0000	864.0000	815.0000	800.0000	566.0000	359.0000	438.0000	927.0000	0.3237	0.1893	0.1181	0.0883	0.0605	0.0603	0.0506	0.0396	0.0169	0.0112	0	1	
5	566	0.9910705089569092	454	0.0732402354478836	566.0000	454.0000	151.0000	800.0000	664.0000	864.0000	94.0000	838.0000	927.0000	170.0000	0.9911	0.0025	0.0019	0.0010	0.0009	0.0007	0.0002	0.0002	0.0002	0.0001	1	1	
6	566	0.5603948831558228	454	1.3106939792633057	566.0000	383.0000	664.0000	67.0000	933.0000	224.0000	123.0000	800.0000	151.0000	815.0000	0.5604	0.3112	0.0294	0.0242	0.0152	0.0088	0.0082	0.0050	0.0050	0.0048	10	2	
7	815	0.2880529463291168	454	2.167252540588379	815.0000	864.0000	664.0000	454.0000	927.0000	151.0000	170.0000	800.0000	838.0000	566.0000	0.2881	0.1921	0.1367	0.1325	0.0612	0.0566	0.0425	0.0197	0.0136	0.0104	3	2	
8	566	0.7609491944313049	454	1.316502571105957	566.0000	224.0000	569.0000	664.0000	383.0000	41.0000	933.0000	123.0000	151.0000	800.0000	0.7609	0.0501	0.0301	0.0192	0.0177	0.0169	0.0165	0.0077	0.0068	0.0060	23	2	
9	566	0.9957656860351562	454	0.0410277359187603	566.0000	46.0000	258.0000	67.0000	815.0000	800.0000	151.0000	123.0000	864.0000	383.0000	0.9958	0.0011	0.0004	0.0004	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	10	3	
10	566	0.38675224781036377	454	2.147122621536255	566.0000	258.0000	151.0000	359.0000	800.0000	815.0000	664.0000	454.0000	50.0000	864.0000	0.3868	0.1454	0.0936	0.0877	0.0802	0.0590	0.0381	0.0162	0.0112	0.0109	7	3	
11	566	0.8691202402114868	454	0.8229873776435852	566.0000	258.0000	151.0000	123.0000	616.0000	359.0000	54.0000	46.0000	800.0000	41.0000	0.8691	0.0275	0.0122	0.0113	0.0086	0.0084	0.0065	0.0059	0.0047	0.0038	46	3	
