	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	627	0.18034276366233826	463	4.517375946044922	627.0000	789.0000	626.0000	0.0000	942.0000	941.0000	153.0000	235.0000	449.0000	583.0000	0.1803	0.1471	0.0316	0.0264	0.0246	0.0223	0.0218	0.0215	0.0200	0.0119	527	0	
1	583	0.8361331820487976	463	1.1822575330734253	583.0000	122.0000	818.0000	395.0000	353.0000	575.0000	0.0000	470.0000	282.0000	449.0000	0.8361	0.0218	0.0122	0.0122	0.0077	0.0073	0.0048	0.0046	0.0035	0.0026	594	0	
2	785	0.44526833295822144	463	2.851924419403076	785.0000	541.0000	203.0000	37.0000	583.0000	499.0000	11.0000	690.0000	575.0000	375.0000	0.4453	0.0682	0.0626	0.0429	0.0363	0.0338	0.0283	0.0272	0.0212	0.0135	307	1	
3	541	0.24319344758987427	463	2.8155245780944824	541.0000	499.0000	470.0000	785.0000	644.0000	203.0000	37.0000	11.0000	909.0000	834.0000	0.2432	0.1444	0.1364	0.1129	0.0786	0.0435	0.0296	0.0252	0.0160	0.0139	519	1	
4	347	0.6212063431739807	463	2.0599024295806885	347.0000	583.0000	471.0000	837.0000	810.0000	719.0000	789.0000	326.0000	576.0000	142.0000	0.6212	0.0704	0.0693	0.0172	0.0138	0.0106	0.0096	0.0093	0.0086	0.0076	212	2	
5	583	0.945012092590332	463	0.343974232673645	583.0000	818.0000	347.0000	122.0000	37.0000	785.0000	375.0000	609.0000	575.0000	142.0000	0.9450	0.0214	0.0093	0.0081	0.0025	0.0018	0.0014	0.0014	0.0006	0.0006	276	2	
6	785	0.689782440662384	463	1.633253812789917	785.0000	203.0000	541.0000	349.0000	470.0000	235.0000	575.0000	899.0000	499.0000	840.0000	0.6898	0.0703	0.0382	0.0372	0.0235	0.0145	0.0126	0.0075	0.0073	0.0072	64	3	
7	785	0.9033742547035217	463	0.5436316728591919	785.0000	499.0000	470.0000	583.0000	541.0000	203.0000	121.0000	690.0000	98.0000	349.0000	0.9034	0.0266	0.0184	0.0139	0.0121	0.0086	0.0027	0.0026	0.0014	0.0012	200	3	
8	499	0.366379976272583	463	2.62699294090271	499.0000	203.0000	785.0000	349.0000	470.0000	541.0000	583.0000	783.0000	395.0000	575.0000	0.3664	0.1481	0.0764	0.0752	0.0650	0.0437	0.0204	0.0197	0.0185	0.0114	111	4	
9	785	0.19504451751708984	463	3.1381380558013916	785.0000	499.0000	203.0000	583.0000	395.0000	121.0000	470.0000	541.0000	349.0000	899.0000	0.1950	0.1650	0.1339	0.1049	0.0477	0.0436	0.0299	0.0261	0.0227	0.0147	162	4	
10	785	0.44685786962509155	463	1.7334251403808594	785.0000	203.0000	349.0000	899.0000	421.0000	499.0000	679.0000	395.0000	692.0000	690.0000	0.4469	0.3189	0.0628	0.0444	0.0229	0.0151	0.0121	0.0103	0.0058	0.0052	55	5	
