	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	486	0.15292569994926453	470	3.608396530151367	486.0000	228.0000	845.0000	4.0000	161.0000	364.0000	485.0000	432.0000	509.0000	809.0000	0.1529	0.1397	0.1234	0.1104	0.0658	0.0555	0.0324	0.0119	0.0117	0.0108	176	0	
1	486	0.24319536983966827	470	3.589430809020996	486.0000	364.0000	845.0000	912.0000	170.0000	512.0000	47.0000	4.0000	2.0000	258.0000	0.2432	0.1784	0.0810	0.0386	0.0273	0.0240	0.0233	0.0179	0.0152	0.0147	154	0	
2	228	0.6981748342514038	470	1.6624226570129395	228.0000	364.0000	122.0000	845.0000	263.0000	96.0000	484.0000	8.0000	486.0000	104.0000	0.6982	0.0711	0.0267	0.0228	0.0228	0.0194	0.0140	0.0131	0.0094	0.0063	442	1	
3	364	0.27110597491264343	470	3.8955347537994385	364.0000	484.0000	845.0000	122.0000	228.0000	454.0000	486.0000	864.0000	83.0000	485.0000	0.2711	0.0777	0.0534	0.0516	0.0366	0.0324	0.0219	0.0212	0.0211	0.0170	181	1	
4	364	0.40462762117385864	470	2.778226613998413	364.0000	228.0000	423.0000	161.0000	285.0000	216.0000	747.0000	670.0000	241.0000	483.0000	0.4046	0.1751	0.0717	0.0533	0.0297	0.0146	0.0115	0.0092	0.0091	0.0072	623	2	
5	364	0.5000569224357605	470	3.115330696105957	364.0000	285.0000	228.0000	747.0000	161.0000	423.0000	483.0000	191.0000	706.0000	216.0000	0.5001	0.0376	0.0268	0.0228	0.0206	0.0202	0.0162	0.0117	0.0107	0.0106	509	2	
6	285	0.18709997832775116	470	4.049829483032227	285.0000	80.0000	161.0000	423.0000	364.0000	486.0000	845.0000	4.0000	673.0000	83.0000	0.1871	0.0908	0.0561	0.0344	0.0334	0.0331	0.0316	0.0284	0.0260	0.0192	85	3	
7	332	0.09028702974319458	470	4.554388046264648	332.0000	790.0000	285.0000	512.0000	747.0000	216.0000	390.0000	83.0000	258.0000	323.0000	0.0903	0.0891	0.0846	0.0353	0.0289	0.0275	0.0249	0.0215	0.0195	0.0194	67	3	
8	228	0.3541906476020813	470	1.905701756477356	228.0000	4.0000	486.0000	364.0000	263.0000	258.0000	441.0000	8.0000	319.0000	279.0000	0.3542	0.3256	0.0693	0.0628	0.0444	0.0345	0.0310	0.0209	0.0069	0.0065	587	4	
9	258	0.6118208765983582	470	1.8651089668273926	258.0000	364.0000	4.0000	8.0000	263.0000	38.0000	486.0000	441.0000	923.0000	811.0000	0.6118	0.1086	0.0733	0.0317	0.0250	0.0122	0.0116	0.0099	0.0071	0.0066	88	4	
10	423	0.7606189250946045	470	1.4311249256134033	423.0000	4.0000	216.0000	47.0000	285.0000	161.0000	575.0000	191.0000	172.0000	707.0000	0.7606	0.0435	0.0375	0.0203	0.0122	0.0103	0.0069	0.0065	0.0059	0.0058	44	5	
11	423	0.6775609850883484	470	2.138902187347412	423.0000	216.0000	4.0000	47.0000	38.0000	864.0000	228.0000	707.0000	210.0000	485.0000	0.6776	0.0314	0.0212	0.0165	0.0128	0.0111	0.0093	0.0092	0.0092	0.0059	56	5	
12	364	0.8532431721687317	470	0.9461015462875366	364.0000	912.0000	83.0000	191.0000	809.0000	369.0000	228.0000	279.0000	454.0000	258.0000	0.8532	0.0428	0.0136	0.0065	0.0065	0.0051	0.0049	0.0045	0.0039	0.0035	319	6	
13	364	0.9420191645622253	470	0.352697491645813	364.0000	912.0000	258.0000	486.0000	83.0000	369.0000	88.0000	241.0000	670.0000	191.0000	0.9420	0.0368	0.0018	0.0016	0.0015	0.0010	0.0009	0.0009	0.0007	0.0006	148	6	
14	228	0.4094424247741699	470	1.6270227432250977	228.0000	364.0000	4.0000	486.0000	912.0000	423.0000	453.0000	285.0000	845.0000	485.0000	0.4094	0.2627	0.1588	0.1128	0.0153	0.0034	0.0031	0.0029	0.0023	0.0018	146	7	
15	4	0.27961546182632446	470	2.489323616027832	4.0000	364.0000	486.0000	228.0000	485.0000	912.0000	484.0000	258.0000	670.0000	423.0000	0.2796	0.2596	0.1542	0.0773	0.0281	0.0263	0.0206	0.0176	0.0106	0.0068	192	7	
16	423	0.6035633087158203	470	1.7836923599243164	423.0000	47.0000	216.0000	709.0000	228.0000	4.0000	717.0000	762.0000	485.0000	262.0000	0.6036	0.1270	0.0351	0.0296	0.0289	0.0277	0.0267	0.0137	0.0118	0.0114	76	8	
17	735	0.40584275126457214	470	1.9619760513305664	735.0000	423.0000	47.0000	262.0000	709.0000	216.0000	790.0000	533.0000	390.0000	825.0000	0.4058	0.3158	0.0364	0.0357	0.0251	0.0247	0.0199	0.0169	0.0159	0.0132	170	8	
18	598	0.14022810757160187	470	3.4932637214660645	598.0000	299.0000	430.0000	675.0000	912.0000	80.0000	814.0000	717.0000	575.0000	747.0000	0.1402	0.1371	0.0825	0.0742	0.0722	0.0491	0.0488	0.0269	0.0248	0.0239	48	9	
19	67	0.32265549898147583	470	2.9557042121887207	67.0000	912.0000	364.0000	598.0000	675.0000	299.0000	486.0000	717.0000	893.0000	258.0000	0.3227	0.2317	0.0417	0.0341	0.0313	0.0239	0.0232	0.0201	0.0177	0.0156	95	9	
20	161	0.15222148597240448	470	3.451465368270874	161.0000	762.0000	364.0000	912.0000	575.0000	430.0000	88.0000	423.0000	87.0000	54.0000	0.1522	0.1354	0.1274	0.1042	0.0822	0.0519	0.0239	0.0183	0.0158	0.0113	36	10	
21	88	0.14089082181453705	470	3.923281669616699	88.0000	364.0000	912.0000	762.0000	670.0000	707.0000	38.0000	864.0000	83.0000	430.0000	0.1409	0.1085	0.0801	0.0761	0.0449	0.0355	0.0323	0.0230	0.0230	0.0197	35	10	
22	423	0.8142157793045044	470	1.3004320859909058	423.0000	47.0000	216.0000	790.0000	228.0000	161.0000	637.0000	575.0000	285.0000	279.0000	0.8142	0.0434	0.0099	0.0084	0.0063	0.0049	0.0045	0.0038	0.0027	0.0027	29	11	
23	47	0.16176797449588776	470	4.460948944091797	47.0000	423.0000	216.0000	75.0000	54.0000	161.0000	83.0000	390.0000	707.0000	191.0000	0.1618	0.1394	0.0368	0.0345	0.0204	0.0196	0.0166	0.0165	0.0164	0.0126	30	11	
