	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.2302350401878357	478	3.841055393218994	282.0000	528.0000	844.0000	893.0000	153.0000	703.0000	436.0000	776.0000	721.0000	582.0000	0.2302	0.0861	0.0605	0.0558	0.0438	0.0281	0.0274	0.0272	0.0218	0.0217	67	0	
1	521	0.3982548713684082	478	3.221954345703125	521.0000	523.0000	844.0000	744.0000	819.0000	582.0000	217.0000	532.0000	100.0000	721.0000	0.3983	0.0569	0.0419	0.0318	0.0291	0.0263	0.0249	0.0223	0.0168	0.0159	27	1	
2	844	0.1853141486644745	478	3.5169219970703125	844.0000	776.0000	582.0000	721.0000	217.0000	153.0000	208.0000	348.0000	530.0000	239.0000	0.1853	0.1143	0.0929	0.0929	0.0501	0.0430	0.0303	0.0296	0.0201	0.0136	69	2	
3	282	0.17359498143196106	478	3.5962085723876953	282.0000	528.0000	478.0000	320.0000	711.0000	626.0000	521.0000	0.0000	419.0000	85.0000	0.1736	0.1511	0.0750	0.0526	0.0434	0.0350	0.0261	0.0238	0.0231	0.0221	2	3	
4	528	0.36557477712631226	478	2.6615021228790283	528.0000	884.0000	703.0000	585.0000	521.0000	84.0000	805.0000	721.0000	757.0000	0.0000	0.3656	0.1401	0.1401	0.0480	0.0450	0.0226	0.0166	0.0159	0.0148	0.0115	22	4	
5	217	0.4434870779514313	478	2.243617534637451	217.0000	844.0000	582.0000	85.0000	528.0000	208.0000	776.0000	282.0000	0.0000	529.0000	0.4435	0.1650	0.1038	0.0708	0.0312	0.0171	0.0112	0.0106	0.0098	0.0091	64	5	
6	582	0.6063797473907471	478	1.625754714012146	582.0000	528.0000	844.0000	0.0000	757.0000	217.0000	282.0000	776.0000	721.0000	208.0000	0.6064	0.1291	0.0621	0.0563	0.0307	0.0287	0.0203	0.0090	0.0090	0.0049	39	6	
7	582	0.1639835089445114	478	3.7379956245422363	582.0000	0.0000	521.0000	528.0000	523.0000	84.0000	591.0000	744.0000	468.0000	805.0000	0.1640	0.1324	0.0541	0.0449	0.0407	0.0368	0.0333	0.0299	0.0276	0.0259	10	7	
8	805	0.09312520176172256	478	4.065524578094482	805.0000	0.0000	776.0000	468.0000	591.0000	521.0000	419.0000	529.0000	585.0000	819.0000	0.0931	0.0722	0.0546	0.0466	0.0444	0.0441	0.0355	0.0304	0.0283	0.0273	31	8	
9	282	0.2571074664592743	478	3.619264602661133	282.0000	854.0000	626.0000	153.0000	208.0000	0.0000	531.0000	789.0000	45.0000	847.0000	0.2571	0.0804	0.0725	0.0540	0.0416	0.0375	0.0298	0.0224	0.0202	0.0174	32	9	
10	893	0.3452427089214325	478	2.2358145713806152	893.0000	528.0000	217.0000	844.0000	208.0000	703.0000	552.0000	628.0000	282.0000	0.0000	0.3452	0.3065	0.0857	0.0430	0.0352	0.0261	0.0179	0.0098	0.0093	0.0082	57	10	
11	205	0.9519771933555603	478	0.31552615761756897	205.0000	282.0000	153.0000	134.0000	844.0000	434.0000	627.0000	317.0000	582.0000	208.0000	0.9520	0.0221	0.0064	0.0028	0.0019	0.0016	0.0012	0.0009	0.0009	0.0008	16	11	
12	153	0.08790569007396698	478	3.861985683441162	153.0000	721.0000	703.0000	528.0000	523.0000	348.0000	478.0000	488.0000	84.0000	317.0000	0.0879	0.0876	0.0725	0.0696	0.0482	0.0454	0.0406	0.0332	0.0326	0.0297	6	12	
13	528	0.27487918734550476	478	3.0933918952941895	528.0000	45.0000	134.0000	468.0000	893.0000	558.0000	478.0000	282.0000	582.0000	0.0000	0.2749	0.1363	0.0899	0.0821	0.0618	0.0330	0.0298	0.0217	0.0167	0.0162	6	13	
14	468	0.16423334181308746	478	3.350162982940674	468.0000	153.0000	208.0000	703.0000	585.0000	205.0000	627.0000	757.0000	721.0000	282.0000	0.1642	0.1292	0.0951	0.0854	0.0704	0.0623	0.0274	0.0262	0.0240	0.0197	17	14	
