	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.31922054290771484	479	3.5947341918945312	0.0000	799.0000	449.0000	306.0000	297.0000	479.0000	888.0000	443.0000	444.0000	117.0000	0.3192	0.0866	0.0774	0.0342	0.0301	0.0268	0.0221	0.0187	0.0147	0.0140	5	0	
1	0	0.38048696517944336	479	2.778209924697876	0.0000	297.0000	626.0000	117.0000	528.0000	449.0000	521.0000	876.0000	799.0000	239.0000	0.3805	0.1746	0.1031	0.0282	0.0249	0.0247	0.0158	0.0135	0.0129	0.0129	11	0	
2	0	0.5157852172851562	479	2.1756186485290527	0.0000	802.0000	479.0000	386.0000	425.0000	799.0000	443.0000	580.0000	872.0000	306.0000	0.5158	0.1070	0.0776	0.0680	0.0388	0.0190	0.0183	0.0137	0.0121	0.0089	2	1	
3	0	0.5298418402671814	479	2.623903751373291	0.0000	425.0000	522.0000	297.0000	326.0000	479.0000	282.0000	386.0000	872.0000	865.0000	0.5298	0.0422	0.0378	0.0326	0.0323	0.0266	0.0158	0.0128	0.0124	0.0093	5	1	
4	0	0.8874313235282898	479	0.758916437625885	0.0000	854.0000	443.0000	446.0000	449.0000	505.0000	118.0000	478.0000	326.0000	700.0000	0.8874	0.0232	0.0109	0.0060	0.0057	0.0052	0.0039	0.0038	0.0038	0.0031	36	2	
5	0	0.7793338894844055	479	1.4097347259521484	0.0000	873.0000	118.0000	326.0000	33.0000	626.0000	854.0000	449.0000	232.0000	297.0000	0.7793	0.0249	0.0189	0.0159	0.0152	0.0107	0.0092	0.0079	0.0079	0.0051	40	2	
6	0	0.3551078736782074	479	2.352917194366455	0.0000	449.0000	326.0000	117.0000	799.0000	756.0000	443.0000	64.0000	865.0000	803.0000	0.3551	0.2769	0.0598	0.0462	0.0252	0.0206	0.0169	0.0155	0.0146	0.0120	15	3	
7	0	0.6927133798599243	479	1.5295274257659912	0.0000	117.0000	449.0000	326.0000	118.0000	110.0000	700.0000	756.0000	100.0000	873.0000	0.6927	0.0960	0.0357	0.0306	0.0263	0.0136	0.0071	0.0060	0.0056	0.0056	32	3	
8	0	0.9432170987129211	479	0.4463382959365845	0.0000	876.0000	854.0000	591.0000	100.0000	865.0000	799.0000	478.0000	306.0000	69.0000	0.9432	0.0053	0.0046	0.0039	0.0025	0.0024	0.0018	0.0016	0.0016	0.0015	80	4	
9	0	0.874205470085144	479	0.7245277762413025	0.0000	100.0000	876.0000	326.0000	117.0000	118.0000	282.0000	854.0000	865.0000	676.0000	0.8742	0.0533	0.0093	0.0080	0.0080	0.0040	0.0040	0.0036	0.0026	0.0025	66	4	
