	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.14002113044261932	483	4.370205879211426	285.0000	716.0000	719.0000	551.0000	483.0000	899.0000	672.0000	705.0000	924.0000	347.0000	0.1400	0.1022	0.0966	0.0531	0.0286	0.0282	0.0210	0.0191	0.0130	0.0130	4	0	
1	673	0.13448387384414673	483	4.31859016418457	673.0000	141.0000	483.0000	719.0000	924.0000	342.0000	191.0000	285.0000	331.0000	662.0000	0.1345	0.0783	0.0676	0.0535	0.0511	0.0411	0.0376	0.0263	0.0186	0.0184	2	0	
2	673	0.2216799110174179	483	4.088532447814941	673.0000	547.0000	358.0000	703.0000	719.0000	285.0000	102.0000	208.0000	551.0000	148.0000	0.2217	0.0890	0.0489	0.0447	0.0436	0.0351	0.0232	0.0209	0.0201	0.0171	10	1	
3	471	0.1525055468082428	483	3.909168004989624	471.0000	277.0000	837.0000	304.0000	137.0000	789.0000	673.0000	719.0000	285.0000	331.0000	0.1525	0.1454	0.0508	0.0472	0.0402	0.0322	0.0291	0.0289	0.0287	0.0207	255	1	
4	483	0.1300591230392456	483	3.3267738819122314	483.0000	540.0000	673.0000	551.0000	285.0000	208.0000	131.0000	703.0000	492.0000	719.0000	0.1301	0.1209	0.0942	0.0916	0.0755	0.0502	0.0478	0.0427	0.0338	0.0325	0	2	
5	483	0.28514522314071655	483	2.908297300338745	483.0000	191.0000	924.0000	49.0000	340.0000	811.0000	787.0000	719.0000	226.0000	558.0000	0.2851	0.2379	0.1101	0.0689	0.0219	0.0141	0.0121	0.0120	0.0105	0.0105	0	2	
6	285	0.5587361454963684	483	2.1289117336273193	285.0000	705.0000	551.0000	703.0000	358.0000	925.0000	421.0000	673.0000	716.0000	208.0000	0.5587	0.1027	0.0528	0.0416	0.0398	0.0276	0.0164	0.0137	0.0120	0.0112	10	3	
7	226	0.07261057198047638	483	5.049786567687988	226.0000	483.0000	180.0000	348.0000	340.0000	137.0000	924.0000	207.0000	285.0000	662.0000	0.0726	0.0643	0.0545	0.0439	0.0333	0.0219	0.0199	0.0189	0.0186	0.0154	1	3	
8	285	0.713860273361206	483	1.6654114723205566	285.0000	483.0000	540.0000	679.0000	705.0000	924.0000	31.0000	925.0000	787.0000	719.0000	0.7139	0.0346	0.0333	0.0162	0.0152	0.0145	0.0136	0.0131	0.0129	0.0095	1	4	
9	191	0.6601414084434509	483	1.8166589736938477	191.0000	483.0000	787.0000	811.0000	31.0000	748.0000	924.0000	167.0000	679.0000	307.0000	0.6601	0.0778	0.0363	0.0276	0.0149	0.0139	0.0135	0.0116	0.0111	0.0098	1	4	
10	440	0.20895318686962128	483	2.9596669673919678	440.0000	483.0000	787.0000	241.0000	34.0000	457.0000	854.0000	285.0000	87.0000	705.0000	0.2090	0.1893	0.1250	0.0640	0.0570	0.0473	0.0270	0.0234	0.0159	0.0151	1	5	
11	440	0.12023135274648666	483	3.9330368041992188	440.0000	319.0000	483.0000	787.0000	442.0000	719.0000	49.0000	528.0000	868.0000	867.0000	0.1202	0.0967	0.0656	0.0633	0.0612	0.0560	0.0498	0.0373	0.0254	0.0225	2	5	
12	483	0.4039629101753235	483	2.2636282444000244	483.0000	285.0000	421.0000	358.0000	551.0000	34.0000	169.0000	673.0000	787.0000	182.0000	0.4040	0.1722	0.1128	0.0387	0.0354	0.0334	0.0291	0.0251	0.0221	0.0118	0	6	
13	787	0.13176840543746948	483	3.388540267944336	787.0000	167.0000	421.0000	924.0000	719.0000	837.0000	647.0000	440.0000	483.0000	868.0000	0.1318	0.1313	0.0789	0.0741	0.0608	0.0545	0.0517	0.0444	0.0415	0.0332	8	6	
14	457	0.10696813464164734	483	3.469027519226074	457.0000	169.0000	483.0000	551.0000	925.0000	893.0000	162.0000	358.0000	618.0000	703.0000	0.1070	0.1065	0.0903	0.0733	0.0554	0.0534	0.0515	0.0414	0.0361	0.0336	2	7	
15	924	0.34445720911026	483	2.5642919540405273	924.0000	811.0000	71.0000	49.0000	679.0000	787.0000	483.0000	456.0000	421.0000	385.0000	0.3445	0.1787	0.1374	0.0645	0.0436	0.0200	0.0161	0.0158	0.0156	0.0138	6	7	
16	483	0.4011550545692444	483	1.8445121049880981	483.0000	169.0000	285.0000	673.0000	457.0000	358.0000	925.0000	703.0000	551.0000	131.0000	0.4012	0.2095	0.2060	0.0552	0.0332	0.0212	0.0083	0.0073	0.0072	0.0055	0	8	
17	191	0.6039236783981323	483	1.600692868232727	191.0000	49.0000	226.0000	285.0000	924.0000	483.0000	787.0000	719.0000	811.0000	662.0000	0.6039	0.1267	0.1122	0.0586	0.0107	0.0082	0.0078	0.0074	0.0052	0.0050	5	8	
18	719	0.5174935460090637	483	2.3492298126220703	719.0000	654.0000	797.0000	483.0000	540.0000	61.0000	551.0000	924.0000	703.0000	318.0000	0.5175	0.0781	0.0716	0.0479	0.0164	0.0161	0.0153	0.0144	0.0137	0.0131	3	9	
19	285	0.24200350046157837	483	4.055108070373535	285.0000	558.0000	167.0000	191.0000	926.0000	483.0000	642.0000	811.0000	719.0000	207.0000	0.2420	0.0628	0.0497	0.0488	0.0441	0.0336	0.0243	0.0186	0.0185	0.0180	5	9	
20	703	0.6946607828140259	483	1.3076317310333252	703.0000	285.0000	483.0000	540.0000	705.0000	551.0000	492.0000	34.0000	169.0000	318.0000	0.6947	0.1432	0.0417	0.0191	0.0169	0.0123	0.0075	0.0064	0.0054	0.0047	2	10	
21	483	0.35158640146255493	483	3.3284525871276855	483.0000	285.0000	440.0000	191.0000	739.0000	167.0000	456.0000	226.0000	540.0000	168.0000	0.3516	0.0862	0.0482	0.0441	0.0283	0.0267	0.0185	0.0167	0.0160	0.0160	0	10	
22	925	0.39348259568214417	483	2.11289119720459	925.0000	483.0000	169.0000	551.0000	166.0000	457.0000	495.0000	618.0000	544.0000	540.0000	0.3935	0.2800	0.0674	0.0291	0.0269	0.0265	0.0237	0.0162	0.0130	0.0128	1	11	
23	483	0.3004426956176758	483	2.7200682163238525	483.0000	49.0000	868.0000	191.0000	811.0000	168.0000	925.0000	318.0000	787.0000	31.0000	0.3004	0.2643	0.0671	0.0524	0.0349	0.0255	0.0189	0.0146	0.0127	0.0123	0	11	
24	285	0.9781564474105835	483	0.1634874939918518	285.0000	162.0000	551.0000	182.0000	31.0000	34.0000	483.0000	924.0000	925.0000	169.0000	0.9782	0.0050	0.0045	0.0020	0.0015	0.0012	0.0010	0.0009	0.0008	0.0008	6	12	
25	191	0.7199006080627441	483	1.344158411026001	191.0000	49.0000	924.0000	57.0000	811.0000	719.0000	483.0000	450.0000	809.0000	787.0000	0.7199	0.0748	0.0663	0.0268	0.0203	0.0168	0.0089	0.0084	0.0052	0.0046	6	12	
26	285	0.45576539635658264	483	1.7992608547210693	285.0000	483.0000	925.0000	131.0000	719.0000	457.0000	169.0000	703.0000	551.0000	673.0000	0.4558	0.1965	0.1119	0.0859	0.0353	0.0316	0.0218	0.0099	0.0089	0.0066	1	13	
27	342	0.3402573764324188	483	3.0363011360168457	342.0000	889.0000	679.0000	483.0000	167.0000	226.0000	421.0000	307.0000	456.0000	811.0000	0.3403	0.1281	0.0975	0.0329	0.0326	0.0325	0.0303	0.0293	0.0210	0.0209	3	13	
28	483	0.4595860540866852	483	1.694258689880371	483.0000	457.0000	551.0000	131.0000	318.0000	34.0000	169.0000	797.0000	540.0000	495.0000	0.4596	0.2226	0.1725	0.0262	0.0199	0.0158	0.0148	0.0114	0.0101	0.0055	0	14	
29	811	0.43680134415626526	483	2.5123610496520996	811.0000	167.0000	719.0000	483.0000	924.0000	787.0000	285.0000	168.0000	868.0000	456.0000	0.4368	0.1354	0.0709	0.0694	0.0312	0.0302	0.0217	0.0148	0.0109	0.0107	3	14	
30	457	0.309536874294281	483	2.5770833492279053	457.0000	318.0000	421.0000	924.0000	925.0000	703.0000	551.0000	169.0000	705.0000	739.0000	0.3095	0.1229	0.1013	0.0987	0.0592	0.0393	0.0344	0.0338	0.0242	0.0197	10	15	
31	440	0.23129762709140778	483	3.0535528659820557	440.0000	925.0000	868.0000	191.0000	162.0000	167.0000	924.0000	87.0000	168.0000	169.0000	0.2313	0.1744	0.1003	0.0509	0.0474	0.0454	0.0386	0.0232	0.0201	0.0198	23	15	
32	483	0.4022226631641388	483	2.0294601917266846	483.0000	925.0000	495.0000	166.0000	285.0000	169.0000	457.0000	739.0000	421.0000	924.0000	0.4022	0.2492	0.1043	0.0408	0.0265	0.0226	0.0222	0.0197	0.0169	0.0153	0	16	
33	924	0.3907940685749054	483	2.1558446884155273	924.0000	787.0000	167.0000	719.0000	421.0000	483.0000	679.0000	540.0000	440.0000	226.0000	0.3908	0.2251	0.0857	0.0583	0.0416	0.0407	0.0321	0.0205	0.0176	0.0103	5	16	
34	483	0.46190181374549866	483	1.8688247203826904	483.0000	495.0000	285.0000	457.0000	318.0000	925.0000	179.0000	705.0000	551.0000	34.0000	0.4619	0.1750	0.1381	0.0359	0.0302	0.0283	0.0278	0.0217	0.0194	0.0092	0	17	
35	483	0.3990481495857239	483	2.018432855606079	483.0000	191.0000	924.0000	31.0000	285.0000	787.0000	49.0000	167.0000	284.0000	168.0000	0.3990	0.3003	0.0636	0.0510	0.0229	0.0225	0.0203	0.0117	0.0101	0.0097	0	17	
36	285	0.8601378798484802	483	0.7603085041046143	285.0000	483.0000	34.0000	51.0000	358.0000	169.0000	457.0000	551.0000	705.0000	704.0000	0.8601	0.0301	0.0243	0.0216	0.0102	0.0075	0.0072	0.0071	0.0050	0.0048	1	18	
37	719	0.21724754571914673	483	3.1705315113067627	719.0000	226.0000	285.0000	207.0000	167.0000	739.0000	924.0000	867.0000	307.0000	483.0000	0.2172	0.1468	0.0906	0.0846	0.0537	0.0482	0.0463	0.0268	0.0267	0.0262	9	18	
38	483	0.26666679978370667	483	2.3988373279571533	483.0000	495.0000	169.0000	166.0000	705.0000	457.0000	703.0000	358.0000	131.0000	317.0000	0.2667	0.2648	0.1403	0.0407	0.0371	0.0354	0.0314	0.0308	0.0160	0.0132	0	19	
