	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	682	0.24786598980426788	488	2.9733974933624268	682.0000	641.0000	522.0000	854.0000	729.0000	576.0000	605.0000	320.0000	706.0000	310.0000	0.2479	0.1362	0.0928	0.0886	0.0583	0.0493	0.0400	0.0389	0.0225	0.0210	29	0	
1	320	0.15663479268550873	488	3.241192102432251	320.0000	729.0000	605.0000	522.0000	854.0000	682.0000	576.0000	310.0000	517.0000	110.0000	0.1566	0.1517	0.0982	0.0956	0.0491	0.0484	0.0458	0.0281	0.0262	0.0237	44	0	
2	522	0.2740943133831024	488	2.940068244934082	522.0000	682.0000	854.0000	427.0000	488.0000	810.0000	466.0000	729.0000	524.0000	795.0000	0.2741	0.1558	0.1209	0.0716	0.0471	0.0397	0.0316	0.0303	0.0165	0.0112	4	1	
3	810	0.1725528985261917	488	3.266268253326416	810.0000	854.0000	310.0000	524.0000	522.0000	370.0000	340.0000	466.0000	729.0000	488.0000	0.1726	0.1618	0.1013	0.0935	0.0727	0.0391	0.0333	0.0230	0.0216	0.0206	9	1	
4	522	0.347573459148407	488	2.1976778507232666	522.0000	576.0000	682.0000	33.0000	427.0000	854.0000	320.0000	811.0000	865.0000	746.0000	0.3476	0.1760	0.1626	0.0958	0.0603	0.0359	0.0164	0.0140	0.0092	0.0069	30	2	
5	854	0.25894826650619507	488	3.0158283710479736	854.0000	522.0000	576.0000	340.0000	700.0000	811.0000	310.0000	466.0000	919.0000	33.0000	0.2589	0.1314	0.0781	0.0704	0.0435	0.0433	0.0401	0.0295	0.0279	0.0272	24	2	
6	854	0.5354281663894653	488	1.8885242938995361	854.0000	729.0000	427.0000	320.0000	615.0000	488.0000	522.0000	576.0000	682.0000	324.0000	0.5354	0.1441	0.0927	0.0412	0.0292	0.0290	0.0269	0.0163	0.0144	0.0050	5	3	
7	729	0.47370046377182007	488	1.9139056205749512	729.0000	854.0000	615.0000	488.0000	320.0000	795.0000	522.0000	576.0000	427.0000	682.0000	0.4737	0.2327	0.0500	0.0412	0.0376	0.0257	0.0195	0.0164	0.0137	0.0131	3	3	
8	427	0.2747325301170349	488	2.1871352195739746	427.0000	576.0000	324.0000	854.0000	638.0000	865.0000	682.0000	522.0000	729.0000	746.0000	0.2747	0.2226	0.1740	0.1181	0.0306	0.0275	0.0255	0.0221	0.0200	0.0176	14	4	
9	854	0.44583776593208313	488	2.1181068420410156	854.0000	310.0000	746.0000	700.0000	324.0000	576.0000	865.0000	427.0000	729.0000	521.0000	0.4458	0.1197	0.0899	0.0728	0.0724	0.0464	0.0283	0.0238	0.0126	0.0113	13	4	
10	576	0.27067649364471436	488	2.03910756111145	576.0000	729.0000	522.0000	427.0000	615.0000	854.0000	682.0000	320.0000	488.0000	874.0000	0.2707	0.2356	0.2083	0.0885	0.0644	0.0404	0.0189	0.0162	0.0110	0.0052	8	5	
11	576	0.3198191523551941	488	1.8796812295913696	576.0000	729.0000	615.0000	522.0000	320.0000	854.0000	427.0000	810.0000	488.0000	682.0000	0.3198	0.1918	0.1835	0.1734	0.0376	0.0309	0.0170	0.0074	0.0057	0.0044	8	5	
12	854	0.4039512574672699	488	2.3415980339050293	854.0000	729.0000	522.0000	811.0000	865.0000	576.0000	320.0000	33.0000	427.0000	615.0000	0.4040	0.0803	0.0776	0.0593	0.0580	0.0563	0.0520	0.0513	0.0437	0.0225	10	6	
13	522	0.3743794858455658	488	1.8273165225982666	522.0000	854.0000	320.0000	615.0000	729.0000	488.0000	576.0000	865.0000	524.0000	811.0000	0.3744	0.2499	0.1907	0.0458	0.0361	0.0352	0.0101	0.0072	0.0070	0.0046	5	6	
14	682	0.39984315633773804	488	1.7772583961486816	682.0000	854.0000	576.0000	320.0000	729.0000	282.0000	524.0000	427.0000	615.0000	865.0000	0.3998	0.2312	0.1062	0.0934	0.0929	0.0195	0.0160	0.0116	0.0053	0.0048	48	7	
15	729	0.5977908968925476	488	1.4901037216186523	729.0000	682.0000	320.0000	524.0000	576.0000	700.0000	854.0000	522.0000	676.0000	877.0000	0.5978	0.1870	0.0450	0.0342	0.0235	0.0227	0.0205	0.0199	0.0101	0.0097	21	7	
16	854	0.768788754940033	488	1.0775675773620605	854.0000	811.0000	729.0000	427.0000	682.0000	667.0000	488.0000	522.0000	324.0000	641.0000	0.7688	0.0900	0.0373	0.0257	0.0135	0.0082	0.0078	0.0073	0.0065	0.0060	6	8	
17	522	0.32229235768318176	488	2.061368465423584	522.0000	854.0000	324.0000	729.0000	576.0000	615.0000	427.0000	452.0000	488.0000	524.0000	0.3223	0.2825	0.1113	0.0991	0.0430	0.0186	0.0163	0.0154	0.0138	0.0070	8	8	
18	682	0.5722892880439758	488	1.6877208948135376	682.0000	854.0000	427.0000	729.0000	811.0000	865.0000	576.0000	522.0000	120.0000	809.0000	0.5723	0.1543	0.0890	0.0341	0.0277	0.0187	0.0179	0.0154	0.0091	0.0081	26	9	
19	854	0.504440188407898	488	2.34721040725708	854.0000	320.0000	522.0000	453.0000	700.0000	427.0000	729.0000	310.0000	942.0000	615.0000	0.5044	0.0605	0.0511	0.0497	0.0455	0.0311	0.0290	0.0255	0.0228	0.0186	21	9	
20	854	0.8228601813316345	488	0.7973239421844482	854.0000	615.0000	427.0000	729.0000	576.0000	320.0000	682.0000	865.0000	310.0000	522.0000	0.8229	0.0916	0.0338	0.0199	0.0036	0.0033	0.0023	0.0020	0.0018	0.0016	18	10	
21	854	0.3779541254043579	488	1.892873764038086	854.0000	615.0000	576.0000	729.0000	427.0000	310.0000	320.0000	795.0000	488.0000	528.0000	0.3780	0.3293	0.0520	0.0502	0.0502	0.0267	0.0261	0.0142	0.0123	0.0115	8	10	
22	729	0.3308759331703186	488	2.0918853282928467	729.0000	682.0000	615.0000	576.0000	427.0000	854.0000	522.0000	33.0000	324.0000	72.0000	0.3309	0.2158	0.1135	0.1013	0.0868	0.0383	0.0336	0.0123	0.0079	0.0072	61	11	
23	729	0.6995124816894531	488	1.2952700853347778	729.0000	576.0000	522.0000	682.0000	615.0000	320.0000	810.0000	795.0000	854.0000	638.0000	0.6995	0.0855	0.0733	0.0261	0.0246	0.0228	0.0126	0.0110	0.0090	0.0077	24	11	
24	427	0.3632154166698456	488	1.8095827102661133	427.0000	522.0000	615.0000	729.0000	320.0000	326.0000	33.0000	576.0000	682.0000	854.0000	0.3632	0.2416	0.2041	0.0589	0.0318	0.0174	0.0169	0.0124	0.0115	0.0101	65	12	
25	615	0.36275970935821533	488	2.0653510093688965	615.0000	320.0000	854.0000	427.0000	310.0000	729.0000	522.0000	576.0000	528.0000	466.0000	0.3628	0.1670	0.1134	0.0836	0.0758	0.0582	0.0545	0.0248	0.0171	0.0117	33	12	
26	865	0.3350376486778259	488	2.1814053058624268	865.0000	427.0000	522.0000	310.0000	615.0000	576.0000	854.0000	729.0000	488.0000	386.0000	0.3350	0.1330	0.1328	0.1277	0.0835	0.0485	0.0452	0.0238	0.0155	0.0077	8	13	
27	522	0.26667967438697815	488	2.2991323471069336	522.0000	729.0000	320.0000	615.0000	576.0000	854.0000	700.0000	528.0000	310.0000	427.0000	0.2667	0.1466	0.1262	0.1217	0.0772	0.0703	0.0465	0.0400	0.0353	0.0144	13	13	
28	615	0.5240164399147034	488	1.5277094841003418	615.0000	427.0000	522.0000	729.0000	854.0000	682.0000	326.0000	320.0000	865.0000	746.0000	0.5240	0.1943	0.1244	0.0625	0.0221	0.0204	0.0141	0.0086	0.0066	0.0055	95	14	
