	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.2843775451183319	489	3.315619945526123	38.0000	511.0000	6.0000	364.0000	555.0000	277.0000	509.0000	279.0000	226.0000	912.0000	0.2844	0.1837	0.0658	0.0591	0.0283	0.0231	0.0192	0.0175	0.0172	0.0153	16	0	
1	226	0.12979692220687866	489	4.733443260192871	226.0000	509.0000	277.0000	507.0000	285.0000	551.0000	141.0000	924.0000	44.0000	363.0000	0.1298	0.0824	0.0366	0.0299	0.0293	0.0269	0.0267	0.0203	0.0165	0.0164	17	0	
2	617	0.10582130402326584	489	4.575808525085449	617.0000	364.0000	511.0000	104.0000	340.0000	38.0000	912.0000	789.0000	853.0000	6.0000	0.1058	0.0808	0.0795	0.0524	0.0383	0.0366	0.0215	0.0188	0.0171	0.0153	57	1	
3	811	0.11684783548116684	489	4.639254570007324	811.0000	307.0000	226.0000	662.0000	285.0000	225.0000	507.0000	509.0000	358.0000	104.0000	0.1168	0.0867	0.0505	0.0402	0.0309	0.0252	0.0240	0.0227	0.0221	0.0190	82	1	
4	511	0.22138184309005737	489	2.4052178859710693	511.0000	38.0000	364.0000	104.0000	853.0000	909.0000	465.0000	489.0000	96.0000	339.0000	0.2214	0.1923	0.1291	0.1198	0.1045	0.0597	0.0542	0.0203	0.0117	0.0101	7	2	
5	104	0.38588276505470276	489	2.7369582653045654	104.0000	507.0000	681.0000	364.0000	945.0000	509.0000	662.0000	285.0000	489.0000	510.0000	0.3859	0.1287	0.0530	0.0494	0.0466	0.0454	0.0424	0.0338	0.0219	0.0177	8	2	
6	339	0.19106747210025787	489	3.5369434356689453	339.0000	96.0000	511.0000	853.0000	909.0000	38.0000	489.0000	104.0000	924.0000	364.0000	0.1911	0.1903	0.0895	0.0551	0.0458	0.0337	0.0324	0.0198	0.0172	0.0132	6	3	
7	662	0.27119186520576477	489	2.9710917472839355	662.0000	509.0000	510.0000	681.0000	232.0000	869.0000	44.0000	226.0000	670.0000	312.0000	0.2712	0.2228	0.0974	0.0859	0.0256	0.0188	0.0185	0.0133	0.0128	0.0110	36	3	
8	364	0.3600815236568451	489	3.178603410720825	364.0000	441.0000	509.0000	104.0000	483.0000	489.0000	453.0000	830.0000	228.0000	853.0000	0.3601	0.0990	0.0750	0.0487	0.0327	0.0249	0.0210	0.0193	0.0192	0.0164	5	4	
9	509	0.7383124232292175	489	1.2006298303604126	509.0000	662.0000	510.0000	489.0000	503.0000	851.0000	364.0000	104.0000	44.0000	232.0000	0.7383	0.1045	0.0617	0.0165	0.0092	0.0078	0.0061	0.0059	0.0048	0.0041	3	4	
10	853	0.7049363255500793	489	1.2984260320663452	853.0000	489.0000	364.0000	912.0000	617.0000	104.0000	133.0000	74.0000	96.0000	909.0000	0.7049	0.1129	0.0450	0.0445	0.0139	0.0135	0.0128	0.0051	0.0049	0.0046	1	5	
11	4	0.08649176359176636	489	4.413769245147705	4.0000	503.0000	924.0000	307.0000	226.0000	330.0000	363.0000	738.0000	681.0000	565.0000	0.0865	0.0619	0.0509	0.0450	0.0440	0.0348	0.0318	0.0305	0.0270	0.0266	10	5	
12	243	0.26317864656448364	489	3.280592441558838	243.0000	222.0000	750.0000	329.0000	937.0000	627.0000	511.0000	672.0000	38.0000	23.0000	0.2632	0.1536	0.0787	0.0377	0.0314	0.0263	0.0261	0.0254	0.0252	0.0234	16	6	
