	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	583	0.555831789970398	491	1.6100196838378906	583.0000	575.0000	818.0000	122.0000	430.0000	675.0000	422.0000	573.0000	63.0000	491.0000	0.5558	0.2301	0.0686	0.0281	0.0221	0.0118	0.0101	0.0083	0.0062	0.0058	9	0	
1	575	0.5415884852409363	491	2.1459929943084717	575.0000	861.0000	430.0000	412.0000	675.0000	583.0000	938.0000	347.0000	594.0000	37.0000	0.5416	0.0967	0.0538	0.0339	0.0336	0.0254	0.0175	0.0158	0.0153	0.0143	24	0	
2	412	0.21258874237537384	491	2.4150760173797607	412.0000	430.0000	881.0000	861.0000	37.0000	11.0000	121.0000	575.0000	573.0000	375.0000	0.2126	0.2019	0.1709	0.0970	0.0683	0.0495	0.0400	0.0307	0.0197	0.0162	15	0	
3	575	0.4337654709815979	491	2.3951613903045654	575.0000	818.0000	583.0000	353.0000	422.0000	96.0000	499.0000	833.0000	470.0000	430.0000	0.4338	0.1298	0.0754	0.0629	0.0517	0.0359	0.0230	0.0162	0.0159	0.0131	18	0	
4	575	0.5349657535552979	491	2.3860371112823486	575.0000	824.0000	861.0000	594.0000	583.0000	347.0000	430.0000	122.0000	287.0000	395.0000	0.5350	0.1004	0.0676	0.0302	0.0134	0.0127	0.0126	0.0121	0.0105	0.0105	43	0	
5	694	0.2716262638568878	491	3.1604151725769043	694.0000	412.0000	121.0000	491.0000	573.0000	430.0000	583.0000	347.0000	470.0000	499.0000	0.2716	0.1178	0.0654	0.0590	0.0538	0.0440	0.0315	0.0305	0.0301	0.0288	3	0	
6	412	0.16209006309509277	491	3.179216146469116	412.0000	121.0000	470.0000	11.0000	575.0000	499.0000	430.0000	491.0000	861.0000	573.0000	0.1621	0.1145	0.0858	0.0805	0.0689	0.0676	0.0672	0.0531	0.0392	0.0310	7	0	
7	575	0.21653780341148376	491	3.531074047088623	575.0000	573.0000	499.0000	491.0000	470.0000	121.0000	583.0000	861.0000	96.0000	375.0000	0.2165	0.0860	0.0710	0.0650	0.0643	0.0632	0.0327	0.0240	0.0238	0.0227	3	0	
8	491	0.22122249007225037	491	3.113281726837158	491.0000	575.0000	412.0000	121.0000	573.0000	694.0000	11.0000	430.0000	375.0000	881.0000	0.2212	0.1773	0.0826	0.0766	0.0557	0.0473	0.0387	0.0360	0.0200	0.0194	0	0	
9	575	0.1641119122505188	491	3.851205348968506	575.0000	491.0000	583.0000	412.0000	121.0000	573.0000	347.0000	430.0000	694.0000	861.0000	0.1641	0.0875	0.0719	0.0603	0.0498	0.0463	0.0450	0.0441	0.0307	0.0226	1	0	
10	575	0.307228147983551	491	2.9016096591949463	575.0000	347.0000	470.0000	861.0000	583.0000	430.0000	96.0000	573.0000	938.0000	37.0000	0.3072	0.1006	0.0754	0.0735	0.0733	0.0488	0.0487	0.0320	0.0226	0.0155	12	0	
11	412	0.20610012114048004	491	3.3532772064208984	412.0000	575.0000	583.0000	491.0000	881.0000	121.0000	430.0000	694.0000	861.0000	470.0000	0.2061	0.1859	0.0663	0.0619	0.0420	0.0399	0.0351	0.0336	0.0334	0.0221	3	0	
12	818	0.6105888485908508	491	1.9355372190475464	818.0000	583.0000	575.0000	122.0000	63.0000	422.0000	675.0000	6.0000	353.0000	555.0000	0.6106	0.0982	0.0759	0.0280	0.0254	0.0128	0.0124	0.0086	0.0078	0.0075	18	0	
13	575	0.4492059350013733	491	2.474018096923828	575.0000	412.0000	121.0000	573.0000	375.0000	430.0000	583.0000	861.0000	491.0000	833.0000	0.4492	0.1232	0.0507	0.0400	0.0326	0.0325	0.0259	0.0216	0.0195	0.0184	8	0	
14	575	0.9207526445388794	491	0.38897353410720825	575.0000	583.0000	63.0000	593.0000	675.0000	573.0000	37.0000	430.0000	814.0000	938.0000	0.9208	0.0540	0.0072	0.0048	0.0022	0.0021	0.0021	0.0016	0.0008	0.0006	22	1	
15	575	0.9730947613716125	491	0.19733041524887085	575.0000	675.0000	375.0000	598.0000	583.0000	938.0000	593.0000	63.0000	121.0000	11.0000	0.9731	0.0080	0.0028	0.0025	0.0019	0.0019	0.0015	0.0012	0.0011	0.0010	19	1	
16	575	0.18181662261486053	491	2.741025924682617	575.0000	573.0000	11.0000	37.0000	412.0000	343.0000	583.0000	491.0000	881.0000	121.0000	0.1818	0.1458	0.1402	0.1019	0.0775	0.0757	0.0591	0.0280	0.0274	0.0266	7	1	
17	575	0.5525088906288147	491	1.8101212978363037	575.0000	96.0000	583.0000	422.0000	353.0000	833.0000	573.0000	511.0000	63.0000	375.0000	0.5525	0.1858	0.0776	0.0275	0.0157	0.0096	0.0091	0.0076	0.0072	0.0071	38	1	
18	575	0.8455389738082886	491	0.8328937292098999	575.0000	598.0000	675.0000	63.0000	583.0000	375.0000	287.0000	594.0000	593.0000	81.0000	0.8455	0.0492	0.0223	0.0143	0.0128	0.0095	0.0090	0.0080	0.0029	0.0025	47	1	
19	11	0.286039799451828	491	2.376814365386963	11.0000	491.0000	575.0000	121.0000	573.0000	37.0000	375.0000	938.0000	499.0000	412.0000	0.2860	0.2632	0.1355	0.0578	0.0384	0.0330	0.0271	0.0188	0.0181	0.0136	1	1	
20	575	0.31779319047927856	491	2.3082571029663086	575.0000	121.0000	11.0000	375.0000	412.0000	938.0000	491.0000	881.0000	598.0000	675.0000	0.3178	0.1848	0.1290	0.0889	0.0366	0.0362	0.0324	0.0313	0.0214	0.0212	6	1	
21	575	0.8055177330970764	491	0.8621046543121338	575.0000	848.0000	938.0000	375.0000	491.0000	355.0000	675.0000	37.0000	598.0000	594.0000	0.8055	0.1116	0.0208	0.0125	0.0070	0.0062	0.0053	0.0047	0.0044	0.0028	4	1	
22	491	0.5451822280883789	491	2.1249961853027344	491.0000	575.0000	11.0000	121.0000	37.0000	573.0000	938.0000	598.0000	375.0000	795.0000	0.5452	0.1143	0.0598	0.0412	0.0232	0.0229	0.0215	0.0182	0.0156	0.0105	0	1	
23	575	0.29539239406585693	491	3.0194621086120605	575.0000	11.0000	491.0000	499.0000	37.0000	375.0000	573.0000	121.0000	938.0000	598.0000	0.2954	0.1242	0.0782	0.0622	0.0563	0.0494	0.0350	0.0261	0.0237	0.0180	2	1	
24	575	0.8870331048965454	491	0.6259031891822815	575.0000	375.0000	598.0000	675.0000	938.0000	848.0000	121.0000	355.0000	491.0000	37.0000	0.8870	0.0373	0.0205	0.0130	0.0073	0.0051	0.0049	0.0034	0.0032	0.0028	8	1	
25	491	0.3350785970687866	491	2.9502148628234863	491.0000	575.0000	37.0000	11.0000	375.0000	121.0000	833.0000	938.0000	573.0000	598.0000	0.3351	0.1112	0.0648	0.0635	0.0446	0.0382	0.0324	0.0321	0.0252	0.0212	0	1	
26	575	0.45658111572265625	491	2.744265079498291	575.0000	583.0000	96.0000	3.0000	678.0000	422.0000	598.0000	395.0000	528.0000	0.0000	0.4566	0.0961	0.0914	0.0456	0.0285	0.0267	0.0113	0.0093	0.0088	0.0087	95	1	
27	575	0.45466601848602295	491	2.447042942047119	575.0000	491.0000	375.0000	37.0000	583.0000	598.0000	833.0000	675.0000	499.0000	121.0000	0.4547	0.1027	0.0534	0.0511	0.0431	0.0317	0.0309	0.0249	0.0208	0.0192	1	1	
28	575	0.9461515545845032	491	0.26232674717903137	575.0000	573.0000	491.0000	583.0000	430.0000	63.0000	938.0000	814.0000	121.0000	96.0000	0.9462	0.0428	0.0033	0.0028	0.0009	0.0008	0.0006	0.0005	0.0005	0.0004	2	2	
