	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	6	0.34326401352882385	492	3.151397228240967	6.0000	552.0000	364.0000	362.0000	626.0000	166.0000	540.0000	61.0000	787.0000	483.0000	0.3433	0.1361	0.1003	0.0456	0.0288	0.0285	0.0200	0.0175	0.0149	0.0112	66	0	
1	453	0.17124290764331818	492	4.63536262512207	453.0000	703.0000	285.0000	340.0000	552.0000	673.0000	157.0000	131.0000	517.0000	243.0000	0.1712	0.0825	0.0633	0.0431	0.0392	0.0270	0.0206	0.0126	0.0118	0.0118	20	0	
2	177	0.20364348590373993	492	3.1993510723114014	177.0000	492.0000	166.0000	867.0000	131.0000	6.0000	540.0000	893.0000	654.0000	364.0000	0.2036	0.1812	0.1811	0.0674	0.0408	0.0265	0.0176	0.0145	0.0131	0.0129	1	0	
3	364	0.6511202454566956	492	2.2780091762542725	364.0000	552.0000	6.0000	889.0000	492.0000	662.0000	849.0000	787.0000	61.0000	210.0000	0.6511	0.0527	0.0150	0.0130	0.0108	0.0106	0.0099	0.0098	0.0085	0.0073	4	1	
4	492	0.09882861375808716	492	4.440588474273682	492.0000	673.0000	811.0000	647.0000	552.0000	867.0000	457.0000	131.0000	857.0000	719.0000	0.0988	0.0910	0.0824	0.0431	0.0409	0.0362	0.0287	0.0222	0.0201	0.0194	0	1	
5	492	0.9970017075538635	492	0.025812331587076187	492.0000	867.0000	177.0000	893.0000	364.0000	409.0000	647.0000	721.0000	667.0000	161.0000	0.9970	0.0020	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0	1	
6	364	0.823673665523529	492	0.9579699039459229	364.0000	483.0000	552.0000	358.0000	787.0000	821.0000	162.0000	61.0000	6.0000	212.0000	0.8237	0.0596	0.0335	0.0162	0.0078	0.0062	0.0051	0.0047	0.0023	0.0021	25	2	
7	492	0.503519594669342	492	2.48357892036438	492.0000	358.0000	131.0000	867.0000	703.0000	673.0000	552.0000	719.0000	787.0000	208.0000	0.5035	0.0698	0.0582	0.0535	0.0530	0.0184	0.0184	0.0155	0.0119	0.0116	0	2	
8	867	0.8831491470336914	492	0.5482057929039001	867.0000	177.0000	492.0000	483.0000	161.0000	364.0000	440.0000	358.0000	367.0000	342.0000	0.8831	0.0634	0.0227	0.0142	0.0036	0.0023	0.0016	0.0012	0.0011	0.0010	2	2	
9	552	0.28438636660575867	492	3.3946237564086914	552.0000	492.0000	364.0000	75.0000	204.0000	212.0000	315.0000	721.0000	703.0000	61.0000	0.2844	0.1056	0.0944	0.0627	0.0517	0.0208	0.0194	0.0183	0.0163	0.0159	1	3	
10	703	0.14070405066013336	492	3.9866154193878174	703.0000	131.0000	492.0000	867.0000	896.0000	673.0000	647.0000	628.0000	787.0000	342.0000	0.1407	0.1041	0.0863	0.0458	0.0429	0.0340	0.0280	0.0267	0.0243	0.0236	2	3	
11	867	0.9033054113388062	492	0.5556061267852783	867.0000	492.0000	647.0000	177.0000	810.0000	131.0000	409.0000	440.0000	367.0000	335.0000	0.9033	0.0315	0.0137	0.0118	0.0116	0.0077	0.0037	0.0019	0.0018	0.0018	1	3	
12	492	0.2865181267261505	492	2.869565010070801	492.0000	552.0000	703.0000	213.0000	893.0000	315.0000	900.0000	364.0000	204.0000	614.0000	0.2865	0.2538	0.0475	0.0447	0.0438	0.0342	0.0285	0.0235	0.0144	0.0113	0	4	
13	492	0.46110212802886963	492	2.469265937805176	492.0000	342.0000	358.0000	896.0000	131.0000	703.0000	540.0000	409.0000	177.0000	552.0000	0.4611	0.1374	0.0523	0.0514	0.0358	0.0332	0.0204	0.0195	0.0156	0.0122	0	4	
14	492	0.8241420388221741	492	0.5464060306549072	492.0000	867.0000	367.0000	177.0000	654.0000	409.0000	719.0000	440.0000	131.0000	893.0000	0.8241	0.1631	0.0025	0.0021	0.0020	0.0013	0.0007	0.0007	0.0004	0.0004	0	4	
15	552	0.6183047890663147	492	1.7287954092025757	552.0000	166.0000	195.0000	162.0000	213.0000	857.0000	364.0000	49.0000	925.0000	342.0000	0.6183	0.1554	0.0241	0.0238	0.0198	0.0182	0.0180	0.0125	0.0105	0.0074	10	5	
16	492	0.5593138337135315	492	2.1603002548217773	492.0000	703.0000	358.0000	893.0000	857.0000	208.0000	647.0000	540.0000	131.0000	867.0000	0.5593	0.1560	0.0209	0.0188	0.0182	0.0170	0.0130	0.0120	0.0118	0.0107	0	5	
