	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	304	0.3587280809879303	494	2.4864020347595215	304.0000	259.0000	219.0000	485.0000	226.0000	486.0000	662.0000	142.0000	104.0000	191.0000	0.3587	0.1308	0.1227	0.1051	0.0433	0.0389	0.0341	0.0219	0.0193	0.0189	10	0	
1	485	0.2370736449956894	494	3.488058567047119	485.0000	486.0000	662.0000	142.0000	246.0000	259.0000	91.0000	304.0000	487.0000	226.0000	0.2371	0.1453	0.1195	0.0578	0.0501	0.0275	0.0203	0.0181	0.0143	0.0134	14	0	
2	485	0.28370895981788635	494	3.186790943145752	485.0000	486.0000	662.0000	142.0000	246.0000	259.0000	304.0000	91.0000	487.0000	226.0000	0.2837	0.2011	0.0797	0.0554	0.0401	0.0308	0.0182	0.0157	0.0135	0.0123	12	0	
3	485	0.3909294605255127	494	2.4187872409820557	485.0000	226.0000	364.0000	304.0000	509.0000	662.0000	191.0000	219.0000	259.0000	486.0000	0.3909	0.1465	0.0946	0.0945	0.0387	0.0385	0.0311	0.0240	0.0183	0.0173	26	0	
4	485	0.24817544221878052	494	4.084753036499023	485.0000	304.0000	226.0000	486.0000	277.0000	662.0000	219.0000	142.0000	626.0000	494.0000	0.2482	0.0853	0.0583	0.0306	0.0287	0.0271	0.0263	0.0255	0.0166	0.0155	9	0	
5	304	0.5250351428985596	494	2.6714916229248047	304.0000	226.0000	626.0000	494.0000	219.0000	255.0000	486.0000	441.0000	141.0000	651.0000	0.5250	0.0525	0.0459	0.0370	0.0356	0.0264	0.0260	0.0128	0.0113	0.0113	3	0	
6	485	0.7027841806411743	494	2.0080952644348145	485.0000	662.0000	486.0000	226.0000	219.0000	364.0000	304.0000	91.0000	259.0000	657.0000	0.7028	0.0282	0.0163	0.0150	0.0132	0.0130	0.0118	0.0080	0.0072	0.0068	30	0	
7	304	0.500119149684906	494	2.8588991165161133	304.0000	226.0000	494.0000	626.0000	219.0000	486.0000	255.0000	441.0000	651.0000	279.0000	0.5001	0.0426	0.0419	0.0398	0.0337	0.0292	0.0292	0.0124	0.0114	0.0100	2	0	
8	60	0.1669451743364334	494	3.960263729095459	60.0000	853.0000	369.0000	335.0000	338.0000	330.0000	304.0000	180.0000	339.0000	165.0000	0.1669	0.1293	0.0668	0.0431	0.0387	0.0303	0.0277	0.0249	0.0230	0.0202	19	1	
9	662	0.09446632117033005	494	4.834679126739502	662.0000	91.0000	340.0000	226.0000	290.0000	888.0000	180.0000	590.0000	580.0000	872.0000	0.0945	0.0590	0.0432	0.0338	0.0301	0.0296	0.0210	0.0207	0.0204	0.0196	36	1	
10	662	0.0914624035358429	494	4.902214050292969	662.0000	91.0000	226.0000	340.0000	888.0000	590.0000	872.0000	290.0000	580.0000	369.0000	0.0915	0.0667	0.0333	0.0316	0.0251	0.0249	0.0222	0.0214	0.0196	0.0181	34	1	
11	180	0.20222952961921692	494	3.395008087158203	180.0000	226.0000	330.0000	853.0000	304.0000	509.0000	369.0000	662.0000	364.0000	698.0000	0.2022	0.1334	0.0726	0.0616	0.0533	0.0441	0.0422	0.0416	0.0355	0.0355	22	1	
12	340	0.17084039747714996	494	3.71561598777771	340.0000	441.0000	290.0000	335.0000	60.0000	853.0000	319.0000	338.0000	255.0000	304.0000	0.1708	0.1241	0.0741	0.0720	0.0397	0.0382	0.0348	0.0324	0.0280	0.0257	52	1	
13	340	0.1717161387205124	494	3.510606527328491	340.0000	304.0000	335.0000	255.0000	441.0000	290.0000	853.0000	662.0000	442.0000	60.0000	0.1717	0.1448	0.0754	0.0598	0.0577	0.0561	0.0357	0.0338	0.0335	0.0264	24	1	
14	884	0.1719280481338501	494	3.9717020988464355	884.0000	662.0000	888.0000	515.0000	180.0000	165.0000	369.0000	467.0000	724.0000	698.0000	0.1719	0.1034	0.0629	0.0539	0.0428	0.0370	0.0249	0.0203	0.0190	0.0188	40	1	
15	340	0.17718666791915894	494	3.543658971786499	340.0000	304.0000	335.0000	255.0000	441.0000	290.0000	662.0000	853.0000	442.0000	60.0000	0.1772	0.1373	0.0732	0.0578	0.0561	0.0560	0.0387	0.0341	0.0303	0.0231	23	1	
16	364	0.4375455379486084	494	2.302258014678955	364.0000	226.0000	330.0000	219.0000	485.0000	304.0000	340.0000	489.0000	335.0000	662.0000	0.4375	0.1716	0.0956	0.0496	0.0482	0.0220	0.0173	0.0166	0.0144	0.0100	24	2	
17	515	0.14016391336917877	494	4.174711227416992	515.0000	662.0000	226.0000	304.0000	485.0000	290.0000	12.0000	340.0000	698.0000	651.0000	0.1402	0.0827	0.0534	0.0434	0.0381	0.0366	0.0322	0.0309	0.0305	0.0271	64	2	
