	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	495	0.3393403887748718	495	3.289672374725342	495.0000	705.0000	358.0000	45.0000	205.0000	542.0000	421.0000	177.0000	153.0000	166.0000	0.3393	0.0732	0.0644	0.0617	0.0599	0.0392	0.0341	0.0191	0.0163	0.0119	0	0	
1	421	0.5048155188560486	495	1.723235845565796	421.0000	705.0000	205.0000	102.0000	621.0000	179.0000	585.0000	495.0000	410.0000	45.0000	0.5048	0.1328	0.1219	0.1074	0.0313	0.0304	0.0220	0.0094	0.0070	0.0062	7	0	
2	421	0.580324649810791	495	2.2573699951171875	421.0000	96.0000	54.0000	205.0000	902.0000	495.0000	358.0000	153.0000	166.0000	177.0000	0.5803	0.0826	0.0577	0.0477	0.0160	0.0154	0.0153	0.0118	0.0102	0.0068	5	0	
3	421	0.34519562125205994	495	2.246272325515747	421.0000	705.0000	102.0000	179.0000	410.0000	585.0000	621.0000	495.0000	205.0000	161.0000	0.3452	0.2329	0.1761	0.0748	0.0309	0.0156	0.0104	0.0074	0.0052	0.0050	7	0	
4	495	0.765221118927002	495	1.271836757659912	495.0000	131.0000	166.0000	925.0000	358.0000	49.0000	483.0000	342.0000	643.0000	551.0000	0.7652	0.0399	0.0385	0.0277	0.0216	0.0116	0.0112	0.0099	0.0093	0.0059	0	1	
5	102	0.5771876573562622	495	1.5083125829696655	102.0000	495.0000	705.0000	925.0000	871.0000	621.0000	179.0000	421.0000	551.0000	169.0000	0.5772	0.1885	0.0789	0.0433	0.0304	0.0180	0.0144	0.0132	0.0082	0.0028	1	1	
6	626	0.1006411612033844	495	4.245517730712891	626.0000	483.0000	162.0000	925.0000	551.0000	924.0000	45.0000	358.0000	647.0000	169.0000	0.1006	0.0735	0.0667	0.0528	0.0336	0.0335	0.0331	0.0326	0.0291	0.0286	16	1	
7	277	0.11502604931592941	495	3.085238218307495	277.0000	495.0000	643.0000	651.0000	484.0000	621.0000	102.0000	705.0000	279.0000	925.0000	0.1150	0.1108	0.0989	0.0888	0.0856	0.0844	0.0502	0.0451	0.0432	0.0391	1	1	
8	45	0.6104023456573486	495	1.741159439086914	45.0000	495.0000	166.0000	912.0000	195.0000	131.0000	483.0000	570.0000	552.0000	893.0000	0.6104	0.1154	0.0683	0.0265	0.0261	0.0233	0.0228	0.0096	0.0084	0.0074	1	2	
9	179	0.5614079833030701	495	1.4681363105773926	179.0000	102.0000	495.0000	705.0000	358.0000	925.0000	621.0000	182.0000	205.0000	169.0000	0.5614	0.1742	0.1296	0.0472	0.0211	0.0200	0.0116	0.0070	0.0048	0.0045	2	2	
10	358	0.19980251789093018	495	3.1522507667541504	358.0000	166.0000	162.0000	45.0000	153.0000	507.0000	141.0000	705.0000	169.0000	131.0000	0.1998	0.1960	0.1162	0.0681	0.0492	0.0273	0.0229	0.0184	0.0176	0.0152	10	2	
11	179	0.9694161415100098	495	0.17673936486244202	179.0000	705.0000	495.0000	102.0000	621.0000	871.0000	182.0000	925.0000	551.0000	589.0000	0.9694	0.0145	0.0082	0.0064	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	2	2	
12	195	0.5690233111381531	495	1.0917186737060547	195.0000	495.0000	166.0000	131.0000	544.0000	440.0000	492.0000	552.0000	703.0000	358.0000	0.5690	0.3503	0.0295	0.0091	0.0085	0.0050	0.0041	0.0031	0.0030	0.0027	1	3	
13	102	0.8906450271606445	495	0.5764186382293701	102.0000	421.0000	179.0000	205.0000	495.0000	705.0000	182.0000	551.0000	871.0000	169.0000	0.8906	0.0340	0.0217	0.0167	0.0133	0.0051	0.0046	0.0043	0.0014	0.0012	4	3	
14	162	0.37055468559265137	495	2.6417746543884277	162.0000	358.0000	166.0000	705.0000	868.0000	551.0000	857.0000	925.0000	177.0000	169.0000	0.3706	0.1011	0.0835	0.0623	0.0599	0.0398	0.0387	0.0284	0.0266	0.0171	13	3	
15	102	0.8737561702728271	495	0.5688537359237671	102.0000	179.0000	421.0000	705.0000	871.0000	495.0000	589.0000	182.0000	169.0000	551.0000	0.8738	0.0830	0.0100	0.0064	0.0046	0.0045	0.0038	0.0029	0.0023	0.0018	5	3	
16	195	0.5320971012115479	495	1.328171730041504	195.0000	45.0000	166.0000	495.0000	414.0000	182.0000	46.0000	492.0000	358.0000	131.0000	0.5321	0.2427	0.0986	0.0947	0.0076	0.0064	0.0046	0.0014	0.0012	0.0012	3	4	
17	495	0.46354910731315613	495	1.7619465589523315	495.0000	102.0000	925.0000	169.0000	705.0000	551.0000	460.0000	621.0000	871.0000	162.0000	0.4635	0.2194	0.0934	0.0829	0.0403	0.0160	0.0139	0.0115	0.0108	0.0079	0	4	
18	162	0.3717736303806305	495	1.884338140487671	162.0000	705.0000	358.0000	166.0000	169.0000	495.0000	182.0000	925.0000	551.0000	195.0000	0.3718	0.2104	0.2052	0.0507	0.0505	0.0317	0.0118	0.0103	0.0098	0.0060	5	4	
19	495	0.5274062752723694	495	1.6445919275283813	495.0000	102.0000	925.0000	169.0000	705.0000	460.0000	551.0000	179.0000	45.0000	182.0000	0.5274	0.1615	0.1025	0.0824	0.0476	0.0117	0.0115	0.0091	0.0079	0.0057	0	4	
20	552	0.3392598330974579	495	2.254650115966797	552.0000	45.0000	195.0000	857.0000	495.0000	317.0000	162.0000	703.0000	168.0000	166.0000	0.3393	0.1803	0.1010	0.0938	0.0917	0.0358	0.0301	0.0253	0.0138	0.0089	4	5	
21	102	0.7680841684341431	495	0.9245059490203857	102.0000	705.0000	45.0000	179.0000	205.0000	495.0000	460.0000	169.0000	925.0000	585.0000	0.7681	0.1402	0.0182	0.0170	0.0117	0.0114	0.0080	0.0052	0.0051	0.0037	5	5	
22	705	0.4179011285305023	495	2.453164577484131	705.0000	924.0000	162.0000	285.0000	75.0000	551.0000	719.0000	868.0000	358.0000	177.0000	0.4179	0.1260	0.1085	0.0639	0.0319	0.0252	0.0249	0.0218	0.0173	0.0109	29	5	
23	102	0.7194926738739014	495	1.1406910419464111	102.0000	460.0000	705.0000	179.0000	621.0000	871.0000	205.0000	925.0000	141.0000	495.0000	0.7195	0.0987	0.0721	0.0376	0.0256	0.0087	0.0078	0.0062	0.0040	0.0040	9	5	
24	495	0.5993009209632874	495	0.7599818706512451	495.0000	195.0000	483.0000	166.0000	414.0000	45.0000	141.0000	182.0000	46.0000	49.0000	0.5993	0.3876	0.0057	0.0020	0.0008	0.0008	0.0008	0.0004	0.0004	0.0003	0	6	
25	495	0.5819787383079529	495	1.3631832599639893	495.0000	179.0000	102.0000	705.0000	169.0000	45.0000	182.0000	421.0000	205.0000	925.0000	0.5820	0.1810	0.1220	0.0494	0.0163	0.0123	0.0079	0.0061	0.0058	0.0058	0	6	
26	705	0.4605318009853363	495	2.4140262603759766	705.0000	162.0000	169.0000	495.0000	205.0000	195.0000	358.0000	285.0000	182.0000	507.0000	0.4605	0.0847	0.0749	0.0711	0.0565	0.0248	0.0219	0.0207	0.0148	0.0146	3	6	
27	179	0.626201868057251	495	1.3977675437927246	179.0000	705.0000	102.0000	495.0000	460.0000	205.0000	169.0000	621.0000	590.0000	771.0000	0.6262	0.1294	0.0988	0.0470	0.0249	0.0153	0.0115	0.0091	0.0075	0.0059	3	6	
28	495	0.9046924710273743	495	0.4232708811759949	495.0000	195.0000	703.0000	45.0000	358.0000	483.0000	857.0000	131.0000	169.0000	102.0000	0.9047	0.0747	0.0037	0.0035	0.0021	0.0018	0.0015	0.0011	0.0008	0.0008	0	7	
29	102	0.2841082811355591	495	1.6411291360855103	102.0000	621.0000	495.0000	925.0000	705.0000	590.0000	421.0000	460.0000	205.0000	49.0000	0.2841	0.2782	0.2660	0.1064	0.0216	0.0061	0.0058	0.0053	0.0043	0.0040	2	7	
30	45	0.27765896916389465	495	3.0876340866088867	45.0000	358.0000	868.0000	421.0000	551.0000	282.0000	162.0000	178.0000	787.0000	705.0000	0.2777	0.1093	0.0842	0.0563	0.0508	0.0391	0.0375	0.0319	0.0285	0.0281	29	7	
31	705	0.3554035425186157	495	1.6156749725341797	705.0000	102.0000	925.0000	358.0000	495.0000	169.0000	590.0000	421.0000	460.0000	621.0000	0.3554	0.3421	0.1097	0.0765	0.0667	0.0139	0.0097	0.0060	0.0051	0.0048	4	7	
32	195	0.9891002774238586	495	0.06778634339570999	195.0000	495.0000	131.0000	166.0000	492.0000	205.0000	168.0000	483.0000	358.0000	414.0000	0.9891	0.0095	0.0005	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	1	8	
33	205	0.5605917572975159	495	1.4294954538345337	205.0000	102.0000	495.0000	179.0000	705.0000	925.0000	45.0000	410.0000	551.0000	721.0000	0.5606	0.2196	0.0804	0.0368	0.0346	0.0253	0.0106	0.0105	0.0044	0.0034	2	8	
34	868	0.24568115174770355	495	2.652754783630371	868.0000	358.0000	551.0000	169.0000	162.0000	705.0000	925.0000	483.0000	182.0000	131.0000	0.2457	0.1748	0.1377	0.0744	0.0653	0.0482	0.0285	0.0249	0.0183	0.0179	28	8	
35	205	0.378406822681427	495	2.012115001678467	205.0000	102.0000	179.0000	705.0000	925.0000	721.0000	590.0000	410.0000	495.0000	421.0000	0.3784	0.2667	0.0730	0.0604	0.0583	0.0267	0.0195	0.0167	0.0165	0.0144	8	8	
36	195	0.6493457555770874	495	0.80757737159729	195.0000	495.0000	45.0000	483.0000	856.0000	168.0000	358.0000	544.0000	414.0000	182.0000	0.6493	0.3273	0.0059	0.0027	0.0014	0.0010	0.0009	0.0009	0.0008	0.0008	1	9	
37	495	0.4390101134777069	495	2.041837215423584	495.0000	705.0000	205.0000	45.0000	179.0000	410.0000	621.0000	925.0000	589.0000	590.0000	0.4390	0.1248	0.0878	0.0854	0.0766	0.0540	0.0228	0.0179	0.0164	0.0108	0	9	
38	153	0.2869530916213989	495	2.5850296020507812	153.0000	45.0000	868.0000	178.0000	896.0000	162.0000	205.0000	492.0000	212.0000	844.0000	0.2870	0.2662	0.0703	0.0555	0.0436	0.0342	0.0272	0.0252	0.0241	0.0136	19	9	
39	705	0.37993302941322327	495	1.9844695329666138	705.0000	495.0000	590.0000	460.0000	621.0000	169.0000	589.0000	925.0000	316.0000	45.0000	0.3799	0.2273	0.0916	0.0851	0.0642	0.0360	0.0222	0.0214	0.0140	0.0135	1	9	
40	495	0.9140022993087769	495	0.44872862100601196	495.0000	195.0000	131.0000	166.0000	551.0000	168.0000	358.0000	856.0000	45.0000	925.0000	0.9140	0.0473	0.0133	0.0053	0.0052	0.0025	0.0025	0.0010	0.0009	0.0008	0	10	
41	925	0.270590215921402	495	2.033031463623047	925.0000	495.0000	169.0000	421.0000	705.0000	102.0000	551.0000	179.0000	205.0000	621.0000	0.2706	0.1757	0.1473	0.1078	0.1035	0.1006	0.0420	0.0250	0.0097	0.0053	1	10	
42	162	0.5710212588310242	495	1.7555816173553467	162.0000	551.0000	705.0000	169.0000	178.0000	358.0000	45.0000	925.0000	223.0000	205.0000	0.5710	0.0949	0.0815	0.0567	0.0324	0.0307	0.0233	0.0206	0.0183	0.0162	17	10	
43	705	0.5679246187210083	495	1.4540756940841675	705.0000	925.0000	179.0000	102.0000	495.0000	169.0000	421.0000	551.0000	358.0000	842.0000	0.5679	0.1704	0.1095	0.0487	0.0335	0.0224	0.0222	0.0064	0.0044	0.0029	4	10	
44	195	0.489418625831604	495	1.6035016775131226	195.0000	483.0000	492.0000	45.0000	131.0000	214.0000	703.0000	495.0000	284.0000	551.0000	0.4894	0.2687	0.1017	0.0362	0.0209	0.0154	0.0128	0.0095	0.0044	0.0039	7	11	
45	705	0.9616801738739014	495	0.2126787304878235	705.0000	925.0000	102.0000	169.0000	495.0000	179.0000	182.0000	45.0000	421.0000	460.0000	0.9617	0.0254	0.0040	0.0039	0.0011	0.0008	0.0007	0.0006	0.0005	0.0004	4	11	
46	182	0.16334287822246552	495	2.7015419006347656	182.0000	705.0000	551.0000	45.0000	178.0000	169.0000	358.0000	868.0000	177.0000	421.0000	0.1633	0.1625	0.1340	0.0867	0.0814	0.0735	0.0551	0.0537	0.0361	0.0175	27	11	
47	705	0.9081445932388306	495	0.4308547079563141	705.0000	925.0000	421.0000	169.0000	179.0000	102.0000	460.0000	205.0000	590.0000	871.0000	0.9081	0.0624	0.0081	0.0068	0.0033	0.0031	0.0025	0.0009	0.0009	0.0007	14	11	
48	495	0.814694344997406	495	0.6171996593475342	495.0000	195.0000	166.0000	492.0000	45.0000	483.0000	131.0000	46.0000	214.0000	544.0000	0.8147	0.1240	0.0581	0.0008	0.0006	0.0005	0.0002	0.0001	0.0001	0.0001	0	12	
49	495	0.985119640827179	495	0.1077825054526329	495.0000	705.0000	205.0000	102.0000	45.0000	179.0000	925.0000	182.0000	421.0000	358.0000	0.9851	0.0041	0.0037	0.0022	0.0015	0.0010	0.0006	0.0006	0.0004	0.0003	0	12	
50	45	0.4115106761455536	495	1.8379384279251099	45.0000	551.0000	166.0000	223.0000	421.0000	178.0000	868.0000	896.0000	169.0000	205.0000	0.4115	0.2561	0.1270	0.0791	0.0229	0.0125	0.0119	0.0113	0.0103	0.0077	10	12	
51	495	0.4727068841457367	495	1.4395614862442017	495.0000	705.0000	102.0000	169.0000	358.0000	643.0000	166.0000	182.0000	925.0000	179.0000	0.4727	0.3489	0.0598	0.0254	0.0222	0.0171	0.0086	0.0073	0.0067	0.0057	0	12	
