	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	547	0.10837487131357193	502	4.477643966674805	547.0000	153.0000	191.0000	340.0000	285.0000	120.0000	811.0000	457.0000	85.0000	544.0000	0.1084	0.0627	0.0413	0.0400	0.0399	0.0396	0.0238	0.0223	0.0212	0.0192	90	0	
1	364	0.584697425365448	502	2.7667603492736816	364.0000	340.0000	282.0000	706.0000	832.0000	787.0000	924.0000	347.0000	285.0000	667.0000	0.5847	0.0287	0.0264	0.0153	0.0114	0.0108	0.0097	0.0093	0.0090	0.0084	55	0	
2	338	0.42026790976524353	502	2.704857349395752	338.0000	605.0000	517.0000	502.0000	558.0000	273.0000	945.0000	160.0000	340.0000	235.0000	0.4203	0.1341	0.0631	0.0467	0.0437	0.0275	0.0270	0.0253	0.0154	0.0103	3	1	
3	338	0.4115011692047119	502	2.5021884441375732	338.0000	364.0000	285.0000	502.0000	558.0000	605.0000	44.0000	312.0000	273.0000	489.0000	0.4115	0.2254	0.1240	0.0211	0.0139	0.0078	0.0074	0.0057	0.0055	0.0050	3	1	
4	517	0.38382622599601746	502	3.336153745651245	517.0000	338.0000	945.0000	153.0000	466.0000	488.0000	558.0000	502.0000	832.0000	605.0000	0.3838	0.1065	0.0370	0.0353	0.0239	0.0203	0.0189	0.0174	0.0164	0.0152	7	2	
5	285	0.09501360356807709	502	4.675830841064453	285.0000	347.0000	832.0000	321.0000	502.0000	526.0000	719.0000	364.0000	857.0000	527.0000	0.0950	0.0595	0.0552	0.0407	0.0403	0.0344	0.0317	0.0293	0.0196	0.0196	4	2	
6	844	0.11565307527780533	502	3.9596028327941895	844.0000	502.0000	605.0000	945.0000	884.0000	517.0000	338.0000	273.0000	160.0000	670.0000	0.1157	0.0977	0.0947	0.0563	0.0530	0.0467	0.0372	0.0333	0.0321	0.0265	1	3	
7	285	0.4638409912586212	502	2.4739603996276855	285.0000	502.0000	884.0000	330.0000	364.0000	421.0000	182.0000	550.0000	787.0000	726.0000	0.4638	0.1995	0.0503	0.0346	0.0191	0.0170	0.0108	0.0102	0.0089	0.0085	1	3	
8	517	0.595263659954071	502	2.3237428665161133	517.0000	926.0000	605.0000	502.0000	71.0000	340.0000	547.0000	120.0000	538.0000	319.0000	0.5953	0.0680	0.0569	0.0216	0.0183	0.0159	0.0107	0.0094	0.0087	0.0073	3	4	
9	285	0.18664182722568512	502	4.488372802734375	285.0000	502.0000	517.0000	551.0000	719.0000	703.0000	55.0000	924.0000	605.0000	131.0000	0.1866	0.0527	0.0457	0.0314	0.0281	0.0268	0.0245	0.0208	0.0194	0.0161	1	4	
