	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	748	0.24566610157489777	510	3.7565722465515137	748.0000	57.0000	191.0000	247.0000	811.0000	347.0000	510.0000	670.0000	401.0000	44.0000	0.2457	0.1096	0.0746	0.0417	0.0370	0.0247	0.0238	0.0195	0.0192	0.0183	6	0	
1	748	0.2692137658596039	510	4.0133209228515625	748.0000	247.0000	57.0000	44.0000	285.0000	670.0000	811.0000	808.0000	191.0000	363.0000	0.2692	0.1016	0.0500	0.0416	0.0208	0.0181	0.0169	0.0161	0.0160	0.0150	14	0	
2	44	0.2948518395423889	510	3.543492555618286	44.0000	350.0000	510.0000	917.0000	681.0000	797.0000	61.0000	347.0000	104.0000	670.0000	0.2949	0.0914	0.0654	0.0517	0.0429	0.0276	0.0267	0.0228	0.0193	0.0185	2	0	
3	510	0.4553964138031006	510	1.8975410461425781	510.0000	585.0000	811.0000	82.0000	240.0000	621.0000	670.0000	232.0000	589.0000	944.0000	0.4554	0.1902	0.1879	0.0381	0.0191	0.0166	0.0073	0.0069	0.0055	0.0043	0	1	
4	811	0.4062485992908478	510	2.5753157138824463	811.0000	510.0000	670.0000	585.0000	82.0000	247.0000	240.0000	507.0000	944.0000	273.0000	0.4062	0.2221	0.0749	0.0403	0.0291	0.0224	0.0118	0.0113	0.0101	0.0090	1	1	
5	510	0.241414874792099	510	4.038846015930176	510.0000	681.0000	431.0000	44.0000	584.0000	82.0000	662.0000	590.0000	141.0000	104.0000	0.2414	0.0491	0.0464	0.0430	0.0365	0.0333	0.0274	0.0235	0.0211	0.0202	0	1	
6	510	0.9599394798278809	510	0.2874811589717865	510.0000	811.0000	945.0000	944.0000	507.0000	681.0000	82.0000	738.0000	503.0000	689.0000	0.9599	0.0121	0.0074	0.0041	0.0014	0.0014	0.0013	0.0012	0.0011	0.0009	0	2	
7	510	0.8612973093986511	510	0.9240901470184326	510.0000	811.0000	945.0000	585.0000	738.0000	703.0000	247.0000	521.0000	184.0000	819.0000	0.8613	0.0293	0.0141	0.0080	0.0056	0.0055	0.0050	0.0048	0.0032	0.0032	0	2	
8	510	0.9134010672569275	510	0.6158255934715271	510.0000	82.0000	681.0000	945.0000	670.0000	363.0000	936.0000	590.0000	503.0000	811.0000	0.9134	0.0162	0.0147	0.0065	0.0032	0.0032	0.0024	0.0023	0.0016	0.0015	0	2	
9	510	0.6675295829772949	510	1.5013632774353027	510.0000	811.0000	523.0000	75.0000	944.0000	247.0000	524.0000	57.0000	521.0000	589.0000	0.6675	0.1375	0.0717	0.0185	0.0127	0.0077	0.0051	0.0048	0.0044	0.0038	0	3	
10	811	0.34197843074798584	510	2.8848698139190674	811.0000	510.0000	523.0000	75.0000	247.0000	589.0000	621.0000	521.0000	808.0000	57.0000	0.3420	0.1114	0.1056	0.1040	0.0385	0.0369	0.0310	0.0181	0.0109	0.0086	1	3	
11	510	0.6319032311439514	510	1.6731536388397217	510.0000	82.0000	945.0000	936.0000	670.0000	944.0000	738.0000	851.0000	288.0000	431.0000	0.6319	0.1712	0.0195	0.0133	0.0113	0.0109	0.0107	0.0088	0.0079	0.0074	0	3	
12	811	0.7541685700416565	510	1.1215099096298218	811.0000	510.0000	585.0000	681.0000	755.0000	460.0000	232.0000	82.0000	507.0000	621.0000	0.7542	0.1311	0.0213	0.0134	0.0117	0.0074	0.0059	0.0054	0.0053	0.0042	1	4	
13	811	0.5508081912994385	510	1.8832604885101318	811.0000	510.0000	521.0000	681.0000	585.0000	82.0000	646.0000	232.0000	240.0000	247.0000	0.5508	0.2241	0.0397	0.0260	0.0182	0.0116	0.0106	0.0065	0.0052	0.0045	1	4	
14	510	0.6565781831741333	510	1.6541244983673096	510.0000	681.0000	82.0000	869.0000	31.0000	670.0000	811.0000	936.0000	513.0000	288.0000	0.6566	0.1337	0.0428	0.0218	0.0138	0.0123	0.0101	0.0057	0.0057	0.0043	0	4	
15	510	0.9764926433563232	510	0.16170820593833923	510.0000	811.0000	232.0000	621.0000	507.0000	614.0000	75.0000	82.0000	755.0000	589.0000	0.9765	0.0143	0.0010	0.0010	0.0009	0.0007	0.0005	0.0004	0.0004	0.0004	0	5	
